,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
يونيو,8683663,3154.69,11,15785437,6436.429999999999,13,127061188,46635.475,47,,,,,,,,
يوليو,30235342,13350.4,28,39039790,16095.310000000001,39,51808137,21825.524999999998,34,,,,,,,,
اوغسطس,32283950,11831.13,21,21916143,7200.35,14,26782059,10301.66,27,,,,,,,,
سبتمبر,24312952,11529.119999999999,23,31833289,11930.769999999999,30,195888538,46768.85000000001,43,,,,,,,,
اكتوبر,72984921,63576.57,33,34664562,12811.789999999999,29,16973187,6772.01,14,,,,,,,,
نوفمبر,72029761,18560.555,35,30795496,15974.95,25,51733034,17538,34,,,,,,,,
ديسمبر,45678101,13855.695000000002,29,48388258,16845.920000000002,28,34913593,13110.56,28,,,,,,,,
حي/الازدهار,210149572,72688.06229999999,72,165095526,77349.84,112,118043471,34412.5138,117,70083541,17458.93,35,,,,,
يناير,7167937,1581,4,17430000,13030.07,5,6192040,2330.6800000000003,6,20321466,3811.66,8,,,,,
فبراير,4105000,1825,3,4200000,1980.5,5,2231250,756,2,19704000,5330.23,10,,,,,
مارس,20147930,6771.83,8,14172500,4565.5,6,4249500,1000.23,3,18597000,5890.41,10,,,,,
ابريل,20299158,18198.34,6,28350500,7882.8099999999995,46,,,,11461075,2426.63,7,,,,,
مايو,14140423,5430.32,12,19873500,5012.1,12,1300000,552,1,,,,,,,,
يونيو,1900000,618.31,2,9622924,2364.13,9,13689321,5368.6438,10,,,,,,,,
يوليو,3876736,1309.6023,4,6423000,2545.4,8,12436499,3764.12,10,,,,,,,,
اوغسطس,9831290,2616.1,6,1376513,731,3,6163999,1931.58,7,,,,,,,,
سبتمبر,3433257,1624,5,13117025,18462.5,5,26249904,7086.459999999998,31,,,,,,,,
اكتوبر,85888250,25577,7,35400600,16486.5,6,11510333,3012.68,15,,,,,,,,
نوفمبر,5931091,2683,5,2380000,643.25,2,12247400,3043.5099999999998,18,,,,,,,,
ديسمبر,33428500,4453.5599999999995,10,12748964,3646.08,5,21773225,5566.609999999999,14,,,,,,,,
حي/الامانة,57815848,55419.82,77,264686231,163390.03999999998,202,337286802,282826.95999999996,40,111972626,49838.729999999996,48,,,,,
يناير,2363322,1708,4,24287457,18317.42,31,7318550,3837,6,,,,,,,,
فبراير,3533850,3576,6,24205707,18100.67,27,268470500,253154.71,10,21566800,12445,5,,,,,
مارس,2470000,2733,4,8394525,5624,9,11683215,3975,5,39773926,16619.73,34,,,,,
ابريل,6168017,6640,9,22080708,16730.5,17,1509500,882,2,50631900,20774,9,,,,,
مايو,6144280,9244,7,7455000,3833,7,,,,,,,,,,,
يونيو,631250,629.72,2,6987000,5119.5,10,42026200,17178.25,12,,,,,,,,
يوليو,3185000,3990,4,26139820,14906,21,340102,400,1,,,,,,,,
اوغسطس,1346300,1081.23,2,6427900,4800.5,7,,,,,,,,,,,
