,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
يوليو,,,,3480000,1852.65,3,1310000,595,2,,,,,,,,
اوغسطس,4745000,1390,2,2550000,1793,3,81479552,9856.67,2,,,,,,,,
سبتمبر,5500000,2500,1,2276718,1702.94,4,2010000,1220,3,,,,,,,,
اكتوبر,650000,397.6,1,2678868,1462.5,2,2895628,1326.99,3,,,,,,,,
نوفمبر,100000,559.35,1,,,,2000000,1000,1,,,,,,,,
ديسمبر,4201000,2056.25,5,842500,562.5,2,8580000,3612.5,4,,,,,,,,
حي/الزهرة,49153725,33472.475,67,62698316,49634.774,84,52316321,39454.92,87,19562386,10929.16,25,,,,,
يناير,7454653,6512.5,10,2891934,2187.3469999999998,5,6662499,5016.85,11,5814999,3181.25,7,,,,,
فبراير,2182424,1136.28,3,6660000,4808,9,8771767,5335.87,10,5515000,3191.85,7,,,,,
مارس,6135001,3337.5,8,5563593,2783.85,6,4620000,2865.35,7,6287387,3056.06,8,,,,,
ابريل,6090000,4630,8,3608142,3075.7099999999996,7,520000,500,1,1945000,1500,3,,,,,
مايو,6910000,3300,4,4208135,2087.5,5,3105000,1787.46,5,,,,,,,,
يونيو,295000,1000,2,2630027,2000,4,7049750,6229.21,16,,,,,,,,
يوليو,4885600,3092.4449999999997,7,2749748,2693.24,5,4810787,3448.57,9,,,,,,,,
اوغسطس,2403000,1337.5,3,3933000,2425.74,7,1560000,1623.8600000000001,3,,,,,,,,
سبتمبر,2112692,2423.75,5,4420000,3225.1,7,9189931,8767.5,15,,,,,,,,
اكتوبر,3399338,1812.5,4,6319003,7449.9,12,1663587,1400,3,,,,,,,,
نوفمبر,4260400,2900,8,13173734,12296.087,8,1753000,1058.81,3,,,,,,,,
ديسمبر,3025617,1990,5,6541000,4602.3,9,2610000,1421.44,4,,,,,,,,
حي/الزهور,11464000,89993.9,123,28092575,151060.30000000002,229,50560579,159612.57,247,22925200,51510.350000000006,89,,,,,
يناير,452000,4950,7,1985500,16824,24,2359000,9960,16,5820000,14014.800000000001,25,,,,,
فبراير,634000,5790,8,1811000,13082.5,17,5506575,19646.75,34,2260000,6102.5,12,,,,,
مارس,1284500,11307.5,14,2087000,10792.5,18,2557837,9525,13,10375200,21618.300000000003,34,,,,,
ابريل,594000,4385,7,1244000,7364.98,10,220000,900,1,4470000,9774.75,18,,,,,
مايو,512000,4520,5,904000,5367,8,110000,475,1,,,,,,,,
يونيو,220000,1690,2,410000,1977.48,2,2103000,8082.5,11,,,,,,,,
يوليو,477000,4967.5,7,2511000,13510,19,2890000,11396,17,,,,,,,,
اوغسطس,482000,5620,9,2488700,13318.42,21,3852500,12165,21,,,,,,,,
سبتمبر,642000,5690,9,4212500,18622.5,28,7766000,25611.079999999998,43,,,,,,,,
اكتوبر,2528500,17293.9,23,2209500,12800,22,11112000,32605,47,,,,,,,,
نوفمبر,1344000,8740,12,2577000,12455.42,18,8878667,21945,32,,,,,,,,
ديسمبر,2294000,15040,20,5652375,24945.5,42,3205000,7301.24,11,,,,,,,,
حي/السعادة,138887440,142648.11000000002,191,338113837,215423.05,504,232309501,141134.01,202,74395620,35135.96,92,,,,,
يناير,21237800,67152.36,23,26954229,17915.46,46,27498250,19767.400000000005,11,18399269,8030.04,21,,,,,
فبراير,11596734,7999.5199999999995,11,45858164,33433.5,78,40466863,18792.47,30,21179313,10138.74,24,,,,,
مارس,26568184,15476.47,21,20381764,12611.720000000001,31,20349600,8472.34,21,23520977,10573.12,29,,,,,
ابريل,8601117,4336.135,12,27695212,19371.559999999998,45,8955000,2819.5,8,11296061,6394.0599999999995,18,,,,,
مايو,7814273,5368.02,14,32899612,26789.330000000005,57,20405790,11375.21,25,,,,,,,,
يونيو,3639646,2042.4650000000001,6,18151628,9160.38,34,24628513,13900.210000000001,21,,,,,,,,
يوليو,8909826,5968.82,18,33064842,17009.83,30,5344663,2318.5299999999997,8,,,,,,,,
اوغسطس,320000,122.76,1,24321876,15073.61,38,6748300,3801.67,10,,,,,,,,
سبتمبر,3921000,2296.95,7,30758482,20186.9,46,9288427,4979.33,10,,,,,,,,
اكتوبر,6430443,4592.64,13,27350331,14081.85,29,22984267,12575.380000000001,29,,,,,,,,
نوفمبر,8745348,5600.52,16,34308768,19806.780000000002,45,38860750,38508.979999999996,20,,,,,,,,
ديسمبر,31103069,21691.45,49,16368929,9982.130000000001,25,6779078,3822.9900000000002,9,,,,,,,,
حي/السلام,82005619,37448.420000000006,89,240533132,67618.685,105,145367488,73245.77,120,47302027,21080.62,42,,,,,
يناير,7972401,3262.5,6,27916993,9974.9,16,16027543,7327.5,14,11927438,5224.29,10,,,,,
فبراير,5842700,2737.5,5,12058530,5260.2,11,14746000,7265.39,15,12065150,4993.5,11,,,,,
مارس,8427633,3464.8100000000004,11,6095000,2580.25,4,5380724,2913.46,6,17849439,7998.53,15,,,,,
ابريل,780000,675,2,15565100,7736.5,13,2243500,900.005,2,5460000,2864.3,6,,,,,
مايو,9394933,4614.95,10,18230000,11712.5,4,3261250,1700,3,,,,,,,,
يونيو,4610000,2313.75,5,5788000,3081.54,5,29820421,12548,19,,,,,,,,
يوليو,4650000,1686.5,4,5532860,4655,9,4714976,2142.41,6,,,,,,,,
اوغسطس,1645000,1173.5,3,5430000,4188.13,4,6640355,3495.5,8,,,,,,,,
سبتمبر,12840359,5054.09,10,3380000,1480.75,5,24546495,14862.5,9,,,,,,,,
اكتوبر,9653170,3532.2200000000003,11,10598277,4951.865000000001,12,11585000,6477.505,13,,,,,,,,
نوفمبر,6230141,4020.5,11,121434372,7892.6,13,19678224,9957.5,19,,,,,,,,
ديسمبر,9959282,4913.1,11,8504000,4104.45,9,6723000,3656,6,,,,,,,,
حي/السلى,1004537686,2331143.1863,220,534369372,546501.53,293,739443278,661256.7006999999,255,283744142,167706.03000000003,92,,,,,
يناير,63269546,222359.06,15,88010013,122329.82,27,36726471,24686.66,22,60761703,32902.97000000001,36,,,,,
فبراير,119157484,203781.715,10,44592580,46140.92,36,98614080,64855.869999999995,29,62331401,46704.479999999996,27,,,,,
مارس,44155000,59240.92,14,127800588,51236.62,31,23562700,18930.75,12,114153038,60843.42,14,,,,,
ابريل,24390447,17920.67,15,10474360,11638.68,16,300000,200,1,46498000,27255.160000000003,15,,,,,
مايو,53181750,48677.41,16,26905108,37079.23,20,2445625,1825,4,,,,,,,,
يونيو,7260000,24676.78,13,33783750,35852.84,12,81325866,79791.452,40,,,,,,,,
يوليو,60943188,46099.34,16,27766990,47119.659999999996,33,46614139,106458.49,13,,,,,,,,
اوغسطس,19965400,9906.3,12,13716700,20379,13,13773855,20419.309999999998,14,,,,,,,,
سبتمبر,15830433,21501.1413,18,11284250,12025.19,16,281115378,226661.13,20,,,,,,,,
اكتوبر,122877500,911380.86,20,88170778,110764.66999999998,31,40507996,32863.589,29,,,,,,,,
نوفمبر,225539500,242938.09999999998,20,31901800,24577.41,30,55809663,46359.100000000006,28,,,,,,,,
ديسمبر,247967438,522660.89,51,29962455,27357.49,28,58647505,38205.3497,43,,,,,,,,
حي/السليمانية,511804653,109378.537,131,520270987,121113.07900000001,161,462930539,112204.78190000002,170,163150658,45161.204999999994,71,,,,,
يناير,33070000,5586.65,9,189421901,19005.38,11,18243976,7559.360000000001,16,36423104,11690.74,17,,,,,
فبراير,34814888,19819.5,8,36606658,7857.714,15,34969602,11635,23,51530400,12082.339999999998,20,,,,,
مارس,18335200,4333.26,10,23223000,9460.7,19,160522192,20184.31,15,45004154,12247.475,18,,,,,
ابريل,79004306,20235.41,18,75239650,13986.45,15,1787875,404.25,1,30193000,9140.65,16,,,,,
مايو,209558425,16629.260000000002,21,25224367,6377.485000000001,14,598500,163.43,1,,,,,,,,
يونيو,4400000,1690,3,2178434,906,2,51431472,18045.105000000003,26,,,,,,,,
يوليو,21381446,7842.94,12,12882325,3656.28,8,50640726,9924.2549,14,,,,,,,,
اوغسطس,16045000,3661.5,4,17097501,6046,11,32116000,10838.2,14,,,,,,,,
سبتمبر,21040000,4317.24,8,17074005,7801.75,14,25908024,9138.652,15,,,,,,,,
اكتوبر,21593751,6625.13,10,44729366,17355.95,18,17863775,4359.96,9,,,,,,,,
نوفمبر,27871685,9020.5,14,45761530,12673.369999999999,19,37305242,10784.35,19,,,,,,,,
ديسمبر,24689952,9617.146999999999,14,30832250,15986,15,31543155,9167.91,17,,,,,,,,
حي/السويدى,258827204,182008.6216,394,374251154,254188.51400000002,538,308818200,202620.34,413,118158947,79168.95999999999,159,,,,,
يناير,18059028,13159.75,30,38251095,26215.6589,59,25284862,15514.31,33,31081778,21960.795,47,,,,,
فبراير,20620222,15294.32,33,27604528,20333.809999999998,40,33648516,21380.420000000006,44,28811691,19487.5,42,,,,,
مارس,33412266,24376.6644,51,43040640,26546.851100000003,57,29273893,15700.189999999999,33,29156975,20401.189999999995,37,,,,,
ابريل,22727326,14506.845000000001,33,30651465,16309.564999999999,34,11782875,5604.9,13,29108503,17319.475,33,,,,,
مايو,25555204,17232.84,39,35788651,26250.49,57,10801367,4600.37,13,,,,,,,,
يونيو,9804132,5938,13,8948332,6876.822,13,45470646,31025.400000000005,53,,,,,,,,
يوليو,22216597,14223.375,32,27424315,21331.736999999997,48,18185261,14047.585000000001,33,,,,,,,,
اوغسطس,22041244,11212.839999999998,24,24393781,16419.58,32,20097665,16186.17,31,,,,,,,,
سبتمبر,16692433,14295.320000000002,29,36976635,23967.96,56,24164101,18213.33,41,,,,,,,,
اكتوبر,23590198,15095.885,34,42379623,28386.82,59,23641027,15976.23,37,,,,,,,,
نوفمبر,19439071,14880.230000000001,33,26792080,19951.73,39,27327713,19798.16,39,,,,,,,,
ديسمبر,24669483,21792.5522,43,32000009,21597.489999999998,44,39140274,24573.275,43,,,,,,,,
حي/الشاطى,,,,2700000,394.13,1,,,,,,,,,,,
اوغسطس,,,,2700000,394.13,1,,,,,,,,,,,
حي/الشرفية,7313450,3607.0600000000004,10,20761801,11147.1,21,19957306,14966.960000000001,28,5546425,11163.699999999999,7,,,,,
يناير,1603750,500,1,1350000,660.2099999999999,3,850000,838.1,1,250000,198.14,1,,,,,
فبراير,160000,356.59000000000003,2,480000,294.25,1,1220000,682.0799999999999,3,165000,117.57,2,,,,,
مارس,820000,500,1,1670000,983.44,3,,,,800000,812.99,1,,,,,
ابريل,,,,200000,67.72,1,1195806,81.72,1,4331425,10035,3,,,,,
مايو,,,,8638308,5612,2,,,,,,,,,,,
يونيو,1519700,1169,1,,,,2675500,3388.27,6,,,,,,,,
يوليو,400000,77.67,1,4739100,1457.6599999999999,4,1225000,253.5,2,,,,,,,,
اوغسطس,400000,125,1,,,,50000,500,1,,,,,,,,
سبتمبر,,,,1426795,942.61,3,2544000,1835.27,4,,,,,,,,
اكتوبر,,,,300000,108.38,1,395000,114.75,1,,,,,,,,
نوفمبر,2410000,878.8000000000001,3,1957598,1020.8299999999999,3,4732000,3373.27,6,,,,,,,,
ديسمبر,,,,,,,5070000,3900,3,,,,,,,,
حي/الشرق,86561090,432773.7149999999,119,201639418,445421.8300000001,294,87528006,210238.696,137,42513120,85499.98000000001,92,,,,,
يناير,19105711,248979.56999999998,15,24232958,32406.94,64,6757050,9372.141,15,9729072,15245.119999999999,22,,,,,
فبراير,2374564,1392.22,3,12658993,19536.68,32,7634772,6503.119999999999,15,15375307,16563.879999999997,27,,,,,
مارس,3708200,4788.95,8,14493495,20700.56,31,4513700,4467.85,8,7882800,13631.97,24,,,,,
ابريل,940741,2242.8050000000003,4,12044714,16580.93,31,2220100,746.47,2,9525941,40059.01,19,,,,,
مايو,27743587,132286.6,6,6065280,21309.440000000002,11,1250000,402.3,1,,,,,,,,
يونيو,425000,1654.88,2,12422186,24966.665,17,40704900,141090.03,12,,,,,,,,
يوليو,5110440,7253.46,13,80190379,266404.62,22,3399212,6234.6,12,,,,,,,,
اوغسطس,905460,1409,3,7416510,13944.595000000001,25,1763647,4759,9,,,,,,,,
سبتمبر,2360000,2909.91,7,13905706,11765.710000000001,27,3424000,5430,7,,,,,,,,
اكتوبر,7194050,9623.86,16,6227231,7864.5199999999995,14,3899175,9061.380000000001,14,,,,,,,,
نوفمبر,7357600,8739.289999999999,17,7412786,5576.45,11,6240300,10008.654999999999,20,,,,,,,,
ديسمبر,9335737,11493.17,25,4569180,4364.72,9,5721150,12163.15,22,,,,,,,,
حي/الشعاب,640000,1137.5,2,520000,472.5,1,1580000,1316.5,3,4158036,2862.5,5,,,,,
يناير,550000,575,1,,,,1140000,720,1,1781369,720,1,,,,,
فبراير,,,,520000,472.5,1,,,,972500,922.5,2,,,,,
مارس,90000,562.5,1,,,,,,,350000,500,1,,,,,
ابريل,,,,,,,,,,1054167,720,1,,,,,
يوليو,,,,,,,340000,500,1,,,,,,,,
اوغسطس,,,,,,,100000,96.5,1,,,,,,,,
حي/الشعلة,135500,3175.4700000000003,6,236800,2625,7,542000,4455,8,,,,,,,,
يناير,,,,,,,40000,450,1,,,,,,,,
فبراير,60000,1058.49,2,,,,,,,,,,,,,,
ابريل,,,,30000,375,1,,,,,,,,,,,
مايو,,,,61500,750,2,,,,,,,,,,,
يوليو,,,,102300,1125,3,,,,,,,,,,,
اوغسطس,75500,2116.98,4,43000,375,1,,,,,,,,,,,
سبتمبر,,,,,,,45000,450,1,,,,,,,,
اكتوبر,,,,,,,127000,1200,3,,,,,,,,
نوفمبر,,,,,,,180000,1402.5,2,,,,,,,,
ديسمبر,,,,,,,150000,952.5,1,,,,,,,,
حي/الشفاء,246619435,211715.6377,379,380242017,348937.3155,533,341474919,239274.158,413,183413486,129076.92,166,,,,,
يناير,24150657,23527.672700000003,26,35407866,33678.97,38,27933652,15852.3,51,27129942,24661.43,49,,,,,
فبراير,22189575,17583.699999999997,35,27192055,24037.959999999995,60,36890867,22900.8,39,45941692,45108.64,49,,,,,
مارس,26709315,15148.005,36,45644565,48094.840000000004,64,26200657,19183.57,31,28128058,24297.879999999997,41,,,,,
ابريل,25435851,21684.260000000002,35,35794936,50431.42,65,10040283,6664.655,12,82213794,35008.97,27,,,,,
مايو,32484900,28488.48,42,21261926,19823.16,39,14920700,9672.33,18,,,,,,,,
يونيو,6405000,5015.77,5,17113863,15261.669999999998,29,50622825,46281.244999999995,67,,,,,,,,
يوليو,24927688,28979.02999999999,63,48808528,36736.25,42,8467357,6079.56,15,,,,,,,,
اوغسطس,5030334,4951.8550000000005,13,27304982,24831.0105,33,15997500,13176.415,29,,,,,,,,
سبتمبر,9522924,11496.78,20,28523623,21839.36,40,21315723,18728.13,34,,,,,,,,
اكتوبر,26924821,14260.56,27,29051475,25422.16,41,12362872,9658.963,22,,,,,,,,
نوفمبر,20453689,18715.55,35,22084472,19441.91,36,95233294,52378.24999999999,63,,,,,,,,
ديسمبر,22384681,21863.975,42,42053726,29338.605000000003,46,21489189,18697.940000000002,32,,,,,,,,
حي/الشمال,1980000,3645.2799999999997,4,8935404,13721.15,16,5618833,7511.429999999999,9,5945000,4581.15,5,,,,,
يناير,,,,,,,,,,1092000,910,1,,,,,
فبراير,750000,840,1,1000000,1488.65,2,700000,801.15,1,1693000,1470,2,,,,,
مارس,,,,830000,1520,2,250000,700,1,1950000,1400,1,,,,,
ابريل,,,,1900000,3570,5,,,,1210000,801.15,1,,,,,
مايو,450000,750,1,732904,687.5,1,,,,,,,,,,,
يونيو,,,,900000,1470,1,2504333,3615.2799999999997,4,,,,,,,,
يوليو,480000,750,1,370000,770,1,100000,735,1,,,,,,,,
اوغسطس,,,,650000,875,1,,,,,,,,,,,
اكتوبر,300000,1305.28,1,1450000,2100,1,,,,,,,,,,,
نوفمبر,,,,550000,620,1,1200000,750,1,,,,,,,,
ديسمبر,,,,552500,620,1,864500,910,1,,,,,,,,
حي/الشميسى,14751999,6189.826999999999,50,14340874,7845.958699999999,53,11742500,6078.900000000001,45,9898000,3435.2799999999997,23,,,,,
يناير,4165000,939.4100000000001,6,950000,542.3900000000001,4,1390000,950.56,4,1755000,699.43,4,,,,,
فبراير,1380000,637.33,4,1140603,893.5,7,2670000,628.88,5,5150000,1190.51,8,,,,,
مارس,1548500,837.71,5,575000,523.89,4,608000,112.81,2,1078000,780.4000000000001,6,,,,,
ابريل,1320000,854.18,6,340000,206.66000000000003,2,,,,1915000,764.94,5,,,,,
مايو,1628000,814.3900000000001,6,285000,158.76,2,680000,141.6,2,,,,,,,,
يونيو,,,,165000,239.42000000000002,2,1458750,1163.19,6,,,,,,,,
يوليو,1309999,479.997,8,3517200,1683.6399999999999,7,100000,102,1,,,,,,,,
اوغسطس,300000,83.58,1,1932500,686.4499999999999,3,270000,326.62,4,,,,,,,,
سبتمبر,1445000,451.38,4,665000,336.65,3,520000,296.95,4,,,,,,,,
اكتوبر,117000,404.87,4,3590000,1864.2287,13,573750,345.97,4,,,,,,,,
نوفمبر,828500,454.07,3,50000,124.36,1,1705000,1522.2200000000003,10,,,,,,,,
ديسمبر,710000,232.91000000000003,3,1130571,586.01,5,1767000,488.1,3,,,,,,,,
حي/الشهداء,27623256,15609.216,35,174036477,41407,29,88291648,28258.213,55,42871401,13935,29,,,,,
يناير,6210500,2308.27,5,2974000,1540,2,3698183,1397.5,3,23765591,6466.25,13,,,,,
فبراير,1240000,1895,2,200000,287.5,1,3000000,840,1,10724560,4075,8,,,,,
مارس,100000,300,1,5096490,2037.5,4,325000,300,1,7881250,3143.75,7,,,,,
ابريل,4883401,2149.36,5,6695578,2825,5,3809008,1336,4,500000,250,1,,,,,
مايو,1314316,1208.75,3,31596000,12160,1,837000,336,1,,,,,,,,
يونيو,,,,,,,18376664,5197.64,10,,,,,,,,
يوليو,1720000,689.816,2,103867159,12972.5,3,,,,,,,,,,,
اوغسطس,3240000,1525,5,8345000,2953.5,6,3439793,1300,3,,,,,,,,
سبتمبر,3477250,4097.88,7,500000,625,1,5629000,3265,3,,,,,,,,
اكتوبر,2657789,650,2,3480000,1965,4,33017125,9372.46,11,,,,,,,,
نوفمبر,2780000,785.14,3,2100000,576,1,10459875,3193.100000000001,14,,,,,,,,
ديسمبر,,,,9182250,3465,1,5700000,1720.513,4,,,,,,,,
حي/الصالحية,5728000,1605.8,11,2964500,1755.2599999999998,16,3166000,3571.5600000000004,31,610000,290.75,2,,,,,
يناير,250000,259.44,2,200000,227.87,2,300000,255,2,610000,290.75,2,,,,,
فبراير,,,,100000,66.5,1,,,,,,,,,,,
مارس,600000,96,1,90000,177.62,1,,,,,,,,,,,
ابريل,165000,120,1,67000,87.8,1,,,,,,,,,,,
مايو,55000,85.25,1,100000,155,1,,,,,,,,,,,
يونيو,180000,181.99,2,,,,,,,,,,,,,,
يوليو,,,,1190000,529.03,6,1900000,2199.9,19,,,,,,,,
اوغسطس,1205000,324.03,2,135000,124,1,320000,493.5,5,,,,,,,,
سبتمبر,273000,108.59,1,,,,260000,195,2,,,,,,,,
اكتوبر,3000000,430.5,1,90000,101.56,1,80000,142.9,1,,,,,,,,
نوفمبر,,,,812500,115.88,1,156000,170,1,,,,,,,,
ديسمبر,,,,180000,170,1,150000,115.26,1,,,,,,,,
حي/الصحافة,1067885802,161284.37000000002,589,1483037615,236307.82000000004,245,1018405167,190367.34999999998,439,462050533,68677.1,86,,,,,
يناير,308491793,21444.449999999993,137,47161538,8174.48,16,96174434,30419.59,21,156281316,22270.74,24,,,,,
فبراير,79536220,16610.920000000002,35,49095435,35149.26000000001,20,55193060,12274.86,23,140396628,12338.63,23,,,,,
مارس,63304837,8474.984999999999,37,83475817,7720.46,16,28290559,11140.419999999998,10,117932387,26380.35,23,,,,,
ابريل,80677548,14500.109999999999,39,204779456,46866.845,30,1295000,351,1,47440202,7687.380000000001,16,,,,,
مايو,38812618,9038.16,30,156717499,10167.630000000001,21,13812412,2682.5,5,,,,,,,,
يونيو,17099760,2331.67,10,16524768,2855.87,13,150874652,31746.319999999992,91,,,,,,,,
يوليو,186127554,22528.99,56,67794584,18468.3,33,115980658,14885.589999999998,76,,,,,,,,
اوغسطس,15261863,3270.61,11,16113754,5976.045,10,35664624,8781.68,18,,,,,,,,
سبتمبر,57830023,17608.790000000005,116,12506968,4152.85,11,425680837,55884.37999999999,138,,,,,,,,
اكتوبر,162053897,30308.01,75,94355724,30696.140000000003,24,34757582,7271.780000000001,17,,,,,,,,
نوفمبر,21527404,8300.35,19,104587649,11654.4,23,30710355,8086.219999999998,21,,,,,,,,
ديسمبر,37162285,6867.325000000001,24,629924423,54425.54000000001,28,29970994,6843.009999999999,18,,,,,,,,
حي/الصفاء,6150000,3432.92,6,5285000,2617.25,5,179136359,105887.20000000001,23,29560,621.25,1,,,,,
يناير,,,,,,,,,,29560,621.25,1,,,,,
فبراير,800000,420,1,,,,,,,,,,,,,,
مارس,1300000,621.25,1,1050000,540,1,,,,,,,,,,,
مايو,2000000,1403.67,2,1650000,750,1,6900000,3216,2,,,,,,,,
يونيو,,,,,,,107439460,77105.96,11,,,,,,,,
يوليو,,,,885000,706,2,,,,,,,,,,,
اوغسطس,,,,,,,310000,500,1,,,,,,,,
نوفمبر,800000,540,1,1700000,621.25,1,7045121,2945,3,,,,,,,,
ديسمبر,1250000,448,1,,,,57441778,22120.239999999998,6,,,,,,,,
حي/الصناعية,35327050,27905.989999999998,19,29199000,10033.91,27,27276900,16081.16,29,8651735,3164.62,5,,,,,
يناير,12000000,16823.1,3,,,,149000,590.53,1,1100000,140.21,1,,,,,
فبراير,,,,1050000,503,1,1800000,2295.25,3,4551735,1838.4099999999999,3,,,,,
مارس,100000,325,1,11404000,2919.02,4,350000,600,1,3000000,1186,1,,,,,
ابريل,2000000,1183.5,1,1450000,900,1,,,,,,,,,,,
مايو,5100000,2297.3,4,400000,600,1,900000,600,1,,,,,,,,
يونيو,,,,,,,13500000,4160.9,8,,,,,,,,
يوليو,1850000,1826,2,6800000,1631.5,2,300000,76.5,1,,,,,,,,
اوغسطس,,,,,,,1760000,1077.5,3,,,,,,,,
سبتمبر,7500000,1873.04,2,1650000,1156,4,417900,398,1,,,,,,,,
اكتوبر,1200000,2014.25,2,2900000,1060.3899999999999,12,2950000,1786.73,4,,,,,,,,
نوفمبر,1500000,434.57,1,450000,64,1,1000000,625,1,,,,,,,,
ديسمبر,4077050,1129.23,3,3095000,1200,1,4150000,3870.75,5,,,,,,,,
حي/الضباط,132930292,24577.98,36,31780144,13486.81,23,54032708,26817.57,33,27860000,8810.7,12,,,,,
يناير,63125000,3463,4,2857093,1084,2,9050000,1572.6799999999998,3,17400000,5289.84,3,,,,,
فبراير,100000,2500,1,7026780,3603.9799999999996,4,13958292,2148.58,5,,,,,,,,
مارس,12157500,2972.66,5,4845000,1026.51,3,2050000,1536,3,7235000,1999.8600000000001,5,,,,,
ابريل,6766271,925.28,2,,,,,,,3225000,1521,4,,,,,
مايو,1005000,1119,2,2050000,786,2,,,,,,,,,,,
يونيو,,,,800000,637.8,1,10534000,13511.57,6,,,,,,,,
يوليو,27554000,6023.1,3,1815000,1295.0700000000002,3,1050000,507.9,1,,,,,,,,
اوغسطس,,,,,,,600000,470,1,,,,,,,,
سبتمبر,4897210,1554.5,4,600000,1483.75,2,1050000,881,2,,,,,,,,
اكتوبر,3000469,1355.67,3,5140000,2638,4,4981000,1604.25,3,,,,,,,,
نوفمبر,8429842,2657.77,8,940000,400,1,6603000,2581.4300000000003,5,,,,,,,,
ديسمبر,5895000,2007,4,5706271,531.7,1,4156416,2004.16,4,,,,,,,,
حي/الطراديه,335000,110,1,,,,,,,,,,,,,,
ابريل,335000,110,1,,,,,,,,,,,,,,
حي/الطويلعة,899000,1051.62,5,720000,301.43,2,520000,348,3,194000,72,1,,,,,
يناير,,,,,,,90000,96,1,,,,,,,,
فبراير,339000,385.81,2,,,,80000,120,1,,,,,,,,
مارس,,,,,,,,,,194000,72,1,,,,,
مايو,95000,94.32,1,440000,161.38,1,,,,,,,,,,,
يوليو,275000,291.49,1,280000,140.05,1,,,,,,,,,,,
سبتمبر,,,,,,,350000,132,1,,,,,,,,
اكتوبر,190000,280,1,,,,,,,,,,,,,,
حي/العارض,567442905,308110.10199999996,415,884491757,473139.2749000001,581,605920160,356167.315,246,280921159,162091.83299999998,103,,,,,
يناير,28920015,10816.194,31,68988558,34304.244000000006,53,252021728,211329.62999999998,72,,,,,,,,
فبراير,35674157,15483.557999999999,37,70650740,32933.96799999999,68,146266801,60634.57,47,4133729,4532,3,,,,,
مارس,31927122,11985.91,32,118747704,73328.95800000001,86,70358554,30012.579999999998,37,91681310,22430.568,59,,,,,
ابريل,29069702,13492.890000000001,35,81061683,53221.290000000015,47,12873000,3547.175,8,185106120,135129.26499999998,41,,,,,
مايو,137928568,63151.7,46,48483139,25562.370000000003,32,22580920,6740.1,19,,,,,,,,
يونيو,8031247,4964.42,11,13972666,6331.6,15,101819157,43903.26000000002,63,,,,,,,,
يوليو,50667838,27391.780000000002,35,62736996,25400.87,55,,,,,,,,,,,
اوغسطس,24317467,9098.33,20,37648107,14583.55,28,,,,,,,,,,,
سبتمبر,19801420,7059.639999999999,18,118367502,75037.405,34,,,,,,,,,,,
اكتوبر,48465600,25504.019999999997,48,131962186,70572.13,91,,,,,,,,,,,
نوفمبر,76696295,44078.14000000001,42,72142897,32917.69,42,,,,,,,,,,,
ديسمبر,75943474,75083.51999999997,60,59729579,28945.199900000003,30,,,,,,,,,,,
حي/العجلية,141750,72.27,1,80000,89.95,1,100000,89.95,1,,,,,,,,
مارس,,,,80000,89.95,1,,,,,,,,,,,
ابريل,141750,72.27,1,,,,,,,,,,,,,,
سبتمبر,,,,,,,100000,89.95,1,,,,,,,,
حي/العريجاء,315389019,241760.2315,536,771653485,1051640.1308000002,758,335483755,241077.23100000003,552,161108992,117939.5967,244,,,,,
يناير,24784227,18320.162500000002,48,43875828,36810.612,71,43237051,29628.934999999998,70,25119669,21131.986699999998,50,,,,,
فبراير,46383805,28561.7,46,50353631,41477.03,84,36136089,24109.45,57,54043870,38679.3,75,,,,,
مارس,31755222,21687.117000000002,57,40857978,33905.36,73,23520105,16425,40,51591385,38897.82,77,,,,,
ابريل,27079442,19503,46,45603729,31991.4,75,14303250,6780,17,30354068,19230.49,42,,,,,
مايو,30559365,20647.940000000002,49,36488586,22976.03,55,13654035,7087.5,17,,,,,,,,
يونيو,11212863,8150,20,18589304,16715.542,41,25228947,22417.039999999997,52,,,,,,,,
يوليو,17269658,18927.332,38,38899238,26807.7928,65,22931493,15953.65,40,,,,,,,,
اوغسطس,16690337,11550,26,27415030,20593.95,45,13497179,10739.5,24,,,,,,,,
سبتمبر,21281992,17115.235999999997,45,353278877,736470.42,56,37049180,29713.165999999997,48,,,,,,,,
اكتوبر,26534774,21680,46,45215858,30738.654,69,33762733,24840.75,57,,,,,,,,
نوفمبر,27273031,25420.2,54,36500465,27221.79,63,36995421,27409.23,68,,,,,,,,
ديسمبر,34564303,30197.544,61,34574961,25931.55,61,35168272,25973.010000000002,62,,,,,,,,
حي/العزيزية,460207601,368573.70029999997,404,535103966,397186.2955,725,477352168,316219.495,527,221276387,152462.63299999997,185,,,,,
