,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة مكة المكرمة في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,مكة المكرمة,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
حي/الشرايع رقم 10,5289603,2097.43,9,3100000,2371.8,3,4980953,3790.5,5,2600000,1731,2,,,,,
فبراير,,,,1100000,885.9,1,1650000,871.5,1,,,,,,,,
مارس,,,,,,,,,,1200000,865.5,1,,,,,
ابريل,2620000,1114.7499999999998,5,2000000,1485.9,2,,,,1400000,865.5,1,,,,,
مايو,1770970,728.6099999999999,3,,,,,,,,,,,,,,
يوليو,,,,,,,1300000,1737,2,,,,,,,,
اوغسطس,898633,254.07,1,,,,,,,,,,,,,,
سبتمبر,,,,,,,1150000,591,1,,,,,,,,
اكتوبر,,,,,,,880953,591,1,,,,,,,,
حي/الشرق,,,,,,,1045500,1045,2,,,,,,,,
يوليو,,,,,,,365500,550,1,,,,,,,,
نوفمبر,,,,,,,680000,495,1,,,,,,,,
حي/الششة,100000,449.6,2,,,,1562500,487.5,2,,,,,,,,
يناير,100000,449.6,2,,,,,,,,,,,,,,
نوفمبر,,,,,,,1312500,37.5,1,,,,,,,,
ديسمبر,,,,,,,250000,450,1,,,,,,,,
حي/الششه,11000000,1006.47,2,50000,206.06,1,3500000,1024,2,,,,,,,,
يونيو,,,,50000,206.06,1,,,,,,,,,,,
سبتمبر,,,,,,,1500000,512,1,,,,,,,,
نوفمبر,11000000,1006.47,2,,,,2000000,512,1,,,,,,,,
حي/الششه الشماليه,250000,319.84,1,,,,,,,,,,,,,,
يناير,250000,319.84,1,,,,,,,,,,,,,,
حي/الششه الفيصلية,6500000,1065.26,2,6000000,506.25,1,44881725,1276.43,3,4789699,400,1,,,,,
ابريل,,,,,,,,,,4789699,400,1,,,,,
سبتمبر,1500000,559.01,1,6000000,506.25,1,,,,,,,,,,,
نوفمبر,5000000,506.25,1,,,,44881725,1276.43,3,,,,,,,,
حي/الشميسى,2475976,20573.79,14,42979295,90453.24900000001,9,6760000,16866.269999999997,12,2200000,8995.32,6,,,,,
يناير,100000,1218.2,1,,,,170000,908.87,1,600000,3408.09,2,,,,,
فبراير,255976,1632.73,1,800000,4131.95,2,,,,50000,500,1,,,,,
مارس,100000,797.59,1,,,,180000,455.67,1,300000,1632.73,1,,,,,
ابريل,320000,1072.51,2,,,,,,,1250000,3454.5,2,,,,,
يونيو,,,,,,,300000,1176.14,1,,,,,,,,
يوليو,,,,41425000,84238.71,3,4850000,8050.23,3,,,,,,,,
اوغسطس,1300000,12972.210000000001,7,,,,200000,818.56,1,,,,,,,,
سبتمبر,,,,24295,161.899,1,310000,1202.31,1,,,,,,,,
اكتوبر,400000,2880.55,2,730000,1920.6899999999998,3,350000,1613.19,1,,,,,,,,
ديسمبر,,,,,,,400000,2641.3,3,,,,,,,,
حي/الشميسى على يسار الذاهب لجده,200000,2107.61,1,210000,473.02,1,,,,,,,,,,,
فبراير,,,,210000,473.02,1,,,,,,,,,,,
اوغسطس,200000,2107.61,1,,,,,,,,,,,,,,
حي/الشميسى على يسار الذاهب لجده بالطريق القديم,670000,1764.47,4,70000,328.98,1,1505000,5970.14,4,220000,467.3,1,,,,,
يناير,,,,,,,,,,220000,467.3,1,,,,,
فبراير,175000,631.19,2,,,,,,,,,,,,,,
ابريل,95000,316.85,1,,,,,,,,,,,,,,
مايو,400000,816.43,1,,,,,,,,,,,,,,
يوليو,,,,,,,200000,563.82,1,,,,,,,,
اوغسطس,,,,,,,55000,370.25,1,,,,,,,,
سبتمبر,,,,70000,328.98,1,,,,,,,,,,,
اكتوبر,,,,,,,800000,4495.27,1,,,,,,,,
نوفمبر,,,,,,,450000,540.8,1,,,,,,,,
حي/الشميسى يسار الذاهب لجده الخط القديم,,,,1324796,4910.499999999999,7,100000,400,1,100000,702,1,,,,,
فبراير,,,,100000,400,1,,,,,,,,,,,
مارس,,,,106500,1647.74,2,100000,400,1,100000,702,1,,,,,
ابريل,,,,425296,1012.61,1,,,,,,,,,,,
نوفمبر,,,,100000,351.04,1,,,,,,,,,,,
ديسمبر,,,,593000,1499.11,2,,,,,,,,,,,
حي/الشهداء,2627059,912.4391,5,4285313,729.09,3,1620353,598.5935,4,100000,13.534,1,,,,,
يناير,,,,300000,135.7,1,430353,301.4,1,,,,,,,,
فبراير,660000,181.14,1,,,,,,,,,,,,,,
مارس,,,,,,,,,,100000,13.534,1,,,,,
ابريل,,,,3600000,500,1,,,,,,,,,,,
مايو,500000,273,1,385313,93.39,1,,,,,,,,,,,
يونيو,700000,273,1,,,,,,,,,,,,,,
سبتمبر,,,,,,,1000000,270.13,2,,,,,,,,
اكتوبر,717059,49.5991,1,,,,,,,,,,,,,,
نوفمبر,50000,135.7,1,,,,190000,27.0635,1,,,,,,,,
حي/الشهداء طريق العشر مخطط بشم,696000,600,1,,,,100000,600,1,1537500,833,1,,,,,
مارس,,,,,,,,,,1537500,833,1,,,,,
يونيو,,,,,,,100000,600,1,,,,,,,,
يوليو,696000,600,1,,,,,,,,,,,,,,
حي/الشهداء طريق العمرة,500000,321.95,1,,,,,,,,,,,,,,
ديسمبر,500000,321.95,1,,,,,,,,,,,,,,
حي/الشهداء طريق خريص العشر بمخطط بشم الوادى,,,,,,,1625000,625,1,,,,,,,,
يونيو,,,,,,,1625000,625,1,,,,,,,,
حي/الشهداء طريق خريق العشر,,,,370364,600,1,,,,,,,,,,,
اكتوبر,,,,370364,600,1,,,,,,,,,,,
حي/الشوقية,120046726,27281.8523,90,97486042,30394.34,95,112112191,32902.3927,121,13128781,5589.31,21,,,,,
يناير,7500000,1418.77,4,11338550,4111.01,14,9598222,3468.6899999999996,14,2169000,1385.57,4,,,,,
فبراير,9824960,3209.21,10,8629733,3638.83,11,19634999,3506.77,10,5043184,1476.45,6,,,,,
مارس,7676250,3366.98,14,11057859,1596.06,7,9388262,3040.17,14,3767461,1826.74,5,,,,,
ابريل,11526000,3442.6600000000003,11,8460871,2606.33,12,1765462,456.24,3,2149136,900.55,6,,,,,
مايو,2100000,605,3,4436428,1990.29,7,,,,,,,,,,,
يونيو,1279871,425.7,3,4200000,956.41,3,12910200,3716.9200000000005,14,,,,,,,,
يوليو,280000,89.85,1,9880000,2511.97,6,15284531,6183.6026999999995,20,,,,,,,,
اوغسطس,13916463,3017.2200000000003,4,4350000,2175.92,3,2180000,1179.48,5,,,,,,,,
سبتمبر,4137000,2096.98,5,4473745,1605.8200000000002,6,6380000,1837.3600000000001,6,,,,,,,,
اكتوبر,47337670,2979.33,10,7995000,1735.16,7,4338750,1055.28,6,,,,,,,,
نوفمبر,6128863,2498.7722999999996,12,13703856,5475.42,13,23603192,5968.87,19,,,,,,,,
ديسمبر,8339649,4131.379999999999,13,8960000,1991.12,6,7028573,2489.0099999999998,10,,,,,,,,
حي/الشوقية بوادى ابراهيم الخليل عليه السلام,50058872,11540.022,23,57896076,12448.15,19,53840948,11891.33,13,3000000,1805.8400000000001,3,,,,,
يناير,6300000,1692.35,3,8780000,2722.6,4,17393686,2399.85,1,2000000,1253.8400000000001,2,,,,,
فبراير,1750000,490,1,4000000,1307.8200000000002,2,15221514,2100.15,1,,,,,,,,
مارس,,,,1150000,616,1,,,,,,,,,,,
ابريل,,,,14080000,2668.59,4,,,,1000000,552,1,,,,,
يونيو,3150000,1260,2,7536076,713.75,1,,,,,,,,,,,
يوليو,10850000,2592.63,4,9400000,1290,2,,,,,,,,,,,
اوغسطس,,,,,,,8700000,1380,2,,,,,,,,
سبتمبر,18271800,2751.06,4,2000000,660,1,1150000,621,1,,,,,,,,
اكتوبر,5977072,1779.2599999999998,6,3150000,690,1,2750000,634.05,1,,,,,,,,
نوفمبر,670000,207.361,1,900000,700,1,7890748,3450,5,,,,,,,,
ديسمبر,3090000,767.361,2,6900000,1079.3899999999999,2,735000,1306.28,2,,,,,,,,
حي/الصبان,21831533,4217.2,13,4752041,1860.1399999999999,5,16700000,3585.7700000000004,6,500000,1261.49,1,,,,,
يناير,1150000,435.26,2,600000,225.27,1,6000000,500,1,,,,,,,,
فبراير,,,,1400000,904.83,1,1150000,296,1,500000,1261.49,1,,,,,
مارس,2756000,1153.59,4,,,,,,,,,,,,,,
ابريل,2437500,508.75,1,1452041,434.04,2,,,,,,,,,,,
يونيو,,,,,,,4000000,955.05,1,,,,,,,,
يوليو,1500000,506.47,2,,,,800000,508.75,1,,,,,,,,
سبتمبر,,,,,,,1150000,816.28,1,,,,,,,,
نوفمبر,6000000,500,1,,,,,,,,,,,,,,
ديسمبر,7988033,1113.13,3,1300000,296,1,3600000,509.69,1,,,,,,,,
حي/الصبان المعدل,,,,6600000,6881.7,1,9300000,3512,8,1000000,708.94,1,,,,,
فبراير,,,,,,,7900000,2974,7,1000000,708.94,1,,,,,
يونيو,,,,,,,1400000,538,1,,,,,,,,
نوفمبر,,,,6600000,6881.7,1,,,,,,,,,,,
حي/الصفوة,43111004,13596.39,22,22533426,5436.67,11,14001296,7277.6900000000005,13,15767000,9069.439999999999,17,,,,,
يناير,25695046,8043.92,13,1100000,600,1,4651296,1200,2,2000000,1200,2,,,,,
فبراير,500000,584.53,1,820000,550,1,2600000,1800,3,2050000,1200,2,,,,,
مارس,13765958,3152.63,5,,,,,,,9717000,5469.44,11,,,,,
ابريل,1400000,600,1,,,,,,,2000000,1200,2,,,,,
يونيو,750000,615.31,1,6300000,600,1,1000000,610.73,1,,,,,,,,
يوليو,,,,1000000,600,1,,,,,,,,,,,
اوغسطس,1000000,600,1,11893426,1868.45,5,900000,600,1,,,,,,,,
سبتمبر,,,,1000000,600,1,,,,,,,,,,,
اكتوبر,,,,,,,900000,600,1,,,,,,,,
نوفمبر,,,,420000,618.22,1,2900000,1800,3,,,,,,,,
ديسمبر,,,,,,,1050000,666.9599999999999,2,,,,,,,,
حي/الصناعات الخفيفة 1,2500000,1440,1,,,,,,,,,,,,,,
يناير,2500000,1440,1,,,,,,,,,,,,,,
حي/الصناعية بالتنعيم درجتها الثانيه,,,,1612000,1183.4,2,1687500,569.79,3,1400000,852.5699999999999,4,,,,,
يناير,,,,,,,,,,500000,407.1,2,,,,,
فبراير,,,,,,,500000,183.12,1,150000,241.92,1,,,,,
مارس,,,,,,,500000,183.12,1,750000,203.55,1,,,,,
مايو,,,,,,,687500,203.55,1,,,,,,,,
اكتوبر,,,,862000,591.7,1,,,,,,,,,,,
نوفمبر,,,,750000,591.7,1,,,,,,,,,,,
حي/الصهوه طريق بئر الغنم على يمين الذاهب الى جعرانة,,,,315000,1006.5,1,,,,,,,,,,,
ديسمبر,,,,315000,1006.5,1,,,,,,,,,,,
حي/الضفة الشرقية,25500000,476.90500000000003,2,10000000,158.9548,1,,,,,,,,,,,
ابريل,8500000,158.995,1,,,,,,,,,,,,,,
يونيو,,,,10000000,158.9548,1,,,,,,,,,,,
نوفمبر,17000000,317.91,1,,,,,,,,,,,,,,
حي/الضفة الشرقية بحى العزيزية,,,,7255000,763.7,1,,,,,,,,,,,
فبراير,,,,7255000,763.7,1,,,,,,,,,,,
حي/الضفة الشرقية س د,7500000,885.1,1,,,,,,,13000000,550,1,,,,,
مارس,,,,,,,,,,13000000,550,1,,,,,
مايو,7500000,885.1,1,,,,,,,,,,,,,,
حي/الضفة الشمالية محبس الجن,,,,,,,3000000,868.75,1,,,,,,,,
سبتمبر,,,,,,,3000000,868.75,1,,,,,,,,
حي/الضفة الشمالية/ ب,,,,8670000,250,1,,,,,,,,,,,
فبراير,,,,8670000,250,1,,,,,,,,,,,
حي/الضفة العربيه تقسيم 4,,,,,,,695000,420,1,,,,,,,,
اوغسطس,,,,,,,695000,420,1,,,,,,,,
حي/الضفة الغربية العزيزية/ 4,15950000,7700,25,3000000,500,1,1950000,476,2,,,,,,,,
يناير,,,,3000000,500,1,,,,,,,,,,,
مارس,,,,,,,1100000,238,1,,,,,,,,
يونيو,,,,,,,850000,238,1,,,,,,,,
يوليو,600000,2400,8,,,,,,,,,,,,,,
اوغسطس,2950000,500,1,,,,,,,,,,,,,,
سبتمبر,400000,2400,8,,,,,,,,,,,,,,
ديسمبر,12000000,2400,8,,,,,,,,,,,,,,
حي/الضفة الغربية بالعزيزية,820000,100,1,10500000,3440,2,,,,,,,,,,,
فبراير,820000,100,1,,,,,,,,,,,,,,
مارس,,,,8500000,990,1,,,,,,,,,,,
اكتوبر,,,,2000000,2450,1,,,,,,,,,,,
حي/الضفة الغربية تقسم 4,1600000,500,1,1000000,380,1,,,,18250000,1976.41,11,,,,,
فبراير,,,,,,,,,,13500000,500,1,,,,,
مارس,,,,,,,,,,3910000,1239.8400000000001,8,,,,,
ابريل,,,,,,,,,,840000,236.57,2,,,,,
اوغسطس,,,,1000000,380,1,,,,,,,,,,,
نوفمبر,1600000,500,1,,,,,,,,,,,,,,
حي/الضفه الشماليه ب بالعزيزيه,,,,,,,,,,20000000,495.4,1,,,,,
مارس,,,,,,,,,,20000000,495.4,1,,,,,
حي/الضيافة المعتمد,50000,792,1,,,,,,,,,,,,,,
يوليو,50000,792,1,,,,,,,,,,,,,,
حي/الضيافة الواقع بامتداد حى الزاهر,3050000,1292.1,2,,,,,,,,,,,,,,
نوفمبر,1500000,646.05,1,,,,,,,,,,,,,,
ديسمبر,1550000,646.05,1,,,,,,,,,,,,,,
حي/الطندباوى,20038233,6879.550000000001,8,10877462,446.1251,4,136374551,9852.910000000002,38,35000000,3268.4,1,,,,,
يناير,,,,,,,,,,35000000,3268.4,1,,,,,
مارس,4815708,221.7,1,,,,,,,,,,,,,,
ابريل,300000,74.68,1,,,,,,,,,,,,,,
مايو,5498000,224.39000000000001,2,,,,43599544,517.21,1,,,,,,,,
يونيو,1885945,182,1,,,,90293617,9146.360000000002,36,,,,,,,,
سبتمبر,,,,2600000,86.1051,1,2481390,189.34,1,,,,,,,,
اكتوبر,2538580,5993.18,2,8277462,360.02,3,,,,,,,,,,,
ديسمبر,5000000,183.6,1,,,,,,,,,,,,,,
حي/الطندباوى بالحفاير ممايلى جرول,,,,,,,2481390,249.8,1,,,,,,,,
يونيو,,,,,,,2481390,249.8,1,,,,,,,,
حي/الطندباوى بالقرب من شارع الحفائر,,,,,,,2481390,132.64,1,,,,,,,,
يونيو,,,,,,,2481390,132.64,1,,,,,,,,
حي/الطندباوى جبل الشراشف,,,,,,,5076142,751.69,2,,,,,,,,
يونيو,,,,,,,5076142,751.69,2,,,,,,,,
حي/الطندباوى حارة الفلاته,5187641,492.21,2,,,,5019461,331.72,2,,,,,,,,
يونيو,,,,,,,5019461,331.72,2,,,,,,,,
يوليو,5187641,492.21,2,,,,,,,,,,,,,,
حي/الطندباوى حارة الفلاته من محلة جرول,,,,,,,2538071,283.65,1,,,,,,,,
يونيو,,,,,,,2538071,283.65,1,,,,,,,,
حي/الطندباوى خلف المطبعة الوطنية,700000,152.75,1,,,,,,,,,,,,,,
نوفمبر,700000,152.75,1,,,,,,,,,,,,,,
حي/الطندباوى خلف شارع المنصور,,,,1159798,124.02,1,2481390,124.02,1,,,,,,,,
يونيو,,,,,,,2481390,124.02,1,,,,,,,,
اكتوبر,,,,1159798,124.02,1,,,,,,,,,,,
حي/الطندباوى شارع الحفاير,,,,,,,2481390,153.77,1,,,,,,,,
يونيو,,,,,,,2481390,153.77,1,,,,,,,,
حي/الطندباوى من محلة جرول,5591477,392.27,2,10300000,570.7578,2,22559234,1814.43,9,,,,,,,,
مايو,,,,6300000,343.83,1,,,,,,,,,,,
يونيو,3091477,234.67,1,,,,22559234,1814.43,9,,,,,,,,
اكتوبر,2500000,157.6,1,,,,,,,,,,,,,,
نوفمبر,,,,4000000,226.9278,1,,,,,,,,,,,
حي/العابدية,80000000,372559.1949,1,,,,,,,,,,,,,,
مايو,80000000,372559.1949,1,,,,,,,,,,,,,,
حي/العتيبية,9710000,1012.49,4,480000,426.54,2,26050000,1370.62,4,,,,,,,,
يناير,,,,,,,25000000,700.33,1,,,,,,,,
فبراير,4000000,486.84,1,80000,306.54,1,400000,89.4,1,,,,,,,,
مارس,500000,129.18,1,,,,,,,,,,,,,,
مايو,5000000,160.89,1,,,,,,,,,,,,,,
يونيو,,,,,,,650000,580.89,2,,,,,,,,
اكتوبر,,,,400000,120,1,,,,,,,,,,,
ديسمبر,210000,235.58,1,,,,,,,,,,,,,,
حي/العتيبية اللصوص,1128748,495.2328,4,701999,338.72,2,870000,311.93,2,985000,265.25,2,,,,,
يناير,196000,25.9628,1,,,,,,,700000,162.57,1,,,,,
فبراير,270000,57.23,1,,,,,,,285000,102.68,1,,,,,
يونيو,,,,,,,100000,93.57,1,,,,,,,,
اكتوبر,,,,351999,164.12,1,,,,,,,,,,,
نوفمبر,,,,,,,770000,218.36,1,,,,,,,,
ديسمبر,662748,412.04,2,350000,174.6,1,,,,,,,,,,,
حي/العتيبية بجرول,,,,,,,,,,2750000,418,1,,,,,
فبراير,,,,,,,,,,2750000,418,1,,,,,
حي/العتيبية شعبة الضبع,50000,130.32,1,,,,,,,,,,,,,,
ابريل,50000,130.32,1,,,,,,,,,,,,,,
حي/العتيبية شعبة المغاربة,,,,24237000,403.95,1,20000,93.69,1,,,,,,,,
سبتمبر,,,,,,,20000,93.69,1,,,,,,,,
اكتوبر,,,,24237000,403.95,1,,,,,,,,,,,
حي/العتيبية محلة جرول,,,,,,,1962500,248.52,1,,,,,,,,
سبتمبر,,,,,,,1962500,248.52,1,,,,,,,,
حي/العتيبية من محلة جرول,,,,5000000,590.57,1,,,,,,,,,,,
مايو,,,,5000000,590.57,1,,,,,,,,,,,
حي/العتيبيه,2689000,1972.5,7,400000,967.0300000000001,4,2260000,456.34000000000003,3,780000,429.63,2,,,,,
يناير,1650000,591.03,3,50000,176.1,1,,,,100000,242.74,1,,,,,
فبراير,600000,133.82,1,,,,,,,,,,,,,,
مارس,,,,,,,,,,680000,186.89,1,,,,,
مايو,99000,123,1,150000,154.4,1,,,,,,,,,,,
يونيو,,,,100000,49.2,1,1500000,263.1,1,,,,,,,,
يوليو,,,,,,,760000,193.24,2,,,,,,,,
اوغسطس,245000,98.4,1,,,,,,,,,,,,,,
اكتوبر,,,,100000,587.33,1,,,,,,,,,,,
نوفمبر,95000,1026.25,1,,,,,,,,,,,,,,
حي/العتيبيه ريع اللصوص,1500000,312.71,1,,,,1050000,625.71,1,,,,,,,,
يناير,1500000,312.71,1,,,,,,,,,,,,,,
نوفمبر,,,,,,,1050000,625.71,1,,,,,,,,
حي/العدل,,,,350000,494,1,,,,,,,,,,,
يونيو,,,,350000,494,1,,,,,,,,,,,
حي/العزيزية,6105000,2291.77,6,12254335,3890.84,3,36540000,15362.02,6,5250000,1905.79,3,,,,,
فبراير,,,,,,,1650000,250.77,1,,,,,,,,
مارس,,,,,,,1000000,1046.47,1,2850000,1155.93,2,,,,,
ابريل,,,,,,,2000000,223.2,1,2400000,749.86,1,,,,,
يونيو,,,,1000000,660.54,1,30000000,13076.68,1,,,,,,,,
اوغسطس,800000,121.28,1,,,,1600000,625,1,,,,,,,,
سبتمبر,100000,229.62,1,,,,290000,139.9,1,,,,,,,,
اكتوبر,2155000,1192.12,2,11254335,3230.3,2,,,,,,,,,,,
نوفمبر,50000,132.75,1,,,,,,,,,,,,,,
ديسمبر,3000000,616,1,,,,,,,,,,,,,,
حي/العزيزية الجهة الشرقية,5033332,403.48400000000004,3,,,,,,,,,,,,,,
يناير,1333332,134.496,1,,,,,,,,,,,,,,
مايو,2000000,134.496,1,,,,,,,,,,,,,,
ديسمبر,1700000,134.492,1,,,,,,,,,,,,,,
حي/العزيزية الشرقية ج,600000,161.62,1,,,,,,,,,,,,,,
مارس,600000,161.62,1,,,,,,,,,,,,,,
حي/العزيزية الشمالية,13593750,2274.8,3,100000,604.245,1,3100000,1070.05,2,,,,,,,,
ابريل,,,,100000,604.245,1,,,,,,,,,,,
يوليو,3500000,624.8,1,,,,,,,,,,,,,,
اوغسطس,10093750,1650,2,,,,1500000,624.8,1,,,,,,,,
اكتوبر,,,,,,,1600000,445.25,1,,,,,,,,
حي/العزيزية الشمالية أ اضافات محبس الجن,,,,,,,3000000,906.5,1,,,,,,,,
يونيو,,,,,,,3000000,906.5,1,,,,,,,,
حي/العزيزية الضفة الشرقية,3672546,1313.8200000000002,7,610000,271.70000000000005,3,2981868,791.8,5,1700000,666.24,3,,,,,
يناير,2262546,667.7600000000001,4,,,,500000,129.28,1,,,,,,,,
فبراير,,,,310000,183.67000000000002,2,,,,1000000,449.54,1,,,,,
مارس,1210000,536.31,1,,,,1031868,168.14999999999998,2,,,,,,,,
ابريل,,,,,,,,,,700000,216.7,2,,,,,
يونيو,,,,300000,88.03,1,,,,,,,,,,,
اكتوبر,,,,,,,700000,366.15,1,,,,,,,,
نوفمبر,200000,109.75,2,,,,750000,128.22,1,,,,,,,,
حي/العزيزية الضفة الشرقية ج,11350000,1883.1799999999998,3,8700000,1933.8700000000001,4,700000,128.22,1,,,,,,,,
يناير,5000000,1299.07,2,,,,,,,,,,,,,,
فبراير,6350000,584.11,1,,,,,,,,,,,,,,
ابريل,,,,600000,485.01,1,,,,,,,,,,,
مايو,,,,600000,134.44,1,,,,,,,,,,,
يونيو,,,,3500000,657.21,1,,,,,,,,,,,
يوليو,,,,,,,700000,128.22,1,,,,,,,,
ديسمبر,,,,4000000,657.21,1,,,,,,,,,,,
حي/العزيزية الضفة الشرقية س د,10000000,1288.85,2,,,,9000000,732.6,1,,,,,,,,
يوليو,,,,,,,9000000,732.6,1,,,,,,,,
اكتوبر,10000000,1288.85,2,,,,,,,,,,,,,,
حي/العزيزية الضفة الشرقية س/ د,7100000,1181.9,2,,,,,,,,,,,,,,
فبراير,100000,126.73,1,,,,,,,,,,,,,,
مايو,7000000,1055.17,1,,,,,,,,,,,,,,
حي/العزيزية الضفة الشرقية/ س د,,,,,,,,,,7000000,550,1,,,,,
ابريل,,,,,,,,,,7000000,550,1,,,,,
حي/العزيزية الضفة الشرقية/ س/ د,100000,482.93,1,,,,,,,,,,,,,,
مارس,100000,482.93,1,,,,,,,,,,,,,,
حي/العزيزية الضفة الشمالية,,,,,,,1260000,425.78,3,3450000,936.4399999999998,9,,,,,
يناير,,,,,,,,,,670000,179.27,2,,,,,
فبراير,,,,,,,,,,2280000,588.1099999999999,6,,,,,
مارس,,,,,,,,,,500000,169.06,1,,,,,
يونيو,,,,,,,910000,300.26,2,,,,,,,,
سبتمبر,,,,,,,350000,125.52,1,,,,,,,,
حي/العزيزية الضفة الشمالية أ,2190000,464.23,3,3673280,1157.12,7,2560500,724.9399999999999,5,8015000,2629.86,12,,,,,
يناير,,,,,,,,,,6282200,2148.17,9,,,,,
فبراير,,,,,,,,,,1732800,481.68999999999994,3,,,,,
ابريل,650000,152.03,1,,,,,,,,,,,,,,
مايو,,,,2583280,849.3499999999999,5,,,,,,,,,,,
يونيو,,,,490000,157.23,1,1782500,478.05,3,,,,,,,,
يوليو,600000,152.03,1,,,,445000,150.54,1,,,,,,,,
اوغسطس,940000,160.17,1,,,,,,,,,,,,,,
اكتوبر,,,,600000,150.54,1,,,,,,,,,,,
نوفمبر,,,,,,,333000,96.35,1,,,,,,,,
حي/العزيزية الضفة الشمالية ب,,,,,,,880000,290.18,2,200000,148.07,1,,,,,
ابريل,,,,,,,,,,200000,148.07,1,,,,,
اوغسطس,,,,,,,780000,156.84,1,,,,,,,,
سبتمبر,,,,,,,100000,133.34,1,,,,,,,,
حي/العزيزية الضفة الغربية,296975201,11009.24,13,120421331,7746.629999999999,30,17200000,1823.65,5,6658000,1143.5900000000001,7,,,,,
يناير,,,,2550000,262.5,1,,,,,,,,,,,
فبراير,,,,2800000,548.6,2,,,,5100000,672.9200000000001,3,,,,,
مارس,,,,21280496,1982.7199999999998,13,16000000,1312.7,1,1558000,470.67,4,,,,,
ابريل,,,,650000,75.42,1,,,,,,,,,,,
مايو,5000000,700,2,845000,102.61,2,,,,,,,,,,,
يونيو,2000000,440,1,1310000,157.7,2,500000,275.37,2,,,,,,,,
يوليو,217639100,6576.66,3,23510000,1208.75,4,,,,,,,,,,,
اوغسطس,,,,64050000,2687.82,1,,,,,,,,,,,
سبتمبر,3000000,297.89,1,2101000,310.51000000000005,3,,,,,,,,,,,
اكتوبر,52958908,1900,4,1324835,410,1,,,,,,,,,,,
نوفمبر,3677193,400,1,,,,200000,119.51,1,,,,,,,,
ديسمبر,12700000,694.69,1,,,,500000,116.07,1,,,,,,,,
حي/العزيزية الضفة الغربية ب,1500000,841.82,1,58270406,3200,1,,,,,,,,,,,
ابريل,1500000,841.82,1,,,,,,,,,,,,,,
ديسمبر,,,,58270406,3200,1,,,,,,,,,,,
حي/العزيزية الضفة الغربية ج,,,,4000000,500,1,,,,,,,,,,,
يوليو,,,,4000000,500,1,,,,,,,,,,,
حي/العزيزية الضفة الغربية ج مخطط الكازينو,13000000,1044,2,,,,,,,,,,,,,,
ابريل,13000000,1044,2,,,,,,,,,,,,,,
حي/العزيزية الضفة الغربية رقم 4,,,,,,,1600000,1150,2,,,,,,,,
اوغسطس,,,,,,,1600000,1150,2,,,,,,,,
حي/العزيزية الضفة الغربيةالمعتمد,,,,,,,800000,100,1,,,,,,,,
يناير,,,,,,,800000,100,1,,,,,,,,
حي/العزيزية الضفه الشرقيه,2256451,629.09,5,,,,,,,,,,,,,,
يناير,2256451,629.09,5,,,,,,,,,,,,,,
حي/العزيزية العام,,,,1230769,1032,1,11100000,1948.2,2,,,,,,,,
مارس,,,,,,,1000000,1228.2,1,,,,,,,,
ابريل,,,,1230769,1032,1,,,,,,,,,,,
يونيو,,,,,,,10100000,720,1,,,,,,,,
حي/العزيزية امتداد الضفة الشرقية س-د اضافات,227505,90.6,1,227505,90.6,1,,,,,,,,,,,
فبراير,227505,90.6,1,,,,,,,,,,,,,,
سبتمبر,,,,227505,90.6,1,,,,,,,,,,,
حي/العزيزية خلف المدرسة,4327700,1110.8400000000001,14,1800000,834.7200000000001,8,,,,,,,,,,,
يناير,770000,155.67000000000002,2,,,,,,,,,,,,,,
مارس,1240000,414.77,4,430000,129.72,2,,,,,,,,,,,
ابريل,310500,76.9,1,,,,,,,,,,,,,,
مايو,960000,181.84,3,200000,53.57,1,,,,,,,,,,,
يونيو,277200,76.46,1,,,,,,,,,,,,,,
يوليو,250000,76.46,1,60000,52.82,1,,,,,,,,,,,
اوغسطس,270000,75.17,1,400000,415.01,1,,,,,,,,,,,
سبتمبر,,,,190000,53.57,1,,,,,,,,,,,
اكتوبر,,,,520000,130.03,2,,,,,,,,,,,
نوفمبر,250000,53.57,1,,,,,,,,,,,,,,
حي/العزيزية خلف المدرسة التكميلى,,,,,,,11816000,2400.1499999999996,32,8056560,1499.24,20,,,,,
يناير,,,,,,,,,,7656560,1361.14,18,,,,,
ابريل,,,,,,,,,,400000,138.1,2,,,,,
ديسمبر,,,,,,,11816000,2400.1499999999996,32,,,,,,,,
حي/العزيزية خلف المدرسة التكميلى المعتمد,3896000,1772.5299999999993,19,3809250,1483.83,16,2780000,838.11,8,550000,129.5,1,,,,,
يناير,148000,148.07,2,684000,319.13,3,,,,,,,,,,,
فبراير,,,,240000,378.59000000000003,4,,,,,,,,,,,
مارس,1029000,531.26,5,,,,,,,,,,,,,,
