,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
يناير,3094240,19339,1,,,,,,,,,,,,,,
مايو,26232000,52464,1,,,,,,,,,,,,,,
حي/413/1,200000,37.5,1,,,,,,,,,,,,,,
يناير,200000,37.5,1,,,,,,,,,,,,,,
حي/461/ 1,,,,,,,,,,450000,1103.86,1,,,,,
فبراير,,,,,,,,,,450000,1103.86,1,,,,,
حي/475/ 1,,,,790000,384.09,1,,,,,,,,,,,
ابريل,,,,790000,384.09,1,,,,,,,,,,,
حي/482/ 1,,,,5742534,41716.74,2,,,,,,,,,,,
فبراير,,,,2742534,20858.37,1,,,,,,,,,,,
يونيو,,,,3000000,20858.37,1,,,,,,,,,,,
حي/499/ 1,1500000,2451.77,1,,,,,,,,,,,,,,
نوفمبر,1500000,2451.77,1,,,,,,,,,,,,,,
حي/582/ 1,1080000,568.9,1,,,,3500000,700,1,,,,,,,,
يناير,1080000,568.9,1,,,,,,,,,,,,,,
يونيو,,,,,,,3500000,700,1,,,,,,,,
حي/61/ 1,1617500,1972.5,4,636573,242.25,1,2791500,750,2,,,,,,,,
فبراير,787500,1575,3,,,,,,,,,,,,,,
مايو,,,,,,,1196500,352.5,1,,,,,,,,
يونيو,,,,636573,242.25,1,,,,,,,,,,,
سبتمبر,830000,397.5,1,,,,,,,,,,,,,,
ديسمبر,,,,,,,1595000,397.5,1,,,,,,,,
حي/64/ 1,,,,,,,,,,1300000,440,1,,,,,
يناير,,,,,,,,,,1300000,440,1,,,,,
حي/65/1,1150000,500,1,,,,,,,,,,,,,,
اكتوبر,1150000,500,1,,,,,,,,,,,,,,
حي/657/ 1,,,,2443937,809.5,2,,,,,,,,,,,
يونيو,,,,1500000,490,1,,,,,,,,,,,
نوفمبر,,,,943937,319.5,1,,,,,,,,,,,
حي/662/ 1,,,,,,,,,,1000000,605,1,,,,,
مارس,,,,,,,,,,1000000,605,1,,,,,
حي/708/ 1,,,,950000,962,1,,,,,,,,,,,
يونيو,,,,950000,962,1,,,,,,,,,,,
حي/739/ 1,,,,,,,3340000,924.27,3,,,,,,,,
يونيو,,,,,,,1040000,256.17,1,,,,,,,,
اوغسطس,,,,,,,850000,256.17,1,,,,,,,,
ديسمبر,,,,,,,1450000,411.93,1,,,,,,,,
حي/75/ 1,,,,,,,560000,425,1,,,,,,,,
ديسمبر,,,,,,,560000,425,1,,,,,,,,
حي/762/ 1,1800000,690,1,,,,,,,,,,,,,,
نوفمبر,1800000,690,1,,,,,,,,,,,,,,
حي/765/ 1,,,,,,,,,,1556550,1729.5,2,,,,,
فبراير,,,,,,,,,,1556550,1729.5,2,,,,,
حي/766/ 1,,,,,,,650000,1048.58,1,,,,,,,,
ديسمبر,,,,,,,650000,1048.58,1,,,,,,,,
حي/77/ 1,,,,551679,295.36,2,,,,,,,,,,,
مارس,,,,391679,143.08,1,,,,,,,,,,,
نوفمبر,,,,160000,152.28,1,,,,,,,,,,,
حي/791/ 1,,,,,,,,,,6850000,1320,2,,,,,
يناير,,,,,,,,,,3400000,660,1,,,,,
فبراير,,,,,,,,,,3450000,660,1,,,,,
حي/8/ 92,200000,226.8,1,,,,,,,,,,,,,,
ديسمبر,200000,226.8,1,,,,,,,,,,,,,,
حي/813/ ش . د,1706390,510.6,1,,,,,,,,,,,,,,
يونيو,1706390,510.6,1,,,,,,,,,,,,,,
حي/826/ ش . د,1329280,454.22,2,470000,262.25,1,,,,1190805,240.54,1,,,,,
يناير,,,,470000,262.25,1,,,,,,,,,,,
فبراير,829280,191.97,1,,,,,,,,,,,,,,
ابريل,,,,,,,,,,1190805,240.54,1,,,,,
مايو,500000,262.25,1,,,,,,,,,,,,,,
حي/834/ 1,140000,119.52,1,580000,1092.68,3,,,,750000,630,1,,,,,
ابريل,,,,,,,,,,750000,630,1,,,,,
يوليو,,,,350000,196.01,1,,,,,,,,,,,
سبتمبر,,,,80000,119.52,1,,,,,,,,,,,
اكتوبر,,,,150000,777.15,1,,,,,,,,,,,
ديسمبر,140000,119.52,1,,,,,,,,,,,,,,
حي/841ش.د,7948000,5041.849999999999,6,20082889,16509.44,18,38284803,46382.71000000001,70,13011583,6839.07,11,,,,,
يناير,750000,570.95,1,2400000,956.36,1,1613622,2452.31,2,6921583,2299.5299999999997,5,,,,,
فبراير,,,,,,,3086000,2333.36,3,1200000,928.54,1,,,,,
مارس,,,,,,,1163944,1817.1799999999998,4,3090000,2560.58,4,,,,,
ابريل,,,,2858908,1919.6,2,,,,1800000,1050.42,1,,,,,
مايو,2518000,1404.05,2,,,,719957,1693.2600000000002,5,,,,,,,,
يونيو,930000,1145.1,1,,,,10244589,17018.980000000003,22,,,,,,,,
يوليو,,,,250000,1129.56,1,2149778,3399,4,,,,,,,,
اوغسطس,2000000,1129.64,1,1600000,641.11,1,1810000,1753.08,3,,,,,,,,
سبتمبر,,,,3724379,3961.56,5,8066039,7390.83,12,,,,,,,,
اكتوبر,,,,5800000,3154.47,4,5943874,5269.51,8,,,,,,,,
نوفمبر,1750000,792.11,1,1649602,2356.5699999999997,2,1712000,2042.77,4,,,,,,,,
ديسمبر,,,,1800000,2390.21,2,1775000,1212.4299999999998,3,,,,,,,,
حي/885 ش.د,1775000,9596.67,7,11034000,27926.13,38,15549400,44190.03,33,7202417,29404.99,20,,,,,
يناير,200000,1875,1,480000,1394.19,2,1528800,3522.15,4,1125500,19119.5,5,,,,,
فبراير,375000,1937.5,1,170000,500,1,1825000,6162.5,5,3920000,7221.5199999999995,10,,,,,
مارس,750000,3750,2,1425000,4743.74,5,,,,1110000,1709.2,3,,,,,
ابريل,,,,1375000,3238.75,5,332000,567.58,1,1046917,1354.77,2,,,,,
مايو,,,,520000,1200,2,1500000,5192.21,1,,,,,,,,
يونيو,,,,,,,1165000,2844.1,3,,,,,,,,
يوليو,,,,410000,1318.12,2,315000,520,1,,,,,,,,
اوغسطس,,,,,,,710000,1606.97,2,,,,,,,,
سبتمبر,150000,547.5,1,2434000,5688.87,5,1010000,2677.5,3,,,,,,,,
اكتوبر,100000,500,1,800000,2020.75,3,2740600,7604.389999999999,5,,,,,,,,
نوفمبر,,,,1695000,3953,7,1137000,2120.13,3,,,,,,,,
ديسمبر,200000,986.67,1,1725000,3868.71,6,3286000,11372.5,5,,,,,,,,
حي/913/ ش.د,761359,480.33,1,1611000,501.6,2,1088000,1034.8,2,411659,365.79,1,,,,,
يناير,,,,,,,588000,314.8,1,,,,,,,,
فبراير,,,,,,,500000,720,1,411659,365.79,1,,,,,
ابريل,,,,650000,303.07,1,,,,,,,,,,,
يونيو,761359,480.33,1,,,,,,,,,,,,,,
نوفمبر,,,,961000,198.53,1,,,,,,,,,,,
حي/934/ ش.د معدل,76588000,52735.13,3,,,,,,,,,,,,,,
ابريل,72588000,47485.13,2,,,,,,,,,,,,,,
اكتوبر,4000000,5250,1,,,,,,,,,,,,,,
حي/947/ ش.د,3381719,2928.5600000000004,3,1822000,1713.15,2,19228359,21935.51,22,1250000,893.8,1,,,,,
فبراير,,,,940000,830.7,1,,,,,,,,,,,
ابريل,945000,893.8,1,,,,,,,1250000,893.8,1,,,,,
يونيو,1146719,992.83,1,,,,893800,893.8,1,,,,,,,,
سبتمبر,,,,,,,1105335,1004.85,1,,,,,,,,
اكتوبر,1290000,1041.93,1,,,,2786148,2321.79,2,,,,,,,,
نوفمبر,,,,882000,882.45,1,3144206,4724.85,5,,,,,,,,
ديسمبر,,,,,,,11298870,12990.22,13,,,,,,,,
حي/أخرى,123151368,101828.43000000001,14,34750000,180078.47999999998,14,34891000,4490500.9,39,76748829,9571983.11,46,,,,,
يناير,410000,418,1,,,,,,,1625000,1000000,5,,,,,
فبراير,7300000,50502,2,790000,825,1,1375000,612.5,1,12083960,3462011,10,,,,,
مارس,,,,2850000,2351.5,3,840000,700,1,22896384,2811640,17,,,,,
ابريل,,,,26300000,121344.98,3,,,,40143485,2298332.1100000003,14,,,,,
مايو,,,,1100000,400,1,,,,,,,,,,,
يونيو,,,,665000,700,1,11300000,150916,5,,,,,,,,
يوليو,,,,1945000,53544,3,600000,400000,2,,,,,,,,
اوغسطس,2000000,1869.64,2,,,,2610000,865420,5,,,,,,,,
سبتمبر,1363500,1350,2,1100000,913,2,1550000,450418,4,,,,,,,,
اكتوبر,,,,,,,2400000,600000,3,,,,,,,,
نوفمبر,110847868,45357.44,3,,,,10057000,1020304.8,8,,,,,,,,
ديسمبر,1230000,2331.35,4,,,,4159000,1002129.6000000001,10,,,,,,,,
