,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
يونيو,,,,,,,8060000,8338.09,11,,,,,,,,
يوليو,,,,1021761,433.08,2,690000,221.57,1,,,,,,,,
اوغسطس,1040902,421.37,2,580000,230.71,1,1173663,474.61,2,,,,,,,,
سبتمبر,,,,1380682,421.76,2,660000,202.86,1,,,,,,,,
اكتوبر,1099116,434.15999999999997,2,,,,,,,,,,,,,,
نوفمبر,1240000,655.3,3,2605000,1475.0700000000002,4,1000000,797.65,1,,,,,,,,
ديسمبر,2376000,1320,2,4950000,3300,3,,,,,,,,,,,
حي/البديع,11058368,5486.45,11,12572588,5714.94,15,46223762,13438.829999999998,25,11619772,3961,9,,,,,
يناير,800000,640.08,1,1525000,1174.5,2,1500000,500,1,4100000,1504,3,,,,,
فبراير,2238866,1334.5,3,1500000,500,1,2457780,1125.49,4,200000,228.7,1,,,,,
مارس,66261,600,1,3155000,1000,2,,,,4760004,1571.3,3,,,,,
ابريل,,,,1500000,686.33,2,1140000,338.51,2,2559768,657,2,,,,,
مايو,925741,495.5,1,,,,1400000,600,1,,,,,,,,
يونيو,,,,,,,9130000,3611.3599999999997,7,,,,,,,,
يوليو,4350000,1227.5,2,850000,500,1,6680978,801.0699999999999,2,,,,,,,,
اوغسطس,,,,532000,188.08,1,18855000,4790,5,,,,,,,,
سبتمبر,1392000,574.24,2,1020588,688.08,2,,,,,,,,,,,
اكتوبر,1285500,614.63,1,240000,125,1,1550000,500,1,,,,,,,,
نوفمبر,,,,600000,199.68,1,,,,,,,,,,,
ديسمبر,,,,1650000,653.27,2,3510004,1172.4,2,,,,,,,,
حي/الترجى,,,,,,,754591,425,1,,,,,,,,
سبتمبر,,,,,,,754591,425,1,,,,,,,,
حي/الترجى بالظهران,17656584,6830.870000000001,16,14219993,4210.910000000001,9,40140159,11638.86,34,4489060,1611.5500000000002,3,,,,,
يناير,1700000,707,1,,,,1763066,1364.5,2,,,,,,,,
فبراير,,,,,,,1875000,701.63,2,1000000,218.87,1,,,,,
مارس,1400000,225.35,1,1400000,691.57,1,,,,3489060,1392.68,2,,,,,
ابريل,1116677,500,1,,,,850000,202.09,1,,,,,,,,
مايو,1613320,256.08,1,1260188,471.28,1,700000,200.48,1,,,,,,,,
يونيو,,,,2100000,1090.02,1,26643390,5771,21,,,,,,,,
يوليو,2234408,1077.2800000000002,3,,,,,,,,,,,,,,
اوغسطس,,,,,,,1712427,916.08,1,,,,,,,,
سبتمبر,1350000,1294.76,3,973526,220.74,1,2253552,780.72,2,,,,,,,,
اكتوبر,5802179,2375.6800000000003,4,4500000,968.64,2,,,,,,,,,,,
ديسمبر,2440000,394.72,2,3986279,768.6600000000001,3,4342724,1702.3600000000001,4,,,,,,,,
حي/الجامعة,35414000,11515.32,45,16290501,6142.58,23,19253349,10894.390000000001,21,27505369,9747.380000000001,21,,,,,
يناير,2200000,949.69,3,775000,231.18,1,250000,134.84,1,6354313,2188.54,4,,,,,
فبراير,6350000,1325.52,4,690000,184.69,1,2070000,1295,3,2739000,1011.1800000000001,2,,,,,
مارس,7410000,3094.62,11,1210000,333.19,2,2142000,1260,2,14580945,4505.45,8,,,,,
ابريل,4960000,1374.01,9,4355000,1809.38,8,,,,3831111,2042.2099999999998,7,,,,,
مايو,4100000,1703.26,4,,,,1100000,509.83,1,,,,,,,,
يونيو,700000,184.69,1,690000,184.69,1,4512000,2173.7799999999997,5,,,,,,,,
يوليو,2550000,678.5,4,690000,184.69,1,400000,130.83,1,,,,,,,,
اوغسطس,2300000,709.4,2,,,,1125369,820.8000000000001,3,,,,,,,,
سبتمبر,590000,186.62,1,3525000,1155.8700000000001,3,745000,184.69,1,,,,,,,,
اكتوبر,650000,165,1,1200000,467.64,2,4150000,3048.7200000000003,2,,,,,,,,
نوفمبر,1040000,324.16999999999996,2,2045501,991.25,3,,,,,,,,,,,
ديسمبر,2564000,819.8399999999999,3,1110000,600,1,2758980,1335.9,2,,,,,,,,
حي/الجامعيين,26043179,15889.51,18,12012500,5691,7,17220688,10451.95,12,8035232,5479.4,6,,,,,
يناير,9625000,3847.42,5,,,,1700000,910,1,2625000,1820,2,,,,,
فبراير,,,,200000,840,1,2400000,1732.5,2,2810232,1839.4,2,,,,,
مارس,1610000,1239.18,1,,,,699999,822.55,1,2600000,1820,2,,,,,
ابريل,,,,4312500,1601,2,3320000,1786.9,2,,,,,,,,
مايو,1600000,1312.5,2,,,,,,,,,,,,,,
يونيو,,,,,,,2230000,840,1,,,,,,,,
يوليو,2289179,1927.19,2,2300000,840,1,,,,,,,,,,,
اوغسطس,1600000,1785,2,,,,1825000,840,1,,,,,,,,
سبتمبر,3600000,2159.15,2,,,,3170689,1805,2,,,,,,,,
اكتوبر,2919000,1851.5700000000002,2,2900000,1000,1,175000,875,1,,,,,,,,
نوفمبر,2800000,1767.5,2,2300000,1410,2,1700000,840,1,,,,,,,,
حي/الجلوية,49358711,30760.33,50,56055601,38417.305,61,101378066,64723.33,81,44609806,24164.92,38,,,,,
يناير,12760000,5562.48,9,2997000,1999.46,4,3650000,2137.8,5,7720000,4187.5,8,,,,,
فبراير,4207384,2988.7700000000004,5,4250166,3410.82,6,11711600,6856.8,12,14040000,8591.09,9,,,,,
مارس,4152913,2532,5,1120000,1162.03,3,3750000,1100,2,14638806,7671.8,14,,,,,
ابريل,3500000,2225,4,1963135,1000,2,400000,600,1,8211000,3714.5299999999997,7,,,,,
مايو,1500000,475,1,4548500,2986.66,6,,,,,,,,,,,
يونيو,701200,500,1,1300000,1120.5,1,2855000,2385.92,6,,,,,,,,
يوليو,655563,255.54,2,14208498,9623.04,6,21428331,8266.5,6,,,,,,,,
اوغسطس,909737,1000,2,4170000,2908.25,5,26347752,18445.36,4,,,,,,,,
سبتمبر,1686957,1100,2,1682202,1044.5,2,5132984,4550.360000000001,9,,,,,,,,
اكتوبر,5160210,3011,5,7341100,6315,12,5348236,7766.26,13,,,,,,,,
نوفمبر,10800000,9123.04,10,2415000,1759.3,3,6670000,4459.59,8,,,,,,,,
ديسمبر,3324747,1987.5,4,10060000,5087.745,11,14084163,8154.74,15,,,,,,,,
حي/الجوهرة,36824141,14076.57,53,39302462,17928,56,49123557,19586.73,70,25858664,9519.579999999998,23,,,,,
يناير,4894086,1617.0800000000002,9,1510000,644.81,3,2476500,801.76,5,8777500,2586.2,3,,,,,
فبراير,3513863,1566.2199999999998,5,3082603,1066.31,4,3380000,1273.1999999999998,6,7541000,3339.5199999999995,11,,,,,
مارس,4767250,2394.69,6,5219400,2514.5499999999997,6,1847614,715.66,4,4935264,1964.3600000000001,7,,,,,
ابريل,1955000,956.39,5,1720000,946.3499999999999,3,933350,329.75,2,4604900,1629.5,2,,,,,
مايو,1925000,760.3,3,4997864,1672.23,5,2307991,798.5,4,,,,,,,,
يونيو,450000,165.16,1,2644729,1422.6000000000001,4,9951871,4802.16,11,,,,,,,,
يوليو,1050400,394.12,2,600000,191.36,1,3091652,1497.0600000000002,9,,,,,,,,
اوغسطس,2400000,1065.1399999999999,2,4350000,3140.5600000000004,5,2307670,987.81,5,,,,,,,,
سبتمبر,2132656,865.37,5,1401247,523.37,2,4611560,1948.58,6,,,,,,,,
اكتوبر,3121309,999.81,5,3020000,1260.17,6,2494000,1181.32,6,,,,,,,,
نوفمبر,8133510,2301.43,5,2868715,1215.5099999999998,7,14411349,4738.73,8,,,,,,,,
ديسمبر,2481067,990.8599999999999,5,7887904,3330.1800000000003,10,1310000,512.2,4,,,,,,,,
حي/الحسام,75000000,4800,1,,,,1150000,1255.88,2,,,,,,,,
فبراير,75000000,4800,1,,,,,,,,,,,,,,
مارس,,,,,,,350000,554.6,1,,,,,,,,
سبتمبر,,,,,,,800000,701.28,1,,,,,,,,
حي/الحمراء,45667378,37888.340000000004,17,37243583,27748.709999999995,24,48711101,26405.989999999998,33,9482988,5570.25,7,,,,,
يناير,1300000,560,1,4370780,2275,3,3900000,2725,4,151848,500,1,,,,,
فبراير,7478000,2127,1,11932500,7955,1,7588000,4744.73,6,7131140,4070.25,4,,,,,
مارس,7653000,14839,4,6157225,4743.66,3,,,,1200000,500,1,,,,,
ابريل,1565128,802.36,2,2780209,1040.62,2,,,,1000000,500,1,,,,,
مايو,,,,1000000,500,1,,,,,,,,,,,
يونيو,,,,392493,518.18,1,14873890,5821.43,5,,,,,,,,
يوليو,,,,1475001,500,1,8238050,3692,5,,,,,,,,
اوغسطس,21926250,14617.5,1,1400000,687.5,1,4000000,3062,2,,,,,,,,
سبتمبر,1050000,500,1,2611392,1407.6,3,761161,1387.5,2,,,,,,,,
اكتوبر,500000,1040.98,2,339063,975,1,5150000,2595.5,4,,,,,,,,
نوفمبر,2550000,1125,2,2396395,5907.78,5,3250000,1877.83,4,,,,,,,,
ديسمبر,1645000,2276.5,3,2388525,1238.37,2,950000,500,1,,,,,,,,
حي/الخالدية,,,,,,,9300000,3000,1,,,,,,,,
يناير,,,,,,,9300000,3000,1,,,,,,,,
حي/الخالدية الجنوبية,78864211,35934.71,14,206464016,95433.73999999999,31,48130000,27131.83,10,11357375,4592.805,5,,,,,
يناير,1000000,375,1,69865900,29034.43,9,,,,1759875,371.92,1,,,,,
فبراير,,,,495372,320,1,950000,605.6,2,380000,300,1,,,,,
مارس,5000000,2350,1,,,,17550000,7676.2,2,9217500,3920.885,3,,,,,
مايو,17400000,10174.6,2,,,,,,,,,,,,,,
يونيو,,,,693565,300,1,23710000,15625.03,3,,,,,,,,
يوليو,1432000,300,1,60150000,25256.6,4,,,,,,,,,,,
اوغسطس,,,,21420000,14200,6,,,,,,,,,,,
سبتمبر,,,,30489179,16513.07,8,,,,,,,,,,,
اكتوبر,5600000,5250,2,,,,3250000,2625,1,,,,,,,,
نوفمبر,6150000,3053.66,2,,,,670000,300,1,,,,,,,,
ديسمبر,42282211,14431.45,5,23350000,9809.64,2,2000000,300,1,,,,,,,,
حي/الخالدية الجنوبية2,,,,,,,,,,6450000,4200,1,,,,,
فبراير,,,,,,,,,,6450000,4200,1,,,,,
حي/الخالدية الشمالية,100135592,42262.2,34,136385343,124051.70000000001,50,37358337,15444.76,39,11583866,5599.9,13,,,,,
يناير,,,,4600820,1396.5,6,2261200,1040,3,2917727,1045.0900000000001,2,,,,,
فبراير,780000,200,1,1579202,430,2,6198103,4461.33,5,1950000,1020,3,,,,,
مارس,53773000,18049.59,4,17436339,24652.96,9,1080000,400,2,,,,,,,,
ابريل,1717000,395.5,1,32352000,35264,10,,,,6716139,3534.81,8,,,,,
مايو,815262,200,1,22976993,16120.87,4,4305000,2000,6,,,,,,,,
يونيو,,,,3865691,1599.37,5,3818554,800,4,,,,,,,,
يوليو,6000000,5830.02,1,904905,395.5,1,1444000,640,2,,,,,,,,
اوغسطس,9580000,2692,12,,,,3266430,820,4,,,,,,,,
سبتمبر,3237830,1085.0900000000001,3,2316793,1260,4,3076803,800,4,,,,,,,,
اكتوبر,675000,200,1,4375000,1195.5,5,7103749,2293.43,5,,,,,,,,
نوفمبر,2860000,810,4,8187650,6961.5,2,,,,,,,,,,,
ديسمبر,20697500,12800,6,37789950,34775.5,2,4804498,2190,4,,,,,,,,
حي/الخالديه,,,,20412000,24300,1,,,,24300000,24300,1,,,,,
فبراير,,,,,,,,,,24300000,24300,1,,,,,
يوليو,,,,20412000,24300,1,,,,,,,,,,,
حي/الخضرية,22542404,17841.750000000004,15,38839495,27513.670000000006,22,23763740,14753.975,14,37080231,18079.46,18,,,,,
يناير,,,,631662,1250,2,350000,143.28,1,675000,727.17,1,,,,,
فبراير,,,,6235000,3006.2,2,3600000,2466.7200000000003,2,3000000,2114.12,3,,,,,
مارس,5400000,4429.46,3,5620000,2305,4,,,,26305231,11925.81,10,,,,,
ابريل,854400,2136,1,1725000,1190.5,2,1200000,600,1,7100000,3312.3599999999997,4,,,,,
مايو,,,,12439000,5038.05,4,5233000,3535.4,3,,,,,,,,
يونيو,,,,600000,919.4,1,6500000,3579.055,4,,,,,,,,
يوليو,1500000,4243.9,3,3456200,2273,2,1100000,625,1,,,,,,,,
اوغسطس,4645504,1596.96,2,,,,,,,,,,,,,,
سبتمبر,,,,2219340,1109.67,1,,,,,,,,,,,
اكتوبر,1517500,1009.7399999999999,2,,,,5780740,3804.52,2,,,,,,,,
نوفمبر,1975000,1269.1,1,5740293,9939.85,3,,,,,,,,,,,
ديسمبر,6650000,3156.59,3,173000,482,1,,,,,,,,,,,
حي/الخليج,14922432,5087.639999999999,27,9181109,6740.920000000001,28,8917000,4770.24,22,8674991,3557.0950000000003,14,,,,,
يناير,4009040,876.99,5,804500,628.8,4,750000,323.7,2,2224990,1626.1000000000001,5,,,,,
فبراير,,,,1690000,899.2600000000001,5,280000,162.61,1,560000,630.1800000000001,4,,,,,
مارس,2360000,837.7500000000001,5,,,,990000,1184.36,3,1830000,812.975,3,,,,,
ابريل,1580000,487.84000000000003,2,410000,411.17,2,300000,87.1,1,4060001,487.84000000000003,2,,,,,
مايو,3626000,781.19,4,700000,325.22,1,350000,325.22,1,,,,,,,,
يونيو,,,,500000,325.22,1,,,,,,,,,,,
يوليو,799000,594.51,3,618500,219.46,1,895000,443.43000000000006,4,,,,,,,,
اوغسطس,139392,162.61,1,315000,284.83000000000004,3,2538000,761.0500000000001,3,,,,,,,,
سبتمبر,1300000,613.31,2,130000,94.14,1,154000,81.31,1,,,,,,,,
اكتوبر,145000,163.43,2,687700,219.46,1,130000,100.94,1,,,,,,,,
نوفمبر,200000,81.23,1,2595409,2682.92,7,1380000,794.76,3,,,,,,,,
ديسمبر,764000,488.78,2,730000,650.44,2,1150000,505.76,2,,,,,,,,
حي/الدانة الشمالية,,,,2134500,733.43,1,1700000,556.69,1,,,,,,,,
يناير,,,,2134500,733.43,1,,,,,,,,,,,
سبتمبر,,,,,,,1700000,556.69,1,,,,,,,,
حي/الدانه,612922,240.3,1,,,,,,,,,,,,,,
اكتوبر,612922,240.3,1,,,,,,,,,,,,,,
حي/الدمام,12258500,525066.74,14,,,,17036000,1335000,23,24147500,5100000,7,,,,,
يناير,1037500,50000,1,,,,,,,,,,,,,,
فبراير,513000,12733.369999999999,2,,,,,,,22480000,2040000,3,,,,,
مارس,793000,184833.37,2,,,,,,,1000000,2000000,2,,,,,
ابريل,,,,,,,,,,667500,1060000,2,,,,,
مايو,5255000,150000,4,,,,,,,,,,,,,,
يونيو,2000000,62500,1,,,,10500000,15000,1,,,,,,,,
يوليو,2510000,60000,3,,,,3495000,660000,11,,,,,,,,
اوغسطس,,,,,,,1500000,300000,5,,,,,,,,
سبتمبر,,,,,,,481000,120000,2,,,,,,,,
اكتوبر,150000,5000,1,,,,,,,,,,,,,,
نوفمبر,,,,,,,360000,120000,2,,,,,,,,
ديسمبر,,,,,,,700000,120000,2,,,,,,,,
حي/الدواسر,6183333,1153.5767,9,10137068,2847.8199999999997,16,3602759,803.6100000000001,6,6635434,953.6500000000001,4,,,,,
يناير,100000,101.97,1,5300000,361.62,2,,,,1000000,226.2,1,,,,,
فبراير,115000,38.02,1,2150000,665.56,3,,,,,,,,,,,
مارس,175000,249.91,2,1080000,374.98,2,,,,3835434,301.51,2,,,,,
ابريل,120000,103.58,1,,,,,,,1800000,425.94,1,,,,,
مايو,1500000,111.42,1,595000,311.98,2,,,,,,,,,,,
يونيو,,,,350000,108.16,2,1438215,323.44,3,,,,,,,,
يوليو,,,,100000,166.86,1,1139544,99.96,1,,,,,,,,
سبتمبر,3000000,363.85,1,200000,230.66,2,125000,251.94,1,,,,,,,,
نوفمبر,640000,135.43,1,262068,599.15,1,,,,,,,,,,,
ديسمبر,533333,49.3967,1,100000,28.85,1,900000,128.27,1,,,,,,,,
حي/الدوحة الجنوبية,88908133,21081.249999999996,53,71010395,17969.995,94,53728870,15514.884999999998,38,12829972,4800.3,12,,,,,
يناير,,,,4968326,1945.21,6,,,,,,,,,,,
فبراير,1132000,259.81,2,1983750,546.74,3,1839200,391.65999999999997,3,4625367,1103.6499999999999,5,,,,,
مارس,3066500,483.48,4,6895213,1938.8799999999999,10,520000,75.31,1,7204605,2593.1300000000006,6,,,,,
ابريل,740000,222.82,1,6393500,1400.1,9,4150000,1291.28,2,1000000,1103.52,1,,,,,
مايو,4330000,1196.99,5,14618401,3163.415,22,,,,,,,,,,,
يونيو,800000,493.15,1,1569429,438.8,2,11347000,2882.305,7,,,,,,,,
يوليو,,,,2653025,509.81,4,6235450,1405.13,7,,,,,,,,
اوغسطس,29651500,3484.4500000000007,12,4372362,1490.76,9,3745764,1448.07,6,,,,,,,,
سبتمبر,6100233,1861.31,10,15259361,3760.0299999999997,18,827456,654.03,2,,,,,,,,
اكتوبر,7056000,2435.7799999999997,9,2513435,893.04,4,5045000,1199.8,3,,,,,,,,
نوفمبر,30043150,7819.59,3,3463593,748.4,4,17350000,5565.28,4,,,,,,,,
ديسمبر,5988750,2823.87,6,6320000,1134.81,3,2669000,602.02,3,,,,,,,,
حي/الدوحة الشرقية,,,,9207879,3341.6,5,13124000,7486.77,8,3957525,2236.5,2,,,,,
يناير,,,,,,,3040000,2663.42,2,2040000,1200,1,,,,,
فبراير,,,,,,,3039000,1598.35,2,,,,,,,,
مارس,,,,,,,3060000,1800,2,1917525,1036.5,1,,,,,
يونيو,,,,3350000,1425,2,1785000,1050,1,,,,,,,,
يوليو,,,,3357879,1166.6,2,,,,,,,,,,,
ديسمبر,,,,2500000,750,1,2200000,375,1,,,,,,,,
حي/الدوحة الشمالية,30537816,18223.75,24,6377000,2912.12,4,42049724,25845.719999999998,8,6773000,3187.04,4,,,,,
يناير,4923931,2896.4300000000003,3,1497000,880.62,1,,,,,,,,,,,
فبراير,1253345,719.28,1,,,,,,,1438000,719,1,,,,,
مارس,2492776,1438.28,2,,,,3460598,1772.15,2,5335000,2468.04,3,,,,,
ابريل,2332305,1433.06,2,,,,,,,,,,,,,,
مايو,5393353,2467.5299999999997,3,,,,,,,,,,,,,,
يونيو,4752000,2880,4,,,,1883760,1494,2,,,,,,,,
يوليو,1174556,1142.17,2,3400000,1594,2,507000,775,1,,,,,,,,
اوغسطس,,,,,,,1198366,496.76,1,,,,,,,,
سبتمبر,1150400,719,1,,,,,,,,,,,,,,
اكتوبر,4033500,2934,4,,,,35000000,21307.809999999998,2,,,,,,,,
نوفمبر,3031650,1594,2,,,,,,,,,,,,,,
ديسمبر,,,,1480000,437.5,1,,,,,,,,,,,
حي/الرابية,,,,100000,193.04,1,700000,697.44,1,,,,,,,,
سبتمبر,,,,100000,193.04,1,,,,,,,,,,,
نوفمبر,,,,,,,700000,697.44,1,,,,,,,,
حي/الراكة  الشمالية,15550793,11163.2,9,38481796,21079.43,36,39398851,23448.979999999996,39,18809474,10349.210000000001,20,,,,,
يناير,,,,,,,3560972,2106.37,4,1570000,413.31,2,,,,,
فبراير,,,,6224328,4086.82,7,2350200,1678.92,3,1455000,395.76,2,,,,,
مارس,11585193,8502.33,6,8801950,4595.5,9,800000,527.72,1,14292974,9135.720000000001,14,,,,,
ابريل,,,,1443475,995.5,2,,,,1491500,404.42,2,,,,,
مايو,3815600,2042,2,4275000,2000,4,,,,,,,,,,,
يونيو,,,,3176950,2191,4,2000000,575.32,1,,,,,,,,
يوليو,150000,618.87,1,2550000,1500,3,,,,,,,,,,,
اوغسطس,,,,3477150,1987.5,4,,,,,,,,,,,
سبتمبر,,,,1050000,540,1,6752768,4323.84,8,,,,,,,,
اكتوبر,,,,,,,11375087,6390.24,9,,,,,,,,
نوفمبر,,,,,,,7861772,4874.99,8,,,,,,,,
ديسمبر,,,,7482943,3183.11,2,4698052,2971.58,5,,,,,,,,
حي/الراكة الجنوبية,,,,,,,6600000,1995.5,4,4600000,995.5,2,,,,,
يناير,,,,,,,2100000,500,1,,,,,,,,
فبراير,,,,,,,4500000,1495.5,3,4600000,995.5,2,,,,,
حي/الراكة الشمالية,94902377,26916.5,14,30759573,22030.11,28,46893001,22387.78,40,14294150,6959.76,16,,,,,
يناير,779362,378.77,2,,,,,,,1100000,464.57,5,,,,,
فبراير,5180000,1833.2,3,4755601,3747.16,5,9850000,3371.54,6,2190000,1109.8,2,,,,,
مارس,4439500,1116.8,1,1545000,793,2,1467000,1275,2,6154150,4346.67,7,,,,,
ابريل,,,,1639075,1234.8,2,,,,4850000,1038.72,2,,,,,
مايو,,,,9599897,10601.32,8,,,,,,,,,,,
يونيو,,,,545000,395.5,1,17144600,7757.5,15,,,,,,,,
يوليو,5630000,1355.32,2,,,,1330000,861.71,2,,,,,,,,
اوغسطس,,,,2100000,630,1,3898376,2325.88,3,,,,,,,,
سبتمبر,,,,,,,2338775,1494.35,3,,,,,,,,
اكتوبر,,,,3205000,2138.56,3,4370360,1918.5,3,,,,,,,,
نوفمبر,75073515,21113.5,3,3220000,1494.77,4,3560000,1344.04,4,,,,,,,,
ديسمبر,3800000,1118.9099999999999,3,4150000,995,2,2933890,2039.26,2,,,,,,,,
حي/الربوه بالظهران,1546000,780,1,,,,1497011,780,1,,,,,,,,
مارس,1546000,780,1,,,,,,,,,,,,,,
يوليو,,,,,,,1497011,780,1,,,,,,,,
حي/الربيع,6180111,1567.8000000000002,6,2149120,487.83000000000004,2,21979121,8473.499999999998,32,5740000,1928,5,,,,,
يناير,,,,,,,,,,500000,325.22,1,,,,,
فبراير,,,,,,,12000000,1300.88,1,5240000,1602.78,4,,,,,
مارس,,,,249120,162.61,1,,,,,,,,,,,
ابريل,450000,162.62,1,,,,,,,,,,,,,,
يونيو,,,,,,,300000,189.64999999999998,2,,,,,,,,
يوليو,1164789,325.22,1,,,,,,,,,,,,,,
اوغسطس,1550000,325.22,1,,,,,,,,,,,,,,
سبتمبر,416004,104.3,1,,,,8399998,4973.58,24,,,,,,,,
اكتوبر,,,,,,,200000,1210.04,4,,,,,,,,
نوفمبر,2599318,650.44,2,,,,,,,,,,,,,,
ديسمبر,,,,1900000,325.22,1,1079123,799.35,1,,,,,,,,
حي/الروضة,32701049,19367.73,41,41245208,24245.099999999995,42,27623977,16304.070000000002,34,10034037,6927.41,15,,,,,
يناير,3100000,1892.38,2,610985,227.91,1,4510000,2923.4,6,3500000,2621.26,5,,,,,
فبراير,1380170,1075,2,3868000,3690.84,8,1370000,711.7,2,2080837,1170.02,3,,,,,
مارس,3666895,3170.8300000000004,6,8364100,3762.5599999999995,7,10047000,3257.96,3,3103200,2185,4,,,,,
ابريل,6156965,2556.0299999999997,8,3279500,1927.5,4,800000,500,1,1350000,951.13,3,,,,,
مايو,515000,236.72,1,3599061,1486.72,3,950000,400,1,,,,,,,,
يونيو,524309,182.5,1,2762368,1466.63,4,2750000,2265.2,5,,,,,,,,
يوليو,2656000,1236.35,3,50000,1000,1,800000,221.92,1,,,,,,,,
اوغسطس,1920000,1009.87,3,420000,375,1,2110823,1053.36,4,,,,,,,,
سبتمبر,2216510,900,2,2962900,1832.35,4,2035154,1697.68,4,,,,,,,,
اكتوبر,4625200,3393.38,5,780000,368.09000000000003,2,936000,950,2,,,,,,,,
نوفمبر,3700000,1955.98,5,11921494,6602.5,4,1085000,972.85,3,,,,,,,,
ديسمبر,2240000,1758.69,3,2626800,1505,3,230000,1350,2,,,,,,,,
حي/الريان,121058581,33761.03,21,11305412,4996.98,12,16241362,8337.79,12,3550000,1214,2,,,,,
يناير,2000000,900,1,340000,140.13,1,,,,,,,,,,,
فبراير,18000000,3688.2,4,1617000,770,1,,,,,,,,,,,
مارس,100000,440,1,1118000,669.65,2,1500000,696.5,1,3550000,1214,2,,,,,
ابريل,4180794,1999.75,4,700000,325,1,,,,,,,,,,,
مايو,3650000,1257,3,,,,755000,225.71,1,,,,,,,,
يونيو,,,,,,,3396289,2718.94,4,,,,,,,,
يوليو,27350000,5730.16,2,1500000,408.48,1,,,,,,,,,,,
اوغسطس,64521000,19226.29,4,,,,963000,802.5,1,,,,,,,,
سبتمبر,,,,1401312,789,2,3572431,923.63,2,,,,,,,,
اكتوبر,,,,3129100,946.47,2,2073392,1220.51,2,,,,,,,,
نوفمبر,790000,379.5,1,,,,3981250,1750,1,,,,,,,,
ديسمبر,466787,140.13,1,1500000,948.25,2,,,,,,,,,,,
حي/الزهور,78408270,26376.82,47,192261811,36176.79,43,32872713,16596.769999999997,34,34794976,16799.27,32,,,,,
يناير,2200000,2348.1099999999997,3,380000,175.06,1,3890000,2485.4100000000003,6,8150895,2925.3299999999995,8,,,,,
فبراير,1690000,741.4,2,13345150,5783.76,13,5401000,2777.75,5,17780800,7901.26,10,,,,,
مارس,2349355,636.3,2,2448000,934.24,3,980000,629.21,2,6718281,4756.05,9,,,,,
ابريل,3550000,1625.73,4,1256215,595.8299999999999,3,1700000,570,1,2145000,1216.63,5,,,,,
مايو,16682923,5321.91,7,2981500,1618.6,5,688437,625.5,1,,,,,,,,
يونيو,180000,143.38,1,,,,3420000,1668.55,4,,,,,,,,
يوليو,28495656,6961.450000000001,9,23225000,1475,1,190000,95.85,1,,,,,,,,
اوغسطس,1954250,718.35,2,280000,95.85,1,4005349,1294.5,3,,,,,,,,
سبتمبر,3821086,2362.95,5,3800000,1731.37,4,5231927,2174.21,3,,,,,,,,
اكتوبر,5195000,2021.1299999999999,5,2771000,1267.07,3,950000,750,1,,,,,,,,
نوفمبر,8320000,2253.81,4,2850000,1534.25,3,3014000,1683.5,3,,,,,,,,
ديسمبر,3970000,1242.3,3,138924946,20965.760000000002,6,3402000,1842.29,4,,,,,,,,
حي/السلام,23660997,5632.85,7,27843866,8721.96,17,66555030,21011.65,8,6281740,1997.44,4,,,,,
يناير,150000,441.89,3,2250000,600,1,197926,231.95,1,781740,231.52,1,,,,,
فبراير,,,,645000,131.36,1,,,,5100000,1599.9,2,,,,,
مارس,1130000,403.56,1,200000,131.36,1,2500000,600,1,,,,,,,,
ابريل,,,,4775000,1838.02,3,,,,400000,166.02,1,,,,,
مايو,,,,1242479,579.97,3,,,,,,,,,,,
يونيو,,,,500000,178.75,1,1000000,750,1,,,,,,,,
يوليو,19050997,3830.8,1,840000,303.99,2,,,,,,,,,,,
اوغسطس,,,,,,,970000,580.15,2,,,,,,,,
سبتمبر,,,,250000,174.53,1,,,,,,,,,,,
اكتوبر,330000,176.6,1,1500000,600,1,,,,,,,,,,,
نوفمبر,3000000,780,1,15282197,4007.3900000000003,2,,,,,,,,,,,
ديسمبر,,,,359190,176.59,1,61887104,18849.55,3,,,,,,,,
حي/السوق,9903742,1300.6699999999998,5,2010000,492.69,3,8139192,653.69,6,3730000,511.23,8,,,,,
يناير,2178742,325.22,1,,,,,,,,,,,,,,
فبراير,,,,,,,2000000,150.66,1,,,,,,,,
مارس,,,,,,,,,,3730000,511.23,8,,,,,
مايو,,,,1800000,325.22,1,,,,,,,,,,,
يونيو,,,,,,,4390000,158.31,1,,,,,,,,
يوليو,3000000,301.9,1,,,,,,,,,,,,,,
اوغسطس,,,,200000,67.14,1,,,,,,,,,,,
سبتمبر,3000000,325.22,1,10000,100.33,1,1055000,162.61,1,,,,,,,,
اكتوبر,,,,,,,194192,101.01,1,,,,,,,,
نوفمبر,400000,23.11,1,,,,250000,66.06,1,,,,,,,,
