المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/09,30616003
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/09,30616230
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/12,30702885
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/13,30712721
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/21,30902168
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/22,30935660
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/08/06,31263287
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/08/12,31384693
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/08/18,31509454
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/08/20,31556277
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/09/03,31856758
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/07,31914769
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/15,32084634
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/17,32126885
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/22,32206225
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/09/30,32372074
