,,,,,
,,,,,
,,,,,
,المتوسط السنوي للرقم القياسي العام والأقسام والمجموعات والفصول,,,,
,"Annual Average of General Index & Divis,Groups & Classes",,,,
,جدول 10-5, ( 2007 = 100 ),,,Table10-5
,الرقــم القـياسـى الـعــــام,المتوسط السنوى للرقم القياسى لعام,,نسبة التغير بين عام 2012 و 2013,General index and 
,سلع منزلية غير معمرة,113.7,119.1,4.8,Non-durable household goods
,الخدمات المنزلية والأسرية,145.1,155.1,6.9,Domestic & household services
,الصحة,105.6,109,3.2,HEALTH
,المنتجات والأجهزة والمعدات الطبية,101.4,108.5,7,MEDICAL PRODUCTS & EQUIPMENT
,المنتجات الصيدلانية,102,112.1,9.9,Pharmaceutical products
,منتجات طبية اخرى,113.8,120.8,6.2,Other medical products
,الاجهزة والمعدات العلاجية,98.2,99.8,1.7,Therapeutic appliances and equipment
,خدمات المرضى,105.8,106.4,0.6,OUTPATIENT SERVICES
,الخدمات الطبية,111.9,112.8,0.8,Medical services
,خدمات طب الأسنان,101.4,101,-0.4,Dental Services
,الخدمات شبه الطبية,103.1,105.5,2.4,Paramedical services
,خدمات المستشفيات,112.9,115.3,2.1,HOSPITAL SERVICES
,خدمات المستشفيات,112.9,115.3,2.1,Hospital services
,النقل,108.3,111,2.5,TRANSPORT
,مشتريات المركبات,102.5,104.7,2.1,PURCHASE OF VEHICLES
,سيارات ,102.5,104.6,2.1,Motor cars
,درجات نارية,94.8,109.1,15,Motor cycles
,درجات هؤائية,109.7,118.7,8.2,Bicycles
,تشغيل معدات النقل الشخصية,111.1,112.4,1.2,OPERATION OF TRANSPORT EQUIPMENT
,قطع غيار معدات النقل الشخصية,140.1,136,-2.9,Spare parts for transport equipment
,وقود وزيوت لمعدات النقل الشخصية,99.9,99.7,-0.2,Fuels & lubricants for transport equipment
,إصلاح معدات النقل الشخصية,111.4,116.1,4.2,Maintenance transport equipment
,خدمات أخرى بمعدات النقل الشخصية,99.2,103.2,4,Other services transport equipment
,خدمات النقل ,124,135.3,9.1,TRANSPORT SERVICES
,نقل الركاب بالسكك الحديدية,100.8,100.8,0,Passenger transport by railway
,نقل الركاب برا ,108.5,115.4,6.4,Passenger transport by road
,نقل الركاب جوا,134.9,150.2,11.3,Passenger transport by air
,نقل الركاب عن طريق البحر,116.1,114.4,-1.4,Passenger transport by sea
,خدمات نقل مشتراة أخرى,109.9,112.5,2.4,Other purchased transport services
,الإتصالات,92.2,93.8,1.7,COMMUNICATION
,خدمات بريدية,99.2,99.2,0,POSTAL SERVICES
,خدمات البريد,99.2,99.2,0,Postal services
,أجهزة هاتف وفاكس ,57.1,66.2,15.9,TELEPHONE AND TELEFAX EQUIPMENT
,أجهزة هاتف وفاكس ,57.1,66.2,15.9,Telephone and telefax equipment
,خدمات الهاتف والفاكس,99.7,99.7,0,TELEPHONE AND TELEFAX SERVICES
,خدمات الهاتف والفاكس,99.7,99.7,0,Telephone and telefax services
,الترويح والثقافة,104.4,106.3,1.8,RECREATION AND CULTURE
,المعدات السمعية والبصرية والتصوير,77.6,77.2,-0.5,"AUDIO, PHOTO & INFO. EQUIPMENT"
,معدات تسجيل الصوت والصورة,92,89.4,-2.8,Equipment for recording of sound & pictures
,معدات التصوير والأدوات البصرية,86.3,81,-6.1,Photo & cinemato & optical instruments
,أجهزة معالجة البيانات ,67.7,65.2,-3.7,Information processing equipment
,وسائل التسجيل,81.4,103.8,27.6,Recording media
,إصلاح المعدات السمعية والبصرية والتصوير ومعالجة البيانات,95.9,92.6,-3.4,"Repair of audio, photo & info.equipment"
,السلع الاخرى المعدة للترفيه والثقافة,108.6,112.7,3.7,OTHER RECREATION & CULTURE GOODS
,السلع المعمرة الرئيسية الاخرى والمعدة للترفيه بالهواء الطلق,96.4,99.9,3.7,Major durables for outdoor recreation
,الآلات الموسيقية والمعدات المعمرة الرئيسية للترفيه الداخلي,115.7,131.4,13.6,Musical Instruments and major durables for indoor recreation
,إصلاح السلع الاخرى للترفيه والثقافة,108.3,111.4,2.9,Repair of recreation & culture goods
,المعدات الترفيهية الأخرى,101.6,103.4,1.8,OTHER RECREATIONAL GOODS
,الألعاب والدمى والهوايات,87,86.5,-0.5,"Games, toys and hobbies"
,معدات الرياضة والتخييم والترفيه في الهواء الطلق,114.6,113.9,-0.6,Equipment for sport & camping
,الحدائق والنباتات والزهور,122.4,124.1,1.4,"Gardens, plants and flowers"
,الحيوانات الأليفة,122.1,129,5.7,Pets
,خدمات البيطرة للحيوانات الأليفة,102.7,96.4,-6.1,Veterinary for pets
,خدمات ترفيهية وثقافية,102.4,100.8,-1.6,RECREATIONAL & CULTURAL SERVICES
,خدمات ترفيهية ورياضية,98.5,95.9,-2.7,Recreational and sporting services
,الخدمات الثقافية,109.3,109.3,0,Cultural services
,الكتب والصحف والقرطاسية,101,102.5,1.5,"NEWSPAPERS, BOOKS & STATIONERY"
,كتب,101,102.4,1.4,Books
,الصحف والدوريات,100.6,102.2,1.6,Newspapers and periodicals
,القرطاسية وأدوات الكتابة والرسم,101.1,102.6,1.5,Stationery and drawing materials
,عروض العطلات والسياحة,130.2,136.9,5.1,PACKAGE HOLIDAYS
,عروض العطلات والسياحة,130.2,136.9,5.1,Package holidays
,الرقــم القـياسـى الـعــــام,المتوسط السنوى للرقم القياسى لعام,,نسبة التغير بين عام 2012 و 2013,General index and 
,والأقــسـام  الرئيــسية ومجموعات الإنفاق,Annual Average Index for,, Percent change , Main  Divisions & Expenditure Groups
,,2012,2013,from 2012 To 2013,
,التعليم,110.2,112.6,2.2,EDUCATION
,التعليم ما قبل الابتدائي والابتدائي,112.5,117.6,4.6,PRE-PRIMARY & PRIMARY EDUCATION
,التعليم ما قبل الابتدائي والابتدائي ,112.5,117.6,4.6,Pre-primary and primary education
,التعليم الثانوي والمتوسط,112.6,115.2,2.3,SECONDARY&INTERMEDIATE EDUCATION
,التعليم الثانوي والمتوسط,112.6,115.2,2.3,Secondary&Intermediate education
,التعليم ما بعد الثانوي غير الجامعي,102.4,96.7,-5.5,POST-SECONDARY EDUCATION
,التعليم ما بعد الثانوي غير الجامعي ,102.4,96.7,-5.5,Post-secondary non-tertiary education 
,التعليم العالي,100.6,103.5,2.9,TERTIARY EDUCATION
,التعليم العالي,100.6,103.5,2.9,Tertiary education
,المطاعم والفنادق,121.5,126.8,4.3,RESTAURANTS AND HOTELS
,خدمات تقديم الوجبات,120.8,121.1,0.2,CATERING SERVICE
,المطاعم والمقاهي وما شابهها,123.5,131,6.1,"Restaurants, cafés and the like"
,المقاصف,108.1,105.7,-2.1,Canteens
,خدمات الفنادق والشقق المفروشة,129,129.3,0.2,ACCOMMODATION SERVICES
,خدمات الفنادق والشقق المفروشة,129,129.3,0.2,Accommodation services
,السلع والخدمات المتنوعة,117.8,117.6,-0.2,MISCELLANEOUS GOODS AND SERVICES
,العناية الشخصية,109.5,112.7,2.9,PERSONAL CARE
,خدمات العناية الشخصية,105,107,1.9,Hairdressing salons and personal care
,الاجهزة الكهربائية الخاصة بالعناية الشخصية,116.4,116.7,0.2,Electric appliances for personal care
,اجهزة ومنتجات للعناية الشخصية,110.7,114.2,3.2,Other appliances & products for personal care
,الأمتعة الشخصية الأخرى,160.6,148.1,-7.8,PERSONAL EFFECTS N.E.C.
