البيانات الوصفية,,,
عنصر البيانات,الوصف,النوع,القيم المحتملة
المنطقة,المنطقة الادارية لمكان توثيق الوكالة  او كتابة العدل الافتراضية ,نص,المناطق الإدارية في المملكة - كتابة العدل الافتراضية
المدينة,مدينة توثيق الوكالة ويتم اعتبار مدينة الرياض للخدمات الإلكترونية أو كتابة العدل الافتراضية,نص,كتابة العدل الافتراضية - الرياض - جدة - الدمام - مكة المكرمة
نوع القطاع,مصدر توثيق فسخ الوكالة لدى كاتب العدل او الخدمات الالكترونية في القطاع العام او الموثق ومركز ناجز في القطاع الخاص,نص,القطاع العام -  القطاع الخاص
نوع الخدمة,طبيعة الخدمة المقدمة عبر الأنظمة والقنوات الإلكترونية المختلفة,نص,خدمة إلكترونية - خدمة إلكترونية جزئيا
نوع الوكالة,طبيعة وموضوع الوكالة الصادرة والغرض منها ,نص,البنوك والمصارف - العقارات - المحاكم -الوزارات الحكومية
التاريخ الميلادي,التاريخ الميلادي لاصدار الوكالة,تاريخ,yyyy/mm/dd
التاريخ الهجري,التاريخ الهجري لاصدار الوكالة,تاريخ,yyyy/mm/dd
عدد الوكالات الصادرة,مجموع عدد الوكالات الصادرة خلال اليوم,رقم,عدد صحيح
