السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,4,عسير,خميس مشيط,الإسكان,مكتب,تجاري,1,0,0
2025,4,عسير,العلايه,العلايه,محل,تجاري,1,0,0
2025,4,عسير,ترقش,ترقش,شقة,سكني,68,16328.57,145.35
2025,4,عسير,الضحيه,الضحيه,شقة,سكني,1,18000,180
2025,4,عسير,أبها,النسيم,محل,تجاري,22,0,0
2025,4,عسير,حضن صيده,حضن صيده,شقة,سكني,1,12000,54.54
2025,4,عسير,أحد رفيدة,السلامة,محل,تجاري,37,0,0
2025,4,عسير,البشائر,الصفاء,شقة,سكني,12,12430,83.62
2025,4,عسير,خميس مشيط,جنوب تندحة,محل,تجاري,2,0,0
2025,4,عسير,الصلالة,الصلالة,شقة,سكني,1,17000,170
2025,4,عسير, بارق - الفرعه,الفرعه,دور,سكني,1,12000,93.65
2025,4,عسير,خميس مشيط,شعب ذهبان,دوبلاكس,سكني,1,15600,49.68
2025,4,عسير,تنومة,الأمل,شقة,سكني,24,13149.9,95.75
2025,4,عسير,أبها,اليمامة,شقة,سكني,5,15550,125.9
2025,4,عسير,خميس مشيط,الزيتون,فيلا,سكني,2,26400.5,83.93
2025,4,عسير,الطوال,الطوال,محل,تجاري,4,0,0
2025,4,عسير,الصفي,الصفي,شقة,سكني,1,12000,80
2025,4,عسير,محايل - العينه,العينه,شقة,سكني,1,21600,144
2025,4,عسير,رجال المع,الفيصلية,محل,تجاري,1,0,0
2025,4,عسير,خميس مشيط,النهضة,دور,سكني,1,8400,42
2025,4,عسير,محائل,الزهور,معرض تجاري,تجاري,1,0,0
2025,4,عسير,لصوب,لصوب,شقة,سكني,1,6000,40
2025,4,عسير,أحد رفيدة,الخليج,شقة,سكني,172,16427.4,102.62
2025,4,عسير,أحد رفيدة - الواديين,الرضوان,دور,سكني,2,9000,45.86
2025,4,عسير,الطلاح,الطلاح,شقة,سكني,1,18000,60
2025,4,عسير,سراة عبيدة,الفهد,فيلا,سكني,1,18000,112.5
2025,4,عسير,مصر,مصر,شقة,سكني,2,12000,100
2025,4,عسير,محائل,النزهة,شقة,سكني,130,15862.58,113.66
2025,4,عسير,عسير - المطعن,المطعن,شقة,سكني,1,18000,60
2025,4,عسير,قوز الشريف,قوز الشريف,شقة,سكني,3,18000,130.83
2025,4,عسير,أبها,القري,استديو,سكني,3,7800,262
2025,4,عسير,العيده,العيده,شقة,سكني,1,17000,170
2025,4,عسير,بيشة,الأمير عبدالله,معرض تجاري,تجاري,1,0,0
2025,4,عسير,خميس مشيط,العزيزية,دور,سكني,36,17678.57,99.38
2025,4,عسير,ذمل,ذمل,شقة,سكني,3,11600,78.34
2025,4,عسير,الحره,الحره,شقة,سكني,3,9400,79.96
2025,4,عسير,خميس مشيط,الهميلة,محل,تجاري,15,0,0
2025,4,عسير,الغضاه,الغضاه,شقة,سكني,2,16200,148.5
2025,4,عسير,البرك,الحزم,مكتب,تجاري,1,0,0
2025,4,عسير,تثليث,المدينة,مكتب,تجاري,1,0,0
2025,4,عسير,أبها,النرجس,شقة,سكني,1,18000,100
2025,4,عسير,ظهره ال عوشان,ظهره ال عوشان,دور,سكني,1,18000,180
2025,4,عسير,آل شواف,آل شواف,شقة,سكني,1,16500,183.33
2025,4,عسير,ضريب السوق,ضريب السوق,دور,سكني,2,19800,127.6
2025,4,عسير,خميس مشيط,العرق الجنوبى,فيلا,سكني,1,60000,198.01
2025,4,عسير,خميس مشيط,النجاح,محل,تجاري,33,0,0
2025,4,عسير,محايل - القايم,القايم,شقة,سكني,1,14400,120
2025,4,عسير,تنومة,السلام,شقة,سكني,12,13618.18,101.23
2025,4,عسير,سراة عبيدة - العرقين,العرقين,شقة,سكني,3,11666.66,59.96
2025,4,عسير,الثويهر,الثويهر,شقة,سكني,1,17500,175
2025,4,عسير,أحد رفيدة - الواديين,العنود,محل,تجاري,3,0,0
2025,4,عسير,خميس مشيط,شعبة الشيخ,استديو,سكني,1,16800,280
2025,4,عسير,أبها,الشرقية,معرض تجاري,تجاري,1,0,0
2025,4,عسير,خميس مشيط,النخيل,استديو,سكني,1,9600,192
2025,4,عسير,الحوطة,الحوطة الغربية,شقة,سكني,5,15000,140
2025,4,عسير,خميس مشيط,شمال تندحة,فيلا,سكني,2,19200,61.04
2025,4,عسير,الخايع,الخايع,شقة,سكني,13,14961.53,104.45
2025,4,عسير,محايل - القايم,القايم,محل,تجاري,1,0,0
2025,4,عسير,المروات,المروات,شقة,سكني,1,17000,170
2025,4,عسير,خميس مشيط,الظرفة,شقة,سكني,299,19779.91,129.68
2025,4,عسير,خميس مشيط,اليرموك,مكتب,تجاري,6,0,0
2025,4,عسير,بيشة,الشداخة,شقة,سكني,15,16041.66,100.87
