السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,3,مكة المكرمة,جدة,البوادي,مكتب,تجاري,87,0,0
2025,3,مكة المكرمة,الطائف,الحوية,فيلا,سكني,7,21000,79.86
2025,3,مكة المكرمة,رابغ,الربوة,شقة,سكني,459,14112.71,142.57
2025,3,مكة المكرمة,جدة,الرحمانية,دور,سكني,27,30416.58,147.4
2025,3,مكة المكرمة,الطائف,مثملة,استديو,سكني,4,18000,409.09
2025,3,مكة المكرمة,مكة المكرمة,التقوى,دور,سكني,61,123005,1039.55
2025,3,مكة المكرمة,مكة المكرمة,السلام,معرض تجاري,تجاري,16,0,0
2025,3,مكة المكرمة,جدة,الفردوس,مكتب,تجاري,3,0,0
2025,3,مكة المكرمة,صنيدل,صنيدل,شقة,سكني,1,12000,60
2025,3,مكة المكرمة,الطائف,وادي الشرب,دور,سكني,1,12000,60
2025,3,مكة المكرمة,جدة,النزلة اليمانية,شقة,سكني,267,20803.33,188.21
2025,3,مكة المكرمة,جدة,النجمة,مكتب,تجاري,2,0,0
2025,3,مكة المكرمة,جدة,المنتزة,دور,سكني,5,28400,139.6
2025,3,مكة المكرمة,خليص,الملك فهد بن عبدالعزيز,شقة,سكني,25,16000,53.33
2025,3,مكة المكرمة,مكة المكرمة,الحجون,فيلا,سكني,1,8333,65.04
2025,3,مكة المكرمة,جدة,النور,شقة,سكني,97,18811.76,165.5
2025,3,مكة المكرمة,الطائف,الحوية,استديو,سكني,3,8400,336.53
2025,3,مكة المكرمة,مكة المكرمة,الغزة الجديد,محل,تجاري,59,0,0
2025,3,مكة المكرمة,جدة,أبحر الشمالية,فيلا,سكني,72,85289.3,277.38
2025,3,مكة المكرمة,الطائف,الربوة,شقة,سكني,1,18000,180
2025,3,مكة المكرمة,الطائف,نخب,مكتب,تجاري,1,0,0
2025,3,مكة المكرمة,القنفذة,أحد بني زيد,محل,تجاري,2,0,0
2025,3,مكة المكرمة,جدة,الورود,محل,تجاري,31,0,0
2025,3,مكة المكرمة,القنفذة,آل زياد 1,شقة,سكني,1,8000,114.28
2025,3,مكة المكرمة,جدة,المرسلات,محل,تجاري,1,0,0
2025,3,مكة المكرمة,جدة,الغولاء,محل,تجاري,11,0,0
2025,3,مكة المكرمة,الطائف,مثملة,شقة,سكني,123,16234,125.71
2025,3,مكة المكرمة,جدة,النعيم,محل,تجاري,184,0,0
2025,3,مكة المكرمة,مكة المكرمة,المسيال الجديد,محل,تجاري,11,0,0
2025,3,مكة المكرمة,مكة المكرمة,السوق الجديد,شقة,سكني,257,19530.75,131.51
2025,3,مكة المكرمة,الخرسوع,الخرسوع,شقة,سكني,1,15000,150
2025,3,مكة المكرمة,مكة المكرمة,الحطيم,دور,سكني,1,24000,104.34
2025,3,مكة المكرمة,جدة,الشاطئ,فيلا,سكني,174,154297.32,456.34
2025,3,مكة المكرمة,الطائف,الغمير,فيلا,سكني,2,22500,150
2025,3,مكة المكرمة,الطائف,بن سويلم,استديو,سكني,1,4800,96
2025,3,مكة المكرمة,مكة المكرمة,الفلق الجديد,محل,تجاري,15,0,0
2025,3,مكة المكرمة,الطائف - العقيق,العقيق,شقة,سكني,1,18000,120
2025,3,مكة المكرمة,مكة المكرمة,السنابل,استديو,سكني,91,12880,288
2025,3,مكة المكرمة,العلبه,العلبه,شقة,سكني,1,12000,60
2025,3,مكة المكرمة,جدة,الورود,مكتب,تجاري,61,0,0
2025,3,مكة المكرمة,ثريبان,نقمه شمران,شقة,سكني,1,17500,175
2025,3,مكة المكرمة,العرضيات - نمرة,مخطط الحمراني,شقة,سكني,66,16420,129.65
2025,3,مكة المكرمة,ظلم,الحي الشمالي,دور,سكني,5,14506.6,73.03
2025,3,مكة المكرمة,جدة,المرجان,مكتب,تجاري,4,0,0
2025,3,مكة المكرمة,العرضيات - نمرة,المبني الجنوبي,شقة,سكني,32,15000,128.86
2025,3,مكة المكرمة,جدة,الأمير فواز الشمالى,شقة,سكني,47,22447.61,173.62
2025,3,مكة المكرمة,الطائف,أم الدروب,دور,سكني,3,14333.33,53.88
2025,3,مكة المكرمة,الزبيره,الزبيره,محل,تجاري,4,0,0
2025,3,مكة المكرمة,الطائف,السليمانية,شقة,سكني,44,14050,98.79
2025,3,مكة المكرمة,الطائف,السداد,استديو,سكني,4,10000,137.77
2025,3,مكة المكرمة,مكة المكرمة,ريع اذاخر,شقة,سكني,193,13729.03,104.86
2025,3,مكة المكرمة,مكة المكرمة,كدي,معرض تجاري,تجاري,6,0,0
2025,3,مكة المكرمة,ام الضيمران,ام الضيمران,شقة,سكني,3,12000,120
2025,3,مكة المكرمة,عويجاء,عويجاء,شقة,سكني,2,6000,50
2025,3,مكة المكرمة,الفرش,الفرش,محل,تجاري,9,0,0
2025,3,مكة المكرمة,جدة,الأمير فواز الجنوبى,دور,سكني,5,69250,318.75
2025,3,مكة المكرمة,جدة,الرحاب,شقة,سكني,1081,25492.18,226.77
2025,3,مكة المكرمة,الليث,(حي رقم (7,شقة,سكني,352,15028.3,118.94
2025,3,مكة المكرمة,مكة المكرمة,الصفاء,فيلا,سكني,1,250000,335.34
2025,3,مكة المكرمة,مكة المكرمة,الشرائع,مكتب,تجاري,1,0,0
2025,3,مكة المكرمة,الطائف,شبرا,استديو,سكني,4,12500,250
2025,3,مكة المكرمة,مكة المكرمة,المرسلات,محل,تجاري,30,0,0
2025,3,مكة المكرمة,جدة,الرياض,محل,تجاري,232,0,0
2025,3,مكة المكرمة,الطائف - القامه,القامه,شقة,سكني,1,18000,225
2025,3,مكة المكرمة,الطائف,البيهيتة,شقة,سكني,3,12000,76.61
2025,3,مكة المكرمة,جدة,القوس,فيلا,سكني,2,36000,56.66
