السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,1,مكة المكرمة,الطائف,إشبيلية,محل,تجاري,4,0,0
2025,1,مكة المكرمة,الجموم,الغزيات,شقة,سكني,40,14077.57,104.57
2025,1,مكة المكرمة,المبارك,المبارك,شقة,سكني,1,6000,40
2025,1,مكة المكرمة,الطائف,العقيق,دور,سكني,2,16000,80
2025,1,مكة المكرمة,الطائف,كلاخ,محل,تجاري,1,0,0
2025,1,مكة المكرمة,مكة المكرمة,التيسير,مكتب,تجاري,2,0,0
2025,1,مكة المكرمة,جدة,الشاطئ,معرض تجاري,تجاري,114,0,0
2025,1,مكة المكرمة,القنفذة,الخالدية أ,معرض تجاري,تجاري,4,0,0
2025,1,مكة المكرمة,الكامل,ثفراء,شقة,سكني,3,17333.33,106.66
2025,1,مكة المكرمة,جدة,السليمانية,دور,سكني,2,34000,194.23
2025,1,مكة المكرمة,الطائف,الواسط,شقة,سكني,181,15159.43,103.97
2025,1,مكة المكرمة,جدة,المروة,محل,تجاري,392,0,0
2025,1,مكة المكرمة,الدابره,الدابره,شقة,سكني,1,18000,100
2025,1,مكة المكرمة,جدة,مدائن الفهد,دور,سكني,5,23500,147.21
2025,1,مكة المكرمة,الطائف,القطبية الشرقية,دور,سكني,45,21494.31,103.93
2025,1,مكة المكرمة,جدة,المليساء,شقة,سكني,2,16000,190.27
2025,1,مكة المكرمة,مكة المكرمة,حي العقبة الشمالي,شقة,سكني,41,20497.14,167.38
2025,1,مكة المكرمة,جدة,البغدادية الغربية,فيلا,سكني,10,52417.71,158.85
2025,1,مكة المكرمة,الطائف,المعارض,محل,تجاري,197,0,0
2025,1,مكة المكرمة,جدة,القريات,مكتب,تجاري,1,0,0
2025,1,مكة المكرمة,القنفذة,الغربية,شقة,سكني,230,14027.03,128.65
2025,1,مكة المكرمة,أضم,الضحى,شقة,سكني,41,15178.05,133.52
2025,1,مكة المكرمة,مكة المكرمة,حي الصفرة,استديو,سكني,1,6000,75
2025,1,مكة المكرمة,ثول,بلدة ثول,مكتب,تجاري,3,0,0
2025,1,مكة المكرمة,الطائف,القمرية,دور,سكني,19,17813.33,86.63
