السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,2,عسير,القصيم,القصيم,شقة,سكني,3,12000,65
2025,2,عسير,بلقرن,النسيم,شقة,سكني,1,14400,120
2025,2,عسير,خميس مشيط,نشوان,دور,سكني,1,15600,71.92
2025,2,عسير,النماص,البساتين,دور,سكني,1,12000,40
2025,2,عسير,خميس مشيط,الهميلة,شقة,سكني,27,10660,96.06
2025,2,عسير,البرك,الواحة,دور,سكني,5,12690,42.3
2025,2,عسير,القواعد,القواعد,شقة,سكني,1,18000,240
2025,2,عسير,ظهران الجنوب,الجنادرية,شقة,سكني,1,16800,112
2025,2,عسير,الشل,وادى بن هشبل,دور,سكني,23,13900,64.43
2025,2,عسير,حضن الحشف,حضن الحشف,شقة,سكني,1,17500,175
2025,2,عسير,تنومة,المصايف,دور,سكني,1,6000,30
2025,2,عسير,بلسمر,الربوة,شقة,سكني,3,14500,61.66
2025,2,عسير,بيشة,الحمة,محل,تجاري,2,0,0
2025,2,عسير,الكراع,الكراع,شقة,سكني,2,6000,92.85
2025,2,عسير,ظهران الجنوب,الورود,شقة,سكني,21,13811.76,82.39
2025,2,عسير,الحفيا الجديده,الحفيا الجديده,شقة,سكني,4,16000,113.93
2025,2,عسير,محائل,الظهرة,شقة,سكني,1,17500,175
2025,2,عسير,الأسودة,الأسودة,شقة,سكني,1,12000,100
2025,2,عسير,ظهره سنومه,ظهره سنومه,محل,تجاري,1,0,0
2025,2,عسير,خميس مشيط,الوقواق,شقة,سكني,22,17361.53,105.79
2025,2,عسير,خميس مشيط,طيبة,شقة,سكني,75,15460,116.38
2025,2,عسير,قرن الوجع,قرن الوجع,شقة,سكني,1,14000,93.33
2025,2,عسير,البيضاء,البيضاء,شقة,سكني,1,13800,69
2025,2,عسير,أبها,الياقوت,دور,سكني,1,30000,100
2025,2,عسير,خميس مشيط,العمارة,شقة,سكني,75,17543.1,128.35
2025,2,عسير,الشل,وادى بن هشبل,معرض تجاري,تجاري,1,0,0
2025,2,عسير,أحد رفيدة,مسيحل,محل,تجاري,6,0,0
