السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,3,حائل,حائل,الياسمين,دوبلاكس,سكني,3,24133.33,88.14
2025,3,حائل,حائل,السمراء,دور,سكني,15,16062.5,97
2025,3,حائل,الجحفه,الجحفة,محل,تجاري,3,0,0
2025,3,حائل,حائل,السمراء,استديو,سكني,2,12000,100
2025,3,حائل,حائل,غرب أجا,دور,سكني,6,24533.33,79.07
2025,3,حائل,الشملى,التعاون,شقة,سكني,2,14400,149.81
2025,3,حائل,الشملى,حفيرة السبعة الأوسط,شقة,سكني,2,18000,90
2025,3,حائل,حائل,إشبيليا,دور,سكني,6,17000,64.08
2025,3,حائل,حائل,المنتزة رالشمالي,معرض تجاري,تجاري,1,0,0
2025,3,حائل,حائل,قرية النيصية,استديو,سكني,9,17857.14,274.38
2025,3,حائل,الشنان,الخليج,استديو,سكني,1,12000,240
2025,3,حائل,تربة,الروضة,دور,سكني,2,6000,20.83
2025,3,حائل,حائل,قرية النيصية,محل,تجاري,1,0,0
2025,3,حائل,حائل,الودي,محل,تجاري,44,0,0
2025,3,حائل,حائل,الملك عبدالله,دور,سكني,8,21000,110
2025,3,حائل,حائل,الطريفي,دور,سكني,1,26000,173.33
2025,3,حائل,قصيريات,قصيريات,فيلا,سكني,1,18000,75
2025,3,حائل,حائل,صلاح الدين,شقة,سكني,50,14388.88,94.56
2025,3,حائل,حائل,قرية عقدة الشمالية,محل,تجاري,2,0,0
2025,3,حائل,حائل,الوسيطاء,محل,تجاري,169,0,0
2025,3,حائل,حائل,النقرة,دور,سكني,63,19002.7,81.34
2025,3,حائل,حائل,سماح,محل,تجاري,28,0,0
2025,3,حائل,حائل,العزيزية,فيلا,سكني,1,31000,182.35
2025,3,حائل,موقق,مخطط 509,فيلا,سكني,1,12000,34.28
2025,3,حائل,الشملى,النخيل الشرقي,شقة,سكني,11,12000,92.61
2025,3,حائل,فيضة بن سويلم,فيضة بن سويلم,شقة,سكني,3,7000,70
2025,3,حائل,الداره,الدارة,محل,تجاري,1,0,0
2025,3,حائل,الغزالة - الروضه,الروضة,شقة,سكني,9,9916.66,85.19
2025,3,حائل,حائل,الودي,معرض تجاري,تجاري,2,0,0
2025,3,حائل,الشنان,النهضة,محل,تجاري,15,0,0
2025,3,حائل,الحليفه العليا,الحليفة العليا,شقة,سكني,7,14000,107.61
2025,3,حائل,الحائط,السلام,محل,تجاري,59,0,0
2025,3,حائل,اسبطر,اسبطر,شقة,سكني,2,9007.5,49.28
2025,3,حائل,الغزالة - ارينبه,أرينبة,شقة,سكني,3,18000,133.33
2025,3,حائل,الثماميه,الثمامية,محل,تجاري,1,0,0
2025,3,حائل,حائل,صبابة,محل,تجاري,14,0,0
2025,3,حائل,الخطه,الخطة,محل,تجاري,1,0,0
2025,3,حائل,حائل,أجا,استديو,سكني,66,17650,461.91
2025,3,حائل,حائل,اللقيطه,استديو,سكني,47,14292.85,338.21
2025,3,حائل,حائل,صبابة,دور,سكني,7,17359.2,111.09
2025,3,حائل,حائل,البادية,محل,تجاري,25,0,0
2025,3,حائل,حائل,صلاح الدين الغربي,معرض تجاري,تجاري,1,0,0
2025,3,حائل,حائل,صلاح الدين,محل,تجاري,11,0,0
2025,3,حائل,حائل,المطار,دور,سكني,24,16333.33,73.99
2025,3,حائل,حائل,المنتزة الشرقي,محل,تجاري,50,0,0
2025,3,حائل,جبة,التاسع,شقة,سكني,8,11000,70.78
2025,3,حائل,حائل,النقرة,دوبلاكس,سكني,13,29500,108.98
2025,3,حائل,حائل,برزان,محل,تجاري,175,0,0
2025,3,حائل,حائل,برزان,معرض تجاري,تجاري,2,0,0
2025,3,حائل,عمائر المرير,عمائر المرير,شقة,سكني,3,17750,147.91
2025,3,حائل,الشنان,الخليج,شقة,سكني,4,17033.33,129.41
2025,3,حائل,حائل,الخزامى,فيلا,سكني,15,31088.88,84.5
2025,3,حائل,حائل,قرية اجا,فيلا,سكني,3,41500,123.33
2025,3,حائل,حائل,الورود,معرض تجاري,تجاري,1,0,0
2025,3,حائل,قنا,قناء,محل,تجاري,1,0,0
2025,3,حائل,الخطه,الخطة,دور,سكني,3,16400,109.33
2025,3,حائل,حائل,الرصف,دوبلاكس,سكني,2,28800,72
2025,3,حائل,الشنان,الصناعية,شقة,سكني,3,18000,94.73
2025,3,حائل,حائل,التلفزيون,دور,سكني,1,18000,56.25
2025,3,حائل,حائل,الجامعيين,محل,تجاري,72,0,0
2025,3,حائل,الحيانية,الحيّانية,شقة,سكني,1,6000,40
2025,3,حائل,الشملى,النخيل الغربي,محل,تجاري,13,0,0
2025,3,حائل,الشنان,الازدهار,شقة,سكني,8,17400,124.1
2025,3,حائل,حائل,الياسمين,دور,سكني,6,17950,61.62
2025,3,حائل,المبرز,المبرز,شقة,سكني,1,15000,115.38
2025,3,حائل,حائل,الجامعيين,استديو,سكني,3,5800,131
2025,3,حائل,الشنان,الورود,شقة,سكني,1,24000,100
2025,3,حائل,حائل,الجامعيين,مكتب,تجاري,8,0,0
2025,3,حائل,الشنان,الحمراء,شقة,سكني,4,15000,108.06
2025,3,حائل,تربة,الزهراء,محل,تجاري,1,0,0
2025,3,حائل,السليمي - البركه,البركة,شقة,سكني,4,15000,80
2025,3,حائل,حائل,الخماشية,محل,تجاري,41,0,0
2025,3,حائل,الغزالة - الروضه,الروضة,محل,تجاري,10,0,0
2025,3,حائل,حائل,الشفاء,مكتب,تجاري,2,0,0
2025,3,حائل,حائل,السمراء,فيلا,سكني,3,20700,97.05
2025,3,حائل,البدراني,البدراني,شقة,سكني,1,18000,180
2025,3,حائل,بقعاء,الوسطى,معرض تجاري,تجاري,1,0,0
2025,3,حائل,القاعد,القاعد,محل,تجاري,7,0,0
2025,3,حائل,سميراء,المملكة,شقة,سكني,17,12955.55,80.17
2025,3,حائل,حائل,الرصف,مكتب,تجاري,1,0,0
2025,3,حائل,حائل,الزبارة,شقة,سكني,232,11960.27,104.65
2025,3,حائل,حائل,غرب أجا,محل,تجاري,8,0,0
2025,3,حائل,حائل,السمراء,محل,تجاري,46,0,0
2025,3,حائل,السليمي,الديرة,محل,تجاري,1,0,0
2025,3,حائل,ابا الصبان,ابا الصبان,شقة,سكني,1,16000,80
2025,3,حائل,حائل,المحطة,محل,تجاري,185,0,0
2025,3,حائل,بقعاء,مخطط الظهيره,شقة,سكني,49,12400,90.88
2025,3,حائل,حائل,المحطة,دور,سكني,5,11000,54.26
2025,3,حائل,مرحب,مرحب,شقة,سكني,1,18000,211.76
2025,3,حائل,حائل,المنتزة الشرقي,دور,سكني,35,17066.66,87.12
2025,3,حائل,حائل,شراف,محل,تجاري,5,0,0
2025,3,حائل,الثماميه,الثمامية,شقة,سكني,2,15017.5,80.14
2025,3,حائل,بقعاء,بقعاء الشرقية القديمة,شقة,سكني,4,9000,60.88
2025,3,حائل,حائل,المنتزة الغربي,فيلا,سكني,4,25000,108.33
2025,3,حائل,حائل,غرناطة,دور,سكني,8,21666.66,114.51
2025,3,حائل,حائل,قصر العشروات,شقة,سكني,1,8400,57.33
2025,3,حائل,المسلسل,المسلسل,شقة,سكني,1,18000,211.76
