,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2005-07-31T00:00:00,,59322.51999999999,7291.55,20633,5411,26044,92658.06999999999,
2005-08-31T00:00:00,,58726.537000000004,7247.623,21073,1526,22599,88573.16,
2005-09-30T00:00:00,,59591.729999999996,5907.83,20759,1004.4,21763.4,87262.95999999999,
2005-10-31T00:00:00,,66304.124,11509.276,20687,2208.4,22895.4,100708.79999999999,
2005-11-30T00:00:00,,63033.727,7321.083,20470,3222.4,23692.4,94047.20999999999,
2005-12-31T00:00:00,,64288.038,7200.962,21271,6371.4,27642.4,99131.4,
2006-01-31T00:00:00,,62306.71099999999,7268.029,21721,2222.6,23943.6,93518.34,
2006-02-28T00:00:00,,61192.325000000004,7931.275,22660,1834.4,24494.4,93618,
2006-03-31T00:00:00,,61031.89600000001,6746.034,23246,12212.4,35458.4,103236.33000000002,
2006-04-30T00:00:00,,61822.14200000001,7033.068,25386,6395.4,31781.4,100636.61000000002,
2006-05-31T00:00:00,,62605.535,7144.109,25151,11794.5,36945.5,106695.144,
2006-06-30T00:00:00,,63512.05099999999,6803.069,23245,7236.5,30481.5,100796.62,
2006-07-31T00:00:00,,60918.002,7016.388,24936,4321.5,29257.5,97191.89,
2006-08-31T00:00:00,,60573.168000000005,7037.902,23120,4528.5,27648.5,95259.57,
2006-09-30T00:00:00,,62071.74200000001,8295.648,23460,5921.5,29381.5,99748.89000000001,
2006-10-31T00:00:00,,65817.61399999999,9501.376,24622,3350.5,27972.5,103291.48999999999,
2006-11-30T00:00:00,,64336.889,7235.521,23482,4053.6,27535.6,99108.01000000001,
2006-12-31T00:00:00,,69324.101,12218.019,24402,8612.6,33014.6,114556.72,
2007-01-31T00:00:00,,65309.84400000001,7654.916,25017,2519.6,27536.6,100501.36000000002,
2007-02-28T00:00:00,,65231.681,7836.599,25062,2747.7,27809.7,100877.98,
2007-03-31T00:00:00,,65067.91400000001,8227.206,25189,5141.7,30330.7,103625.82,
2007-04-30T00:00:00,,65658.782,7564.518,25978,3893.7,29871.7,103095,
2007-05-31T00:00:00,,65858.096,8067.294,26636,5788.8,32424.8,106350.19,
2007-06-30T00:00:00,,67010.43999999999,8141.52,26654,1217,27871,103022.95999999999,
2007-07-31T00:00:00,,66247.924,8649.636,26996,1763,28759,103656.56,
2007-08-31T00:00:00,,65599.206,7948.264,28067,552,28619,102166.47,
2007-09-30T00:00:00,,69103.571,10425.239,27904,436,28340,107868.81,
2007-10-31T00:00:00,,70074.234,9879.876,28615,1781.8,30396.8,110350.91,
2007-11-30T00:00:00,,70871.211,8755.509,28947,616.5,29563.5,109190.22,
2007-12-31T00:00:00,,72191.67300000001,10019.267,36277,5648,41925,124135.94,
2008-01-31T00:00:00,,71425.893,9306.827,36402,741.6,37143.6,117876.32,
2008-02-29T00:00:00,,70803.61099999999,8506.899,42668,4257,46925,126235.51,
2008-03-31T00:00:00,,72398.341,10103.029,42984,616.4,43600.4,126101.76999999999,
2008-04-30T00:00:00,,71433.827,11858.673,43843,2342,46185,129477.5,
2008-05-31T00:00:00,,74433.64600000001,10527.474,50600,5076,55676,140637.12,
2008-06-30T00:00:00,,77597.312,11089.565,64133,3277,67410,156096.877,
2008-07-31T00:00:00,,78577.605,10613.325,64463,2388,66851,156041.93,
