,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2019-09-30T00:00:00,,188213.70171782997,29715.40181661,103285.55073101999,738.93924646,104024.48997747999,321953.59351191996,
2019-10-31T00:00:00,,189036.5483686,29030.98081661,104447.14953523,687.91094486,105135.06048009,323202.5896653,
2019-11-30T00:00:00,,188430.21514735,29060.00008142,103598.82318689,485.59818586,104084.42137275,321574.63660152,
2019-12-31T00:00:00,,189160.26772414,29319.44217519,105469.77303161999,724.0172830299999,106193.79031464999,324673.50021398,
2020-01-31T00:00:00,,190962.75940521,29520.78358142,107988.9752129,2740.7623504000003,110729.7375633,331213.28054993,
2020-02-29T00:00:00,,191934.05677929,28659.53166377,109270.49716291,622.3261412100001,109892.82330412,330486.41174718004,
2020-03-31T00:00:00,,198554.91404857003,34158.62720782,107459.92981541001,518.83380107,107978.76361648,340692.30487287004,
2020-04-30T00:00:00,,206573.58453448,31827.59559931,112632.36677341,518.83380107,113151.20057448,351552.38070827,
2020-05-31T00:00:00,,213586.06763955002,33034.54727497,110895.269840941,453.83380107,111349.10364201099,357969.718556531,
2020-06-30T00:00:00,,208584.81825026002,32247.600741590002,112974.48485988,453.93770213,113428.42256201,354260.84155386005,
2020-07-31T00:00:00,,213101.88266087003,35034.006828369995,114008.456848481,487.93764411,114496.394492591,362632.283981831,
2020-08-31T00:00:00,,208981.57479023,29742.99316083,114346.34287859,488.00533401,114834.3482126,353558.91616366,
2020-09-30T00:00:00,,206931.15328828,29134.69716598,115001.63955568,459.59946647,115461.23902215001,351527.08947641,
2020-10-31T00:00:00,,207303.52130189,27344.44338986,116052.952596681,448.02977319,116500.98236987101,351148.947061621,
2020-11-30T00:00:00,,204948.72575356,27552.73417264,116745.51670822,447.02977319,117192.54648141001,349694.00640761,
2020-12-31T00:00:00,,206283.560385,27384.42056186,118539.02029291,444.11675722,118983.13705013001,352651.11799699004,
2021-01-31T00:00:00,,205615.07626114998,27115.41966951,121627.09324008001,546.1167572200001,122173.20999730001,354903.70592796,
2021-02-28T00:00:00,,204254.88447571,27361.776447390002,121180.46165859,451.11675722,121631.57841581,353248.23933891,
2021-03-31T00:00:00,,206970.44325522002,26273.62927201,121412.63917883999,451.18782633,121863.82700517,355107.8995324,
2021-04-30T00:00:00,,210790.34669017998,28531.38152803,122587.06683978,526.18782633,123113.25466611,362434.98288431996,
2021-05-31T00:00:00,,212186.3169471,27521.15168604,123898.66866577,477.29042723,124375.95909300001,364083.42772614,
2021-06-30T00:00:00,,208648.15258485003,27396.168902139998,125064.75578211,477.27071322,125542.02649533,361586.34798232,
2021-07-31T00:00:00,,210959.61149893,31778.79009875,127306.03965777,443.97514409,127750.01480186,370488.41639954,
2021-08-31T00:00:00,,206930.03667381,25973.85447995,126489.17191866001,443.97124798000004,126933.14316664,359837.0343204,
2021-09-30T00:00:00,,204414.59086529,24443.10816692,128232.88785613001,444.04195406,128676.92981019,357534.62884240004,
2021-10-31T00:00:00,,203372.03054569996,23023.540518410002,126871.24908241001,444.04174071000006,127315.29082312001,353710.86188722996,
2021-11-30T00:00:00,,202563.69793875,23107.69539,128252.69007044,444.04174055,128696.73181099001,354368.12513974,
2021-12-31T00:00:00,,204366.04192211002,23131.09189783,128334.80563762,444.11356157,128778.91919919,356276.05301913,
2022-01-31T00:00:00,,202948.7850505,24238.3879192,131103.12297646,492.47325736,131595.59623382,358782.76920352003,
2022-02-28T00:00:00,,202657.49607299,24458.23465439,130692.70595484,444.11508463,131136.82103947,358252.55176685005,
2022-03-31T00:00:00,,205371.37972904003,23870.86256225,126858.36713139,444.19339304000005,127302.56052443,356544.80281572003,
2022-04-30T00:00:00,,214121.44059525,30626.78972196,127250.25163928,444.19319917,127694.44483845,372442.67515566,
2022-05-31T00:00:00,,206575.48315729998,26974.470181779998,131411.30270736,444.19319917,131855.49590653,365405.44924561,
2022-06-30T00:00:00,,206421.14705046,25170.99891584,130735.00354928999,444.67135654000003,131179.67490583,362771.82087213,
2022-07-31T00:00:00,,203520.62207179,27292.48244222,130895.18345586,445.74453225,131340.92798811,362154.03250212,
2022-08-31T00:00:00,,199072.16997994,24959.35440461,133201.65178445,446.81770795999995,133648.46949241,357679.99387696,
2022-09-30T00:00:00,,199405.75887122002,23313.08823941,131151.77425929002,444.89245811,131596.66671740002,354315.51382803003,
2022-10-31T00:00:00,,198545.19802893,24506.452742830003,136323.74836124,446.08566282,136769.83402406,359821.48479581997,
2022-11-30T00:00:00,,196724.13247333997,24157.47939352,134751.14099943,5847.231303529999,140598.37230296,361479.9841698199,
2022-12-31T00:00:00,,199965.70505283002,22483.25877809,135861.80628237998,5845.39925734,141707.20553972,364156.16937064,
2023-01-31T00:00:00,,201621.75649363425,22000.58243028574,135532.36777164,687.3177756,136219.68554724002,359842.02447116,
2023-02-28T00:00:00,,201215.95745785002,23762.51050104,134851.15812173998,449.05243676,135300.21055849997,360278.67851739004,
2023-03-31T00:00:00,,207552.70111986,24280.73573222,135318.39558177,8439.888202279999,143758.28378405,375591.72063612996,
2023-04-30T00:00:00,,214445.21480882,27798.317636429998,138764.75235614,447.85971761,139212.61207375,381456.14451899996,
2023-05-31T00:00:00,,211714.9518153,23444.47189651,139852.45671518,449.89683419,140302.35354936996,375461.77726118,
2023-06-30T00:00:00,,220840.75538973,26102.76491915,139681.58004628,446.48703092,140128.0670772,387071.58738608,
2023-07-31T00:00:00,,211291.7124546,24654.5370183,140523.74597507998,448.69817158,140972.44414665998,376918.6936195599,
2023-08-31T00:00:00,,208875.51566343,24042.68364604,141546.68969865,450.9075536000012,141997.59725225,374915.79656172,
2023-09-30T00:00:00,,207977.63003381,23684.37537401,141217.54605056997,447.06889773,141664.61494829998,373326.62035612,
2023-10-31T00:00:00,,207791.93874476,23052.60644,141861.18946965996,549.36442437,142410.55389402996,373255.09907878994,
2023-11-30T00:00:00,,210218.44574008003,23278.34691352,141991.38726596,451.58812021,142442.97538617,375939.7680397701,
2023-12-31T00:00:00,,211884.8803785,22869.79649194,142041.652737,117.59177034,142159.24450734,376913.92137778,
2024-01-31T00:00:00,,212306.99773064,22578.42073616,142210.12112139,44.70363136,142254.82475275,377140.24321955,
2024-02-29T00:00:00,,217976.32329983002,22171.38362362,142055.37261946,44.92482671,142100.29744616998,382248.00436962,
2024-03-31T00:00:00,,227490.77005046,24695.46430683,147242.086972,45.157741789999996,147287.24471379,399473.47907108004,
2024-04-30T00:00:00,,228279.58675494,24368.60201198,148739.72304219002,45.38298151000001,148785.1060237,401433.29479062004,
2024-05-31T00:00:00,,230456.16028359,20813.56246094,149859.18036317002,45.61606805,149904.79643122,401174.51917574997,
2024-06-30T00:00:00,,229187.03391492998,25534.70425318,148733.65830683,45.84173322,148779.50004004998,403501.23820816,
2024-07-31T00:00:00,,225193.99335406,23204.151755619998,150322.97965114,46.080789259999996,150369.06044039998,398767.20555007993,
2024-08-31T00:00:00,,226392.45490317,20779.19192501,152969.97282494,46.31953974,153016.29236467998,400187.93919286,
2024-09-30T00:00:00,,224781.67146168998,21610.20132737,152767.56468442,46.550351240000005,152814.11503566,399205.98782472,
2024-10-31T00:00:00,,226990.79951095,20754.2282984,154049.83799867998,46.76780601000001,154096.60580468999,401841.63361404,
2024-11-30T00:00:00,,226646.93604593002,21533.89305326,156416.29699588,46.97797414,156463.27497002,404644.10406921,
2024-12-31T00:00:00,,229088.19631035,21337.40795991,155343.54783463,47.19547293,155390.74330756,405816.34757782,
2025-01-31T00:00:00,,233714.05989306,19969.641708919997,157895.13891223999,47.40979586,157942.5487081,411626.25031008,
2025-02-28T00:00:00,,237905.48416700002,21180.5757689,157970.27960417,47.603826950000006,158017.88343112002,417103.94336702,
2025-03-31T00:00:00,,251534.70336374,24092.45050285,160284.14177528,47.81802304,160331.95979832,435959.11366490996,
2025-04-30T00:00:00,,243735.69426504002,23066.61333866,162475.69897084,48.02602209,162523.72499293,429326.03259663,
2025-05-31T00:00:00,,246187.73082390998,22720.45281871,162290.70664553,48.24438593,162338.95103146002,431247.13467408,
2025-06-30T00:00:00,,244311.08135188997,23577.881872230002,165487.34310072,98.3727583,165585.71585901998,433474.6790831399,
2025-07-31T00:00:00,,242340.19834413,21448.25464908,166334.82601712004,0.00100064,166334.82701776005,430123.2800109701,
2025-08-31T00:00:00,,239547.96376674,21817.47455839,166314.67274437004,1.182e-05,166314.67275619003,427680.11108132,
2025-09-30T00:00:00,,237340.87662348003,22268.827325,165504.78634817,0.00189225,165504.78824042,425114.49218890007,
2025-10-31T00:00:00,,240549.53250427,20079.36777185,168167.88912431002,0,168167.88912431002,428796.78940043005,
2025-11-30T00:00:00,,239524.06165539,22026.4618519,166927.7119189,0.00206143,166927.71398032998,428478.23748762,
2025-12-31T00:00:00,,241965.75771247002,23005.439478,166515.84040265996,0.00096324,166515.84136589995,431487.03855636995,
2026-01-31T00:00:00,,244943.32088925003,21618.723860259997,166395.09341767,0,166395.09341767,432957.13816718,
2026-02-28T00:00:00,,248046.12672179003,24096.06983847,167971.53450053997,0.00078155,167971.53528209,440113.73184235004,
