,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 6c:  Bank notes in Circulation by Denomination (Sixth-Issue) Outside SAMA,,,,,,,جدول 6c: العملة الورقية المتداولة خارج البنك المركزي حسب الفئات (الإصدار السادس),
(Thousands ﷼),,,,,,,(ألف ﷼),
نهاية الفترة,,Bank Notes العملة الورقية,,,,,,
,,,,,,,,
,,فــئـة,فــئـة,فــئـة,فــئـة,فــئـة,المجموع ,
End of Period,,خمس مئة,مئة,خمسين,عشرة,خمسة,,
2024-10-31T00:00:00,,174084183,22450816.3,5859683,1655724.22,1469504.135,205519910.655,
2024-11-30T00:00:00,,174036014.5,22754933.5,6040196.35,1641782.63,1459398.185,205932325.16500002,
2024-12-31T00:00:00,,176033571,23045319.4,6143015.35,1650160.17,1460334.395,208332400.315,
2025-01-31T00:00:00,,178474691,23556868.1,6306430.7,1695632.57,1486729.7,211520352.07,
2025-02-28T00:00:00,,182642215.5,24201896.9,6593884.75,1790551.94,1545868.625,216774417.715,
2025-03-31T00:00:00,,194365182,26638263.6,7442937.9,2087035.78,1762736.515,232296155.79500002,
2025-04-30T00:00:00,,188740367,25032364.3,6993601,2059133.72,1753950.055,224579416.075,
2025-05-31T00:00:00,,191023593,25188925.8,7003176.35,2027828,1763087.21,227006610.35999998,
2025-06-30T00:00:00,,190657441,25101675.4,6979302.85,2004040.98,1745728.38,226488188.60999998,
2025-07-31T00:00:00,,188039457.5,24590887.9,6773641.75,1874980,1660477.125,222939444.275,
2025-08-31T00:00:00,,186086225.5,24405492.7,6715986.45,1862796.56,1637615.865,220708117.075,
2025-09-30T00:00:00,,185250761,23905431.1,6616637.1,1861876.4,1652771.1,219287476.7,
2025-10-31T00:00:00,,186434804,23980067.4,6672470.25,1849014.45,1662316.395,220598672.495,
2025-11-30T00:00:00,,187545942.5,23949157.9,6745832.8,1867797.08,1691542.505,221800272.785,
2025-12-31T00:00:00,,190844701,24123007.6,6823815.7,1871687.21,1709930.54,225373142.05,
2026-01-31T00:00:00,,192216795.5,24287335.9,6841248.7,1940284.66,1771601.28,227057266.04,
2026-02-28T00:00:00,,195636173.5,25208988.9,7261894.55,2167445.14,1925105.17,232199607.26,
