,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
1998-07-31T00:00:00,,344,226,102,224,113,12,69,21,379,106,,1998-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1712
1998-08-31T00:00:00,,348,231,102,224,118,12,69,21,382,107,,1998-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1731
1998-09-30T00:00:00,,354,231,110,224,118,13,69,21,385,107,,1998-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1749
1998-10-31T00:00:00,,354,231,110,224,118,13,69,21,385,107,,1998-10-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1749
1998-11-30T00:00:00,,363,239,112,231,123,13,70,22,392,107,,1998-11-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1794
1998-12-31T00:00:00,,373,247,111,224,124,13,71,22,396,108,,1998-12-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,9,1808
1999-01-31T00:00:00,,378,251,110,224,127,14,72,22,425,108,,1999-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1846
1999-02-28T00:00:00,,379,254,110,224,129,14,72,22,427,108,,1999-02-28T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1854
1999-03-31T00:00:00,,380,271,109,224,133,14,72,22,421,107,,1999-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1867
1999-04-30T00:00:00,,380,267,109,224,133,14,72,22,424,108,,1999-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1872
1999-05-31T00:00:00,,394,277,114,224,134,15,77,22,421,109,,1999-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1911
1999-06-30T00:00:00,,394,277,114,235,134,15,77,22,421,109,,1999-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1922
1999-07-31T00:00:00,,396,274,114,236,135,15,79,22,427,222,,1999-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1932
1999-08-31T00:00:00,,401,275,120,230,137,15,80,22,429,222,,1999-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1943
1999-09-30T00:00:00,,405,278,119,230,137,15,82,22,430,212,,1999-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1942
1999-10-31T00:00:00,,416,280,123,232,139,15,83,22,442,206,,1999-10-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1970
1999-11-30T00:00:00,,428,281,125,233,142,16,86,24,442,175,,1999-11-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1964
1999-12-31T00:00:00,,432,282,125,233,142,16,86,24,450,195,,1999-12-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1997
2000-01-31T00:00:00,,456,282,128,234,144,17,84,24,432,162,,2000-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1975
2000-02-29T00:00:00,,442,282,128,236,145,17,84,24,459,162,,2000-02-29T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1991
2000-03-31T00:00:00,,433,282,128,234,145,17,84,24,459,163,,2000-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,1981
2000-04-30T00:00:00,,452,284,133,236,147,18,87,26,463,163,,2000-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2021
2000-05-31T00:00:00,,435,285,134,236,150,18,88,26,479,163,,2000-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2026
2000-06-30T00:00:00,,435,300,134,236,152,18,89,27,480,165,,2000-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2048
2000-07-31T00:00:00,,435,302,134,236,156,18,91,27,480,167,,2000-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2058
2000-08-31T00:00:00,,435,305,135,240,158,18,91,27,487,168,,2000-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2076
2000-09-30T00:00:00,,494,298,132,243,158,18,92,26,518,157,,2000-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2148
2000-10-31T00:00:00,,495,301,135,248,159,18,93,26,527,158,,2000-10-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2172
2000-11-30T00:00:00,,497,305,137,247,160,18,94,26,555,158,,2000-11-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2209
2000-12-31T00:00:00,,503,305,137,249,162,18,96,29,566,157,,2000-12-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2234
2001-01-31T00:00:00,,508,308,137,250,161,18,98,31,566,157,,2001-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2246
2001-02-28T00:00:00,,513,309,136,253,162,18,99,35,583,162,,2001-02-28T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2282
2001-03-31T00:00:00,,526,309,136,254,163,18,100,35,595,161,,2001-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2309
2001-04-30T00:00:00,,529,311,136,255,165,19,101,35,603,163,,2001-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2329
2001-05-31T00:00:00,,529,316,135,256,166,19,101,37,607,165,,2001-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2343
2001-06-30T00:00:00,,540,317,135,256,169,19,103,37,613,165,,2001-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2366
2001-07-31T00:00:00,,541,322,135,256,173,19,104,37,614,167,,2001-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2380
2001-08-31T00:00:00,,542,326,137,255,175,19,106,38,624,168,,2001-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2402
2001-09-30T00:00:00,,551,333,138,255,177,19,106,40,645,173,,2001-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2449
2001-10-31T00:00:00,,567,342,137,255,177,19,109,47,645,176,,2001-10-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2486
2001-11-30T00:00:00,,582,347,137,255,179,20,111,49,673,180,,2001-11-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2545
2001-12-31T00:00:00,,591,352,137,258,180,20,111,49,685,182,,2001-12-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2577
2002-01-31T00:00:00,,608,359,137,258,184,20,116,45,690,185,,2002-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2614
2002-02-28T00:00:00,,610,355,139,258,183,20,117,53,696,191,,2002-02-28T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2634
2002-03-31T00:00:00,,612,360,139,259,182,20,119,58,711,201,,2002-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2673
2002-04-30T00:00:00,,625,374,140,261,184,20,119,61,725,204,,2002-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2725
2002-05-31T00:00:00,,636,396,140,262,185,20,120,61,730,206,,2002-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2768
2002-06-30T00:00:00,,649,412,141,265,181,20,121,61,742,208,,2002-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2812
2002-07-31T00:00:00,,661,433,143,269,185,21,123,61,777,215,,2002-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2900
2002-08-31T00:00:00,,688,456,148,271,191,21,123,63,752,216,,2002-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2941
2002-09-30T00:00:00,,675,476,150,277,193,21,123,63,762,220,,2002-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,2972
2002-10-31T00:00:00,,706,506,148,278,193,22,124,70,773,227,,2002-10-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3059
2002-11-30T00:00:00,,715,505,149,281,200,23,125,71,784,229,,2002-11-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3094
2002-12-31T00:00:00,,710,505,149,283,207,23,125,74,800,232,,2002-12-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3120
2003-01-31T00:00:00,,720,507,149,283,204,24,125,82,812,235,,2003-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3153
2003-02-28T00:00:00,,714,507,150,283,208,24,126,83,816,246,,2003-02-28T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3169
2003-03-31T00:00:00,,733,514,153,285,211,25,129,86,819,244,,2003-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3211
2003-04-30T00:00:00,,744,520,154,288,212,25,131,89,822,243,,2003-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3240
2003-05-31T00:00:00,,743,529,155,290,217,25,132,91,819,246,,2003-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3259
2003-06-30T00:00:00,,755,539,155,293,219,26,132,92,835,259,,2003-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3317
2003-07-31T00:00:00,,757,545,158,294,223,26,133,92,848,261,,2003-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3349
2003-08-31T00:00:00,,758,547,159,298,224,26,134,92,860,265,,2003-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3375
2003-09-30T00:00:00,,763,550,160,301,224,26,134,93,895,268,,2003-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3426
2003-10-31T00:00:00,,777,555,159,302,226,25,135,93,922,274,,2003-10-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3480
2003-11-30T00:00:00,,792,556,161,304,230,25,135,94,987,275,,2003-11-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3571
2003-12-31T00:00:00,,810,556,162,312,234,25,136,94,1060,275,,2003-12-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3676
2004-01-31T00:00:00,,840,555,163,316,236,25,136,98,1077,279,,2004-01-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3737
2004-02-29T00:00:00,,840,557,164,322,237,25,136,99,1087,286,,2004-02-29T00:00:00,, ---, --- , ---, ---, ---, ---, ---, ---,---,12,3765
2004-03-31T00:00:00,,842,566,164,325,236,25,137,103,1090,291,,2004-03-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3791
2004-04-30T00:00:00,,851,567,168,326,236,26,139,103,1110,300,,2004-04-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3838
2004-05-31T00:00:00,,857,571,168,337,236,26,139,106,1116,301,,2004-05-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3869
2004-06-30T00:00:00,,869,574,168,342,238,26,136,106,1126,302,,2004-06-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3899
2004-07-31T00:00:00,,871,579,169,347,238,25,136,107,1135,305,,2004-07-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3924
2004-08-31T00:00:00,,875,583,169,350,239,24,137,107,1139,308,,2004-08-31T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3943
2004-09-30T00:00:00,,876,586,169,356,239,25,140,110,1141,311,,2004-09-30T00:00:00,, ---, ---, ---, ---, ---, ---, ---, ---,---,12,3965
2004-10-31T00:00:00,,887,592,171,365,241,25,140,114,1157,315,,2004-10-31T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4020
2004-11-30T00:00:00,,892,600,173,371,240,25,144,116,1163,317,,2004-11-30T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4054
2004-12-31T00:00:00,,892,619,174,381,240,27,144,123,1175,316,,2004-12-31T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4104
2005-01-31T00:00:00,,895,624,175,385,242,29,143,127,1180,319,,2005-01-31T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4132
2005-02-28T00:00:00,,888,624,177,399,245,29,144,126,1189,320,,2005-02-28T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4154
2005-03-31T00:00:00,,890,627,178,404,243,31,144,133,1200,320,,2005-03-31T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4183
2005-04-30T00:00:00,,893,636,180,406,244,32,144,133,1246,323,,2005-04-30T00:00:00,, ---,1, ---, ---, ---, ---, ---, ---,---,12,4250
2005-05-31T00:00:00,,907,648,181,409,241,39,147,136,1252,326,,2005-05-31T00:00:00,,4,1, ---, ---, ---, ---, ---, ---,---,12,4303
2005-06-30T00:00:00,,912,649,185,411,244,46,149,137,1264,327,,2005-06-30T00:00:00,,11,1, ---, ---, ---, ---, ---, ---,---,12,4348
2005-07-31T00:00:00,,909,650,186,412,245,48,153,137,1270,331,,2005-07-31T00:00:00,,16,1, ---, ---, ---, ---, ---, ---,---,12,4370
2005-08-31T00:00:00,,912,657,186,404,250,52,153,139,1277,335,,2005-08-31T00:00:00,,19,1, ---, ---, ---, ---, ---, ---,---,12,4397
2005-09-30T00:00:00,,911,660,186,404,254,53,152,139,1284,342,,2005-09-30T00:00:00,,21,1, ---, ---, ---, ---, ---, ---,---,12,4419
2005-10-31T00:00:00,,915,678,191,402,256,61,153,139,1293,351,,2005-10-31T00:00:00,,21,1, ---, ---, ---, ---, ---, ---,---,12,4473
2005-11-30T00:00:00,,915,687,193,410,258,61,153,140,1305,360,,2005-11-30T00:00:00,,20,1, ---, ---, ---, ---, ---, ---,---,12,4515
2005-12-31T00:00:00,,931,687,194,417,258,61,155,141,1338,362,,2005-12-31T00:00:00,,31,1, ---, ---, ---, ---, ---, ---,---,12,4588
2006-01-31T00:00:00,,917,699,197,416,259,67,153,140,1380,364,,2006-01-31T00:00:00,,40,1, ---, ---, ---, ---, ---, ---,---,12,4645
2006-02-28T00:00:00,,917,699,197,416,259,67,153,140,1380,364,,2006-02-28T00:00:00,,40,1, ---, ---, ---, ---, ---, ---,---,12,4645
2006-03-31T00:00:00,,944,785,199,423,258,73,158,142,1482,368,,2006-03-31T00:00:00,,80,1, ---, ---, ---, ---, ---, ---,---,12,4925
2006-04-30T00:00:00,,956,899,203,424,260,74,160,146,1511,375,,2006-04-30T00:00:00,,86,1, ---, ---, ---, ---, ---, ---,---,12,5107
2006-05-31T00:00:00,,968,959,204,429,264,80,160,154,1516,380,,2006-05-31T00:00:00,,126,1, ---, ---, ---, ---, ---, ---,---,12,5253
2006-06-30T00:00:00,,992,1011,206,434,266,85,161,158,1530,382,,2006-06-30T00:00:00,,139,1, ---, ---, ---, ---, ---, ---,---,12,5377
2006-07-31T00:00:00,,999,1015,209,453,268,87,163,167,1558,383,,2006-07-31T00:00:00,,165,1, ---, ---, ---, ---, ---, ---,---,12,5480
2006-08-31T00:00:00,,1003,1092,210,461,277,87,164,167,1565,389,,2006-08-31T00:00:00,,188,1, ---, ---, ---, ---, ---, ---,---,12,5616
2006-09-30T00:00:00,,1031,1162,211,487,281,94,164,169,1566,392,,2006-09-30T00:00:00,,194,1, ---, ---, ---, ---, ---, ---,---,12,5764
2006-10-31T00:00:00,,1031,1176,215,500,285,101,165,171,1571,391,,2006-10-31T00:00:00,,211,1, ---, ---, ---, ---, ---, ---,---,12,5830
2006-11-30T00:00:00,,1046,1208,220,506,287,104,165,181,1586,393,,2006-11-30T00:00:00,,232,1, ---, ---, ---, ---, ---, ---,---,12,5941
2006-12-31T00:00:00,,1048,1262,222,534,308,112,166,184,1592,398,,2006-12-31T00:00:00,,240,1, ---, ---, ---, ---, ---, ---,---,12,6079
2007-01-31T00:00:00,,1062,1293,225,555,318,117,167,200,1629,403,,2007-01-31T00:00:00,,253,1,1, ---, ---, ---, ---, ---,---,12,6236
2007-02-28T00:00:00,,1062,1293,225,555,318,117,167,200,1629,403,,2007-02-28T00:00:00,,253,1,1, ---, ---, ---, ---, ---,---,12,6236
2007-03-31T00:00:00,,1097,1336,226,579,336,127,169,209,1715,411,,2007-03-31T00:00:00,,300,1,1,3, ---, ---, ---, ---,---,12,6522
2007-04-30T00:00:00,,1107,1337,231,587,345,128,170,212,1747,413,,2007-04-30T00:00:00,,340,1,1,3, ---, ---, ---, ---,---,12,6634
2007-05-31T00:00:00,,1129,1347,230,620,354,128,170,213,1771,419,,2007-05-31T00:00:00,,356,1,1,3, ---, ---, ---, ---,---,12,6754
2007-06-30T00:00:00,,1141,1358,231,629,362,130,170,218,1798,423,,2007-06-30T00:00:00,,376,1,1,3, ---, ---, ---, ---,---,12,6853
2007-07-31T00:00:00,,1155,1388,234,640,370,130,172,218,1826,425,,2007-07-31T00:00:00,,386,1,2,3, ---, ---, ---, ---,---,12,6962
2007-08-31T00:00:00,,1165,1399,235,656,374,151,172,217,1857,428,,2007-08-31T00:00:00,,391,1,2,3, ---, ---, ---, ---,---,12,7063
2007-09-30T00:00:00,,1169,1442,237,676,383,158,174,218,1850,430,,2007-09-30T00:00:00,,396,3,2,3, ---, ---, ---, ---,---,12,7153
2007-10-31T00:00:00,,1179,1460,238,679,387,166,176,220,1881,432,,2007-10-31T00:00:00,,398,3,2,3, ---, ---, ---, ---,---,12,7236
2007-11-30T00:00:00,,1180,1488,317,683,397,177,179,220,1908,435,,2007-11-30T00:00:00,,399,3,2,3, ---, ---, ---, ---,---,12,7403
2007-12-31T00:00:00,,1184,1562,320,705,401,190,179,221,1921,438,,2007-12-31T00:00:00,,400,5,2,3, ---, ---, ---, ---,---,12,7543
2008-01-31T00:00:00,,1195,1663,246,697,408,199,179,227,1946,441,,2008-01-31T00:00:00,,401,5,2,3, ---, ---, ---, ---,---,12,7624
2008-02-29T00:00:00,,1217,1737,249,690,412,215,181,227,1971,442,,2008-02-29T00:00:00,,404,5,2,3, ---, ---, ---, ---,---,12,7767
2008-03-31T00:00:00,,1238,1811,250,708,420,278,183,227,2004,443,,2008-03-31T00:00:00,,404,5,2,3, ---, ---, ---, ---,---,12,7988
2008-04-30T00:00:00,,1245,1829,253,717,423,287,183,230,2035,448,,2008-04-30T00:00:00,,404,5,2,3, ---, ---, ---, ---,---,12,8076
2008-05-31T00:00:00,,1261,1850,254,726,429,290,183,231,2050,454,,2008-05-31T00:00:00,,405,5,2,3, ---, ---, ---, ---,---,12,8155
2008-06-30T00:00:00,,1279,1867,264,759,430,290,183,239,2089,457,,2008-06-30T00:00:00,,405,5,2,3, ---, ---, ---, ---,---,12,8284
2008-07-31T00:00:00,,1303,1895,265,780,432,290,187,241,2122,466,,2008-07-31T00:00:00,,408,5,2,3, ---, ---, ---, ---,---,12,8411
2008-08-31T00:00:00,,1316,1942,265,789,438,303,188,241,2164,469,,2008-08-31T00:00:00,,408,5,2,3, ---, ---, ---, ---,---,12,8545
2008-09-30T00:00:00,,1328,1968,269,794,438,307,190,244,2187,469,,2008-09-30T00:00:00,,412,5,2,3, ---, ---, ---, ---,---,12,8628
2008-10-31T00:00:00,,1344,1997,272,820,442,308,191,245,2204,471,,2008-10-31T00:00:00,,412,5,2,3, ---, ---, ---, ---,---,12,8728
2008-11-30T00:00:00,,1371,2014,273,827,449,312,196,245,2230,473,,2008-11-30T00:00:00,,412,5,2,3, ---, ---, ---, ---,---,12,8824
2008-12-31T00:00:00,,1384,2027,274,842,452,314,169,247,2266,476,,2008-12-31T00:00:00,,420,5,2,3, ---, ---, ---, ---,---,12,8893
2009-01-31T00:00:00,,1410,2086,275,855,456,314,201,250,2278,481,,2009-01-31T00:00:00,,429,5,2,3, ---, ---, ---, ---,---,12,9057
2009-02-28T00:00:00,,1413,2137,278,860,461,314,201,250,2297,486,,2009-02-28T00:00:00,,430,9,2,3, ---, ---, ---, ---,---,12,9153
2009-03-31T00:00:00,,1426,2181,284,870,464,318,201,251,2318,487,,2009-03-31T00:00:00,,431,10,2,3, ---, ---, ---, ---,---,12,9258
2009-04-30T00:00:00,,1447,2198,293,878,465,318,207,257,2330,487,,2009-04-30T00:00:00,,431,10,2,3, ---, ---, ---, ---,---,12,9338
2009-05-31T00:00:00,,1457,2238,293,883,468,321,216,256,2355,487,,2009-05-31T00:00:00,,434,10,2,3, ---, ---, ---, ---,---,12,9435
2009-06-30T00:00:00,,1467,2258,303,886,468,322,216,259,2382,490,,2009-06-30T00:00:00,,434,10,2,4, ---, ---, ---, ---,---,12,9513
2009-07-31T00:00:00,,1475,2298,308,891,468,328,216,261,2402,490,,2009-07-31T00:00:00,,435,10,2,4,43,1, ---, ---,---,12,9644
2009-08-31T00:00:00,,1479,2356,313,900,467,328,218,267,2417,491,,2009-08-31T00:00:00,,436,10,2,4,62,1, ---, ---,---,12,9763
2009-09-30T00:00:00,,1471,2354,317,899,465,282,219,271,2431,494,,2009-09-30T00:00:00,,436,12,2,4,65,1, ---, ---,---,12,9735
2009-10-31T00:00:00,,1485,2393,319,900,474,293,220,276,2438,497,,2009-10-31T00:00:00,,439,12,2,4,70,1, ---, ---,---,12,9835
2009-11-30T00:00:00,,1485,2419,329,902,475,293,221,289,2453,498,,2009-11-30T00:00:00,,442,12,2,4,78,1, ---, ---,---,12,9915
2009-12-31T00:00:00,,1485,2433,330,899,474,296,221,293,2460,496,,2009-12-31T00:00:00,,450,12,2,4,82,1, ---, ---,---,12,9950
2010-01-31T00:00:00,,1536,2463,333,899,478,296,221,296,2481,498,,2010-01-31T00:00:00,,452,13,2,4,91,1, ---, ---,---,12,10076
2010-02-28T00:00:00,,1538,2473,335,907,479,296,223,296,2500,498,,2010-02-28T00:00:00,,452,13,2,4,97,1, ---, ---,---,12,10126
2010-03-31T00:00:00,,1542,2511,338,910,479,300,225,300,2514,497,,2010-03-31T00:00:00,,458,13,2,4,110,1, ---, ---,---,12,10216
2010-04-30T00:00:00,,1548,2517,341,917,479,302,225,307,2555,497,,2010-04-30T00:00:00,,462,14,2,4,121,1, ---, ---,---,12,10304
2010-05-31T00:00:00,,1564,2523,346,926,487,307,226,311,2594,495,,2010-05-31T00:00:00,,466,14,2,4,130,1, ---, ---,---,12,10408
2010-06-30T00:00:00,,1569,2534,351,922,492,306,229,310,2612,498,,2010-06-30T00:00:00,,467,14,2,4,139,1, ---, ---,---,12,10462
2010-07-31T00:00:00,,1578,2550,357,926,492,306,229,314,2632,505,,2010-07-31T00:00:00,,479,14,2,4,148,1, ---, ---,---,12,10549
2010-08-31T00:00:00,,1585,2568,363,926,501,309,231,315,2650,506,,2010-08-31T00:00:00,,498,15,2,4,151,1, ---, ---,---,12,10637
2010-09-30T00:00:00,,1589,2565,363,925,501,309,233,317,2672,506,,2010-09-30T00:00:00,,490,15,2,4,155,1, ---, ---,---,12,10659
2010-10-31T00:00:00,,1599,2577,372,924,504,310,235,322,2703,508,,2010-10-31T00:00:00,,496,15,2,5,164,1, ---, ---,---,12,10749
2010-11-30T00:00:00,,1610,2572,379,922,504,310,237,323,2721,512,,2010-11-30T00:00:00,,499,15,2,5,173,1, ---, ---,---,12,10797
2010-12-31T00:00:00,,1626,2576,385,927,510,308,245,324,2750,512,,2010-12-31T00:00:00,,497,15,2,5,190,1, ---, ---,---,12,10885
2011-01-31T00:00:00,,1634,2580,389,927,509,307,245,327,2770,514,,2011-01-31T00:00:00,,493,15,2,5,213,1, ---, ---,---,12,10943
2011-02-28T00:00:00,,1644,2594,389,929,505,306,246,328,2803,513,,2011-02-28T00:00:00,,497,15,2,5,226,1, ---, ---,---,12,11015
2011-03-31T00:00:00,,1656,2592,396,929,502,305,255,330,2812,513,,2011-03-31T00:00:00,,503,15,2,5,243,1, ---, ---,---,12,11071
2011-04-30T00:00:00,,1676,2599,399,928,506,305,252,330,2853,513,,2011-04-30T00:00:00,,508,15,2,5,260,1, ---, ---,---,12,11164
2011-05-31T00:00:00,,1686,2590,399,929,506,305,255,328,2888,512,,2011-05-31T00:00:00,,518,15,2,6,281,1, ---, ---,---,12,11233
2011-06-30T00:00:00,,1702,2579,401,930,509,304,256,327,2920,512,,2011-06-30T00:00:00,,521,15,2,6,303,1, ---, ---,---,12,11300
2011-07-31T00:00:00,,1724,2584,407,931,506,304,255,329,2955,516,,2011-07-31T00:00:00,,524,15,2,6,316,1, ---, ---,---,12,11387
2011-08-31T00:00:00,,1730,2586,411,932,509,305,256,329,2969,518,,2011-08-31T00:00:00,,530,15,2,6,327,1, ---, ---,---,12,11438
2011-09-30T00:00:00,,1742,2587,413,932,514,307,256,331,2986,518,,2011-09-30T00:00:00,,540,15,2,6,355,1, ---, ---,---,12,11517
2011-10-31T00:00:00,,1754,2596,417,933,520,312,257,331,3001,519,,2011-10-31T00:00:00,,551,15,2,6,364,1, ---, ---,---,12,11591
2011-11-30T00:00:00,,1764,2600,423,933,518,315,256,334,3007,520,,2011-11-30T00:00:00,,557,15,2,6,377,1, ---, ---,---,12,11640
2011-12-31T00:00:00,,1791,2594,437,935,524,318,257,334,3034,520,,2011-12-31T00:00:00,,586,15,2,6,400,1, ---, ---,---,12,11766
2012-01-31T00:00:00,,1807,2598,447,844,522,318,257,339,3056,518,,2012-01-31T00:00:00,,593,15,2,6,414,1, ---, ---,---,12,11749
2012-02-29T00:00:00,,1813,2596,449,843,521,318,254,354,3059,518,,2012-02-29T00:00:00,,601,15,2,6,422,1, ---, ---,---,12,11784
2012-03-31T00:00:00,,1824,2594,454,846,521,320,253,354,3090,518,,2012-03-31T00:00:00,,613,15,2,6,450,1, ---, ---,---,12,11873
