,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
Q1,1999,380,271,109,224,133,14,72,22,421,107,,Q1,1999, ---, ---, ---, ---, ---, ---, ---,---,---,12,1867
Q2,1999,394,277,114,235,134,15,77,22,421,109,,Q2,1999, ---, ---, ---, ---, ---, ---, ---,---,---,12,1922
Q3,1999,405,278,119,230,137,15,82,22,430,212,,Q3,1999, ---, ---, ---, ---, ---, ---, ---,---,---,12,1942
Q4,1999,432,282,125,233,142,16,86,24,450,195,,Q4,1999, ---, ---, ---, ---, ---, ---, ---,---,---,12,1997
Q1,2000,433,282,128,234,145,17,84,24,459,163,,Q1,2000, ---, ---, ---, ---, ---, ---,,---,---,12,1981
Q2,2000,435,300,134,236,152,18,89,27,480,165,,Q2,2000, ---, ---, ---, ---, ---, ---, ---,---,---,12,2048
Q3,2000,494,298,132,243,158,18,92,26,518,157,,Q3,2000, ---, ---, ---, ---, ---, ---, ---,---,---,12,2148
Q4,2000,503,305,137,249,162,18,96,29,566,157,,Q4,2000, ---, ---, ---, ---, ---, ---, ---,---,---,12,2234
Q1,2001,526,309,136,254,163,18,100,35,595,161,,Q1,2001, ---, ---, ---, ---, ---, ---, ---,---,---,12,2309
Q2,2001,540,317,135,256,169,19,103,37,613,165,,Q2,2001, ---, ---, ---, ---, ---, ---, ---,---,---,12,2366
Q3,2001,551,333,138,255,177,19,106,40,645,173,,Q3,2001, ---, ---, ---, ---, ---, ---, ---,---,---,12,2449
Q4,2001,591,352,137,258,180,20,111,49,685,182,,Q4,2001, ---, ---, ---, ---, ---, ---, ---,---,---,12,2577
Q1,2002,612,360,139,259,182,20,119,58,711,201,,Q1,2002, ---, ---, ---, ---, ---, ---, ---,---,---,12,2673
