,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,
Table 27c: SARIE Messages (Bulk Transactions)*,,,,,,,,جدول 27c:  عدد رسائل ســريــع (عمليات مجمعة)*,
,,,,,,,,,
,, مدفوعات العملاء ,,,مدفوعات ما بين المصارف,,,,
الفترة,,Customer Payments,,,Interbank Payments,,,المجموع,
,,مجمعة,مفردة,مجموع,مجمعة,مفردة,مجموع,Total,
Period,,,,Total,,,Total,(1+2),
,,Bulk,Single,(1),Bulk,Single,(2),,
Q4,2019,1144634,3453625,4598259,9284,172418,181702,4779961,
Q1,2020,1020875,3562777,4583652,8716,168555,177271,4760923,
Q2,2020,1018400,5761883,6780283,10516,187546,198062,6978345,
Q3,2020,1148028,6330671,7478699,11262,233730,244992,7723691,
Q4,2020,1464847,2201558,3666405,13145,296666,309811,3976216,
Q1,2021,1231550,1812425,3043975,12368,251760,264128,3308103,
Q2,2021,1165999,783781,1949780,12059,174861,186920,2136700,
Q3,2021,1192375,716426,1908801,13952,203795,217747,2126548,
Q4,2021,1380421,694070,2074491,16593,257916,274509,2349000,
Q1,2022,1239061,528004,1767065,18986,341994,360980,2128045,
Q2,2022,1258395,584368,1842763,20675,342379,363054,2205817,
Q3,2022,1233552,540238,1773790,19768,262346,282114,2055904,
Q4,2022,1524002,695230,2219232,21737,258034,279771,2499003,
Q1,2023,1466273,668580,2134853,17752,250114,267866,2402719,
Q2,2023,1518825,700902,2219727,16693,228279,244972,2464699,
Q3,2023,1511132,714948,2226080,16346,232494,248840,2474920,
Q4,2023,1839827,875284,2715111,21943,212618,234561,2949672,
Q1,2024,1689438,969972,2659410,25601,191986,217587,2876997,
Q2,2024,1674554,1131898,2806452,26535,189513,216048,3022500,
Q3,2024,1837808,1156600,2994408,28501,217953,246454,3240862,
Q4,2024,1974997,1259906,3234903,30456,223911,254367,3489270,
Q1,2025,1938263,1364803,3303066,30588,219662,250250,3553316,
Q2,2025,1778783,1338865,3117648,32393,207866,240259,3357907,
Q3,2025,2007293,1523585,3530878,29121,219495,248616,3779494,
Q4,2025,2250615,1660577,3911192,28099,236968,265067,4176259,
,,,,,,,,,
2004-01-31T00:00:00,,17844,68447,86291,154,16471,16625,102916,
2004-02-29T00:00:00,,15587,52277,67864,163,12932,13095,80959,
2004-03-31T00:00:00,,19124,72908,92032,210,16772,16982,109014,
2004-04-30T00:00:00,,18062,64694,82756,194,16298,16492,99248,
2004-05-31T00:00:00,,18388,74582,92970,390,15702,16092,109062,
2004-06-30T00:00:00,,18043,76141,94184,389,15779,16168,110352,
2004-07-31T00:00:00,,16989,75870,92859,394,13813,14207,107066,
2004-08-31T00:00:00,,17622,72497,90119,435,14698,15133,105252,
2004-09-30T00:00:00,,17485,74647,92132,435,14131,14566,106698,
2004-10-31T00:00:00,,20462,87765,108227,385,15604,15989,124216,
