,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 29c: Remittance Services Centers,,,,,,,,,,جدول 29c: مراكز الحوالات,
,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك العربي,بنك الجزيرة,مصرف الراجحي,مجموعة سامبا,بنك البلاد,مصرف الإنماء,المجموع,
الفترة,,السعودي*,,الوطني,,,المالية *,,,,
End of,,Saudi National ,Riyad,The Arab, Bank ,Al-Rajhi ,Samba,Bank,Alinma,Total ,
Period,,Bank*,  Bank,National Bank,Al-Jazira,Bank,Financial Group *, Albilad ,Bank,,
Q1,2015,98,21,95,16,176,31,156,---,593,
Q2,2015,98,21,95,22,176,31,163,---,606,
Q3,2015,107,21,96,24,179,31,167,---,625,
Q4,2015,138,24,96,30,186,30,171,---,675,
Q1,2016,138,25,94,30,191,29,172,---,679,
Q2,2016,139,25,95,33,198,29,173,---,692,
Q3,2016,140,24,95,36,199,29,173,---,696,
Q4,2016,148,24,95,41,217,29,176,---,730,
Q1,2017,148,25,96,45,223,29,178,---,744,
Q2,2017,148,20,96,48,230,29,178,---,749,
Q3,2017,148,20,96,48,232,28,179,---,751,
Q4,2017,150,18,94,50,233,28,179,---,752,
Q1,2018,156,18,94,50,234,21,179,---,752,
Q2,2018,156,18,93,51,234,13,179,---,744,
Q3,2018,153,11,93,53,236,7,179,---,732,
Q4,2018,150,11,92,57,236,7,180,---,733,
Q1,2019,147,11,91,57,236,7,180,52,781,
Q2,2019,146,9,89,57,236,7,180,54,778,
Q3,2019,138,1,88,60,232,7,179,55,760,
Q4,2019,138,0,87,61,231,7,179,53,756,
Q1,2020,138,0,87,61,231,7,178,53,755,
Q2,2020,138,0,87,61,231,6,178,53,754,
Q3,2020,127,0,87,61,228,6,178,53,740,
Q4,2020,127,0,87,62,226,6,177,53,738,
Q1,2021,127,0,86,62,225,6,177,53,736,
Q2,2021,131,0,86,62,217,---,175,53,724,
Q3,2021,131,0,86,62,215,---,173,52,719,
Q4,2021,130,0,85,62,207,---,168,52,704,
Q1,2022,121,0,84,61,205,---,158,52,681,
Q2,2022,120,0,80,54,199,---,154,52,659,
Q3,2022,120,0,78,54,195,---,152,49,648,
Q4,2022,120,0,75,54,174,---,152,49,624,
Q1,2023,120,0,75,54,170,---,151,42,612,
Q2,2023,101,0,62,54,163,---,150,41,571,
Q3,2023,101,0,60,52,153,---,150,36,552,
Q4,2023,96,0,59,52,142,---,148,33,530,
Q1,2024,96,0,57,51,142,---,147,33,526,
Q2,2024,95,0,56,46,136,---,146,33,512,
Q3,2024,95,0,57,43,136,---,146,31,508,
Q4,2024,93,0,58,38,136,---,146,31,502,
Q1,2025,93,0,58,32,136,---,146,31,496,
Q2,2025,93,0,57,27,136,---,142,31,486,
Q3,2025,93,0,57,24,136,---,143,31,484,
Q4,2025,93,0,54,24,135,---,141,31,478,
,,,,,,,,,,,
1997-01-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-02-28T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-03-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-04-30T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-05-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-06-30T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-07-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-08-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-09-30T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-10-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-11-30T00:00:00,,---,---,3,---,7,16,---,---,26,
1997-12-31T00:00:00,,---,---,3,---,7,16,---,---,26,
1998-01-31T00:00:00,,---,---,3,---,7,16,---,---,26,
1998-02-28T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-03-31T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-04-30T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-05-31T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-06-30T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-07-31T00:00:00,,---,---,4,---,8,16,---,---,28,
1998-08-31T00:00:00,,---,---,4,---,8,16,---,---,28,
1998-09-30T00:00:00,,---,---,4,---,9,17,---,---,30,
1998-10-31T00:00:00,,---,---,4,---,9,17,---,---,30,
1998-11-30T00:00:00,,---,---,4,---,9,17,---,---,30,
1998-12-31T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-01-31T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-02-28T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-03-31T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-04-30T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-05-31T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-06-30T00:00:00,,---,---,4,---,9,17,---,---,30,
1999-07-31T00:00:00,,---,---,9,---,9,17,---,---,35,
1999-08-31T00:00:00,,---,---,9,---,9,17,---,---,35,
1999-09-30T00:00:00,,---,---,9,---,9,17,---,---,35,
1999-10-31T00:00:00,,---,---,9,---,10,17,---,---,36,
1999-11-30T00:00:00,,---,---,9,---,10,17,---,---,36,
1999-12-31T00:00:00,,---,---,9,---,10,17,---,---,36,
2000-01-31T00:00:00,,---,---,9,---,10,18,---,---,37,
2000-02-29T00:00:00,,---,---,9,---,10,18,---,---,37,
2000-03-31T00:00:00,,---,---,9,---,10,18,---,---,37,
2000-04-30T00:00:00,,---,---,9,---,10,19,---,---,38,
2000-05-31T00:00:00,,---,---,9,---,10,20,---,---,39,
2000-06-30T00:00:00,,---,---,9,---,10,20,---,---,39,
2000-07-31T00:00:00,,---,---,9,---,10,20,---,---,39,
2000-08-31T00:00:00,,---,---,9,---,10,20,---,---,39,
2000-09-30T00:00:00,,---,---,9,---,10,20,---,---,39,
2000-10-31T00:00:00,,---,---,9,---,10,21,---,---,40,
2000-11-30T00:00:00,,---,---,11,---,10,21,---,---,42,
2000-12-31T00:00:00,,---,---,11,---,10,21,---,---,42,
2001-01-31T00:00:00,,---,---,11,---,11,21,---,---,43,
2001-02-28T00:00:00,,---,---,11,---,12,21,---,---,44,
2001-03-31T00:00:00,,---,---,11,---,12,21,---,---,44,
2001-04-30T00:00:00,,---,---,11,---,12,21,---,---,44,
2001-05-31T00:00:00,,---,---,11,---,14,21,---,---,46,
2001-06-30T00:00:00,,---,---,11,---,14,21,---,---,46,
2001-07-31T00:00:00,,---,---,11,---,15,21,---,---,47,
2001-08-31T00:00:00,,---,---,11,---,19,21,---,---,51,
2001-09-30T00:00:00,,---,---,11,---,21,21,---,---,53,
2001-10-31T00:00:00,,---,---,11,---,24,21,---,---,56,
2001-11-30T00:00:00,,---,---,11,---,24,21,---,---,56,
2001-12-31T00:00:00,,---,---,11,---,24,21,---,---,56,
2002-01-31T00:00:00,,---,---,11,---,24,21,---,---,56,
2002-02-28T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-03-31T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-04-30T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-05-31T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-06-30T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-07-31T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-08-31T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-09-30T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-10-31T00:00:00,,---,---,11,---,24,23,---,---,58,
2002-11-30T00:00:00,,---,---,11,---,25,23,---,---,59,
2002-12-31T00:00:00,,---,---,11,---,27,23,---,---,61,
2003-01-31T00:00:00,,---,---,11,---,27,23,---,---,61,
2003-02-28T00:00:00,,---,---,11,---,27,24,---,---,62,
2003-03-31T00:00:00,,---,---,12,---,27,24,---,---,63,
2003-04-30T00:00:00,,---,---,12,---,28,24,---,---,64,
2003-05-31T00:00:00,,---,---,12,---,28,24,---,---,64,
2003-06-30T00:00:00,,---,---,12,---,29,24,---,---,65,
2003-07-31T00:00:00,,---,---,12,---,29,24,---,---,65,
2003-08-31T00:00:00,,---,---,13,---,29,24,---,---,66,
2003-09-30T00:00:00,,---,---,13,---,29,24,---,---,66,
2003-10-31T00:00:00,,---,---,13,---,29,25,---,---,67,
2003-11-30T00:00:00,,---,---,13,---,30,25,---,---,68,
2003-12-31T00:00:00,,---,---,13,---,30,25,---,---,68,
2004-01-31T00:00:00,,---,---,13,---,31,25,---,---,69,
2004-02-29T00:00:00,,---,---,13,---,32,25,---,---,70,
2004-03-31T00:00:00,,---,---,15,---,33,25,---,---,73,
2004-04-30T00:00:00,,---,---,15,---,33,25,---,---,73,
2004-05-31T00:00:00,,---,---,15,---,33,25,---,---,73,
2004-06-30T00:00:00,,---,---,15,---,33,25,---,---,73,
2004-07-31T00:00:00,,---,---,15,---,33,26,---,---,74,
2004-08-31T00:00:00,,---,---,15,---,33,26,---,---,74,
