,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 29c: Remittance Services Centers,,,,,,,,,,جدول 29c: مراكز الحوالات,
,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك العربي,بنك الجزيرة,مصرف الراجحي,مجموعة سامبا,بنك البلاد,مصرف الإنماء,المجموع,
الفترة,,السعودي*,,الوطني,,,المالية *,,,,
End of,,Saudi National ,Riyad,The Arab, Bank ,Al-Rajhi ,Samba,Bank,Alinma,Total ,
Period,,Bank*,  Bank,National Bank,Al-Jazira,Bank,Financial Group *, Albilad ,Bank,,
2017-11-30T00:00:00,,148,19,95,48,233,28,179,---,750,
2017-12-31T00:00:00,,150,18,94,50,233,28,179,---,752,
2018-01-31T00:00:00,,156,18,94,50,234,28,179,---,759,
2018-02-28T00:00:00,,156,18,94,50,234,25,179,---,756,
2018-03-31T00:00:00,,156,18,94,50,234,21,179,---,752,
2018-04-30T00:00:00,,156,18,94,50,234,17,179,---,748,
2018-05-31T00:00:00,,156,18,94,51,234,13,179,---,745,
2018-06-30T00:00:00,,156,18,93,51,234,13,179,---,744,
2018-07-31T00:00:00,,153,11,94,52,236,13,179,---,738,
2018-08-31T00:00:00,,153,11,93,53,236,10,179,---,735,
2018-09-30T00:00:00,,153,11,93,53,236,7,179,---,732,
2018-10-31T00:00:00,,153,11,92,54,236,7,180,---,733,
2018-11-30T00:00:00,,153,11,92,55,236,7,180,---,734,
2018-12-31T00:00:00,,150,11,92,57,236,7,180,---,733,
2019-01-31T00:00:00,,150,11,92,57,236,7,180,---,733,
2019-02-28T00:00:00,,150,11,91,57,236,7,180,48,780,
2019-03-31T00:00:00,,147,11,91,57,236,7,180,52,781,
2019-04-30T00:00:00,,147,11,90,57,236,7,180,54,782,
2019-05-31T00:00:00,,147,11,89,57,236,7,180,54,781,
2019-06-30T00:00:00,,146,9,89,57,236,7,180,54,778,
2019-07-31T00:00:00,,138,6,89,59,236,7,180,55,770,
2019-08-31T00:00:00,,138,2,88,59,234,7,179,55,762,
2019-09-30T00:00:00,,138,1,88,60,232,7,179,55,760,
2019-10-31T00:00:00,,138,0,88,60,232,7,179,53,757,
2019-11-30T00:00:00,,138,0,88,61,231,7,179,53,757,
2019-12-31T00:00:00,,138,0,87,61,231,7,179,53,756,
2020-01-31T00:00:00,,138,0,87,61,231,7,178,53,755,
2020-02-29T00:00:00,,138,0,87,61,231,7,178,53,755,
2020-03-31T00:00:00,,138,0,87,61,231,7,178,53,755,
2020-04-30T00:00:00,,138,0,87,61,231,6,178,53,754,
2020-05-31T00:00:00,,138,0,87,61,231,6,178,53,754,
2020-06-30T00:00:00,,138,0,87,61,231,6,178,53,754,
2020-07-31T00:00:00,,131,0,87,61,230,6,178,53,746,
2020-08-31T00:00:00,,127,0,87,61,229,6,178,53,741,
2020-09-30T00:00:00,,127,0,87,61,228,6,178,53,740,
2020-10-31T00:00:00,,127,0,87,61,227,6,177,53,738,
2020-11-30T00:00:00,,127,0,87,62,228,6,177,53,740,
2020-12-31T00:00:00,,127,0,87,62,226,6,177,53,738,
2021-01-31T00:00:00,,127,0,87,62,226,6,177,53,738,
2021-02-28T00:00:00,,127,0,87,62,226,6,177,53,738,
2021-03-31T00:00:00,,127,0,86,62,225,6,177,53,736,
2021-04-30T00:00:00,,131,0,86,63,217,---,176,53,726,
2021-05-31T00:00:00,,131,0,86,63,217,---,175,53,725,
2021-06-30T00:00:00,,131,0,86,62,217,---,175,53,724,
2021-07-31T00:00:00,,131,0,86,63,217,---,175,53,725,
2021-08-31T00:00:00,,131,0,86,63,215,---,175,53,723,
2021-09-30T00:00:00,,131,0,86,62,215,---,173,52,719,
2021-10-31T00:00:00,,130,0,85,62,209,---,170,52,708,
2021-11-30T00:00:00,,130,0,85,62,209,---,170,52,708,
2021-12-31T00:00:00,,130,0,85,62,207,---,168,52,704,
2022-01-31T00:00:00,,130,0,85,62,207,---,165,52,701,
2022-02-28T00:00:00,,130,0,84,62,207,---,162,52,697,
2022-03-31T00:00:00,,121,0,84,61,205,---,158,52,681,
2022-04-30T00:00:00,,121,0,84,61,204,---,158,52,680,
2022-05-31T00:00:00,,120,0,81,59,200,---,156,52,668,
2022-06-30T00:00:00,,120,0,80,54,199,---,154,52,659,
2022-07-31T00:00:00,,120,0,80,54,198,---,152,51,655,
2022-08-31T00:00:00,,120,0,79,54,198,---,152,51,654,
2022-09-30T00:00:00,,120,0,78,54,195,---,152,49,648,
2022-10-31T00:00:00,,120,0,76,54,192,---,152,48,642,
2022-11-30T00:00:00,,120,0,76,54,182,---,152,49,633,
2022-12-31T00:00:00,,120,0,75,54,174,---,152,49,624,
2023-01-31T00:00:00,,120,0,75,54,174,---,151,43,617,
2023-02-28T00:00:00,,120,0,75,54,172,---,151,42,614,
2023-03-31T00:00:00,,120,0,75,54,170,---,151,42,612,
2023-04-30T00:00:00,,120,0,74,54,169,---,151,41,609,
2023-05-31T00:00:00,,108,0,68,54,166,---,150,41,587,
2023-06-30T00:00:00,,101,0,62,54,163,---,150,41,571,
2023-07-31T00:00:00,,101,0,62,52,159,---,150,39,563,
2023-08-31T00:00:00,,101,0,60,52,155,---,150,39,557,
2023-09-30T00:00:00,,101,0,60,52,153,---,150,36,552,
2023-10-31T00:00:00,,101,0,60,52,149,---,148,36,546,
2023-11-30T00:00:00,,96,0,60,52,147,---,148,36,539,
2023-12-31T00:00:00,,96,0,59,52,142,---,148,33,530,
2024-01-31T00:00:00,,96,0,57,52,142,---,148,33,528,
2024-02-29T00:00:00,,96,0,57,51,142,---,147,33,526,
2024-03-31T00:00:00,,96,0,57,51,142,---,147,33,526,
2024-04-30T00:00:00,,95,0,57,51,142,---,147,33,525,
2024-05-31T00:00:00,,95,0,57,50,140,---,147,33,522,
2024-06-30T00:00:00,,95,0,56,46,136,---,146,33,512,
2024-07-31T00:00:00,,95,0,56,46,136,---,146,33,512,
2024-08-31T00:00:00,,95,0,56,46,136,---,146,33,512,
2024-09-30T00:00:00,,95,0,57,43,136,---,146,31,508,
2024-10-31T00:00:00,,95,0,58,41,136,---,146,31,507,
2024-11-30T00:00:00,,95,0,58,39,136,---,146,31,505,
2024-12-31T00:00:00,,93,0,58,38,136,---,146,31,502,
2025-01-31T00:00:00,,93,0,58,38,136,---,146,31,502,
2025-02-28T00:00:00,,93,0,58,38,136,---,146,31,502,
2025-03-31T00:00:00,,93,0,58,32,136,---,146,31,496,
2025-04-30T00:00:00,,93,0,58,31,136,---,146,31,495,
2025-05-31T00:00:00,,93,0,57,27,136,---,142,31,486,
2025-06-30T00:00:00,,93,0,57,27,136,---,142,31,486,
2025-07-31T00:00:00,,93,0,57,27,136,---,143,31,487,
2025-08-31T00:00:00,,93,0,57,24,136,---,143,31,484,
2025-09-30T00:00:00,,93,0,57,24,136,---,143,31,484,
2025-10-31T00:00:00,,93,0,57,24,136,---,143,31,484,
2025-11-30T00:00:00,,93,0,57,24,136,---,143,31,484,
2025-12-31T00:00:00,,93,0,54,24,135,---,141,31,478,
2026-01-31T00:00:00,,93,0,54,24,136,---,141,32,480,
2026-02-28T00:00:00,,93,0,54,24,136,---,133,32,472,
,,,,,,,,,,,
,,,,,,,,,,,
"* Starting from April,2021 Samba Financial Group merged with ",,,,,,,,,,* اعتباراً من ابريل 2021م تم اندماج مجموعة سامبا المالية والبنك الأهلي التجاري,
National Commercial Bank to Saudi National Bank.,,,,,,,,,, ليصبح البنك الأهلي السعودي.,
