,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,Investment Funds,,صنــــاديق الإسـتـثـمــــــار,1,,
,,,,,,
2,Investment Funds (Open/Close),,صناديق الإستثمار(مفتوح/مغلق),2,,
,,,,,,
3,Assets of Investment Funds by Type ,, أصول صناديق الإستثمار حسب النوع ,3,,
