,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
Table 12b: Bank Claims on Public Sector (Govt. & Quasi-Govt.),,,,,جدول 12b: مطلوبات المصـارف من القطـاع العـــام (الحكومي وشبه الحكومي)
(Million ﷼),,,,,(مليون ﷼)
نهاية الفترة,,,ائتمان مصرفي, سندات ,الإجمالي
,,,للمؤسسات العامة *, حكومية وشبه حكومية **,
End of Period ,,,   Bank Credit to Public   ,Govt. & Quasi-Govt ,Total
,,,Sector Enterprises *,Bonds **,
1993,,,22601.817000000003,37084.284,59686.101
1994,,,26929.644,39025.038,65954.682
1995,,,24452.341,39176.071,63628.412000000004
1996,,,16703.24,56607.25,73310.49
1997,,,20860.733,75927.059,96787.79199999999
1998,,,23599,85807.385,109406.385
1999,,,14347.381,99978.949,114326.32999999999
2000,,,12438.802,110062.408,122501.20999999999
2001,,,10816.963,121843.239,132660.202
2002,,,11960.023,131555.69700000001,143515.72
2003,,,25844.2,150547.573,176391.77300000002
2004,,,29137.585,146389.893,175527.478
2005,,,31672.425000000003,127091.087,158763.512
2006,,,34964.619999999995,114121.538,149086.158
2007,,,37434.47,127430.685,164865.155
2008,,,32065.449,90696.40100000001,122761.85
2009,,,28135.767,75690.747,103826.514
2010,,,32284.576999999997,61915.303,94199.88
2011,,,31951.972,47711.043,79663.015
2012,,,39705.172,42616.697,82321.869
2013,,,44353.858,49753.271,94107.129
2014-12-31T00:00:00,,,46087.862,53259.499,99347.361
2015-12-31T00:00:00,,,38986.154,86157.633,125143.78700000001
2016-12-31T00:00:00,,,55335.8701475384,178416.26798044,233752.1381279784
2017-12-31T00:00:00,,,53822.8998363387,254545.17204385,308368.0718801887
2018-12-31T00:00:00,,,53765.48,305153.968,358919.448
2019-12-31T00:00:00,,,61646.01,383672.269,445318.279
2020-12-31T00:00:00,,,79157.583,438369.739,517527.322
2021-12-31T00:00:00,,,95072.695,480749.659,575822.354
2022-12-31T00:00:00,,,127861.622412,510298.349567,638159.971979
2023-12-31T00:00:00,,,146702.697123,540315.3102610001,687018.0073840001
2024-12-31T00:00:00,,,203096.884,591897.562,794994.446
2025-12-31T00:00:00,,,256596.136,653264.121,909860.257
,,,,,
Q1,1993,,24830.543,29578.718,54409.261
Q2,1993,,21470.146,34910.15,56380.296
Q3,1993,,20905.328,37652.645,58557.973
Q4,1993,,22601.817000000003,37084.284,59686.101
Q1,1994,,22445.624,36745.269,59190.893
Q2,1994,,25553.706000000002,37965.271,63518.977
Q3,1994,,25400.561,39595.390999999996,64995.952
Q4,1994,,26929.644,39025.038,65954.682
Q1,1995,,26802.897999999997,38812.407,65615.305
Q2,1995,,26773.008,38603.433999999994,65376.441999999995
Q3,1995,,25732.114999999998,38607.538,64339.653
Q4,1995,,24452.341,39176.071,63628.412000000004
Q1,1996,,24206.575,40688.658,64895.23300000001
Q2,1996,,22384.197,51377.769,73761.966
Q3,1996,,20174.655,52606.584,72781.239
Q4,1996,,16703.244,56607.25199999999,73310.49599999998
Q1,1997,,18194.159,66761.902,84956.061
Q2,1997,,17695.645,76075.191,93770.83600000001
Q3,1997,,18675.837,75564.382,94240.219
Q4,1997,,20860.733,75927.059,96787.79199999999
Q1,1998,,21689.77,78329.911,100019.681
Q2,1998,,21824.311,83311.941,105136.25200000001
Q3,1998,,26663.695,82202.87,108866.565
Q4,1998,,23599.041,85807.385,109406.42599999999
Q1,1999,,20000.471,91860.013,111860.48400000001
Q2,1999,,18369.442,97859.985,116229.427
Q3,1999,,17262.782,101065.824,118328.606
Q4,1999,,14347.381,99978.949,114326.32999999999
Q1,2000,,17163.351,98868.647,116031.99799999999
Q2,2000,,14945.330000000002,103972.29699999999,118917.627
Q3,2000,,14329.943,112158.215,126488.158
Q4,2000,,12438.802,110062.408,122501.20999999999
Q1,2001,,11977.711,110428.34599999999,122406.05699999999
Q2,2001,,11469.5,116546.91600000001,128016.41600000001
Q3,2001,,10999.146,121972.16200000001,132971.30800000002
Q4,2001,,10816.963,121843.239,132660.202
Q1,2002,,10938.786000000002,119090.96100000001,130029.74700000002
Q2,2002,,10065.255000000001,125152.71500000001,135217.97
Q3,2002,,8786.617,126354.30899999998,135140.92599999998
Q4,2002,,11960.023,131555.69700000001,143515.72
Q1,2003,,24874.995,143960.177,168835.172
Q2,2003,,24900.107,151966.91199999998,176867.01899999997
Q3,2003,,25032.869,149235.188,174268.057
Q4,2003,,25844.2,150547.573,176391.77300000002
Q1,2004,,25727.419,159524.005,185251.424
Q2,2004,,27031.388,152106.72999999998,179138.118
Q3,2004,,26866.934,150882.632,177749.56600000002
Q4,2004,,29137.585,146389.893,175527.478
Q1,2005,,31623.862,144727.67,176351.532
Q2,2005,,32599.762,145026.81,177626.572
Q3,2005,,32468.278,132484.704,164952.982
Q4,2005,,31672.425000000003,127091.087,158763.512
Q1,2006,,33013.615999999995,123874.144,156887.76
Q2,2006,,33723.612,115045.922,148769.534
Q3,2006,,33905.736,113811.298,147717.03399999999
Q4,2006,,34964.619999999995,114121.538,149086.158
Q1,2007,,34863.217000000004,118649.60500000001,153512.82200000001
Q2,2007,,36073.395000000004,118006.38799999999,154079.783
Q3,2007,,39387.183000000005,116349.346,155736.529
Q4,2007,,37434.47,127430.685,164865.155
Q1,2008,,34032.41,109476.939,143509.349
Q2,2008,,35676.989,103516.10799999996,139193.09699999995
Q3,2008,,32322.400999999998,104167.44099999998,136489.84199999998
Q4,2008,,32065.449,90696.401,122761.85
Q1,2009,,31246.955,81716.015,112962.97
Q2,2009,,34245.049999999996,77812.97999999998,112058.02999999997
Q3,2009,,28797.519,78066.803,106864.322
Q4,2009,,28135.767,75690.74700000002,103826.51400000002
Q1,2010,,29889.567,69904.88399999999,99794.45099999999
Q2,2010,,31254.827,65282.57000000001,96537.39700000001
Q3,2010,,33937.91,63142.433999999994,97080.344
Q4,2010,,32284.576999999997,61915.303000000014,94199.88
Q1,2011,,29400.924,57673.826,87074.75
Q2,2011,,28949.971,51199.001,80148.972
Q3,2011,,30997.838,48283.441,79281.279
Q4,2011,,31951.972,47711.043,79663.015
Q1,2012,,36274.871,54406.004,90680.875
Q2,2012,,42649.673,50981.391,93631.06400000001
Q3,2012,,44977.512,44838.717,89816.22899999999
Q4,2012,,39705.172,42616.697,82321.869
Q1,2013,,46123.364,44554.612,90677.976
Q2,2013,,46635.254,41505.821,88141.07500000001
Q3,2013,,46369.473,39914.136,86283.609
Q4,2013,,44353.858,49753.271,94107.129
Q1,2014,,44448.08,51389.454,95837.534
Q2,2014,,46838.421,52962.246,99800.667
Q3,2014,,40499.443,54158.643,94658.086
Q4,2014,,46087.862,53259.499,99347.361
Q1,2015,,44817.164,54812.868,99630.032
Q2,2015,,40503.962,53829.014,94332.976
Q3,2015,,38736.97,67134.301,105871.27100000001
Q4,2015,,38986.154,86157.633,125143.78700000001
Q1,2016,,41243.057891725,120611.49321938,161854.55111110501
Q2,2016,,50946.4473219275,156614.21650766997,207560.66382959747
Q3,2016,,53804.5649403799,173022.33867083,226826.9036112099
Q4,2016,,55335.8701475384,178416.26798044,233752.1381279784
Q1,2017,,52499.096451070596,178681.49478735,231180.5912384206
Q2,2017,,54031.4463117042,200406.81177126,254438.2580829642
Q3,2017,,53721.111076798996,235411.92877019,289133.039846989
Q4,2017,,53822.8998363387,254545.17204385,308368.0718801887
Q1,2018,,49940.167999835,273912.26401303,323852.43201286497
Q2,2018,,51084.75930291,284500.75990157004,335585.51920448005
Q3,2018,,55304.606,296810.691,352115.297
Q4,2018,,53765.48,305153.968,358919.448
Q1,2019,,56723.172,336235.386,392958.558
Q2,2019,,55459.687,351852.761,407312.448
Q3,2019,,55879.875,371075.95,426955.825
Q4,2019,,61646.01,383672.269,445318.279
Q1,2020,,59383.345,408120.642,467503.98699999996
Q2,2020,,62304.558,428201.362,490505.92000000004
Q3,2020,,65924.324,429214.386,495138.70999999996
Q4,2020,,79157.583,438369.739,517527.322
Q1,2021,,71646.769,441517.788,513164.55700000003
Q2,2021,,88257.537,449503.249,537760.786
Q3,2021,,91617.054,468380.624,559997.6780000001
Q4,2021,,95072.695,480749.659,575822.354
Q1,2022,,96224.634,477869.92,574094.554
Q2,2022,,102054.099,492667.81,594721.909
Q3,2022,,120248.821,498594.574,618843.395
Q4,2022,,127861.622412,510298.349567,638159.971979
Q1,2023,,129971.894251,518351.798651,648323.692902
Q2,2023,,131354.770359,530723.192267,662077.9626259999
Q3,2023,,145053.42283000002,532375.433323,677428.856153
Q4,2023,,146702.697123,540315.3102610001,687018.0073840001
Q1,2024,,157468.94801,550734.0566159999,708203.0046259998
Q2,2024,,159036.109554,555820.365686,714856.4752399999
Q3,2024,,173395.177,574696.412,748091.589
Q4,2024,,203096.884,591897.562,794994.446
Q1,2025,,217326.92,612575.027,829901.947
Q2,2025,,226836.228,636348.948,863185.176
Q3,2025,,234624.221,643074.016,877698.237
Q4,2025,,256596.136,653264.121,909860.257
,,,,,
1993-01-31T00:00:00,,,25364.513,27566.222,52930.735
1993-02-28T00:00:00,,,24987.732000000004,29680.493000000002,54668.225000000006
1993-03-31T00:00:00,,,24830.543,29578.718,54409.261
1993-04-30T00:00:00,,,24643.949999999997,31861.446,56505.39599999999
1993-05-31T00:00:00,,,21626.081000000002,32951.93,54578.011
1993-06-30T00:00:00,,,21470.146,34910.15,56380.296
1993-07-31T00:00:00,,,22334.857,37733.944,60068.80100000001
1993-08-31T00:00:00,,,20961.683,38122.465,59084.148
1993-09-30T00:00:00,,,20905.328,37652.645,58557.973
1993-10-31T00:00:00,,,20898.63,37164.306000000004,58062.936
1993-11-30T00:00:00,,,20365.114,37361.557,57726.671
1993-12-31T00:00:00,,,22601.817000000003,37084.284,59686.101
1994-01-31T00:00:00,,,22538.906,36950.895,59489.80099999999
1994-02-28T00:00:00,,,22399.543999999998,36030.905,58430.44899999999
1994-03-31T00:00:00,,,22445.624,36745.269,59190.893
1994-04-30T00:00:00,,,24152.911,36902.225,61055.136
1994-05-31T00:00:00,,,24247.344999999998,37312.07,61559.41499999999
1994-06-30T00:00:00,,,25553.706000000002,37965.271,63518.977
1994-07-31T00:00:00,,,25620.735999999997,38101.789000000004,63722.525
1994-08-31T00:00:00,,,24976.938000000002,38955.670999999995,63932.609
1994-09-30T00:00:00,,,25400.561,39595.390999999996,64995.952
1994-10-31T00:00:00,,,25986.393,39532.83,65519.223
1994-11-30T00:00:00,,,26456.017,39404.899000000005,65860.916
1994-12-31T00:00:00,,,26929.644,39025.038,65954.682
1995-01-31T00:00:00,,,27714.347999999998,38435.189999999995,66149.538
1995-02-28T00:00:00,,,27040.743,38127.841,65168.584
1995-03-31T00:00:00,,,26802.897999999997,38812.407,65615.305
1995-04-30T00:00:00,,,26766.023,39538.140999999996,66304.16399999999
1995-05-31T00:00:00,,,26783.1,38660.193,65443.293
1995-06-30T00:00:00,,,26773.008,38603.433999999994,65376.441999999995
1995-07-31T00:00:00,,,26473.003,38089.710999999996,64562.71399999999
1995-08-31T00:00:00,,,26034.407,39728.283,65762.69
1995-09-30T00:00:00,,,25732.114999999998,38607.538,64339.653
1995-10-31T00:00:00,,,26404.729000000003,38481.163,64885.89200000001
1995-11-30T00:00:00,,,23961.181,38876.996,62838.176999999996
1995-12-31T00:00:00,,,24452.341,39176.071,63628.412000000004
1996-01-31T00:00:00,,,24143.349,39154.05099999999,63297.399999999994
1996-02-29T00:00:00,,,24363.987,39166.676,63530.663
1996-03-31T00:00:00,,,24206.575,40688.658,64895.23300000001
1996-04-30T00:00:00,,,24233.135000000002,45782.907,70016.042
