,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 13a: Consumer and Credit Card Loans*,,,,,,,,,,جدول 13a: القروض الاستهلاكية  وقروض  البطاقات الائتمانية *,
(Million ﷼),,,,,,,,,,(مليون ﷼),
نهاية الفترة,,Consumer Loans                                          القروض الاستهلاكية,,,,,,,,إجمالي قروض,
,,ترميم وتحسين,سيارات ووسائل,أثاث وسلع معمرة,تعليم ,الرعاية ,سياحة وسفر,أخرى,المجموع,بطاقات الائتمان,
,, عقارات,نقل شخصية ,,,الصحية,,,,,
End of Period,,Renovation and,Vehicles &Private ,Furniture and,Education,Health care,Tourism,Others,Total,Total Credit,
,,home Improvement,Transport means,Durable Goods,,,and Travel,,,Card Loans,
Q4,2002,4951.7502835302,9606.42685373888, ---, ---, ---, ---,56210.1234630126,70768.30060028168,2299.07496035687,
Q1,2003,4962.22278326192,10124.986529856798, ---, ---, ---, ---,57883.943959715005,72971.15327283372,2246.42690139928,
Q2,2003,5692.72389261877,10590.9092829351, ---, ---, ---, ---,61649.781813108,77933.41498866187,2301.52209191052,
Q3,2003,6109.70016846221,11328.2470034971, ---, ---, ---, ---,67288.5187476673,84726.46591962661,2652.3835844067,
Q4,2003,5540.89802033393,10439.3265915471, ---, ---, ---, ---,70951.8820369169,86932.10664879793,2607.80005635273,
Q1,2004,5925.8063765139805,10775.878745362601, ---, ---, ---, ---,76090.1397869287,92791.82490880528,2578.77607057969,
Q2,2004,7319.12979471955,12055.4916291096, ---, ---, ---, ---,84625.4780937718,104000.09951760096,2724.7700986936197,
Q3,2004,7984.87005074519,12356.611080926601, ---, ---, ---, ---,90647.6472961516,110989.12842782338,3134.05274202001,
Q4,2004,7757.1227099752505,12153.456405834098, ---, ---, ---, ---,94876.9948401311,114787.57395594046,3231.16409140553,
Q1,2005,8077.28320763,12900.2436759876, ---, ---, ---, ---,99355.16920217,120332.6960857876,3288.53757221058,
Q2,2005,9744.36075385,13567.390980194701, ---, ---, ---, ---,112390.211951272,135701.96368531667,3485.22023790723,
Q3,2005,10923.75424742,13552.192881713601, ---, ---, ---, ---,121672.140057164,146148.0871862976,4131.67749071279,
Q4,2005,11916.90010757,13925.0713654603, ---, ---, ---, ---,125885.656329473,151727.6278025033,4215.0922615889,
Q1,2006,12374.786839600001,13729.9327669054, ---, ---, ---, ---,130927.551098393,157032.2707048984,4599.59937157937,
Q2,2006,12383.8083025908,13315.0920350532, ---, ---, ---, ---,134845.880243879,160544.780581523,5449.47878832088,
Q3,2006,12684.91793634,12800.6594985744, ---, ---, ---, ---,139175.439540501,164661.0169754154,6687.27881600451,
Q4,2006,12489.265232711401,12045.5970570178, ---, ---, ---, ---,140923.467130188,165458.3294199172,7178.49100220812,
Q1,2007,12671.24924487,11480.4766623619, ---, ---, ---, ---,142380.195954777,166531.9218620089,7724.28745306272,
Q2,2007,13368.440428959999,14080.4045581316, ---, ---, ---, ---,140402.047922418,167850.8929095096,8086.77764802554,
Q3,2007,13519.8159599561,14130.9450443963, ---, ---, ---, ---,140348.50680414,167999.26780849238,8597.813165449648,
Q4,2007,13441.892604136,14099.5231117156, ---, ---, ---, ---,138437.761578104,165979.17729395558,8595.16480036021,
Q1,2008,12384.98365002,14179.041846906699, ---, ---, ---, ---,137418.39906581398,163982.4245627407,8352.33750463619,
Q2,2008,12203.52520982,14228.005036521901, ---, ---, ---, ---,136881.101385011,163312.6316313529,8454.89324771792,
Q3,2008,12191.73630367,14195.6601049239, ---, ---, ---, ---,136540.110785949,162927.50719454288,8886.804723827921,
Q4,2008,11753.207321939999,14088.9167608409, ---, ---, ---, ---,134551.690799182,160393.8148819629,9003.64273594792,
Q1,2009,11785.56189324,14697.0990249314, ---, ---, ---, ---,135782.355686809,162265.0166049804,8785.3253842,
Q2,2009,12054.00652284,15295.61391489, ---, ---, ---, ---,138068.90977072998,165418.53020845997,8613.20228914,
Q3,2009,12129.716217180001,15620.184064820001, ---, ---, ---, ---,139549.23726991,167299.13755191,8806.0231592,
Q4,2009,11798.6742351414,15834.584311594701, ---, ---, ---, ---,138893.063006574,166526.3215533101,8606.218493100001,
Q1,2010,12065.836640790001,17029.37285742, ---, ---, ---, ---,143614.55607249,172709.76557070002,8176.66762052,
Q2,2010,12476.10473461,17799.05469606, ---, ---, ---, ---,148991.43239893002,179266.59182960002,8160.205375439999,
Q3,2010,12438.46085193,18023.81449614, ---, ---, ---, ---,150581.38188056002,181043.65722863,8652.57197963,
Q4,2010,12693.836716700001,16426.49713916, ---, ---, ---, ---,152511.07478174,181631.4086376,8390.50854476,
Q1,2011,12381.89188927,15975.965052169999, ---, ---, ---, ---,158984.20600343,187342.06294487,7893.10338146,
Q2,2011,13100.22834883,15395.32704296, ---, ---, ---, ---,169348.75267008,197844.30806187002,7680.93052082,
Q3,2011,13665.91216612,15713.94530174, ---, ---, ---, ---,179880.37617663,209260.23364449,8052.2739929,
Q4,2011,14133.81567392,15699.37694726, ---, ---, ---, ---,188936.62890871,218769.82152989,7759.39728284,
Q1,2012,15691.96703229,15758.174217490001, ---, ---, ---, ---,187919.38091497,219369.52216475,7650.395110709999,
Q2,2012,16949.2273542,15737.69482783, ---, ---, ---, ---,199609.28972064998,232296.21190268,7863.5983735400005,
Q3,2012,17512.62985926,15543.04646303, ---, ---, ---, ---,210165.41303338998,243221.08935568,8121.1495661399995,
Q4,2012,18049.99054028,15455.615484850001, ---, ---, ---, ---,221054.75868022998,254560.36470536,7964.6542488000005,
Q1,2013,19533.29439517,15792.84968657, ---, ---, ---, ---,232439.59891881002,267765.74300055,7824.99123843,
Q2,2013,20589.30541985,16576.21574636, ---, ---, ---, ---,239966.66722273998,277132.18838895,8339.11730152,
Q3,2013,21069.777386349997,16774.13691468, ---, ---, ---, ---,239169.32297865002,277013.23727968003,8595.036928020001,
Q4,2013,21300.287289810003,18114.137672779998, ---, ---, ---, ---,238225.82958228,277640.25454487,8509.113389760001,
Q1,2014,21714.394082991297,19025.282226199703, ---, ---, ---, ---,242399.85174569898,283139.52805489,8361.82338459,
Q2,2014,22604.502508034,19990.716473605902, ---, ---, ---, ---,249791.66494187,292386.8839235099,8932.22450346,
Q3,2014,22383.3419280716,20146.0784225076, ---, ---, ---, ---,250188.560988911,292717.98133949016,9235.57814174,
Q4,2014,25603.897,20788.203,5455.163,414.45,246.047,102.72,245397.672,298008.152,9666.707,
Q1,2015,25638.737,10467.638,5313.142,460.397,261.163,101.083,255765.724,298007.884,9555.602,
Q2,2015,25316.601,10691.427,5344.039,519.694,266.72,85.102,258396.778,300620.361,9604.767,
Q3,2015,35633.669,9337.014,5116.512,532.623,162.307,78.011,249835.89,300696.026,10382.682,
Q4,2015,37020.541,9429.154,4911.855,636.639,312.161,85.264,254789.238,307184.852,10212.696,
Q1,2016,36614.92,10203.719,5116.962,712.891,324.684,80.048,265086.916,318140.14,10329.682,
Q2,2016,33698.484,10406.681,5508.491,817.764,663.511,99.306,269771.467,320965.704,10334.979,
Q3,2016,29811.707,10507,5062.722,824.192,560.134,78.944,274553.629,321398.328,11406.21,
Q4,2016,29080.18,9327.765,4821.814,957.62,506.491,72.111,273499.518,318265.499,10957.695,
Q1,2017,27492.796,8825.501,4366.548,1023.098,452.81,64.029,274084.85,316309.632,10427.346,
Q2,2017,26217.245,8823.607,3989.769,1133.833,412.832,65.7,274456.576,315099.562,10646.212,
Q3,2017,29263.312,13822.513,4815.333,1422.668,569.598,64.522,263143.141,313101.087,11558.875,
Q4,2017,30028.005,16720.033,10783.908,3722.451,565.647,324.256,255515.043,317659.343,12093.963,
Q1,2018,28646.515,16325.03,11021.357,3698.313,532.356,338.409,254790.005,315351.985,12708.21,
Q2,2018,27613.242,16233.951,11115.32,3565.274,502.208,321.572,257474.83,316826.397,14017.982,
Q3,2018,26739.672,15904.107,11383.089,3477.432,486.118,451.05,269593.278,328034.746,14947.796,
Q4,2018,28055.147,16789.358,12498.68,3522.2,703.481,483.608,259234.405,321286.879,15331.865,
Q1,2019,27156.557,16553.759,12341.876,3360.869,671.92,448.028,258712.972,319245.981,15629.43,
Q2,2019,26150.306,16165.527,12245.26,3254.482,612.198,422.918,260028.501,318879.192,16716.732,
Q3,2019,25584.212,15773.109,12293.388,3125.091,572.983,400.946,264559.186,322308.915,18280.42,
Q4,2019,25648.219,15624.968,12462.085,3239.001,559.381,454.707,275450.383,333438.744,19054.274,
Q1,2020,25697.835,15642.475,12631.224,3466.414,554.332,520.95,277139.611,335652.841,20293.695,
Q2,2020,25271.293,15603.877,12601.342,3672.74,558.131,542.751,277520.553,335770.687,20081.035,
Q3,2020,25456.933,15920.262,12467.558,4038.51,604.581,562.961,293206.964,352257.769,20562.521,
Q4,2020,23871.977,14469.345,12012.415,4167.531,549.505,571.545,309605.213,365247.531,18373.284,
Q1,2021,23787.739,15822.159,12390.113,4215.402,682.774,543.092,322097.619,379538.898,17757.42,
Q2,2021,22199.031,15526.363,12616.508,4458.692,675.711,545.582,338161.176,394183.063,18195.058,
Q3,2021,20344.034,15108.711,12947.048,4863.074,685.391,614.738,357110.467,411673.463,19188.637,
Q4,2021,19060.089,14047.003,12214.314,5168.441,636.542,646.085,376624.611,428397.085,19494.355,
Q1,2022,16482.028,13066.861,8392.339,5677.568,622.635,731.195,391548.864,436521.49,19604.089,
Q2,2022,15229.476,12320.641,8687.475,5916.935,583.226,750.412,402266.38,445754.545,20541.384,
Q3,2022,14268.902,11630.739,8681.866,6079.938,568.465,787.473,406121.307,448138.69,22122.826,
Q4,2022,13436.303,11025.888,8680.021,6346.741,564.428,814.167,410686.167,451553.715,23067.209,
Q1,2023,12590.821,10962.082,8376.261,6516.329,548.942,833.385,408126.041,447953.861,23548.763,
Q2,2023,11796.207,10872.881,8089.204,6631.23,532.545,834.027,405195.813,443951.907,24909.128,
Q3,2023,11262.28,11063.908,7967.418,7051.347,521.16,897.424,405684.707,444448.244,26494.214,
Q4,2023,10792.058,11310.993,7889.437,7461.561,510.126,918.197,402947.265,441829.637,27066.406,
Q1,2024,10584.109,11657.4,8000.294,8073.189,512.295,990.201,411069.813,450887.301,27248.224,
Q2,2024,10112.705,11765.002,8032.829,7996.867,492.618,991.055,412930.281,452321.357,30038.863,
Q3,2024,9466.006,11929.155,8266.143,8203.654,481.962,1014.954,422926.404,462288.278,30266.664,
Q4,2024,8925.985,11716.791,8516.956,8177.541,471.173,992.463,432185.066,470985.975,31365.748,
Q1,2025,8771.653,12211.289,8680.879,8525.836,469.003,1021.645,440096.53,479776.835,30663.634,
Q2,2025,8338.8,12471.221,8885.688,8083.488,453.964,994.091,430540.248,469767.5,30644.064,
Q3,2025,8316.3,12659.477,9175.737,7884.359,434.549,1012.481,437066.861,476549.764,33391.515,
Q4,2025,7843.149,12681.263,10380.239,8008.024,478.945,1017.025,436307.463,476716.108,34505.952,
,,,,,,,,,,,
,,,,,,,,,,,
"*Real estate financing, finance leasing, and margin lending are excluded. ",,,,,,,,,,* يستثنى من ذلك التمويل العقاري والتأجير التمويلي والتمويل الممنوح بغرض المتاجرة بالاسهم. ,
