,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,
Table 10b: Consolidated Balance Sheet of Commercial Banks - Liabilities *,,,,,,,,,,,جدول 10b:  المركز المالي  الموحـــــــد  للمـــــصـــــــارف الـتـجـــــاريـــة - الـمـطــلــوبـــــــات *,
(Million ﷼),,,,,,,,,,,(مليون ﷼),
نهاية الفترة,,مجموع,المطـلوبات,Capital Accounts            حســاب رأس المــال,,,,مطلوبات ,**اتفاقيات ,مطـلوبـات,إجمالي,
,,الودائع,الأجنبية,المجموع,الإحتياطيات,رأس المال,***(أرباح الفترة (تراكمي,ما بين المصارف,إعادة الشراء,أخــرى,المطـلوبات,
End of Period,,Total,Foreign,,,,Period Profits,Inter Bank,Repos**,Other,Total,
,,Deposits,Liabilities,Total,Reserves,Capital ,(Cumulative)***,Liabilities,,Liabilities,Liabilities,
Q2,2001,281161.156,55868.776999999995,49500.234000000004,20578.749,23880,5041.485000000001,18593.204,3826.512,54316.348000000005,463266.231,463266.231
Q3,2001,280805.59699999995,56632.597,51754.405,20372.817,23880,7501.588,15251.084,4390.389,54003.333,462837.40499999997,462837.40499999997
Q4,2001,290779.44800000003,59614.025,53846.674,19912.777000000002,23880,10053.896999999999,13292.048,4432.816,50466.17100000001,472431.18200000003,472431.18200000003
Q1,2002,298322.386,60318.64,49477.201,22176.303000000004,24495,2805.898,13975.238000000001,5692.536,51791.292,479577.293,479577.293
Q2,2002,301215.67000000004,65262.87299999999,52129.674,22131.215,24495,5503.459,14418.091999999999,5793.351,55709.998,494529.6580000001,494529.6580000001
Q3,2002,313923.091,59688.49199999999,55306.921,22714.602,24495,8097.3189999999995,11987.493,5934.165,53336.866,500177.02799999993,500177.02799999993
Q4,2002,337879.354,42998.866,57854.164000000004,22802.903,24495,10556.261,10458.794,5652.353,53393.767000000014,508237.298,508237.298
Q1,2003,343333.17,43205.49799999999,52174.479,24272.006999999998,24945,2957.4719999999998,17701.397,7282.064,58944.973000000005,522641.581,522641.581
Q2,2003,348765.67000000004,36580.481999999996,55836.126000000004,24739.904000000002,24945,6151.222,11679.632,7099.906,64011.1,523972.9160000001,523972.9160000001
Q3,2003,350137.184,39092.859,57336.587,23885.929,24945,8505.658,16924.78,7766.755,62901.26499999999,534159.4299999999,534159.4299999999
Q4,2003,361662.12399999995,40063.409999999996,59181.00399999999,22078.261999999995,24945,12157.742,14573.967,8226.246,61500.97499999999,545207.726,545207.726
Q1,2004,378591.58700000006,44737.872,56840.792,26884.659,26235,3721.133,24766.224000000002,6798.952,67399.293,579134.72,579134.72
Q2,2004,390817.54,41644.636,61780.922000000006,25986.547000000002,27735,8059.375,16464.343,5194.639,74761.044,590663.1240000001,590663.1240000001
Q3,2004,400644.33199999994,48100.529,64945.29,24658.709,27922.5,12364.081,18661.156,8577.536,72939.69099999999,613868.5339999998,613868.5339999998
Q4,2004,435534.782,45747.669,68811.606,24165.071999999996,28072.5,16574.034,24468.778000000002,9983.677,70835.395,655381.9070000001,655381.9070000001
Q1,2005,453225.502,44279.254,69054.899,31747.517,32166.25,5141.132,27390.328,7064.182,80439.93200000002,681454.097,681454.097
Q2,2005,470476.218,46874.23700000001,77322.969,29711.024,35475.533,12136.411999999998,18185.498000000003,7623.422,86867.012,707349.356,707349.356
Q3,2005,475818.493,57804.978,84058.267,29196.966,35475.533,19385.768,17286.823000000004,7870.6,89889.174,732728.3350000002,732728.3350000002
Q4,2005,489059.895,65039.725999999995,92219.7,31132.255,35476.165,25611.280000000002,17081.254,5952.014,89722.85099999998,759075.44,759075.44
Q1,2006,524501.7949999999,62056.076,92780.874,36188.667,46733.665,9858.542,19795.446,8823.702,89459.74799999999,797417.641,797417.641
Q2,2006,535290.491,58251.72,100816.86700000001,34600.054000000004,47108.665,19108.147999999997,21570.897,8794.362000000001,89787.944,814512.281,814512.281
Q3,2006,561081.763,54870.658,107866.438,33356.249,47108.665,27401.523999999998,16847.314,3316.885,87888.925,831871.9830000001,831871.9830000001
Q4,2006,590943.952,59198.539000000004,114611.9,32835.805,47111.25,34664.845,16731.309,2452.724,77149.988,861088.412,861088.412
Q1,2007,612353.1680000001,64053.861000000004,116987.851,43794.52099999999,65356.16,7837.17,17710.7,2631.294,83460.615,897197.4890000001,897197.4890000001
Q2,2007,642293.8470000001,64875.089,121915.05900000001,39583.36,66481.16,15850.538999999999,13945.824,2778.756,90282.528,936091.1030000001,936091.1030000001
Q3,2007,675030.0489999999,83544.15,127998.12100000001,37798.399,66481.16,23718.562,20713.248,3720.639,86606.64300000001,997612.85,997612.85
Q4,2007,717563.815,105212.69299999998,136289.749,39544.34,66481.16,30264.249,20831.738999999998,5293.601,90029.13699999999,1075220.7340000002,1075220.7340000002
Q1,2008,761642.272,138024.003,137198.407,55387.505,73521,8289.902,24614.607,10392.28,101515.326,1173386.895,1173386.895
Q2,2008,783099.208,134561.33299999998,155200.80199999997,52555.229999999996,85271,17374.572,30662.007,22388.706,96990.073,1222902.1289999997,1222902.1289999997
Q3,2008,804126.6980000001,142100.108,157314.40099999998,46521.67,85271,25521.730999999996,40758.351,29414.236,96175.98999999999,1269889.7840000005,1269889.7840000005
Q4,2008,846118.179,112465.985,161749.891,46550.651000000005,85271,29928.239999999998,28520.697000000004,36777.872,116638.688,1302271.3120000002,1302271.3120000002
Q1,2009,882740.3049999999,85656.50399999999,175415.653,64738.599,102432.5,8244.554,36634.135,34255.6,109223.716,1323925.913,1323925.913
Q2,2009,916444.319,78116.12000000001,181682.56999999998,61477.424,104039.643,16165.503,34407.402,25862.854,101167.92599999999,1337681.191,1337681.191
