,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,
Table 2: Monetary Base,,,,,,,,,,,,جدول 2: القـــــــــاعدة الـنـقـدية
Growth Rates & Percentage Shares,,,,,,,,,,,,معدلات النمو والنسب المئوية
,,,,,,ودائع لدى البنك المركزي  Deposits with SAMA,,,,,, القاعدة النقـدية 
نهاية,,النقد المتداول خارج المصارف,,النقد في الصندوق,,ودائع البنوك المحلية,,ودائع المؤسسات المالية  العامة,,المجموع,,Monetary Base
الفترة,,Currency outside Banks ,,Cash in Vault,,Deposits  of Banks,,Public Fin. Ins.,,Total,,(Reserve Money)
,,,,,,,,,,,,
End of,,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو,نسب مئوية %,معدلات النمو
Period,,Growth Rates,Percentage,Growth Rates,Percentage,Growth Rates,Percentage,Growth Rates,Percentage,Growth Rates,Percentage,
,,,Shares*,,Shares*,,Shares*,,Shares*,,Shares*,Growth Rates
1994,,---,73.64857814153692,---,4.000554633609026,---,13.561862862508548,---,8.789004362345516,---,22.350867224854063,---
1995,,-4.176297423158971,75.17864505922277,0.8763220676025725,4.2989918812261525,4.190821256038646,15.052408273656448,-41.57659336563548,5.469954785894629,-13.806243587864572,20.522363059551076,-6.1265411011009405
1996,,-0.11504111789292892,72.75250283883898,-13.40541461959468,3.6067057421817275,4.045438738843174,15.173381750215102,59.77671451355661,8.467409668764198,18.89984696480191,23.640791418979298,3.2159111719822135
1997,,6.472400260841482,71.74475526446318,36.65022958945741,4.5648472767081,5.848930481283432,14.875584314079152,12.39768416849671,8.814813144749566,8.194494100822311,23.690397458828716,7.96794237685144
1998,,-1.754905697011182,71.33506650677684,-8.8601594823905,4.2105279503809285,3.736448794863705,15.61735378929911,-0.9413854351687405,8.837051753543134,1.9959024519198891,24.454405542842245,-1.1906683225363537
