,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 2b: Exchange Rates of Some Foreign Currencies Against Saudi Riyal,,,,,,,,,,,,,جدول 2b:  سعــــر صرف بعض العــمـــلات الأجــنبـيــــة مقـــــابل الريال السعودي,
,,,,,,,,,,,,,,
نهاية,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
End of,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Period,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
2009,,3.36336746953487,2.15467250156685,0.549192395721426,0.0408828417839037,0.0803341637093347,6.07312757035848,0.00321170319704552,3.75,5.40224403153774,0.112413235277246,-,3.63899325909465,
2010,,3.81376090445027,2.23440788659156,0.566217951860385,0.0460405306291655,0.083518902291761,5.78813436164189,0.00327195984226986,3.75,4.98002862908094,0.124377910157175,-,3.99105748365607,
2011,,3.80851106054191,2.00787840953082,0.595155641379767,0.0482500984738646,0.0703962290682106,5.79789907038245,0.00325154465667393,3.75,4.85213309285823,0.118285479480199,-,3.98555239420434,
2012,,3.89252017694931,1.8307915643553,0.596224111890427,0.0433277702601113,0.0683719335624474,6.04350388292707,0.00349650256316923,3.75,4.943653877495,0.122441322932069,2.10449520175094,4.09121626417934,
2013,,3.32437815527553,1.59316773613326,0.614513125551997,0.0356125972792639,0.0604811252088035,6.17550377052616,0.00355249689349294,3.75,5.1686267139226,0.113864199186094,1.75545360921262,4.20640100225069,
2014,,3.07575294384058,1.41179114988138,0.612843405431319,0.031093210784454,0.059212205560684,5.85297878689616,0.00341155896592215,3.75,4.5528525458385,0.113793421231765,1.61568289530375,3.79132734593618,
2015-12-31T00:00:00,,2.73974798333948,0.960356607570888,0.577676788787258,0.0310950477512626,0.0565387264294131,5.55711450277188,0.0031996453376681,3.75,4.08261904574845,0.103589205869513,1.2887,3.77986295989176,
2016-12-31T00:00:00,,2.71349524178616,1.15083403530639,0.539583830595227,0.0321061279598517,0.0551839340407691,4.61322498581599,0.00310302716943039,3.75,3.95285962958897,0.104689953067243,1.0653,3.68441670442752,
2017-12-31T00:00:00,,2.92500862630832,1.13382291122632,0.575893709231644,0.0332152253008676,0.0586606869235408,5.06680138896795,0.00350009175394214,3.75,4.49738519709972,0.114823008849558,1.0653,3.8430058934855,
2018-12-31T00:00:00,,2.64412313432836,0.967946564616318,0.547208235801437,0.033835773739628,0.0535880113639283,4.76082154267458,0.00334432831035588,3.75,4.29526288048491,0.11568027716351,0.7116,3.82223655378121,
2019-12-31T00:00:00,,2.5816937895716014,0.9263007543621657,0.5342874649135155,0.034210770474637824,0.05232456189253101,4.898373598011121,0.0032156828545087585,3.75,4.176942745250348,0.12393612807037342,0.63,3.842008901326268,
2020-12-31T00:00:00,,2.8354333474907323,0.7257400614945236,0.5745349302966523,0.03623021004321463,0.05086529145619926,5.038565824660139,0.003392859831848413,3.75,4.567757739578494,0.12428954941205675,0.5051,4.219300572712661,
2021-12-31T00:00:00,,2.6999933030769787,0.6580900171516249,0.5878427409631459,0.032788649216755915,0.04969987767526101,5.03076317633395,0.003143714011516315,3.75,4.235381581924557,0.11147552141158655,0.2801,4.069539020583736,
2022-12-31T00:00:00,,2.5061035597405987,0.7293425069751815,0.5370219988362226,0.028282229787523296,0.04527233984676067,4.52748029996645,0.0029399336980138846,3.75,3.9850108946372846,0.10780292218237407,0.2,4.03274424915999,
2023-12-31T00:00:00,,2.537162435316947,0.769549343527082,0.5236881823501373,0.02636195616789356,0.04503269322187441,4.764369288581434,0.0028693222082523716,3.75,4.123709477384541,0.1078629526031529,0.1259,4.383930286572482,
2024-12-31T00:00:00,,2.3487488121634468,0.6091289054623575,0.5141137292391088,0.02395529949631167,0.04411144361119124,4.707845928890257,0.002587462131025331,3.75,3.9000812865590286,0.1095332097870169,0.1061,4.185360346877165,
2025-12-31T00:00:00,,2.512489970842058,0.6815953346640619,0.53629829355884,0.023967248001418726,0.04170392626578424,5.045814501866771,0.002613419164419114,3.75,4.40626152908977,0.11882558728733754,0.0873,4.7315551870278245,
,,,,,,,,,,,,,,
Q1,2009,2.57738773858997,1.67601549701659,0.54857439189057,0.0382263222129041,0.0736015606333903,5.37751177356391,0.00272311510683045,3.75,4.99051128676209,0.105610413095485,-,3.29410866103796,
Q2,2009,3.04275961568619,1.92515494876934,0.548894358161947,0.0390829618090992,0.0783371823237135,6.20998379455032,0.00291896798134544,3.75,5.30026770592413,0.110077610269367,-,3.47126491618313,
Q3,2009,3.30038550843786,2.09263877148493,0.549129827998928,0.0417736186009885,0.0783976396602525,6.04236372844744,0.0031547083654127,3.75,5.491146025878,0.111560878153564,-,3.64432749398891,
