,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money market instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أدوات السوق المالية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القروض,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency and deposits,74824.3583923223,73884.53814821,82017.1812158728,88076.2090385,64068.09482278999,85326.15296589998,76380.306,89302.62900000003,114479.25676835001,125729.85749290002,151721.11095192996,155217.70532517,154690.42041704,144121.10440343,132046.79984057497,150862.04756573003,146022.306397364,158705.40676072,159490.587430792,198254.95716967,184466.61229505,218277.77067309,187371.33859613,158730.53409847,165840.34063033,188414.80676569,201756.70427955,217420.50505002,218197.94888115002,247190.58513369996,290868.620859,313177.61786545685,340134.514548457,341412.62151402613,334173.82716692117,346236.0099072821,,العملة والودائع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other debt Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,التزامات أخرى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,طويلة الأجل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt securities,,,,,,,,,,,,,7500,7500,7500,10312.5,15000,16875,16875,17061.208,22686.208,22911.208,24879.018,28441.518,29335.092,36697.72,37072.72,37338.775,52323.775,57045.25900000001,60743.8291,63890.22681789067,105067.78962558298,131539.4099763139,174859.8414471487,183169.2205171487,,سندات الدين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,4500.082,1675.983,1677.217,1678.451,1679.685,1680.919,1682.153,1683.387,1684.621,1685.855,3843.339,5906.25,7781.25,7725.046,7724.948,7724.849,15092.14,16998.546,14870.569,14937.306,14876.177,17946.276,19889.379,25366.089,26219,30788.768,35659.536,36172.70522914,45779.74299999001,53237.19277085,58127.951,61469.27,72863.457,89823.202,99273.79358154658,112413.85241455521,,قروض,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency and deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,العملة والودائع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other debt Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,التزامات أخرى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاعات الأخرى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,طويلة الأجل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt securities,25003,29904.97,29904.97,29904.97,31760.545,31760.545,39260.545,39766.795,41641.795,90942.70749999999,90942.70749999999,95019.89875,96502.51375,96502.51375,100412.51375,129002.45124999998,117635.56425,142777.65125,144277.30625,140817.59925,140364.61925,137360.37425,135758.07124999998,143463.18796749998,159622.6129675,158075.63671749996,161908.69471749995,172728.67971749994,204439.85271749998,187805.55737712496,213416.108377125,230753.23098712496,263138.34598712495,274590.858987125,297613.30698712496,319252.574481125,,سندات الدين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,50503,50507.00000000001,53391,55786,106819.145353435,99843.895353435,108055.520353435,128599.270353435,95992.470353435,96780.220353435,96518.095353435,96167.970353435,167079.220353435,200331.220353435,200571.720353435,202921.09535343503,215370.970353435,214250.970353435,215038.720353435,207022.595353435,178644.17035343498,173264.020353435,226572.3700788125,213463.3671974775,212719.3857038125,213867.13116300874,208770.783056115,215521.070634575,210772.920755325,198535.9832582625,205656.6948609125,207577.32380752,222828.7126561475,232474.0467726975,233659.5790891375,218505.079092075,,قروض,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency and deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,العملة والودائع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الائتمان التجاري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other debt Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,التزامات أخرى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross External Debt,310505.6692492723,345933.08201408,357798.2619223028,413352.10094835004,406856.854099305,478653.08190852497,493350.392051415,526470.641589105,535324.1398259749,597623.245222175,636420.5103346974,653941.9032054851,749504.9630501351,795080.2527641321,788658.6326055105,845696.3561158206,894770.0281793941,933572.8840151699,986354.2020390921,1006253.82992659,968917.0128935899,977055.4085057499,998371.3781325074,987600.8030895051,980501.5753195198,1030956.8098121561,1046107.6925290024,1119551.5584812548,1216947.1819047849,1248003.49051549,1336491.8521379798,1387512.5475514177,1566652.454687241,1620980.7787303207,1715007.3906583672,1795940.6590434443,,إجمالي الدين الخارجي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  p: Preliminary,    e: estimated,   r: Revised.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  p: أولية.  e: تقديرية.  r : معدلة. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
