,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,Monetary Base ,,القاعدة النقدية ,1
,,,,
2,Monetary Base - Growth Rates & Percentage Shares ,,القاعدة النقدية - معدلات النمو والنسب المئوية,2
,,,,
3,Money Supply,,عرض النقود ,3
,,,,
4a,Money Supply (M3) and Its Components - Growth Rates,,عرض النقود  ( ن 3 ) ومكوناتها - معدلات النمو ,4a
,,,,
4b,Money Supply Components in (M3) Percentage Shares,,مكونات عرض النقود في ( ن 3 ) نسب مئوية ,4b
,,,,
4c,Money Supply Components in (M1) & (M2)- Percentage Shares,,مكونات عرض النقود في (ن1) و(ن2)- نسب مئوية ,4c
,,,,
5,Monetary Ratios,,نسب نقدية ,5
,,,,
6a,Currency Outside Banks,,النقد المتداول خارج المصارف ,6a
,,,,
6b, Coins in Circulation By Denomination (Sixth-Issue) Outside SAMA,, العملة المعدنية المتداولة خارج البنك المركزي حسب الفئات (الإصدار السادس),6b
,,,,
27c,Number of Sarie Messages (Bulk Transactions),,عدد رسائل ســريــع (عمليات مجمعة),27c
,,,,
28a,SADAD System Payments Volume,,عدد مـدفـوعــات نظام ســــداد,28a
,,,,
28b,SADAD System Payments Value,,مبـالـغ  مـدفـوعــات نظام ســــداد,28b
,,,,
28c,SADAD System Payments Volume By Sectors,, عــــدد مـدفوعات نظام سداد حسب القـطاعـــــات,28c
,,,,
28d,SADAD System Payments Value By Sectors,, مبالغ مـدفوعات نظام سداد حسب القـطاعـــــات,28d
,,,,
29a,Bank Branches Operating in Saudi Arabia,,فروع المصارف العاملة في المملكة العريبة السعودية ,29a
,,,,
29b,Branches of Banks Classified By Administrative Regions,,فروع المصارف حسب المناطق الإدارية,29b
,,,,
29c,Remittance Services Center,,مراكز الحوالات,29c
,,,,
30a,Automated Teller Machines Statistics,,إحصاءات أجهزة الصرف الآلي ,30a
,,,,
30b,Distribution of Atms By Banks,,توزيع أجهزة الصرف الآلي حسب المصرف ,30b
,,,,
30c,Points of Sale Transactions and E-Commerce Transactions (Mada Cards),,عـمـليــات نقــاط الـبيــع والتجارة الإلكترونية,30c
,,,,
30d,Points of Sale Transactions by Activity (Number of Transactions),,عمليات نقاط البيع حسب الانشطة (عدد العمليات),30d
,,,,
30e,Points of Sale Transactions by Activity (Value of Transactions),,عمليات نقاط البيع حسب الأنشطة (قيمة العمليات),30e
,,,,
30f,Distribution of Points of Sale Terminals By Banks,,توزيع أجهزة نقــاط الـبيــع حسب المصرف,30f
