,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,
,,,,,,,,,,,,,,,,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,p,p,p,p,p,p,p,e,,
4.4.2 Securities,790559,1154247,1071542,1181916,1424989,1665162,1947704,1993657,1501041.48956548,1358970.34940399,1239653.45106874,1198305.25379785,1193734.22619669,1108986.94520085,1116565.048547851,1114104.832567383,985747.345719517,1016078.0804137352,1011748.3056379108,,               4 . 4. 2  أوراق مالية,,4.4.2 Securities,1443441,1521496,1633372,1665162,1790403,1895904,1928329,1947704,2017912,2077788,2082830.09089601,1993657,1963277.8431659502,1821197.59723302,1672247.15000226,1501041.48956548,1456377.78043892,1378171.97883634,1391193.8569558698,1358970.34940399,1303716.64616245,1262526.08765461,1225791.4875694,1239653.45106874,1206463.68489533,1202955.1285971,1204764.57587296,1198305.25379785,1226538.56019592,1183560.33444538,1188536.44066229,1193734.22619669,1121738.99135994,1032949.38984355,1053837.81635411,1108986.94520085,1124329.268201438,1117597.8942259909,1136717.24787835,1116565.048547851,1106906.6708242781,1110519.600756011,1112340.916429517,1114104.832567383,1012628.6093160838,950875.9121747615,982010.354267705,985747.345719517,               4 . 4. 2  أوراق مالية,,4.4.2 Securities,998524.9358079506,1015635.2028423786,1022641.2962758178,1016078.0804137352,961865.9529730828,959438.5804866651,985569.6796847467,1011748.3056379108,,               4 . 4. 2  أوراق مالية
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II Liabilities,455905.493374686,494585.933256885,520205.031562821,533740.194365015,550575.721349769,570454.841290816,600862.065102793,625112.4525227105,712688.7315061151,895053.5131941965,1021507.558009622,1204617.404461869,1461225.149754957,1675886.5273119025,2042391.6721851835,2168471.0795165747,2492541.8252942753,2790886.5397601556,3323317.5004704134,,II   الخصوم,,II Liabilities,548959.5007613206,550103.000747625,560487.321241136,570454.8412908155,584991.7246862527,591403.4753743586,605602.2994992336,600862.0651027926,628044.3685597576,625336.5324428002,629693.244468844,625112.4525227105,621814.9136389031,632072.6376162142,714944.810521689,712688.7315061151,732130.8617380484,815180.219462393,832038.9561544271,895053.5131941965,913783.6198550023,957667.052689814,967737.66470012,1021507.558009622,1046698.137910249,1142826.36440172,1163712.475343389,1204617.404461869,1247645.209014639,1351200.339755896,1389978.0604194566,1461225.149754957,1501213.239889638,1579856.8590928991,1607863.8988691196,1675886.5273119025,1767428.3123567111,1917219.5785207113,2016598.3138071578,2042391.6721851835,2166360.0522399256,2143582.895334569,2180829.93017684,2168471.0795165747,2182560.9057934782,2306955.6964146085,2342515.189668329,2492541.8252942753,II   الخصوم,,II Liabilities,2590391.1867122264,2619356.6949584517,2724610.969012015,2790886.5397601556,2996694.880588874,3056609.4077111734,3211650.5469522052,3323317.5004704134,,II   الخصوم
1 Direct investment in reporting economy,298012.493374686,318659.933256885,320296.250562821,338592.104545015,356156.564099769,375038.042290816,387680.824002793,393339.81058018,408229.7258975103,496241.46951308893,501813.580920752,550077.126872764,559402.163549472,570720.131258594,680744.8312585935,791035.97,897347.2584202805,977363.1161815269,1099718.4731331142,,      1 . الاستثمار المباشر في داخل الاقتصاد,,1 Direct investment in reporting economy,359187.2672613206,360760.801347625,363246.957241136,375038.04229081556,379336.0437862526,382556.22202435863,385940.7162492336,387680.82400279265,389083.86130503763,390736.94145623024,392635.153468844,393339.81058018,396791.8867816503,404597.72797301423,406190.6074898834,408229.7258975103,434310.4034154784,458451.63778045296,479516.0021339166,496241.46951308893,497970.26118767,499515.449990594,500483.100492617,501813.580920752,512568.839627244,519423.872265265,534754.553291974,550077.126872764,551183.258188664,551688.513533721,555819.867084759,559402.163549472,562117.942839503,565662.30693561,568733.142674408,570720.131258594,579492.3558361791,652299.5095055413,668283.118073638,680744.8312585935,749357.5908048758,764499.0577298992,778556.4330342023,791035.97,812500.0282325683,840418.6244827023,866697.0767330664,897347.2584202805,      1 . الاستثمار المباشر في داخل الاقتصاد,,1 Direct investment in reporting economy,913388.4206657907,933315.5507505158,951854.2749617842,977363.1161815269,1001015.2946170978,1024729.0582782617,1051337.7054631566,1099718.4731331142,,      1 . الاستثمار المباشر في داخل الاقتصاد
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Portfolio investment,,11998,14657,13566,23737,38144,64503.479999999996,62693.825342530516,122182.92,185983.91999999998,277749.737839,318422.54500000004,525791.04,634201.676,773946.255375,815863.6403425,968402.8940925,1055920.4463270367,1315798.6973827686,,      2 . استثمارات الحافظة,,2 Portfolio investment,30280,33654,36254,38144,46591.8,51598.68,57609.9,64503.479999999996,73691.88,71569.2,81663.9,62693.825342530516,65829.3,66727.62,135299.76,122182.92,109188.06,111116.94,94663.32,185983.91999999998,193833,238543.97,235266.97,277749.737839,265308.79500000004,319648.54500000004,327174.79500000004,318422.54500000004,366984.195,457997.945,463804.66374999995,525791.04,493050.895,547544.8,583171.7050000001,634201.676,694335.802375,756514.139375,791064.344375,773946.255375,872249.265375,805924.189375,805843.576375,815863.6403425,863208.2155925,922557.2773424999,911098.0653425,968402.8940925,      2 . استثمارات الحافظة,,2 Portfolio investment,1041689.6238780105,1025404.7994212207,1052095.9278079758,1055920.4463270367,1186042.0704938432,1190860.0829669295,1316749.1072557752,1315798.6973827686,,      2 . استثمارات الحافظة
2.1 Equity and investment fund shares ,,,,,,33949,56582,54994.5836337987,107178,105578,101594.767839,123580.1,235850.2,254483.2,352045.70000000007,382950,455597,400777.2891470211,398861.99675949506,,          2 .1 حقوق الملكية وأسهم صناديق الاستثمار,,2.1 Equity and investment fund shares ,26658,29950,30816,33949,40870,45262,50535,56582,64642,62780,71635,54994.5836337987,57745,58533,118684,107178,95779,97471,83038,105578,103205,109264,105987,101594.767839,123470.5,141596,132838.6,123580.1,154125.4,193793.3,188135.4,235850.2,179741.9,208581.13,239714.81,254483.2,292831.89999999997,327635.8,359145.7,352045.70000000007,444569,396491,396248,382950,385590,421952.5,408156.45,455597,          2 .1 حقوق الملكية وأسهم صناديق الاستثمار,,2.1 Equity and investment fund shares ,441786.2567855105,417145.4336690956,414877.3909558509,400777.2891470211,406785.01800613524,386987.52587849065,422362.3581965016,398861.99675949506,,          2 .1 حقوق الملكية وأسهم صناديق الاستثمار
2.2 Debt securities,,,,,,4195,7921.48,7699.24170873182,15004.92,80405.92,176154.97,194842.445,289940.84,379718.476,421900.55537499994,432913.64034249994,512805.8940925,655143.1571800157,916936.7006232736,,          2 .2 سندات الدين,,2.2 Debt securities,3622,3704,5438,4195,5721.8,6336.68,7074.9,7921.48,9049.88,8789.2,10028.9,7699.24170873182,8084.3,8194.62,16615.76,15004.92,13409.06,13645.94,11625.32,80405.92,90628,129279.97,129279.97,176154.97,141838.295,178052.545,194336.195,194842.445,212858.795,264204.645,275669.26375,289940.84,313308.995,338963.67,343456.895,379718.476,401503.902375,428878.339375,431918.644375,421900.55537499994,427680.26537499996,409433.18937499996,409595.57637499995,432913.64034249994,477618.2155925,500604.77734249993,502941.6153425,512805.8940925,          2 .2 سندات الدين,,2.2 Debt securities,599903.3670925,608259.365752125,637218.536852125,655143.1571800157,779257.0524877079,803872.5570884389,894386.7490592736,916936.7006232736,,          2 .2 سندات الدين
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Other investment,157893,163928,185251.78100000002,181582.08982000002,170682.15725,157272.799,148677.7611,169078.8166,182276.08560860477,212828.1236811076,241944.23924987,336117.732589105,376031.94620548503,470964.72005330847,587700.58555159,561571.4691740749,626791.6727814949,757602.9772515919,907800.3299545307,,      3 . استثمارات أخرى,,3 Other investment,159492.2335,155688.19939999998,160986.364,157272.799,159063.8809,157248.57335,162051.68325,148677.7611,165268.62725472,163030.39098656998,155394.191,169078.8166,159193.7268572527,160747.2896432,173454.4430318056,182276.08560860477,188632.39832257,245611.64168194,257859.6340205105,212828.1236811076,221980.3586673323,219607.63269921998,231987.594207503,241944.23924987,268820.503283005,303753.947136455,301783.12705141504,336117.732589105,329477.755825975,341513.881222175,370353.5295846975,376031.94620548503,446044.402050135,466649.75215728907,455959.0511947115,470964.72005330847,493600.154145532,508405.92964016995,557250.85135852,587700.58555159,544753.19606005,573159.64822967,596429.9207676376,561571.4691740749,506852.66196841,543979.7945894062,564720.0475927625,626791.6727814949,      3 . استثمارات أخرى,,3 Other investment,635313.142168425,660636.344786715,720660.766242255,757602.9772515919,809637.515477933,841020.2664659821,843563.7342332737,907800.3299545307,,      3 . استثمارات أخرى
3.1 Loans,50003,54026,48991.1,50210.6,45801,42399,34542,35862.567,46256.289,83490.19,94964.451,190282.657353435,162074.220353435,271583.96967001,293980.02450421,309595.777419015,302456.493226785,331991.957312115,441360.69614994864,,          3 .1 القروض,,3.1 Loans,39662,42426,42173,42399,47995,46377,46567,34542,45454.279,47182.901,35706.123,35862.567,40079.037,43707.564,46738.374,46256.289,54744.669,96125.31599999999,96775.527,83490.19,92503.082,89682.983,92568.217,94964.451,145998.830353435,161524.814353435,169737.673353435,190282.657353435,157677.091353435,158466.075353435,160361.434353435,162074.220353435,234860.470353435,268056.266353435,268296.668353435,271583.96967001,302647.38567001,303269.63950421,301929.41250421,293980.02450421,265540.47050421,262603.41950421,317854.8722295875,309595.777419015,249704.70692535,254795.41845531622,254569.8383484225,302456.493226785,          3 .1 القروض,,3.1 Loans,311376.631118385,305970.341462945,317981.811294745,331991.957312115,358637.5381579959,384615.81534530595,395251.9392432925,441360.69614994864,,          3 .1 القروض
3.2 Currency and deposits,103256,106143,95309.1,92578,84883,73345,72709,92888.798,96165.43662643002,92933.43835819759,106544.72187335,106493.09413567,167466.52685205,159210.72553386,205151.60010738,164079.43644299,223691.85100197,320802.86375428684,354138.6630502221,,          3 .2 العملة والودائع,,3.2 Currency and deposits,77730,72145,77182,73345,70059,71085,74470,72709,78047.24995472,73867.63448657,78601.912,92888.798,80261.01333747999,78137.92764319999,86875.63090239,96165.43662643002,93320.27428685999,109281.68064424001,120294.63753408051,92933.43835819759,93372.8243992723,92333.19453908,100533.693647303,106544.72187335,82586.73874587,103827.87393009,94312.48084798,106493.09413567,129999.49259754,140114.64761874,164904.0185097,167466.52685205,166931.9829467,153768.64180055,141721.884340125,159210.72553386,154366.578584384,165679.67803595998,166600.60172288198,205151.60010738,191404.69621438,224057.41918604,193124.38575542,164079.43644299,171124.44112167,193798.33342434,207379.41458308,223691.85100197,          3 .2 العملة والودائع,,3.2 Currency and deposits,224577.18704890003,253591.41706441995,298587.05691061,320802.86375428684,347723.151226537,348712.8513220761,341773.04741580115,354138.6630502221,,          3 .2 العملة والودائع
3.3 Other account  ,4634,3759,40951.581,38793.48982,39998.15725,41528.799,41426.7611,40327.4516,39854.35998217476,36404.49532291,40435.06637652,39341.9811,46491.199,40170.0248494385,88568.96094,87896.25531207,100643.32855274,104808.15618519002,112300.97075436,,          3 .3 حسابات أخرى ,,3.3 Other account  ,42100.2335,41117.1994,41631.364,41528.799,41009.8809,39786.57335,41014.68325,41426.7611,41767.0983,41979.8555,41086.156,40327.4516,38853.67651977274,38901.798,39840.43812941558,39854.35998217476,40567.45503571001,40204.6450377,40789.46948643,36404.49532291,36104.45226806,37591.45516014,38885.6835602,40435.06637652,40234.9341837,38401.25885293,37732.97285,39341.9811,41801.171875,42933.15825,45088.0767215625,46491.199,44251.94875,44824.8440033041,45940.4985011515,40170.0248494385,36586.189891138,39456.6121,88720.83713142801,88568.96094,87808.02934146002,86498.80953941999,85450.66278263001,87896.25531207,86023.51392139001,95386.04270975,102770.79466126,100643.32855274,          3 .3 حسابات أخرى ,,3.3 Other account  ,99359.32400114,101074.58625935,104091.8980369,104808.15618519002,103276.82609340001,107691.5997986,106538.74757418002,112300.97075436,,          3 .3 حسابات أخرى 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III Net International Investment Position,1401826.456625314,1870974.2167431149,1864709.555937179,2119744.363134985,2538953.683650231,2939171.458709184,3253808.1098972075,3431915.2564772894,3018412.191291715,2663107.380326996,2721270.8561166264,2794217.028604813,2908771.5115297865,2627666.086094225,2638588.301264994,2916471.62339714,2869572.8751294785,2928290.3514051866,2702192.2060317104,,III  صافي وضع الاستثمار الدولي,,III Net International Investment Position,2603555.061738679,2720297.330502375,2828957.0162588637,2939171.458709184,3016067.775313747,3084835.4621256413,3176411.525500766,3253808.1098972075,3308311.6054402427,3368769.6305571995,3439321.2779781246,3431915.2564772894,3360000.4820857476,3309177.2509239856,3134593.8233925207,3018412.191291715,2952004.0271474617,2839548.5431549572,2774199.854472063,2663107.380326996,2721010.3151293024,2695630.0826645973,2709129.687818012,2721270.8561166264,2685366.4068196192,2714904.9720993186,2767995.1102401973,2794217.028604813,2873604.8249549456,2896084.7935169223,2905830.655188669,2908771.5115297865,2767410.4357533655,2674107.557459516,2626298.3186800564,2627666.086094225,2586607.5882235607,2561661.3194242083,2569786.721221381,2638588.301264994,2673318.538755947,2801303.279760328,2842188.8335524565,2916471.62339714,2955240.4210074437,2931173.1757666273,2903577.2298399652,2869572.8751294785,III  صافي وضع الاستثمار الدولي,,III Net International Investment Position,3006255.956669565,3035040.7522799787,2977782.1667101667,2928290.3514051866,2874706.1522691017,2847471.409686135,2785264.2489675838,2702192.2060317104,,III  صافي وضع الاستثمار الدولي
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  p: Preliminary,    e: estimated,   r: Revised.",,,,,,,,,,,,,,,,,,,,,  p: أولية.  e: تقديرية.  r : معدلة. ,,Note: Data were amended and updated based on the results of the new methodology data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ملاحظة: تم تعديل وتحديث البيانات بناءً على نتائج بيانات المنهجية الجديدة لاحتساب الاستثمار الأجنبي المباشر ,,"  p: Preliminary,    e: estimated,   r: Revised.",,,,,,,,,,  p: أولية.  e: تقديرية.  r : معدلة. 
,,,,,,,,,,,,,,,,,,,,,,,for calculating foreign direct investment published by the General Authority for Statistics (GASTAT).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,والمنشورة من قبل الهيئة العامة للإحصاء.,,,,,,,,,,,,
