,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,
,,,,,,,,,,,,,,,,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,p,p,p,p,p,p,p,e,,
3.2 Loans,10208,14086,13936.9,10755,9698,9053,7073,5405.191,4717.05,4545.469,30877.056,62134.234,78638.523,95628.36283768,79018.25141739,77531.89457738999,34703.4378514343,107952.04303766272,122744.2293787784,,          3 .2 القروض,,3.2 Loans,10321,13023,9454.1,9053,9962,9121.9,7739,7073,5928.317,5720.68,5284.39,5405.191,5439.12,5271.046,4416.45,4717.05,5079.19194706,4535.01939992,5026.63632074,4545.469,11523.639,9309.0589556,20610.83433312,30877.056,32833.864,36102.76,39317.441,62134.234,65856.59,67803.753,74405.509,78638.523,83032.208,96759.289,96210.841,95628.36283768,84521.74150212,82403.755193394,80644.32587177999,79018.25141739,76153.5968539,77956.0653738,78196.68700953931,77531.89457738999,32645.76163024,32519.64068370429,36653.6871829607,34703.4378514343,          3 .2 القروض,,3.2 Loans,115371.76743533982,113248.64642906978,111934.52043114981,107952.04303766272,110334.88315082096,111555.24551471096,114130.76126563,122744.2293787784,,          3 .2 القروض
3.3 Currency and deposits,205574.75,234874.15,272849.6875,283266.3075,294270.945,259416.55,284826.725,319910.568,395446.62749999994,418071.74757540284,527332.420866653,540446.955035152,619822.288775719,667685.374881109,770575.6639890346,996996.6466853098,1061779.3275154673,1054011.6188025346,1085588.5304482563,,          3 .3 العملة والودائع,,3.3 Currency and deposits,224695.8125,267403.08125,268330.6125,259416.55,271117.375,260224.1125,282038.525,284826.725,312158.318,313903.164,308486.65,319910.568,330638.3555,352762.7345,370547.99749999994,395446.62749999994,389369.70421035,399529.89495652,412224.63772154995,418071.74757540284,486220.347689051,506894.968513202,515323.040883157,527332.420866653,521244.503614744,543644.740099467,519285.227531324,540446.955035152,556127.482055078,569368.64217231,594735.071144663,619822.288775719,743232.063613032,727251.631486176,715753.132383055,667685.374881109,641954.183428876,698828.3239052504,713226.6104795738,770575.6639890346,840120.5236321521,856836.8880353151,1011783.990730149,996996.6466853098,1013958.270845135,1039292.7498062,1046793.721914835,1061779.3275154673,          3 .3 العملة والودائع,,3.3 Currency and deposits,1090079.9832207714,1042575.9111119986,1041931.8514430951,1054011.6188025346,1081371.476929694,1103490.648028068,1101556.384920443,1085588.5304482563,,          3 .3 العملة والودائع
3.4 Other accounts  ,38324,10223,19629.2,42591,39923.25,21912.25,25747.75,24369.318,17064.725,19310.945,44768.474,144464.299,193743.62512138,43060.472515098,52741.15637009,45692.13218824999,41675.36690407,52569.32067123,74196.46144926001,,          3 .4  حسابات أخرى ,,3.4 Other accounts  ,51085,34002.75,40918.5,21912.25,34490,28349.125,43155.375,25747.75,33383.912,35932.575,34109.343,24369.318,24403.871,30342.194,32471.726,17064.725,23530.74569692,29191.43848419,22705.7445,19310.945,31131.726,31781.807,47851.485,44768.474,36608.318,62381.312,97299.668,144464.299,123913.82786459,151014.76714323,188419.57827293,193743.62512138,47699.54715663,53790.213892488,48091.410203368,43060.472515098,43775.58831337099,40263.39866667,41927.344693516,52741.15637009,50095.48847868001,41650.95662245,45292.34694286001,45692.13218824999,42936.04854884652,50847.67850869877,47951.79882591499,41675.36690407,          3 .4  حسابات أخرى ,,3.4 Other accounts  ,47053.24159792,45435.14152155,49097.0629763,52569.32067123,64175.99128225,65860.96569561999,59220.99152265001,74196.46144926001,,          3 .4  حسابات أخرى 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Reserve assets,1146146,1659990.25,1537906,1669262,2040055,2462153,2721468,2746325,2311567.45279783,2009239.3439838097,1861587.65872511,1862208.9677270101,1873410.5557560478,1701208.9218382377,1707638.8182875596,1724439.9840893934,1638404.9121789183,1639569.1752801496,1725858.072080977,,      4 . الأصول الاحتياطية,,4 Reserve assets,2136386,2250628,2330037,2462153,2519324,2590773,2637971,2721468,2751256,2783873,2796941.1534469686,2746325,2617470.0477246502,2533151.5575402,2454529.79491421,2311567.45279783,2201565.5163633903,2138630.5789584103,2078208.1973783798,2009239.3439838097,1907464.49734311,1882265.46543316,1819580.77999948,1861587.65872511,1850193.92926317,1899819.8764377,1902030.75857383,1862208.9677270101,1873279.83012745,1926438.40035471,1877204.6373244317,1873410.5557560478,1775159.66969342,1679057.3118533224,1678502.61885982,1701208.9218382377,1683549.1854404295,1679941.4844808236,1745593.5235965147,1707638.8182875596,1692599.4323843454,1750107.1941247666,1756247.0244685314,1724439.9840893934,1645045.7269144345,1662018.3921699685,1648083.5788987598,1638404.9121789183,      4 . الأصول الاحتياطية,,4 Reserve assets,1707388.3168620355,1754167.930354202,1713646.7190878608,1639569.1752801496,1703597.0052783894,1716300.448946352,1689430.6090156867,1725858.072080977,,      4 . الأصول الاحتياطية
4.1 Monetary gold,756,1624,1624,1624,1624,1624,1624,1624,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,,          4 . 1 الذهب النقدي,,4.1 Monetary gold,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50262039,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,          4 . 1 الذهب النقدي,,4.1 Monetary gold,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,1623.50247581,,          4 . 1 الذهب النقدي
4.2 SDRs,2704,2756.25,40980,39922,38600,36974,36172,34045,33766.73,27600.59,29312.72,30333.3881,31437.8618264398,31509.6243793474,80782.5669931112,77306.27308987819,78423.56079087798,76977.0053531094,80479.4595175969,,          4 . 2 حقوق السحب الخاصة,,4.2 SDRs,38119,37084,37435,36974,35114,35346,36030,36172,36310,36321,35677.7360104789,34045,32411.7367405,33255.4500686,33193.80467580001,33766.73,30358.9,29765.02,28654.07,27600.59,27858.45,28552.09,29019.4,29312.72,30775.23,29773.92,30076.3,30333.3881,30283.427626,31980.936717,31036.3067244264,31437.8618264398,30913.205861976,30015.4489894049,30712.7457329864,31509.6243793474,30969.374376573,31215.33323503012,81430.73941555659,80782.5669931112,79946.1021291045,76834.04904720468,73975.27437690225,77306.27308987819,78380.78863937492,78250.79710984128,76656.57420800245,78423.56079087798,          4 . 2 حقوق السحب الخاصة,,4.2 SDRs,77648.9596191056,77293.47128306184,79864.41292364056,76977.0053531094,78523.7790415794,81329.20141723224,81106.9317915367,80479.4595175969,,          4 . 2 حقوق السحب الخاصة
4.3 Reserve position in the Fund,2741,5190,7564,7430,18233,21111,19354,14703,11230.16,7276.93,5775.76,6189.9924,9429.72095727807,13656.9968191304,14618.9336234076,14710.14009037212,13856.09871057318,12165.9057077448,12947.83854819927,,          4 . 3 وضع الاحتياطي لدى صندوق النقد الدولي,,4.3 Reserve position in the Fund,18928,20130,20456,21111,20044,19671,20207,19354,18922,18614,17574.8145337102,14703,12075.8543724,11939.1304444,11717.6032396,11230.16,7790.4,7624.45,7555.62,7276.93,7184.4,7363.3,7122,5775.76,5778.57,5531.52,5952.91,6189.9924,7582.7264725,8062.212051,8769.5403760052,9429.72095727807,9249.490519614,11954.3764074875,12178.5960225939,13656.9968191304,12993.6712194585,14468.97828924284,14445.66950851798,14618.9336234076,14347.96111177273,14514.01058694087,13946.64781897215,14710.14009037212,15089.85742130574,14927.77273249568,14277.52091661458,13856.09871057318,          4 . 3 وضع الاحتياطي لدى صندوق النقد الدولي,,4.3 Reserve position in the Fund,13566.2933285294,13330.72059919128,12643.17885081228,12165.9057077448,12504.9915398673,13280.48234970479,12961.75545202335,12947.83854819927,,          4 . 3 وضع الاحتياطي لدى صندوق النقد الدولي
4.4 Other reserve assets,1139945,1650420,1487738,1620286,1981598,2402444,2664318,2695953,2264947.06017744,1972738.3213634198,1824875.6761047202,1824062.08460662,1830919.47049652,1654418.79816395,1610613.8151952308,1630800.068433333,1544501.750201657,1548802.7617434852,1630807.2715393708,,          4 . 4 الأصول الاحتياطية الأخرى,,4.4 Other reserve assets,2077715,2191790,2270522,2402444,2462542,2534132,2580110,2664318,2694400,2727314,2742064.60290278,2695953,2571358.95399136,2486333.47440681,2407994.88437842,2264947.06017744,2161792.7137430003,2099617.60633802,2040375.0047579897,1972738.3213634198,1870798.1447227201,1844726.57281277,1781815.87737909,1824875.6761047202,1812016.6266427801,1862890.93381731,1864378.04595344,1824062.08460662,1833790.17340856,1884771.74896632,1835775.28774819,1830919.47049652,1733373.47083602,1635463.98398062,1633987.77462843,1654418.79816395,1637962.637368588,1632633.6704807407,1648093.61219663,1610613.8151952308,1596681.866667658,1657135.632014811,1666701.599796847,1630800.068433333,1549951.5783779437,1567216.3198518215,1555525.9812983326,1544501.750201657,          4 . 4 الأصول الاحتياطية الأخرى,,4.4 Other reserve assets,1614549.5614385905,1661920.2359961388,1619515.6248375978,1548802.7617434852,1610944.7322211326,1620067.262703605,1593738.4192963166,1630807.2715393708,,          4 . 4 الأصول الاحتياطية الأخرى
4.4.1 Currency and deposits,349386,496173,416196,438370,556609,737282,716614,702296,763905.5706119599,613767.9719594299,585222.22503598,625756.83080877,637185.24429983,545431.8529631,494048.7666473799,516695.23586594994,558754.4044821399,532724.68132975,619058.9659014599,,               4 . 4. 1  عملة و ودائع,,4.4.1 Currency and deposits,634274,670294,637150,737282,672139,638228,651781,716614,676488,649526,659234.51200677,702296,608081.1108254099,665135.87717379,735747.73437616,763905.5706119599,705414.93330408,721445.62750168,649181.14780212,613767.9719594299,567081.49856027,582200.48515816,556024.38980969,585222.22503598,605552.94174745,659935.80522021,659613.47008048,625756.83080877,607251.61321264,701211.41452094,647238.8470859,637185.24429983,611634.47947608,602514.59413707,580149.95827432,545431.8529631,513633.36916715,515035.77625475,511376.36431828,494048.7666473799,489775.19584338,546616.0312588,554360.68336733,516695.23586594994,537322.9690618599,616340.40767706,573515.6270306275,558754.4044821399,               4 . 4. 1  عملة و ودائع,,4.4.1 Currency and deposits,616024.62563064,646285.03315376,596874.32856178,532724.68132975,649078.77924805,660628.68221694,608168.7396115699,619058.9659014599,,               4 . 4. 1  عملة و ودائع
