,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 3a: Exchange Rates of Saudi Riyal Against Foreign Currencies,,,,,,,,,,,,,جدول 3a: سعــــر صرف الريال السعودي مقابل بعض العــمـــلات الأجــنبـيــــة ,
,,,,,,,,,,,,,,
متوسط,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
Period,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Average,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
2009,,0.341333202593822,0.531836443842741,1.8216214737272,24.9585125984703,12.8930025302443,0.170891639744349,340.363590528026,0.2667,0.19172208217351,9.15003601038784,-,0.28955529782441,
2010,,0.290915095066776,0.469499101385753,1.80572328089186,23.4122581519292,12.1930357652524,0.172700003100544,308.231143065187,0.2667,0.201469392077758,8.45721268762552,-,0.278185719306392,
2011,,0.258488131785439,0.445156603605755,1.72250112546902,21.2698183724492,12.4257797305327,0.166319214110075,295.336367440781,0.2667,0.191716910826024,8.13066819787853,-,0.236690001210012,
2012,,0.257525328798297,0.520372548949124,1.68338406626184,21.2761926900702,14.2522254238528,0.168306769195291,300.665029122743,0.2667,0.207734369720632,8.2929290596791,0.478928888888889,0.250224869808556,
2013,,0.276194497667841,0.574712725386074,1.65164275496501,26.0396374589816,15.6253394783653,0.170670901561489,292.095425620414,0.2667,0.200901616082697,8.18801118736904,0.507668888888889,0.24718447167163,
2014,,0.295600351696554,0.626805475393361,1.63823072647991,28.1765219450708,16.2700012200905,0.161906020611601,280.68499938331,0.2667,0.201013930819611,8.66176157337114,0.583611111111111,0.24403997886984,
2015-12-31T00:00:00,,0.355215509007985,0.889603795745562,1.66092941994656,32.2981103039937,17.106492589201,0.174459862076658,301.781745303957,0.2667,0.240612029229231,9.14286083463962,0.72532102650814,0.256732407078506,
