,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 5: Total Number of Policies by Line of Business,,,,,,,,,,,,,جدول 5: إجمالي عدد وثائق التأمين حسب نوع النشاط
,,,,,,,,,,,,,
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q3,2021,75,249,11662,17650,37610,135367,1748462,7248,1958323,80166,663343,2701832
Q4,2021,115,238,5412,17946,7628,169492,1453192,6329,1660352,45719,800864,2506935
Q1,2022,90,283,11631,18131,27928,179709,2260047,6617,2504436,106519,1082267,3693222
Q2,2022,75,215,8954,17352,19412,249262,1673379,8266,1976915,65695,1219932,3262542
Q3,2022,62,272,13491,16745,25752,281044,1953899,7674,2298939,68694,1009401.47817509,3377034.47817509
Q4,2022,108,284,6826,16907,14682,108210,2207059,6064,2360140,55116,1997642,4412898
Q1,2023,86,150,6427,14981,31482,132827,1909759,843,2096555,57893,1694064,3848512
Q2,2023,41,14,7835,13166,24635,175765,1721162,1822,1944440,67585,1414385,3426410
Q3,2023,77,17,1687,12334,2402,167065,3023164,11043,3217789,68387,1420993,4707169
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: Quarterly data are preliminary. Therefore, they might not conform with the annual audited financial statement.",,,,,,,,,,,,,.ملاحظة: البيانات الربعية أولية، لذا قد لا تتطابق مع البيانات السنوية المدققة
