,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12a: Bank Claims on Private Sector,,,,,,جدول 12a: مطلوبات المصــــارف من القطــــاع الخـــاص ,
(Million ﷼),,,,,,(مليون ﷼),
نهاية الفترة,,ائتمان مصرفي,,,,,
,,Bank Credit ,,,استثمارات في,الإجمالي,
,,قروض وسلف,كمبيالات,المجموع,أوراق مالية خاصة,,
End of Period,,وسحوبات على المكشوف,مخصومة,,Investments in,Grand,
,,"Loans, Advances",Bills,Total,Private Securities,Total,
,,& Overdrafts,Discounted,,,,
Q4,2003,211046.981,10076.012999999999,221122.994,7363.255999999999,228486.25,
Q1,2004,222632.363,11059.716,233692.07900000003,7553.866999999999,241245.94600000003,
Q2,2004,245996.093,12712.927,258709.02,8349.597,267058.61699999997,
Q3,2004,268240.54699999996,13510.225999999999,281750.773,9482.346,291233.119,
Q4,2004,288068.669,14929.746,302998.415,10929.464,313927.87899999996,
Q1,2005,311776.524,13959.437,325735.96099999995,14004.896,339740.85699999996,
Q2,2005,348522.33499999996,12386.142,360908.47699999996,13098.527999999998,374007.00499999995,
Q3,2005,382370.93299999996,11657.534,394028.46699999995,13836.231,407864.698,
Q4,2005,409732.515,11095.814,420828.329,15097.442,435925.771,
Q1,2006,423916.53199999995,10203.941,434120.47299999994,13338.092,447458.56499999994,
Q2,2006,432732.716,9926.974,442659.69,11339.643,453999.333,
Q3,2006,446624.578,9520.348,456144.926,11649.639,467794.565,
Q4,2006,451874.875,10227.648000000001,462102.523,13916.984,476019.507,
Q1,2007,458362.35,9790.776,468153.126,14098.932,482252.05799999996,
Q2,2007,486825.932,9169.591,495995.523,15617.764,511613.287,
Q3,2007,519966.826,8572.916,528539.742,19682.211000000003,548221.953,
Q4,2007,549884.496,7520.965999999999,557405.462,20476.472999999998,577881.935,
Q1,2008,600362.227,6284.784,606647.0109999999,19319.422000000002,625966.433,
Q2,2008,661575.0179999999,7017.942,668592.96,21682.561999999998,690275.522,
Q3,2008,699403.219,7891.626,707294.8450000001,21062.126000000004,728356.9710000001,
Q4,2008,703617.181,9119.445,712736.6259999999,21820.436999999998,734557.063,
Q1,2009,698687.9419999999,9265.293,707953.2349999999,20173.856,728127.0909999999,
Q2,2009,698593.703,8678.647,707272.35,21381.282,728653.632,
Q3,2009,714328.945,7287.664000000001,721616.6089999999,24717.236,746333.845,
Q4,2009,701706.3579999999,7062.976000000001,708769.3339999999,25467.554,734236.8879999999,
Q1,2010,709802.178,7184.347,716986.5249999999,28771.548,745758.0729999999,
Q2,2010,720476.8250000001,7831.316000000001,728308.1410000001,32045.629999999997,760353.7710000001,
Q3,2010,732893.388,7358.18,740251.5680000001,32919.671,773171.2390000001,
Q4,2010,735009.7729999999,8047.272,743057.0449999999,32698.685999999998,775755.7309999999,
Q1,2011,759825.461,7983.542,767809.003,35102.17,802911.1730000001,
Q2,2011,781398.76,8140.356,789539.116,35005.08,824544.196,
Q3,2011,802662.984,8508.159,811171.143,34855.141,846026.284,
Q4,2011,819038.049,9867.365,828905.414,34320.171,863225.585,
Q1,2012,856118.749,9654.08,865772.829,38178.388,903951.2170000001,
Q2,2012,891458.314,8871.854,900330.168,40007.66,940337.828,
Q3,2012,926278.521,8786.94,935065.461,37623.449,972688.91,
Q4,2012,958917.254,9489.315,968406.569,39108.456,1007515.025,
Q1,2013,993366.244,10204.423,1003570.667,41069.091,1044639.758,
Q2,2013,1036102.375,10397.211,1046499.586,46247.513,1092747.099,
Q3,2013,1059945.892,10704.3,1070650.192,44680.205,1115330.397,
Q4,2013,1074632.526,10913.338,1085545.864,47634.076,1133179.94,
Q1,2014,1116768.06,10376.882,1127144.942,49634.497,1176779.439,
Q2,2014,1164990.532,9170.879,1174161.411,51364.323,1225525.7340000002,
Q3,2014,1201001.244,10258.146,1211259.39,53280.357,1264539.747,
