,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,
Table 1b: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Liabilities,,,,,,,,,,,جدول 1b: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المطلوبات 
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية ,,رأس المال ,الإحتياطي ,Due to   مستحقات الى,,Borrowing from     الإقتراض من ,,,الإحتياطيات ,الخصوم ,مجموع 
الفتره,,المدفوع,,,,,,,التخصصية ,الأخرى ,المطلوبات 
End of,,Paid up, Reserves,المصارف المحلية,جهات أخرى,البنك المركزي,الحكومة ,جهات أخرى ,Earmarked,Other,Total
Period,,Capital,,  Local Banks,  Others,  SAMA,  Government,  Others,Reserves,Liabilities,Liabilities
Q1,2007,116240.90000000001,0,0,12,0,34.199,0.5,225,6746.9800000000005,123259.579
Q2,2007,117590.90000000001,0,0,14.06,0,50.2,16,225,9742.88,127639.04000000001
Q3,2007,119115.90000000001,0,0,1.7,0,82.9,11.1,225,10708.93,130145.53000000001
Q4,2007,123556.89000000001,0,0,22.1,0,2734.06,0,225,11778.45,138316.5
Q1,2008,124081.90000000001,0,0,10.4,0,28.1,10.6,225,7230.570000000001,131586.57
Q2,2008,127031.85,0,0,12.6,0,59.73,15.28,225,14479.36,141823.82
Q3,2008,127556.90000000001,0,0,7.77,0,108.5,11,225,14458.119999999999,142367.29
Q4,2008,127731.90000000001,0,0,10.5,0,10124.8,33.2,225,15391.1,153516.5
Q1,2009,128081.90000000001,0,0,7.3,0,10053.55,5.9,225,9908.49,148282.14
Q2,2009,128256.90000000001,0,0,10,0,10099,0,225,9091.779999999999,147682.68
Q3,2009,128981.90000000001,0,0,12.9,0,10141,0,225,9883.300000000001,149244.1
Q4,2009,135731.90000000002,0,0,18.3,0,10191.2,0,225,17924,164090.40000000002
