,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 3b: Exchange Rates of Saudi Riyal Against Foreign Currencies,,,,,,,,,,,,,جدول 3b: سعــــر صرف الريال السعودي مقابل بعض العــمـــلات الأجــنبـيــــة ,
,,,,,,,,,,,,,,
نهاية,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
End of,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Period,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
2009,,0.29732106558618,0.464107654074025,1.82085551036516,24.4601391773533,12.4480041096613,0.164659804757069,311.361274267159,0.2667,0.185108261337715,8.89574966447405,-,0.274801278485685,
2010,,0.262208362048366,0.447545860360095,1.76610437149576,21.7199929352362,11.9733374429018,0.172767240274695,305.627222889835,0.2667,0.200802058478236,8.04001288280457,-,0.250560159580547,
2011,,0.262569803291502,0.49803812584133,1.68023275001086,20.7253463024882,14.2053063528594,0.172476269052065,307.546137478831,0.2667,0.206094923791741,8.45412306222589,-,0.250906248643015,
2012,,0.256902971478938,0.5462118241473,1.67722166892804,23.079886040677,14.6258844513539,0.165466924382229,286.00007634303,0.2667,0.202279533474684,8.16717735526923,0.475173333333333,0.244426091271563,
2013,,0.300808137128767,0.627680298389094,1.627304541464,28.0799513767076,16.5340839236642,0.161930109211932,281.492153260341,0.2667,0.193474989653698,8.78239171880222,0.569653333333333,0.237732921674595,
2014,,0.325123642327181,0.70832006567262,1.63173820773383,32.1613617497483,16.8884099237807,0.170853173471059,293.12112438593,0.2667,0.219642518603868,8.78785424654105,0.618933333333333,0.26375986791852,
2015-12-31T00:00:00,,0.364997074943038,1.04127986637108,1.73107180245089,32.1594617895191,17.6869919637909,0.17994950427982,312.53463883244,0.2667,0.244940806084118,9.65351545661679,0.775975789555366,0.264559855902457,
2016-12-31T00:00:00,,0.368528377938761,0.868935023922686,1.85328014536106,31.1467020018884,18.1212162087106,0.216768096738104,322.265950440765,0.2667,0.252981409335798,9.55201498044132,0.93870271285084,0.271413382421785,
2017-12-31T00:00:00,,0.341879333621695,0.881971946499492,1.73643153930992,30.106675205177,17.0471921221007,0.19736317318009,285.706795792911,0.2667,0.222351423365933,8.70905587668594,0.93870271285084,0.260212975914285,
2018-12-31T00:00:00,,0.37819721291233,1.03311488108477,1.82745787540169,29.5545184719336,18.6608902728033,0.210047780837047,299.013705354061,0.2667,0.232814621089526,8.64451594100639,1.4052838673412,0.261626925997224,
2019-12-31T00:00:00,,0.38734260586571617,1.0795629770252992,1.8716516214017276,29.23056061369184,19.11148347603735,0.20414939366936577,310.97594049048854,0.2667,0.23940955406609585,8.068672271512145,1.5873015873015872,0.260280500561776,
2020-12-31T00:00:00,,0.35267977675615897,1.3779038157831471,1.7405382114602943,27.601275256401248,19.6597713562914,0.19846917452298085,294.73660851329805,0.2667,0.2189257962030794,8.045728741719895,1.9798059790140567,0.2370061062886266,
2021-12-31T00:00:00,,0.37037128901778216,1.519548958253835,1.7011352362054493,30.498359154392126,20.120773868579715,0.1987769976341296,318.0950927268564,0.2667,0.2361062352133099,8.97057925665878,3.5701535166012137,0.24572807753949477,
2022-12-31T00:00:00,,0.399025808855045,1.3710979278409567,1.8621211089435712,35.35789106844574,22.08854243860232,0.220873407225518,340.1437252396422,0.2667,0.250940342809532,9.276186394170875,5,0.24797010130466307,
2023-12-31T00:00:00,,0.39414110270597563,1.2994618323195384,1.9095332560538882,37.933452040934206,22.206089142237996,0.20989137059477286,348.5143624246625,0.2667,0.24250010954560483,9.271023793305371,7.942811755361397,0.22810581707079033,
2024-12-31T00:00:00,,0.42575859743762634,1.641688632787756,1.9450949140767075,41.74441651852305,22.66985430842477,0.21241136925560392,386.47908620936266,0.2667,0.25640491223768364,9.129651198430698,9.42507068803016,0.23892805329083142,
2025-12-31T00:00:00,,0.39801153899326863,1.4671461923853548,1.8646339397503322,41.72360547780895,23.978557645313234,0.198184059209873,382.6404939608188,0.2667,0.22694976078884188,8.415695834785605,11.45475372279496,0.2113470012442485,
,,,,,,,,,,,,,,
Q1,2009,0.387989740552997,0.596653194305222,1.82290681953576,26.1599845894259,13.5866684265162,0.185959611453766,367.226489064557,0.2667,0.200380270184463,9.46876326575749,-,0.303572256685942,
Q2,2009,0.328649031242806,0.519438708369554,1.82184419484406,25.5865971694904,12.7653302089382,0.161031016035431,342.58683424786,0.2667,0.188669715471597,9.0844995413049,-,0.288079424689823,
Q3,2009,0.302994906941438,0.477865560758203,1.8210629782106,23.9385534097909,12.7554860622545,0.165498146907642,316.986511641998,0.2667,0.182111347119039,8.96371574472096,-,0.2743990493855,
