,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22: Private Sector Imports Financed Through Commercial Banks,,,,,,,,,,,,,جدول 22: واردات القطاع الخاص الممولة عن طريق المصارف التجارية,,,Contd2 table 22: Private Sector Imports Financed Through Commercial Banks,,,,,,,,,,,,,,,تابع2 جدول 22: واردات القطاع الخاص الممولة عن طريق المصارف التجارية
 (Letters of Credit by Exporting Countries),,,,,,,,,,,,, (إعتمادات مستندية حسب بلدان التصدير),,, (Letters of Credit by Exporting Countries),,,,,,,,,,,,,,, (إعتمادات مستندية حسب بلدان التصدير)
(Million ﷼),,,,,,,,,,,,,(مليون ﷼),,,(Million ﷼),,,,,,,,,,,,,,,(مليون ﷼)
,,دول مجلس,,أمريكا الشمالية,,أمريكا اللاتينية,,أوروبا الغربية,,أوروبا الشرقية,,بلدان أوروبية أخرى,,,,,,اليابان,,الصين,,كوريا الجنوبية,,بلدان آسيوية أخرى,,الدول العربية,,بلدان أخرى,,الإجمـــــالي,
الفترة,,التعاون الخليجي,,,,,,,,,,Other European,,,,الفترة,,,,,,,,Other Asian,,,,,,,
,,GCC  Countries,,North America,,Latin America,,Western Europe,,Eastern Europe,,Countries,,,,,,Japan,,China,,South Korea,,Countries,,Arab Countries,,Other Countries,,TOTAL,
Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,,,Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد
,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,,,,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled
1996-12-31T00:00:00,,4950.646,4031.046,4581.077,3695.977,624.079,479.128,11664.043,9742.893,808.439,1573.405,1514.897,1073.327,,,1996-12-31T00:00:00,,7771.784,6486.269,3720.898,3445.259,4594.833,4211.494,6473.071,6533.938,1272.473,1122.18,3464.457,3961.948,51440.697,46356.864
1997-12-31T00:00:00,,7223.642,5533.579,4625.791,4132.348,414.134,470.863,12388.092,10731.522,664.555,739.934,905.021,826.563,,,1997-12-31T00:00:00,,8345.535,8164.957,2288.774,2208.857,3824.574,3454.162,8697.741,7841.193,1491.813,1115.439,2474.458,6671.744,53344.13,51891.161
1998-12-31T00:00:00,,7346.6,6900.789,4196.857,4126.121,454.732,434.863,13214.69,10944.314,785.311,577.65,904.172,590.176,,,1998-12-31T00:00:00,,9746.511,9772.566,2485.435,2260.495,4190.913,3870.794,8962.432,8210.737,1184.945,1159.749,2188.567,1725.892,55661.165,50574.146
1999-12-31T00:00:00,,6048.814,5392.931,3333.042,2862.087,284.612,200.071,11368.325,11046.162,350.198,290.295,461.875,578.115,,,1999-12-31T00:00:00,,8352.744,8745.65,1486.997,1537.935,3449.715,3087.722,7785.02,8274.004,814.175,712.927,1297.449,1417.143,45032.966,44145.042
2000-12-31T00:00:00,,6654.405,5747.488,3242.32,3137.145,303.026,608.255,13227.875,11934.116,1268.871,1122.666,487.724,447.828,,,2000-12-31T00:00:00,,7901.137,8034.368,2292.722,2454.218,3572.69,3583.991,7685.546,7540.812,1588.194,1373.76,1504.014,1548.364,49728.524,47533.011
2001-12-31T00:00:00,,8340.002,6935.771,3323.968,5108.852,1155.262,608.109,11961.302,13541.284,553.508,469.385,736.813,728.31,,,2001-12-31T00:00:00,,9897.608,10147.918,2257.612,2491.618,4224.731,4222.779,8992.699,8316.836,1175.178,1021.412,1808.756,1813.849,54427.439,55406.123
