,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,
Table 30c: Points of Sale Transactions and E-Commerce Transactions (Mada Cards),,,,,,,,,,جدول 30c:عـمـليــات نقــاط الـبيــع والتجارة الإلكترونية
(Sales in Thousand ﷼),,,,,,,,,, (المبيعات بالألف ﷼)
,,إجمالي عمليات نقاط البيع ,,,منها: نقاط البيع بأستخدام تقنية التواصل قريب المدى,,,, التجارة الإلكترونية عبر بطاقات مدى **,
الفترة,,Total Points of Sale Transactions,,,of Which: Points of Sale Transactions Using Near Field Communication Technology,,,,E-Commerce Transactions Using Mada Cards**,E-Commerce Transactions Using Mada Cards
,,مبيعات,عدد ,عدد أجهزة ,عدد العمليات ,, المبيعات,,مبيعات,عدد 
Period,,,العمليات,* نقاط البيع,Number of Transactions,,Sales,,,العمليات
,,Sales,Number of,Number of Points,عبر الهاتف الجوال, عبر البطاقات,باستخدام الهاتف الجوال,باستخدام البطاقات,Sales,Number of
,,,Transactions,of Sale Terminals*,Mobile Transactions,Cards Transactions,Sales Using Mobile,Sales Using Cards,,Transactions
2022-10-31T00:00:00,,47655167.48897789,669108839,1385847,292790106,354362049,16369704.2359347,28287211.6201553,10897258.9874799,56126081
2022-11-30T00:00:00,,46873139.78486114,656246635,1438163,286641200,347758878,16238396.9358669,27651431.3115231,11222357.2916699,60725709
2022-12-31T00:00:00,,50511863.651712485,691923897,1438121,304543575,364347413,17615621.7381446,29588092.4798954,11859461.2967499,64387871
2023-01-31T00:00:00,,48326933.77583956,688367844,1473945,305140924,360154280,17077257.5790489,28134911.3568011,11710334.42088,62916449
2023-02-28T00:00:00,,44799136.590507254,633160279,1513763,280415987,331725815,15667058.7379344,26190388.2291456,11318985.46329,58587841
2023-03-31T00:00:00,,55412673.60749088,720219673,1576180,319212469,374094781,19613980.0727469,32241744.9773831,13502843.86575,71946933
2023-04-30T00:00:00,,51573332.18539813,665430187,1591125,295989249,345183031,18894812.7863747,29403576.9247653,12626220.04695,73130911
2023-05-31T00:00:00,,49796486.34600857,752157291,1568697,340449407,384069948,17903150.7164249,28829599.8487251,12706708.42978,70769674
2023-06-30T00:00:00,,51852727.194198154,756421827,1603344,339816763,388697048,18999178.1091239,29863961.8884161,13386388.59986,74804285
2023-07-31T00:00:00,,49350190.593648575,745901591,1636500,337562180,380096697,17987588.997,28370425.436,12899048.428,70966420
2023-08-31T00:00:00,,54643386.34669974,791728741,1685509,357711546,402721878,19575775.3388253,31713939.7380147,14378994.40214,76290290
2023-09-30T00:00:00,,50498495.31832907,780737495,1691163,359729658,389586510,18495428.9867051,28937084.3275949,13849693.09504,77196038
2023-10-31T00:00:00,,51103900.27767903,810414477,1714740,377425626,401917129,18844076.7409848,29042414.6537452,13415929.20263,78009102
2023-11-30T00:00:00,,52370867.97488107,798660763,1736909,371270744,396692700,19426880.4036651,29685626.9065249,13479240.2711499,78091923
2023-12-31T00:00:00,,54228803.11334056,828539267,1739070,385683173,411150514,20072911.4644954,30660737.8573746,13634005.6422199,81033027
2024-01-31T00:00:00,,53800569.00389002,829777005,1762621,422241605,374696799,24461826.9515256,25803566.1204744,14426485.73744,83371400
2024-02-29T00:00:00,,53719464.45298001,806184813,1774526,410426018,363431028,24380951.1346755,25719802.1861044,14106978.47953,84326428
2024-03-31T00:00:00,,59678851.04707,809436464,1780710,410037485,365768116,27604458.2942264,28136797.9563136,15889111.1362,95544345
2024-04-30T00:00:00,,52953272.74495998,798807299,1795381,413758117,351889777,25118441.6336157,24498593.3590442,14849922.5844699,93853704
2024-05-31T00:00:00,,56489793.87834998,894485833,1805939,463689439,394851274,26349016.7797853,26647060.4891747,16216348.7808799,91868518
2024-06-30T00:00:00,,52761943.03783997,825840453,1802069,428958045,363335472,24915693.8127049,24608697.7888151,15137744.79967,88782359
2024-07-31T00:00:00,,54123020.861159995,863768954,1822134,450668493,378340576,25619472.9890555,25158006.4948045,16637715.10298,90401921
2024-08-31T00:00:00,,58509974.490108036,899230567,1857008,468080988,394094583,27626799.9507351,27186039.7919049,17538310.85691,94140147
2024-09-30T00:00:00,,54858236.42588996,885554800,1895058,464676156,382353392,26093166.7010559,25299814.7079042,17461812.5970699,98246733
2024-10-31T00:00:00,,55740894.695219986,923068452,1926451,485752083,398305583,26561183.4906555,25709401.0067945,18342031.50056,100892554
2024-11-30T00:00:00,,56453977.61462699,901823971,1953091,474453464,388774718,27341092.3310799,25694533.6509171,17442293.6916,98777889
2024-12-31T00:00:00,,59094482.577049956,935419451,1981111,491698734,400254647,28699576.8602156,26801133.0469644,19368523.6549001,105725639
2025-01-31T00:00:00,,58208612.06206998,938496232,2013597,494244288,397943692,28409755.4556754,26281390.6313646,20866747.79187,111423618
2025-02-28T00:00:00,,57871765.99947997,882016976,2038684,466905716,374621600,28174018.8326252,26213344.9206148,20885626.1083001,111867172
2025-03-31T00:00:00,,65657569.497018605,892485682,2082249,472356511,378451856,33458197.4727569,28436276.2142762,27545569.96881,147613235
2025-04-30T00:00:00,,52223280.03051198,891532746,2089341,482834880,370923553,26020106.5608548,23249626.7272672,23270071.6183193,132095811
2025-05-31T00:00:00,,59499815.471839994,988830225,2136878,534836127,413048775,30035880.3413164,26416928.5469136,27398512.0917801,147087438
2025-06-30T00:00:00,,53980536.229830004,919313353,2130219,500458920,379793573,27711987.4625752,23608068.1882148,25971479.8208801,141551407
2025-07-31T00:00:00,,58885108.84522998,984926414,2117469,541332191,405489476,30284994.3679763,25662586.4924336,29856109.5950101,149739583
2025-08-31T00:00:00,,62571295.93812999,1004095659,2176742,552938642,414734475,32275645.5900365,26953540.2951135,29315909.7306199,154675843
2025-09-30T00:00:00,,58242906.95012999,986371663,2249852,543975734,407014186,29792057.4371864,25222836.6199536,29117170.3902701,161061543
2025-10-31T00:00:00,,59862413.963219985,1037514334,2313312,570672546,428967881,30385897.3077961,25943224.7596739,30736289.1954,170849786
2025-11-30T00:00:00,,59012822.54161148,998327746,2311183,551630080,410421227,30365772.1734166,25133277.4907534,29107552.40308,166713784
2025-12-31T00:00:00,,61135041.783029996,1022360790,2330051,556707889,427562467,31170739,26295463,31124856,176107091
2026-01-31T00:00:00,,63693618.20502,1046034005,2354641,574697110,432034475,32913581.9165764,27060542.1478036,32586147.65252,177684816
2026-02-28T00:00:00,,59880373.048169985,939323961,2381028,516368656,387617327,30867007.571317,25464835.1021931,30419760.60515,169673757
,,,,,,,,,,
*    End of period. Includes terminals issued by banks and payment companies.,,,,,,,,,,*    نهاية الفترة. تتضمن أجهزة نقاط البيع المصدرة من المصارف وشركات المدفوعات.
"** Including transactions of mada cards through online shopping sites, in-app purchases ",,,,,,,,,,** تتضمن عمليات بطاقات مدى المستخدمة في الدفع والشراء من خلال مواقع التسوق والتطبيقات الإلكترونية  
"     and e-wallets, it does not include transactions by Visa, MasterCard and other credit cards.",,,,,,,,,,     والمحافظ الالكترونية، ولا تشمل العمليات التي تتم عبر بطاقات فيزا وماستركارد وغيرها من البطاقات الإئتمانية. 
