,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,
Table 30f: Distribution Of Points Of Sale Terminals By Bank,,,,,,,,,,,,,,,,جدول 30f:توزيع أجهزة نقــاط الـبيــع حسب المصرف,
,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك,البنك السعودي,البنك العربي,البنك السعودي, بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,مصرف,بنك ,بنك الخليج,بنك,المجموع,
الفترة,,السعودي**,الرياض,الفرنسي,الوطني,الأول*, الجزيرة,,للإستثمار,الراجحي,المالية **,الإنماء,البلاد ,الدولي,إس تي سي,,
End of,,Saudi National ,Riyad,Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,Alinma,AL-Bilad,Gulf International,STC ,Total,
Period,, Bank**, Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group**,Bank,Bank ,Bank,Bank,,
2020-02-29T00:00:00,,80091,55797,30479,19661,46977,9863,---,9289,123887,18695,46850,21350,---,---,462939,
2020-03-31T00:00:00,,82107,55987,31029,20061,47135,10506,---,9164,127137,18384,48642,22011,---,---,472163,
2020-04-30T00:00:00,,86129,57622,32197,21280,47485,10633,---,9198,130434,18460,50494,22219,---,---,486151,
2020-05-31T00:00:00,,90209,58926,33929,22119,48044,11016,---,9207,135724,18923,53611,23385,---,---,505093,
2020-06-30T00:00:00,,95468,63190,33808,23327,48343,11444,---,9343,144629,19140,57588,25425,---,---,531705,
2020-07-31T00:00:00,,101704,65936,34130,24226,49494,12218,---,9546,153192,18676,61097,28543,---,---,558762,
2020-08-31T00:00:00,,107312,69309,35171,22710,50231,12535,---,9670,159337,19519,64009,30139,---,---,579942,
2020-09-30T00:00:00,,113253,74271,36284,23164,54582,13401,---,9791,168679,19651,68705,32476,28,---,614285,
2020-10-31T00:00:00,,123475,78842,37639,24459,57607,13522,---,10070,184791,20117,71315,35147,56,---,657040,
2020-11-30T00:00:00,,130183,84183,41185,25762,60421,13934,---,9955,196619,20360,72388,36951,1365,---,693306,
2020-12-31T00:00:00,,135621,88542,45036,25624,62748,14066,---,9865,204665,20795,74277,38446,1375,---,721060,
2021-01-31T00:00:00,,138909,92815,45048,26258,59239,14614,---,9947,214677,20328,76027,40197,1405,---,739464,
2021-02-28T00:00:00,,145158,96795,49433,27520,54769,14577,---,8476,224803,20681,77566,41390,1427,---,762595,
2021-03-31T00:00:00,,149766,101951,58405,28501,53086,14958,---,8513,232400,20896,79834,43160,1372,---,792842,
2021-04-30T00:00:00,,174595,107031,62791,29241,54211,15470,---,8706,244222,---,83118,42902,1372,---,823659,
2021-05-31T00:00:00,,177899,108838,62644,29539,53272,15545,---,8670,250907,---,84736,43925,1372,---,837347,
2021-06-30T00:00:00,,178136,111823,62920,29213,52598,15285,---,8462,257296,---,86949,44304,1372,---,848358,
2021-07-31T00:00:00,,177510,114025,63366,28821,54205,15235,---,8551,264270,---,88587,44712,54,---,859336,
2021-08-31T00:00:00,,179804,115396,64349,28612,52921,16238,---,7171,279658,---,90922,44347,100,---,879518,
2021-09-30T00:00:00,,181260,118765,66799,29871,52601,16009,---,6331,290302,---,92580,45025,116,---,899659,
2021-10-31T00:00:00,,193651,125289,70222,31064,52707,16231,---,6380,300721,---,95589,44068,116,---,936038,
2021-11-30T00:00:00,,198087,130942,75248,31112,52368,17203,---,6534,313835,---,97907,45194,250,---,968680,
2021-12-31T00:00:00,,213776,138511,76160,32815,53306,18043,---,6635,326121,---,100764,46760,250,---,1013141,
2022-01-31T00:00:00,,222394,145633,80354,33624,52285,18599,---,6735,337830,---,104985,48185,271,---,1050895,
2022-02-28T00:00:00,,232915,152369,81896,33939,50710,19531,---,6680,352155,---,106973,49279,295,---,1086742,
2022-03-31T00:00:00,,242005,160829,82508,35114,53039,20211,---,6905,373046,---,111778,50635,307,---,1136377,
2022-04-30T00:00:00,,247461,169009,83304,35587,52432,20903,---,7288,379098,---,115322,51200,313,---,1161917,
2022-05-31T00:00:00,,253925,172659,84056,35428,52267,21123,---,7326,390365,---,116923,51904,315,---,1186291,
2022-06-30T00:00:00,,260788,173124,82644,33633,45284,21798,---,7442,404173,---,119261,52157,323,---,1200627,
2022-07-31T00:00:00,,268768,176921,80907,34045,43593,22336,---,7722,413104,---,120813,53002,347,---,1221558,
2022-08-31T00:00:00,,280118,182341,78744,34862,42985,22829,---,8059,431667,---,123211,54296,347,---,1259459,
2022-09-30T00:00:00,,296565,189188,79737,38921,43655,22240,---,9415,453525,---,125071,55825,366,---,1314508,
2022-10-31T00:00:00,,305893,196299,80435,49370,44526,22525,---,9829,484205,---,126893,55016,367,---,1375358,
2022-11-30T00:00:00,,308211,206930,81383,59833,41314,22636,---,9546,514766,---,125926,54614,368,---,1425527,
2022-12-31T00:00:00,,298097,196911,74509,68514,42084,22044,---,9012,533442,---,125247,53741,376,---,1423977,
2023-01-31T00:00:00,,306351,197381,74922,89868,42626,21457,---,8712,538967,---,124198,53425,386,---,1458293,
2023-02-28T00:00:00,,314163,202989,71789,105637,44477,22160,---,8700,545883,---,126666,53615,386,---,1496465,
2023-03-31T00:00:00,,335406,212163,72028,120428,45328,22691,---,9185,557845,---,127708,54024,394,---,1557200,
2023-04-30T00:00:00,,343430,212501,70874,125732,45380,23065,---,9236,556911,---,128555,54362,456,---,1570502,
2023-05-31T00:00:00,,360285,206005,25962,127784,46007,22730,---,9263,565918,---,128757,54461,456,---,1547628,
2023-06-30T00:00:00,,386242,204322,25669,126870,46096,23696,---,9489,577172,---,125153,54743,470,---,1579922,
2023-07-31T00:00:00,,401880,208642,25787,127144,47093,24143,---,9582,586829,---,127065,51323,470,---,1609958,
2023-08-31T00:00:00,,429750,213681,26158,133623,47415,24639,---,9528,593065,---,127174,49721,488,---,1655242,
2023-09-30T00:00:00,,437771,216927,26448,134298,48349,25156,---,9683,581700,---,127581,49551,566,---,1658030,
2023-10-31T00:00:00,,439914,221581,26795,140157,48754,25405,---,10141,585294,---,130436,49134,573,---,1678184,
2023-11-30T00:00:00,,439123,225782,27178,150530,49926,22756,---,10737,590971,---,131336,48441,586,---,1697366,
2023-12-31T00:00:00,,422242,227744,27395,153895,49584,23143,---,10844,601153,---,133928,46069,586,---,1696583,
2024-01-31T00:00:00,,411957,233588,27656,164773,50327,23480,---,10598,610944,---,136888,45893,609,---,1716713,
2024-02-29T00:00:00,,393835,238437,27787,172764,50691,23884,---,10743,623778,---,138311,44883,628,---,1725741,
2024-03-31T00:00:00,,384744,234096,28084,178668,51722,23459,---,12703,628405,---,142242,44222,640,---,1728985,
2024-04-30T00:00:00,,380126,235609,28190,185341,52235,23619,---,12140,640955,---,144415,43312,640,---,1746582,
2024-05-31T00:00:00,,365294,238567,28582,193608,51160,23519,---,12198,654967,---,144315,42298,640,---,1755148,
2024-06-30T00:00:00,,339949,242243,28774,194827,51263,23668,---,12244,667235,---,146930,41542,642,---,1749317,
2024-07-31T00:00:00,,334465,246625,28615,198125,52219,23725,---,12322,688530,---,149993,41873,658,---,1777150,
2024-08-31T00:00:00,,341125,249568,28271,203106,53252,23880,---,12371,705111,---,151528,40080,731,---,1809023,
2024-09-30T00:00:00,,348710,248461,26316,208100,53669,24042,---,12272,726040,---,155539,40121,735,---,1844005,
2024-10-31T00:00:00,,348170,255442,27258,209629,54500,24383,---,12366,744944,---,154826,39767,745,---,1872030,
2024-11-30T00:00:00,,344851,254623,28119,212377,54918,24814,---,12456,765084,---,157409,40093,746,---,1895490,
2024-12-31T00:00:00,,340408,254260,27864,218853,54544,25193,---,10546,786252,---,161716,39549,746,---,1919931,
2025-01-31T00:00:00,,343047,250079,28482,224409,55425,25350,---,10698,804653,---,166366,39966,846,---,1949321,
2025-02-28T00:00:00,,335201,251940,28956,228635,56040,25621,---,10737,827896,---,167666,38664,886,---,1972242,
2025-03-31T00:00:00,,349585,251365,29279,231186,57103,26786,---,10951,847057,---,170907,37323,886,---,2012428,
2025-04-30T00:00:00,,355159,234385,29357,234100,58267,26326,---,11019,864405,---,169455,37321,886,---,2020680,
2025-05-31T00:00:00,,355992,233884,29711,240946,62221,26539,---,11211,896315,---,169992,37344,886,---,2065041,
2025-06-30T00:00:00,,353340,215868,30306,244672,64468,26103,---,10766,900299,---,171994,37470,886,---,2056172,
2025-07-31T00:00:00,,366761,186562,30081,250316,68584,26204,---,10891,921488,---,174438,37655,762,---,2073742,
2025-08-31T00:00:00,,400389,177058,29584,255385,71180,26249,---,10690,948795,---,175470,38100,762,---,2133662,
2025-09-30T00:00:00,,426417,177968,30187,264514,76695,26433,---,10732,977194,---,178545,38078,762,---,2207525,
2025-10-31T00:00:00,,441889,177672,30945,274414,83602,26715,---,10661,1004634,---,184468,34190,764,---,2269954,
2025-11-30T00:00:00,,446219,168902,31278,275682,85476,26762,---,10772,999371,---,187178,33173,776,---,2265589,
2025-12-31T00:00:00,,452717,168833,31028,290417,87335,26949,---,10892,991927,---,190085,31215,809,---,2282207,
2026-01-31T00:00:00,,456272,169596,31581,296895,92584,27527,---,11365,994022,---,193093,30053,810,---,2303798,
2026-02-28T00:00:00,,454698,169028,32191,307217,94125,27804,---,11521,1004358,---,196848,28578,823,7,2327198,
,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,ملاحظات:,
" -  Starting from September,1997, the Saudi Cairo Bank merged with United Saudi Commercial Bank .",,,,,,,,,,,,,,,,. إعتباراً من سبتمبر1997 تم دمج بنك القاهرة السعودي  مع البنك السعودي التجاري المتحد  - ,
" -  Starting from July,1999, the United Saudi  Bank merged with  Saudi American Bank under the name Saudi American Bank.",,,,,,,,,,,,,,,,إعتباراً من يوليو 1999 تم دمج البنك السعودي المتحد مع البنك السعودي الأمريكي تحت مسمى البنك السعودي الأمريكي  - ,
" -  Starting from the beginning of 2004, the name of Saudi American Bank was changed to Samba Financial Group.",,,,,,,,,,,,,,,,.إعتباراً من بداية عام 2004 تم تغيير اسم البنك السعودي الامريكي الى مجموعة سامبا المالية  - ,
" -  Effective from July 2011, ALinma Bank's Points of Sales have been included.",,,,,,,,,,,,,,,, . إعتباراً من يوليو 2011 تم إدراج نقاط البيع لمصرف الإنماء   - ,
" *  Starting from June,2019 the Alawwal bank merged with Saudi British Bank.",,,,,,,,,,,,,,,,  *   إعتباراً من يونية 2019 تم دمج البنك الأول مع البنك السعودي البريطاني.,
"** Starting from April,2021 Samba Financial Group merged with ",,,,,,,,,,,,,,,,** اعتباراً من ابريل 2021م تم اندماج مجموعة سامبا المالية والبنك الأهلي التجاري,
National Commercial Bank to Saudi National Bank.,,,,,,,,,,,,,,,, ليصبح البنك الأهلي السعودي.,
