,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices,
,,,,,,,,,,,,,,,,
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق,
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 ),
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية,
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى,
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services",
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,,
2013-12-31T00:00:00,,84.73280166995947,76.8225535391076,47.158631305809,112.3736433812655,94.2710712648992,86.69574022811679,86.27535956505045,73.1381596647157,90.66015766629441,72.06497688568425,88.50958395984436,72.91340103976948,65.34456977220036,87.19894272849659,
2014-12-30T00:00:00,,86.28781756661039,77.80472179972325,49.23188957666955,112.71407773270259,98.15583359267698,88.03908059764514,87.48752292421712,73.50519225028522,91.37485852507633,71.98987596304251,91.97862245079835,73.74747123881396,64.34615052671738,88.04223775880911,
2015-12-31T00:00:00,,87.30942295250038,78.22103661759787,49.876971733303854,114.17469247100699,100.39625162485612,89.78644906548983,88.85974907010217,73.89392577056752,90.76910984439337,72.59620832281139,92.27513499216451,74.83646909697069,64.30261663816776,89.1974480680218,
2016-12-31T00:00:00,,89.85586892160501,77.09515299354203,56.40098187227639,114.71731329123406,109.24053906961832,90.60147475753165,90.15318463948675,77.94146023175264,90.28494508029564,71.42658460873797,93.72227638476852,74.94632024567095,64.45131468514403,90.30863833503058,
2017-12-31T00:00:00,,89.08347856289267,76.29294767085601,58.37453249309983,112.44572010624576,107.73105318215057,89.9468689095644,90.2062248802182,77.2419222743785,89.16902498841624,71.74985354561964,93.75954138858982,75.02106682484826,65.11911899401883,90.09523510751983,
2018-12-30T00:00:00,,91.28678934766971,80.72687564287962,88.40503019528968,101.09784416495758,104.56171808784767,89.50675986804866,95.85724378742867,83.19541544350092,91.25306587990654,86.50282702492456,94.65453566302364,81.09269133971371,83.04952222912102,90.0005531475543,
2019-12-31T00:00:00,,89.42756458113577,82.5384998401359,88.52443843027447,100.36530331983225,94.1491253688831,90.13421584819083,95.08315840201828,83.28099701149166,89.86630008283254,86.09394704029869,96.46902788082785,83.62786408084493,83.55471038362703,91.82967734765681,
2020-12-31T00:00:00,,92.27741518646648,89.56154033234178,94.1430919941156,102.94407710667407,93.55623774160226,95.82786541088984,97.11005340803234,84.5938477594404,94.12010349518589,86.14962866637285,94.48473844716752,87.48395180151147,89.68740063503562,96.38705040397674,
2021-12-31T00:00:00,,95.16565864244212,94.33431219912633,99.57683238998203,105.047539532778,91.45529748214496,100.55114576436988,98.61009091280285,94.1879740985487,100.90135113153993,89.51921613663298,89.49465794785475,91.44463358186404,95.48360370594929,99.29880876157695,
2022-12-31T00:00:00,,97.58682836825437,98.3471866770588,99.51725510503616,103.75215114739582,92.9422795160475,100.82936958326292,98.74804024493243,98.36347310528515,100.97319747564751,99.5503128539231,96.3683679690836,95.96108668041309,94.87313291022696,99.647047194573,
