,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,
Table 24: Private Sector Exports Financed Through Commercial Banks,,,,,,,,,,,,,,,,,جدول 24: صادرات القطاع الخاص الممولة عن طريق المصارف التجارية
 (Letters of Credit by Importing Countries),,,,,,,,,,,,,,,,,(إعتمادات مستندية حسب بلدان الإستيراد)
(Million ﷼),,,,,,,,,,,,,,,,,(مليون ﷼)
,,دول مجلس,,الدول العربية,,أمريكا الشمالية,,أمريكا اللاتينية,,أوروبا الغربية,,بلدان أوروبية أخرى,,بلدان أخرى,,الإجمالي,
الفترة,,التعاون الخليجي,,,,,,,,,,,,,,,
,,GCC  Countries,,Arab Countries,,North America,,Latin America,,Western Europe,,Other European ,,Other  Countries,,Total,
Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد
,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled
2021-12-31T00:00:00,,31357.493,25845.102,11274.26331,5649.947,1062.775,1193.186,6177.136,331.496,2393.072,1128.092,2153.535,61.321,36225,10777.307,90643.27431000001,44986.451
2022-12-31T00:00:00,,37799.188,30616.135,15784.816,11933.878,1506.72,1049.774,361.181,394.589,7307.538,1778.278,1309.036,96.494,37409.624,14920.2483925,101478.103,60789.3963925
2023-12-31T00:00:00,,45101.175798000004,37864.311,12421.741062000001,4223.891,1441.369,504.646,121.961,123.742,7263.729239,1769.498,809.9921800000001,89.461,22149.580693,10220.591,89309.548972,54796.14
2024-12-31T00:00:00,,52151.79582,38698.12453,13900.924,4904.952,1884.932,208.823,68.098,5.512,3323.935,1875.841,603.658,89.859,17429.064,8752.45,89362.40681999999,54535.56153
2025-12-31T00:00:00,,60111.29814484494,40532.03,9991.832,8672.002,3115.538,300.371,863.162,141.25,3644.53,1500.521,2853.351,1608.324,15542.19314243,9151.33,96121.90428727496,61905.828
,,,,,,,,,,,,,,,,,
Q3,1996,1091.726,912.552,532.978,401.356,88.616,71.439,12.328,4.516,368.521,253.254,132.748,66.798,1765.582,1392.816,3992.499,3102.731
Q4,1996,927.006,1125.73,485.681,482.077,84.602,72.479,1.152,5.401,206.031,75.816,185.902,150.507,1578.315,1606.293,3468.689,3518.303
Q1,1997,1204.263,740.848,460.297,348.998,72.683,68.372,1.664,1.087,695.097,184.26,359.498,29.799,2104.685,1806.018,4898.187,3179.382
Q2,1997,1112.269,710.573,419.626,265.075,100.526,37.57299999999999,2.137,1.435,547.396,153.484,80.955,19.876,1984.57,1453.4699999999998,4247.479,2641.486
Q3,1997,1266.3419999999996,696.0109999999997,582.624,421.2130000000001,14.61699999999999,40.93600000000001,-0.03500000000000014,0,665.079,191.85799999999995,262.015,75.45700000000001,2069.1629999999996,753.6260000000002,4859.805,2179.1009999999997
Q4,1997,1402.215,981.423,424.455,364.956,23.936,-13.056999999999988,0.394,0.044,305.678,109.073,85.074,150.248,2344.609,1077.9559999999997,4586.361,2670.744
Q1,1998,1070.776,795.667,480.287,423.47,28.209,12.847,0,0.139,200.398,106.195,25.514,30.427,1998.349,1058.585,3803.533,2427.33
Q2,1998,1672.056,773.257,433.934,293.238,26.482,14.813,0.067,-0.139,319.041,119.969,18.311,7.826,1030.551,547.34,3500.442,1756.304
Q3,1998,971.208,916.568,556.188,383.373,15.544,9.678,0.03,0.139,331.845,85.461,15.807,12.27,1581.151,733.219,3471.773,2140.708
Q4,1998,1732.238,1046.534,576.862,419.494,38.348,14.062,2.349,0,301.784,187.863,53.024,9.876,2009.237,853.749,4713.842,2531.578
Q1,1999,1180.331,1110.978,458.929,279.149,528.93,27.4,2.415,22.361,434.425,99.462,34.66,3.032,1406.412,648.068,4046.102,2190.45
Q2,1999,1127.08,923.84,429.007,271.13,23.133,13.679,0.666,0,275.711,78.057,105.196,4.807,1199.293,986.287,3160.086,2277.8
