,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1a,Consolidated Balance Sheet Of Government Specialized Credit Institutions - Assets,,المركز المالي الموحد لمؤسسات الإقـراض المتخصصة الحكومية - الموجودات,1a,,
,,,,,,
1b,Consolidated Balance Sheet Of Government Specialized Credit Institutions - Liabilities,,المركز المالي الموحد لمؤسسات الإقـراض المتخصصة الحكومية - المطلوبات,1b,,
,,,,,,
2,Outstanding Loans Of Government Specialized Credit Institutions,,مؤسسات الإقراض المتخصصة الحكومية: القروض القائمة ,2,,
,,,,,,
3,"Disbursements, Repayments & Net Lending Of Government Specialized Credit Institutions",,القروض المنصرفة والمسددة والصافية لمؤسسـات الإقـراض المتخصصة الحكومية,3,,
