,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30e: Points of Sale Transactions by Activity (Value of Transactions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جدول 30e:عمليات نقاط البيع حسب الأنشطة (قيمة العمليات)
(Sales in Thousand ﷼),,,,,,,,,,,,,,,,, (المبيعات بالألف ﷼),,,,,,,,,,,,,,,,,,,,,, (المبيعات بالألف ﷼)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,2024-12-31T00:00:00,2025-01-01T00:00:00,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,2024-01-05T00:00:00,2024-02-05T00:00:00,2024-03-05T00:00:00,2024-04-05T00:00:00,2024-05-06T00:00:00,2024-06-07T00:00:00,2024-07-08T00:00:00,2024-08-08T00:00:00,2024-09-06T00:00:00,2024-10-08T00:00:00,2024-11-09T00:00:00,2024-12-08T00:00:00,2025-01-09T00:00:00,2025-02-10T00:00:00,2025-03-11T00:00:00,2025-04-12T00:00:00,2025-05-01T00:00:00,2025-06-01T00:00:00,2025-07-01T00:00:00,2025-08-01T00:00:00,2025-09-01T00:00:00,2025-10-01T00:00:00,2025-11-02T00:00:00,2025-12-01T00:00:00,2026-01-01T00:00:00,2026-02-01T00:00:00,,النشاط
Pharmacies & Medical Supplies,18284040.28175,16103917.459010001,4457107.08989,4589369.427920001,4539074.86887,4698488.89507,4736970.7394,4548786.9764,3800814.2774999994,3017345.46571,,1496462.492540001,1392854.5792099994,1567790.01814,1531406.1459700002,1575119.93438,1482843.3475700004,1499785.4514499998,1493007.5204000005,1546281.89702,1586917.7687000006,1504258.8354799987,1607312.2908900003,1622903.0460200002,1437420.12707,1676647.5663100001,1452472.84817,1601116.9555600004,1495197.1726699995,1502653.9699899997,1237834.1226900003,1060326.1848199996,1062529.1641100002,983863.8723199997,970952.4292800002,1006207.3503000002,928182.42391,,الصيدليات والمستلزمات الطبية
Personal Care,6368370.315439994,6752061.919509994,1443807.5276699981,1806632.1226199986,1568229.9412099984,1549700.7239399988,1769516.276259999,1703962.7283499986,1619201.8600299985,1659381.0548699985,,498860.9002899992,474494.61043999944,470452.01693999954,660843.4250199996,565198.7460399995,580589.9515599996,556334.1692699994,524471.0767199995,487424.6952199995,501512.9259499996,533925.8219699997,514261.9760199994,554173.4836899996,468748.0941599997,746594.6984099997,493266.39084999973,615413.7926799993,595282.5448199994,577608.6814699994,554876.4814399995,486716.69711999944,560256.4955799995,560709.0026899994,538415.5565999995,598450.3225599993,460300.5007399995,,العناية الشخصية
Restaurants & Café,83228166.53180999,84828648.49803996,19723280.731979996,20317865.045459993,21309120.482169993,21877900.272199996,20321955.42486,20986552.40442999,21636422.55575999,21883718.112989992,,7052899.149549997,6883899.393399997,5786482.189030003,6486107.688319997,7141560.134630002,6690197.222509995,7043038.20511,7327070.383249996,6939011.8938099975,7245121.779270001,7321962.382229996,7310816.110699998,7598269.587559999,6907548.449359996,5816137.387940003,6860781.765899995,7388383.856079998,6737386.782449999,7425230.871489997,7453145.913499998,6758045.770769996,7344950.67188,7183126.127349995,7355641.313759998,7786836.982809998,6001661.99187,,المطاعم والمقاهي
Bakeries & Pastries,13271972.12858,13203118.727400001,3395369.4029899985,3639994.54346,3062332.60758,3174275.57455,3676205.7918799995,2971814.5501200007,3094339.0478000003,3460759.3376,,1090446.1179,1131963.6734599993,1172959.6116299995,1335000.8412999997,1126052.9424500002,1178940.75971,1018411.3526799997,1021370.7559699997,1022550.4989300006,1068377.5532299997,1039779.54221,1066118.4791100002,1112287.2052499996,1124349.7254299999,1439568.8612000004,881667.16552,1012248.2514500002,1077899.1331500006,975450.8070100005,998500.4337299997,1120387.80706,1176555.0540399996,1134294.6494200001,1149909.6341400004,1226733.49194,1111607.6097900001,,المخبوزات والحلويات
Hotels,15684204.60955,16125425.705160003,4577004.958199999,3293635.6668299995,3554837.5369800003,4258726.447539999,4713594.48827,3111487.919399999,3717368.4318700014,4582974.865620001,,1561487.2394200002,1517157.7576699995,1498359.9611099998,1296051.2414700007,1125874.1656899992,871710.2596699997,1257470.0688,1199254.0477200004,1098113.4204599997,1296995.62823,1469103.28271,1492627.5365999995,1603699.0809299997,1458873.6739899998,1651021.7333499999,1245538.8704699997,1037757.8732899991,828191.1756400003,1306053.9115600004,1330242.5916200015,1081071.9286899997,1414125.1808900002,1558637.6959700005,1610211.9887600006,1743927.441219999,1488071.5681399999,,الفنادق
Food & Beverages,102143381.38432999,105511132.24374996,26821895.403309993,24647885.56887,24696598.53683,25977001.875320002,27195150.417459995,24411587.206139985,26104838.01809999,27799556.60204999,,8437895.840839995,8426752.742089998,9957246.820380002,8007340.05932,8782211.5202,7858333.98935,8122161.803889999,8201057.746600002,8373378.986340001,8826006.15099,8445787.41392,8705208.31041,8763330.958839998,9155479.60223,9276339.85639,7784275.5180499945,8600398.160679994,8026913.527409998,8522763.28973,8826916.725669995,8755158.002699997,9530307.938789995,8920042.231129998,9349206.432129998,9785048.04386,10207327.15852001,,الأطعمة  والمشروبات
"Apparel, Clothing & Accessories",48520227.740840025,55454286.566380024,13106502.021420008,12517464.493100002,10653745.97850001,12242515.247820005,16345771.742110007,10879024.077380003,12609727.97706001,15619762.769830003,,3408216.700940004,3633610.946070003,6064674.374410001,4919397.908660002,3534863.2695300016,4063203.3149099983,3358780.3134200023,3874995.650280004,3419970.014800004,3448175.383080001,4241020.212960001,4553319.651780002,3880990.3504000027,4118156.890310003,8346624.5014,2973079.4484600024,4035787.7500500013,3870156.8788699997,3858964.1263800035,4644379.129800004,4106384.720880004,4517636.866560006,5468673.12575,5633452.777519998,5528179.893000004,5976956.112380002,,الملبوسات والإكسسوارات
Recreation & Culture,18904194.064230002,17883926.243979994,4764787.65671,4617152.881919999,4844431.631870001,4677821.8937300015,4467168.066419996,4194368.556229999,4845147.461959999,4377242.1593700005,,1641673.7086999994,1583005.4179900002,1540108.5300200002,1485252.4156199992,1534828.2105899993,1597072.2557100004,1488780.2456400003,1737220.1779700005,1618431.2082599995,1511135.97066,1618211.68099,1548474.2420800007,1497617.609719999,1398241.5843899988,1571308.8723099986,1327447.6615399998,1464816.514,1402104.3806899996,1493632.0723499993,1668845.81757,1682669.5720399998,1449728.74473,1422738.7007600002,1504774.7138800006,1652257.3821400006,1363106.4702600003,,الثقافة والترفيه
Books & Stationery,7413664.08103,6659996.03355,1886114.4646899998,1673000.6166600003,1880282.33532,1974266.6643600003,1734536.79152,1537439.3689099997,1812472.5713399998,1575547.3017800003,,640050.52855,611040.8833699998,635023.05277,555183.23915,567633.1471200001,550184.2303900002,476020.0504399999,793551.0145699999,610711.2703100002,627512.0925299999,703669.2522900002,643085.3195400002,590373.73346,524128.16705,620034.8910099999,512106.73052999977,538625.4038699999,486707.2345100001,504320.28131000005,700124.5454800001,608027.7445499996,505596.5615399999,503663.4679200001,566287.2723200002,652223.9140900006,484790.21567,,الكتب والأدوات المكتبية
Recreation,11490529.983199999,11223930.210429998,2878673.192019999,2944152.26526,2964149.2965500006,2703555.2293700003,2732631.2748999996,2656929.1873199996,3032674.8906199997,2801694.857589999,,1001623.1801499994,971964.5346199998,905085.47725,930069.1764699998,967195.0634700002,1046888.0253199998,1012760.1952,943669.1634000003,1007719.93795,883623.8781300001,914542.4287,905388.92254,907243.8762600003,874113.4173399999,951273.9812999995,815340.9310099998,926191.1101299998,915397.14618,989311.7910400002,968721.27209,1074641.8274899996,944132.1831899995,919075.23284,938487.4415599998,1000033.4680500001,878316.2545900001,,الترفيه
