نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك الجزيرة,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك الخليج ,بنك الإمارات ,بنك ,بي إن بي ,بنك الكويت,دويتشه,بنك ,بنك البحرين,بنك جي بي ,مصرف ,بنك باكستان,,نهاية,,بنك زراعات,ستيت بنك,البنك الصناعي,بنك قطر,بنك,بنك ,بنك ,بنك,المصرف,بنك,البنك  ,المجموع,,,,
الفترة,,السعودي**,,الفرنسي,الوطني,الأول*,,,للإستثمار,الراجحي,المالية **,,الفترة,,الدولي ,دبي الوطني,البلاد,باريبا,الوطني,بنك,مسقط,الوطني,مورجان تشيز ان أي,الانماء,الوطني,,الفترة,,بنكازي,أوف إنديا,والتجاري الصيني,الوطني,أبوظبي الأول ,إم يو إف جي,يو بي إس إيه جي,ستاندرد تشارترد,الأهلي العراقي,صحار الدولي,الأهلي المصري,,,,,
End of,,Saudi National,Riyad, Banque Saudi ,Arab,Saudi Awwal, Bank ,Alawwal,The Saudi ,Alrajhi ,Samba,,End of,,Gulf International,Emirates,Bank,BNP Paribas,  National Bank ,Deutsche,Bank,  National Bank ,J.P Morgan ,Alinma ,National Bank ,,End of,,T. C. Ziraat,State Bank,ICBC,Qatar National,First Abu Dhabi,المحدودة,UBS AG,Standard ,National Bank ,Sohar ,National Bank,Total,,,,
Period,,Bank**,  Bank,Fransi,National Bank,Bank*,AlJazira,Bank*,Investment Bank,Bank,Financial Group **,,Period,,Bank ,NBD, Albilad ,,of Kuwait,Bank, Muscat ,of Bahrain,Chase N.A Bank,Bank,of Pakistan,,Period,,Bankasi A. S.,of India,,Bank,Bank,MUFG,Bank,Chartered Bank,of Iraq,International Bank,of Egypt,,,,,
2016-07-31T00:00:00,,354,327,84,152,84,78,60,48,535,72,,2016-07-31T00:00:00,,3,1,119,1,1,1,1,1,1,70,1,,2016-07-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,1997,,,,
2016-08-31T00:00:00,,355,327,84,152,83,78,60,48,536,72,,2016-08-31T00:00:00,,3,1,119,1,1,1,1,1,1,70,1,,2016-08-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,1998,,,,
2016-09-30T00:00:00,,355,327,84,151,83,78,61,48,537,72,,2016-09-30T00:00:00,,3,1,120,1,1,1,1,1,1,70,1,,2016-09-30T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2000,,,,
2016-10-31T00:00:00,,355,327,84,151,83,79,61,48,537,72,,2016-10-31T00:00:00,,3,1,120,1,1,1,1,1,1,72,1,,2016-10-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2003,,,,
2016-11-30T00:00:00,,355,327,84,151,82,80,61,48,539,72,,2016-11-30T00:00:00,,3,1,120,1,1,1,1,1,1,72,1,,2016-11-30T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2005,,,,
2016-12-31T00:00:00,,374,328,86,151,82,80,65,48,539,72,,2016-12-31T00:00:00,,3,1,114,1,1,1,1,1,1,76,1,,2016-12-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2029,,,,
2017-01-31T00:00:00,,374,331,86,151,82,79,65,49,542,72,,2017-01-31T00:00:00,,3,1,112,1,1,1,1,1,1,76,1,,2017-01-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2033,,,,
2017-02-28T00:00:00,,374,331,86,151,82,79,65,49,544,72,,2017-02-28T00:00:00,,3,1,112,1,1,1,1,1,1,77,1,,2017-02-28T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2036,,,,
2017-03-31T00:00:00,,376,331,86,149,80,79,65,49,545,72,,2017-03-31T00:00:00,,3,1,112,1,1,1,1,1,1,77,1,,2017-03-31T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2035,,,,
2017-04-30T00:00:00,,376,331,86,148,80,79,66,49,545,72,,2017-04-30T00:00:00,,3,1,112,1,1,1,1,1,1,77,1,,2017-04-30T00:00:00,,1,1,1,---,---,---,---,---,---,---,---,2035,,,,
2017-05-31T00:00:00,,376,331,86,148,80,79,66,49,545,72,,2017-05-31T00:00:00,,3,1,112,1,1,1,1,1,1,77,1,,2017-05-31T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2036,,,,
2017-06-30T00:00:00,,376,331,85,148,80,79,66,49,545,72,,2017-06-30T00:00:00,,3,1,112,1,1,1,1,1,1,77,1,,2017-06-30T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2035,,,,
2017-07-31T00:00:00,,379,331,85,145,78,79,66,49,546,72,,2017-07-31T00:00:00,,3,1,112,1,1,1,1,1,1,77,1,,2017-07-31T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2034,,,,
2017-08-31T00:00:00,,380,331,86,144,78,79,66,49,548,73,,2017-08-31T00:00:00,,3,1,112,1,1,1,1,1,1,79,1,,2017-08-31T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2040,,,,
2017-09-30T00:00:00,,380,330,86,144,78,79,66,49,549,73,,2017-09-30T00:00:00,,3,1,112,1,1,1,1,1,1,79,1,,2017-09-30T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2040,,,,
2017-10-31T00:00:00,,383,330,86,144,78,79,66,49,554,73,,2017-10-31T00:00:00,,3,1,112,1,1,1,1,1,1,81,1,,2017-10-31T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2050,,,,
2017-11-30T00:00:00,,385,330,86,143,77,79,66,49,554,73,,2017-11-30T00:00:00,,3,1,112,1,1,1,1,1,1,81,1,,2017-11-30T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2050,,,,
2017-12-31T00:00:00,,400,330,86,142,77,79,67,49,554,73,,2017-12-31T00:00:00,,3,1,112,1,1,1,1,1,1,85,1,,2017-12-31T00:00:00,,1,1,1,1,---,---,---,---,---,---,---,2069,,,,
2018-01-31T00:00:00,,399,329,86,142,77,79,67,50,554,73,,2018-01-31T00:00:00,,3,1,113,1,1,1,1,1,1,85,1,,2018-01-31T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2068,,,,
2018-02-28T00:00:00,,399,328,86,142,77,79,67,50,551,74,,2018-02-28T00:00:00,,3,1,113,1,1,1,1,1,1,85,1,,2018-02-28T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2065,,,,
2018-03-31T00:00:00,,399,328,86,141,77,80,67,50,550,73,,2018-03-31T00:00:00,,3,2,113,1,1,1,1,1,1,85,1,,2018-03-31T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2064,,,,
2018-04-30T00:00:00,,399,328,86,141,77,80,67,51,552,73,,2018-04-30T00:00:00,,3,2,112,1,1,1,1,1,1,85,1,,2018-04-30T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2066,,,,
2018-05-31T00:00:00,,400,328,86,140,76,80,67,51,552,73,,2018-05-31T00:00:00,,3,2,112,1,1,1,1,1,1,86,1,,2018-05-31T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2066,,,,
2018-06-30T00:00:00,,400,328,86,140,76,80,67,51,552,73,,2018-06-30T00:00:00,,3,2,112,1,1,1,1,1,1,86,1,,2018-06-30T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2066,,,,
2018-07-31T00:00:00,,400,328,86,140,76,80,67,51,551,73,,2018-07-31T00:00:00,,3,2,112,1,1,1,1,1,1,86,1,,2018-07-31T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2065,,,,
2018-08-31T00:00:00,,400,328,86,140,76,80,67,51,551,73,,2018-08-31T00:00:00,,3,2,111,1,1,1,1,1,1,87,1,,2018-08-31T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2065,,,,
2018-09-30T00:00:00,,401,328,86,140,76,80,67,51,552,73,,2018-09-30T00:00:00,,3,4,111,1,1,1,1,1,1,87,1,,2018-09-30T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2069,,,,
2018-10-31T00:00:00,,401,327,86,140,76,80,67,51,551,73,,2018-10-31T00:00:00,,3,4,111,1,1,1,1,1,1,87,1,,2018-10-31T00:00:00,,1,---,1,1,---,---,---,---,---,---,---,2067,,,,
2018-11-30T00:00:00,,401,324,86,140,76,79,67,51,549,72,,2018-11-30T00:00:00,,3,4,111,1,1,1,1,1,1,87,1,,2018-11-30T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2062,,,,
2018-12-31T00:00:00,,401,321,86,140,75,79,67,52,551,72,,2018-12-31T00:00:00,,3,4,111,1,1,1,1,1,1,90,1,,2018-12-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2064,,,,
2019-01-31T00:00:00,,402,321,87,140,75,79,67,52,552,72,,2019-01-31T00:00:00,,3,4,111,1,1,1,1,1,1,91,1,,2019-01-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2068,,,,
2019-02-28T00:00:00,,402,321,87,139,75,79,67,52,552,72,,2019-02-28T00:00:00,,3,4,111,1,1,1,1,1,1,91,1,,2019-02-28T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2067,,,,
2019-03-31T00:00:00,,403,321,87,138,75,79,67,52,550,72,,2019-03-31T00:00:00,,3,4,111,1,1,1,1,1,1,91,1,,2019-03-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2065,,,,
2019-04-30T00:00:00,,404,316,87,139,75,79,67,52,550,72,,2019-04-30T00:00:00,,3,4,111,1,1,1,1,1,1,92,1,,2019-04-30T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2063,,,,
2019-05-31T00:00:00,,404,311,87,139,75,79,67,52,550,72,,2019-05-31T00:00:00,,3,4,111,1,1,1,1,1,1,92,1,,2019-05-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2058,,,,
2019-06-30T00:00:00,,405,312,87,139,142,79,---,52,551,72,,2019-06-30T00:00:00,,3,4,111,1,2,1,1,1,1,92,1,,2019-06-30T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2062,,,,
2019-07-31T00:00:00,,408,312,87,139,142,79,---,52,547,72,,2019-07-31T00:00:00,,3,4,111,1,2,1,1,1,1,93,1,,2019-07-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2062,,,,
2019-08-31T00:00:00,,419,312,87,139,142,79,---,52,546,72,,2019-08-31T00:00:00,,3,4,110,1,3,1,1,1,1,93,1,,2019-08-31T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2072,,,,
2019-09-30T00:00:00,,420,312,87,138,141,79,---,52,546,72,,2019-09-30T00:00:00,,3,4,110,1,3,1,1,1,1,93,1,,2019-09-30T00:00:00,,1,---,1,1,1,1,---,---,---,---,---,2071,,,,
2019-10-31T00:00:00,,421,312,87,138,141,78,---,52,546,73,,2019-10-31T00:00:00,,3,4,110,1,3,1,1,1,1,93,1,,2019-10-31T00:00:00,,1,---,1,1,2,1,---,---,---,---,---,2073,,,,
2019-11-30T00:00:00,,422,312,87,138,138,78,---,52,544,73,,2019-11-30T00:00:00,,3,4,110,1,3,1,1,1,1,93,1,,2019-11-30T00:00:00,,1,---,1,1,2,1,---,---,---,---,---,2069,,,,
2019-12-31T00:00:00,,434,310,87,138,132,78,---,52,544,73,,2019-12-31T00:00:00,,3,4,110,1,3,1,1,1,1,95,1,,2019-12-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2076,,,,
2020-01-31T00:00:00,,435,310,87,138,132,78,---,52,545,72,,2020-01-31T00:00:00,,3,4,110,1,3,1,1,1,1,95,1,,2020-01-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2077,,,,
2020-02-29T00:00:00,,436,310,87,138,129,78,---,52,545,72,,2020-02-29T00:00:00,,3,4,110,1,3,1,1,1,1,95,1,,2020-02-29T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2075,,,,
2020-03-31T00:00:00,,436,308,87,137,125,78,---,52,545,73,,2020-03-31T00:00:00,,3,4,110,1,3,1,1,1,1,97,1,,2020-03-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2071,,,,
2020-04-30T00:00:00,,433,308,87,137,125,78,---,52,545,73,,2020-04-30T00:00:00,,3,4,111,1,3,1,1,1,1,97,1,,2020-04-30T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2069,,,,
2020-05-31T00:00:00,,432,308,87,137,122,78,---,52,545,73,,2020-05-31T00:00:00,,3,4,111,1,3,1,1,1,1,97,1,,2020-05-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2065,,,,
2020-06-30T00:00:00,,431,308,87,137,122,78,---,52,545,73,,2020-06-30T00:00:00,,3,4,111,1,3,1,1,1,1,97,1,,2020-06-30T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2064,,,,
2020-07-31T00:00:00,,428,307,87,137,121,79,---,52,545,73,,2020-07-31T00:00:00,,3,4,111,1,3,1,1,1,1,96,1,,2020-07-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2059,,,,
2020-08-31T00:00:00,,428,307,87,137,121,79,---,52,545,73,,2020-08-31T00:00:00,,3,4,111,1,3,1,1,1,1,98,1,,2020-08-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2061,,,,
2020-09-30T00:00:00,,430,283,87,137,117,79,---,52,546,73,,2020-09-30T00:00:00,,3,4,111,1,3,1,1,1,1,98,1,,2020-09-30T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2036,,,,
2020-10-31T00:00:00,,429,275,87,137,112,79,---,52,543,73,,2020-10-31T00:00:00,,3,4,111,1,3,1,1,1,1,98,1,,2020-10-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2019,,,,
2020-11-30T00:00:00,,429,274,87,136,108,79,---,52,543,73,,2020-11-30T00:00:00,,3,4,111,1,3,1,1,1,1,98,1,,2020-11-30T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2013,,,,
2020-12-31T00:00:00,,431,274,87,136,107,79,---,52,543,73,,2020-12-31T00:00:00,,3,4,111,1,3,1,1,1,1,98,1,,2020-12-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2014,,,,
2021-01-31T00:00:00,,431,273,87,136,106,79,---,52,543,73,,2021-01-31T00:00:00,,3,4,111,1,3,1,1,1,1,99,1,,2021-01-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2013,,,,
2021-02-28T00:00:00,,429,273,85,136,106,79,---,52,543,72,,2021-02-28T00:00:00,,3,4,111,1,3,1,1,1,1,99,1,,2021-02-28T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2008,,,,
2021-03-31T00:00:00,,430,273,85,136,106,80,---,52,543,72,,2021-03-31T00:00:00,,3,6,107,1,3,1,1,1,1,99,1,,2021-03-31T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,2008,,,,
2021-04-30T00:00:00,,500,260,85,136,106,80,---,52,527,---,,2021-04-30T00:00:00,,3,6,106,1,3,1,1,1,1,99,1,,2021-04-30T00:00:00,,1,---,1,1,3,1,---,---,---,---,---,1976,,,,
2021-05-31T00:00:00,,501,260,85,136,106,80,---,52,527,---,,2021-05-31T00:00:00,,3,6,106,1,3,1,1,1,1,99,1,,2021-05-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1979,,,,
2021-06-30T00:00:00,,503,254,85,135,99,80,---,52,527,---,,2021-06-30T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-06-30T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1969,,,,
2021-07-31T00:00:00,,502,252,85,134,99,80,---,52,525,---,,2021-07-31T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-07-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1963,,,,
2021-08-31T00:00:00,,502,252,85,133,99,80,---,52,526,---,,2021-08-31T00:00:00,,3,7,106,1,3,1,1,1,1,101,1,,2021-08-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1964,,,,
2021-09-30T00:00:00,,502,251,85,132,99,80,---,52,526,---,,2021-09-30T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-09-30T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1961,,,,
2021-10-31T00:00:00,,501,245,85,132,99,80,---,52,526,---,,2021-10-31T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-10-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1954,,,,
2021-11-30T00:00:00,,501,242,85,131,99,80,---,52,526,---,,2021-11-30T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-11-30T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1950,,,,
2021-12-31T00:00:00,,506,237,85,131,99,81,---,51,521,---,,2021-12-31T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2021-12-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1945,,,,
2022-01-31T00:00:00,,504,236,83,131,99,82,---,51,520,---,,2022-01-31T00:00:00,,3,7,107,1,3,1,1,1,1,100,1,,2022-01-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1941,,,,
2022-02-28T00:00:00,,504,236,82,130,99,82,---,51,518,---,,2022-02-28T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2022-02-28T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1936,,,,
2022-03-31T00:00:00,,504,233,82,130,99,82,---,51,517,---,,2022-03-31T00:00:00,,3,7,106,1,3,1,1,1,1,100,1,,2022-03-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1932,,,,
2022-04-30T00:00:00,,504,234,82,130,99,82,---,51,517,---,,2022-04-30T00:00:00,,3,7,106,1,3,1,1,1,1,104,1,,2022-04-30T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1937,,,,
2022-05-31T00:00:00,,498,234,82,130,99,82,---,51,515,---,,2022-05-31T00:00:00,,3,7,106,1,3,1,1,1,1,104,1,,2022-05-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1929,,,,
2022-06-30T00:00:00,,498,230,82,129,99,82,---,51,515,---,,2022-06-30T00:00:00,,3,7,108,1,3,1,1,1,1,105,1,,2022-06-30T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1927,,,,
2022-07-31T00:00:00,,498,230,82,129,99,82,---,51,515,---,,2022-07-31T00:00:00,,3,7,109,1,3,1,1,1,1,105,1,,2022-07-31T00:00:00,,1,---,1,1,3,1,1,1,---,---,---,1928,,,,
2022-08-31T00:00:00,,498,230,82,129,99,82,---,51,514,---,,2022-08-31T00:00:00,,3,7,109,1,3,1,1,1,1,105,1,,2022-08-31T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1928,,,,
2022-09-30T00:00:00,,497,231,82,129,99,82,---,51,514,---,,2022-09-30T00:00:00,,3,7,109,1,3,1,1,1,1,105,1,,2022-09-30T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1928,,,,
2022-10-31T00:00:00,,496,235,82,129,99,82,---,51,516,---,,2022-10-31T00:00:00,,3,7,109,1,3,1,1,1,1,105,1,,2022-10-31T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1933,,,,
2022-11-30T00:00:00,,494,235,82,129,100,82,---,51,516,---,,2022-11-30T00:00:00,,3,7,108,1,3,1,1,1,1,105,1,,2022-11-30T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1931,,,,
2022-12-31T00:00:00,,494,236,82,127,100,82,---,51,516,---,,2022-12-31T00:00:00,,3,8,105,1,3,1,1,1,1,104,1,,2022-12-31T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1927,,,,
2023-01-31T00:00:00,,498,235,82,127,100,82,---,51,516,---,,2023-01-31T00:00:00,,3,8,105,1,3,1,1,1,1,104,1,,2023-01-31T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1930,,,,
2023-02-28T00:00:00,,500,235,82,127,100,82,---,51,515,---,,2023-02-28T00:00:00,,3,8,105,1,3,1,1,1,1,105,1,,2023-02-28T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1932,,,,
2023-03-31T00:00:00,,493,236,82,126,99,82,---,51,513,---,,2023-03-31T00:00:00,,3,8,105,1,3,1,1,1,1,106,1,,2023-03-31T00:00:00,,1,---,1,1,3,1,1,1,1,---,---,1923,,,,
2023-04-30T00:00:00,,488,223,82,126,99,82,---,51,513,---,,2023-04-30T00:00:00,,3,8,105,1,3,1,1,1,1,106,1,,2023-04-30T00:00:00,,1,---,2,1,3,1,1,1,1,---,---,1906,,,,
2023-05-31T00:00:00,,487,223,82,126,98,82,---,51,513,---,,2023-05-31T00:00:00,,3,8,105,1,3,1,1,1,1,107,1,,2023-05-31T00:00:00,,1,---,2,1,3,1,1,1,1,---,---,1905,,,,
2023-06-30T00:00:00,,485,223,82,126,97,82,---,51,513,---,,2023-06-30T00:00:00,,3,9,105,1,3,1,1,1,1,107,1,,2023-06-30T00:00:00,,1,---,2,1,3,1,1,1,1,---,---,1903,,,,
2023-07-31T00:00:00,,484,223,82,126,97,82,---,51,513,---,,2023-07-31T00:00:00,,3,9,105,1,3,1,1,1,1,108,1,,2023-07-31T00:00:00,,1,---,2,1,3,1,1,1,1,1,---,1904,,,,
2023-08-31T00:00:00,,480,223,82,126,97,81,---,51,512,---,,2023-08-31T00:00:00,,3,9,105,1,3,1,1,1,1,108,1,,2023-08-31T00:00:00,,1,---,2,1,3,1,1,1,1,1,---,1898,,,,
2023-09-30T00:00:00,,477,223,82,126,95,80,---,51,511,---,,2023-09-30T00:00:00,,3,13,105,1,3,1,1,1,1,108,1,,2023-09-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1896,,,,
2023-10-31T00:00:00,,476,223,82,126,95,79,---,51,509,---,,2023-10-31T00:00:00,,3,13,105,1,3,1,1,1,1,108,1,,2023-10-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1892,,,,
2023-11-30T00:00:00,,473,223,82,126,95,77,---,51,509,---,,2023-11-30T00:00:00,,3,14,107,1,3,1,1,1,1,108,1,,2023-11-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1890,,,,
2023-12-31T00:00:00,,470,237,82,127,94,75,---,51,509,---,,2023-12-31T00:00:00,,3,15,108,1,3,1,1,1,1,108,1,,2023-12-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1901,,,,
2024-01-31T00:00:00,,471,237,82,127,94,75,---,51,509,---,,2024-01-31T00:00:00,,3,17,108,1,3,1,1,1,1,109,1,,2024-01-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1905,,,,
2024-02-29T00:00:00,,471,238,82,127,93,75,---,51,510,---,,2024-02-29T00:00:00,,3,17,107,1,3,1,1,1,1,109,1,,2024-02-29T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1905,,,,
2024-03-31T00:00:00,,474,238,82,125,93,75,---,51,509,---,,2024-03-31T00:00:00,,3,18,107,1,3,1,1,1,1,110,1,,2024-03-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1907,,,,
2024-04-30T00:00:00,,473,238,82,124,93,74,---,51,509,---,,2024-04-30T00:00:00,,3,18,107,1,3,1,1,1,1,110,1,,2024-04-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1904,,,,
2024-05-31T00:00:00,,473,238,82,123,93,74,---,51,509,---,,2024-05-31T00:00:00,,3,18,107,1,3,1,1,1,1,112,1,,2024-05-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1905,,,,
2024-06-30T00:00:00,,476,232,82,122,93,74,---,51,511,---,,2024-06-30T00:00:00,,3,18,107,1,3,1,1,1,1,112,1,,2024-06-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
2024-07-31T00:00:00,,478,232,82,122,93,74,---,51,511,---,,2024-07-31T00:00:00,,3,19,107,1,3,1,1,1,1,112,1,,2024-07-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1906,,,,
2024-08-31T00:00:00,,481,232,82,122,93,74,---,51,511,---,,2024-08-31T00:00:00,,3,19,107,1,3,1,1,1,1,112,1,,2024-08-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1909,,,,
2024-09-30T00:00:00,,482,231,82,121,93,74,---,51,512,---,,2024-09-30T00:00:00,,3,19,107,1,3,1,1,1,1,113,1,,2024-09-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1910,,,,
2024-10-31T00:00:00,,482,231,81,121,93,74,---,51,512,---,,2024-10-31T00:00:00,,3,20,107,1,3,1,1,1,1,115,1,,2024-10-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1912,,,,
2024-11-30T00:00:00,,482,224,81,122,93,73,---,51,512,---,,2024-11-30T00:00:00,,3,21,107,1,3,1,1,1,1,115,1,,2024-11-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1906,,,,
2024-12-31T00:00:00,,481,224,81,122,93,73,---,51,512,---,,2024-12-31T00:00:00,,3,21,107,1,3,1,1,1,1,115,1,,2024-12-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1905,,,,
2025-01-31T00:00:00,,480,228,81,122,93,73,---,51,511,---,,2025-01-31T00:00:00,,3,21,107,1,3,1,1,1,1,116,1,,2025-01-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1908,,,,
2025-02-28T00:00:00,,480,228,81,122,93,73,---,51,511,---,,2025-02-28T00:00:00,,3,21,107,1,3,1,1,1,1,116,1,,2025-02-28T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1908,,,,
2025-03-31T00:00:00,,478,228,81,122,91,73,---,50,511,---,,2025-03-31T00:00:00,,3,21,107,1,3,1,1,1,1,116,1,,2025-03-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
2025-04-30T00:00:00,,476,228,81,122,91,73,---,50,511,---,,2025-04-30T00:00:00,,3,21,107,1,3,1,1,1,1,117,1,,2025-04-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1902,,,,
2025-05-31T00:00:00,,476,229,81,121,91,73,---,50,511,---,,2025-05-31T00:00:00,,3,21,107,1,3,1,1,1,1,118,1,,2025-05-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
2025-06-30T00:00:00,,475,229,80,121,90,73,---,50,510,---,,2025-06-30T00:00:00,,3,21,107,1,3,1,1,1,1,121,1,,2025-06-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1902,,,,
2025-07-31T00:00:00,,475,229,79,121,89,73,---,50,510,---,,2025-07-31T00:00:00,,3,21,107,1,3,1,1,1,1,122,1,,2025-07-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1901,,,,
2025-08-31T00:00:00,,475,229,79,121,88,73,---,50,510,---,,2025-08-31T00:00:00,,3,21,107,1,3,1,1,1,1,124,1,,2025-08-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1902,,,,
2025-09-30T00:00:00,,476,229,79,121,88,73,---,50,510,---,,2025-09-30T00:00:00,,3,21,107,1,3,1,1,1,1,124,1,,2025-09-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
2025-10-31T00:00:00,,477,226,79,121,88,73,---,50,510,---,,2025-10-31T00:00:00,,3,22,107,1,3,1,1,1,1,126,1,,2025-10-31T00:00:00,,1,---,2,2,3,1,1,1,1,1,---,1904,,,,
2025-11-30T00:00:00,,479,223,79,121,88,73,---,50,511,---,,2025-11-30T00:00:00,,3,22,107,1,3,1,1,1,1,127,1,,2025-11-30T00:00:00,,1,---,2,2,3,1,1,1,1,1,1,1906,,,,
