,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,
Table 16: Foreign Assets And Liabilities of Banks,,,,,,,,,,,جدول 16:  الموجــــودات والمطلوبــــات الأجنبـيــة للمـصـــارف
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية الفترة,,الموجودات الأجنبية,,,,,المطلوبات الأجنبية,,,,صافي
,,Foreign Assets,,,,,Foreign Liabilities,,,,الموجودات الأجنبية
,,مبالغ مستحقة على,مبالغ مستحقة,الإستـثـمارات,موجودات,المجموع,مبالغ مستحقة,مبالغ مستحقة,مبالغ مستحقة,المجموع,Net Foreign
End of Period,,المصارف الأجنبية,على الفروع في الخارج,في الخارج,أخرى,,لمصارف أجنبية,للفروع في الخارج,أخرى,,Assets
,,Due from,Due from,Investments,Other,Total,Due to,Due to,Due to,Total,
,,Banks Abroad,Branches Abroad,Abroad,Assets,1,Foreign Banks,Branches Abroad,Others,2,1 - 2 = 3
1993,,48510.28599999999,9128.612000000001,42916.941,11030.375,111586.21399999999,16645.961,17332.508,3313.624,37292.09299999999,74294.121
1994,,38631.763999999996,7248.873,42706.528000000006,9560.183000000003,98147.34800000001,16261.58,16044.893,6843.965000000001,39150.438,58996.91000000001
1995,,48914.657,7536.656999999999,33170.386,8349.122,97970.822,15588.144999999999,17814.112999999998,6275.5960000000005,39677.85399999999,58292.96800000001
1996,,54612.223,7353.027,34149.135,10056.954999999998,106171.34000000001,14340.683,17404.211,6908.388999999999,38653.282999999996,67518.05700000002
1997,,50165.177,6502.833,32989.79,9856.824,99514.62400000001,15585.813,21486.672,8971.414999999999,46043.9,53470.72400000001
1998,,42308.319,6760.705,24378.042,12496.599,85943.66500000001,14921.461999999998,23224.75,4958.763,43104.975,42838.69000000001
1999,,38514.434,10129.706,29015.967,13827.085,91487.19200000001,23697.924,21741.408,5713.52,51152.852,40334.34000000001
2000,,42241.92800000001,7399.793000000001,38232.569,13329.995,101204.285,26865.107,28587.619,8991.037,64443.76299999999,36760.52200000001
2001,,42310.898,8096.860999999999,31061.391000000003,17894.866,99364.016,26290.79,27763.299,5559.936,59614.025,39749.991
2002,,30454.133000000005,13157.217,34979.171,16899.314,95489.835,27643.971999999998,9412.015,5942.879,42998.865999999995,52490.96900000001
2003,,21572.845,10805.312000000002,34765.231,13938.528999999999,81081.917,25923.681,8760.492,5379.237,40063.41,41018.507
2004,,25220.553,17084.155,38919.695999999996,11573.839,92798.24299999999,29976.720999999998,9674.257000000001,6096.691000000001,45747.669,47050.573999999986
2005,,26850.424,17333.028,38281.519,8964.869,91429.84,31567.962,18053.383,15418.381000000001,65039.726,26390.113999999994
2006,,51393.92600000001,17961.568,52334.16499999999,8106.1669999999995,129795.826,22158.214,8789.053,28251.272,59198.539000000004,70597.287
2007,,28859.015999999996,22546.894,81484.72700000001,14821.438,147712.075,64239.6,14417.788,26555.305000000004,105212.69300000001,42499.382
2008,,27231.436,41780.28,64885.792,20088.957000000002,153986.465,45354.524999999994,29446.734,37664.726,112465.98499999999,41520.48000000001
2009,,41200.628000000004,39433.994,112336.879,17946.826,210918.327,41761.42799999999,25311.466999999997,32610.058999999997,99682.95399999998,111235.373
2010,,34627.337,28270.138000000003,113710.87299999999,16518.231,193126.579,53867.337,10235.866999999998,30602.541,94705.745,98420.834
2011,,44142.577,38001.744,123413.988,15895.146,221453.455,53682.05,8023.295,19857.965,81563.31,139890.145
2012,,36033.621999999996,51471.309,119644.078,14961.86,222110.869,51836.245,10914.24,25361.623,88112.108,133998.761
2013,,26123.729,57159.547,126037.438,12204.459,221525.173,48796.873,11669.776,23355.398,83822.047,137703.126
2014,,39877.178,44668.296,161230.507,11949.942,257725.923,57042.015,25222.789,22854.271,105119.075,152606.848
2015-12-31T00:00:00,,85318.87700000001,47921.606,175188.119,14185.177,322613.779,49985.119999999995,24490.933,25510.518,99986.571,222627.20799999998
2016-12-31T00:00:00,,58232.58009965001,33369.3377539828,129204.57741559,13025.0127015,233831.5079707228,50931.9152138629,21712.2259150047,23456.941302910003,96101.0824317776,137730.4255389452
2017-12-31T00:00:00,,53365.890436179994,70368.859579218,114488.36040207,23900.91157182,262124.02198928798,57717.12406931999,44121.89404034,17347.07130152,119186.08941118,142937.93257810798
2018-12-31T00:00:00,,66194.54915126,39941.79408805,98752.768,26943.04913024,231832.16036955002,60781.460105980004,32082.215335549998,18069.591,110933.26644153001,120898.89392802001
2019-12-31T00:00:00,,47537.59501915,63226.789855619994,97611.725,35253.261663560006,243629.37153833002,102350.20176253999,38704.54064435,32100.09591828,173154.83832517,70474.53321316
2020-12-31T00:00:00,,47754.577877735996,56850.521771399,106799.963,38659.143104122995,250064.205753258,94708.78071282999,43733.05991302,43624.181877368,182066.02250321797,67998.18325004002
2021-12-31T00:00:00,,60240.587657619995,60523.835756140004,96433.897,38373.97213122,255572.29254497998,129510.71107179,51634.48609788,44581.544,225726.74116967001,29845.551375309966
2022-12-31T00:00:00,,59663.903461960006,57462.5210971,117479.33940427001,52284.090196,286889.85415933,107845.62164199998,42325.849494999995,52358.343387999994,202529.814525,84360.03963433002
2023-12-31T00:00:00,,45497.6172995525,72130.96949062,151460.29840380998,48492.091678070006,317580.97687205253,167189.53087434004,40258.863443680006,67255.05835388,274703.45267190004,42877.52420015249
2024-12-31T00:00:00,,48440.52822843791,78922.51153751001,189266.34311480998,59979.84916622999,376609.2320469879,242539.22083196,71268.3187513875,97032.56688018999,410840.1064635375,-34230.874416549574
2025-12-31T00:00:00,,50086.374519071294,79401.20084758,214667.56498075,73865.1457399684,418020.28608736966,284679.91363952,90312.68289632,247816.52873750593,622809.1252733461,-204788.83918597642
,,,,,,,,,,,
Q1,1993,61074.26799999999,4563.188,38414.32,11672.676,115724.45199999999,15107.354999999998,23318.826,3637.9329999999995,42064.113999999994,73660.33799999999
Q2,1993,61483.451000000015,4737.977,41427.474,13263.773999999998,120912.676,16963.177000000003,26853.859,3808.768,47625.804000000004,73286.872
Q3,1993,53952.06,10192.29,41668.859,9900.823,115714.032,18102.636,17825.544,2724.829,38653.009,77061.02300000002
Q4,1993,48510.28599999999,9128.612000000001,42916.941,11030.375,111586.21399999999,16645.961,17332.508,3313.624,37292.09299999999,74294.121
Q1,1994,35636.505999999994,7891.403,45421.868,11115.283000000001,100065.06,18333.896,11350.285,7533.874,37218.055,62847.005
Q2,1994,30359.152,7108.467000000001,44527.021,10884.227,92878.867,19854.678000000004,11222.528999999999,5497.443,36574.65,56304.217
Q3,1994,29849.148999999994,7183.342,44746.936,9563.651000000002,91343.078,16168.117,14365.428,5151.063,35684.608,55658.469999999994
Q4,1994,38631.763999999996,7248.873,42706.528000000006,9560.183000000003,98147.34800000001,16261.58,16044.893,6843.965000000001,39150.438,58996.91000000001
Q1,1995,36649.503000000004,7561.224999999999,41063.557,8596.337,93870.622,17634.577999999998,19765.799,5051.749,42452.12599999999,51418.496000000014
Q2,1995,46026.018000000004,7470.242000000001,40821.015,7028.463,101345.738,18417.480999999996,19277.472999999998,5451.982,43146.936,58198.801999999996
Q3,1995,43576.693,9915.057,35812.845,7640.821,96945.416,15553.978000000001,19174.667999999998,6636.742,41365.388,55580.028
Q4,1995,48914.657,7536.656999999999,33170.386,8349.122,97970.822,15588.144999999999,17814.112999999998,6275.5960000000005,39677.85399999999,58292.96800000001
Q1,1996,52512.8,7588.834,33137.752,7345.397,100584.783,13728.796,19883.154,5965.925,39577.875,61006.908
Q2,1996,43671.178,6380.963,35431.48,8380.13,93863.751,12617.784,17298.283,6095.35,36011.417,57852.334
Q3,1996,51892.615,6088.891,35231.374,9338.956,102551.836,14594.96,23115.581,7531.974,45242.515,57309.321
Q4,1996,54612.223,7353.027,34149.135,10056.955,106171.34,14340.683,17404.211,6908.389,38653.283,67518.057
Q1,1997,51747.227,6879.056,36756.629,9801.139,105184.051,17245.663,19173.547,9555.726,45974.936,59209.115
Q2,1997,45236.458,7140.592,37892.305,8784.537,99053.892,19198.688,18422.474,8787.423,46408.585,52645.307
Q3,1997,47938.775,5368.341,31360.22,8876.13,93543.466,16103.262,17216.581,9823.046,43142.889,50400.577
Q4,1997,50165.177,6502.833,32989.79,9856.824,99514.624,15585.813,21486.672,8971.415,46043.9,53470.724
Q1,1998,48996.13,6444.055,32098.198,11396.535,98934.918,17882.969,19174.111,8062.249,45119.329,53815.589
Q2,1998,42983.87,7031.054,31307.335,12279.948,93602.207,18849.821,20701.987,6537.81,46089.618,47512.589
Q3,1998,44206.416,6324.898,26090.138,12186.67,88808.122,16720.939,24041.269,5756.13,46518.338,42289.784
Q4,1998,42308.319,6760.705,24378.042,12496.599,85943.665,14921.462,23224.75,4958.763,43104.975,42838.69
Q1,1999,35829.719,6050.936,23688.356,13760.26,79329.271,20804.035,23750.5,4860.1,49414.635,29914.63599999999
Q2,1999,41993.899,6524.193,23937.277,14628.282,87083.651,19152.842,22418.256,5881.271,47452.369,39631.282
Q3,1999,35074.623,9289.256,26962.595,13979.599,85306.073,23148.881,20276.863,6772.898,50198.642,35107.431
Q4,1999,38514.434,10129.706,29015.967,13827.085,91487.192,23697.924,21741.408,5713.52,51152.852,40334.34
