,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 8b: Balance Sheet of Saudi Central Bank - Liabilities,,,,,,,,,جدول 8b: الـمـركــــز الـمـالــي للبنك المركزي الســـعـــودي - الــمـطـلـوبـــات         
(Million ﷼),,,,,,,,,(مليون ﷼)
نهاية الفترة,,العملة المصدرة,,ودائع هيئات وجهات حكومية ,الودائع النظامية,ودائع ,أذونات البنك المركزي واتفاقيات,مطلوبات متنوعة ,
,,Currency Issued,,وشبه حكومية,للمؤسسات المالية, لجهات أجنبية بالمحلية, اعادة الشراء المعاكس*,أخرى,الإجمالي
,,في التداول,لدى البنك المركزي,"Deposits of Government,",Regulatory Deposits ,Foreign Institutions,SAMA Bills and ,Other,TOTAL
End of Period,,,, Quasi Government ,for Financial ,Deposits in,Reverse Repurchase ,Miscellaneous,
,,In Circulation,At SAMA,and Institutions,Institutions ,Local Currency,Agreements*,Liabilities,
2003-02-28T00:00:00,,59016.35900392003,14862,58876.412609139996,14644.04129954,471.33723869,14959.83312762,41584.526570609996,204414.50984952
2003-03-31T00:00:00,,60134.300003919976,21026.3,68227.55510721999,14648.89623179,470.54610687999997,14163.30563573,43858.995653590006,222529.89873912997
2003-04-30T00:00:00,,60018.34400392,20194.399999999998,68732.14025396001,14908.14253617,473.12983457999997,13414.84839216,53855.760253570006,231596.76527436
2003-05-31T00:00:00,,60047.73199763998,17493.300000000003,75233.67313902,15084.665796309999,468.91682159,7933.081753,58797.67613818001,235059.04564574
2003-06-30T00:00:00,,59138.78899764003,22175.7,60551.227836809994,15293.9901007,468.06065501,10077.37507443,74499.73981825,242204.88248284
2003-07-31T00:00:00,,57720.68899763997,19717.2,62175.76333251,15394.37954196,745.69136696,10063.7896989,78690.01384797,244507.52678593993
2003-08-31T00:00:00,,56117.888997639966,19864,66223.19707508999,15551.835323360001,1115.0896271099998,10072.18551769,81935.50273755,250879.69927843995
2003-09-30T00:00:00,,56336.48899763997,20773,66867.97852808,15511.310752739999,615.85961133,10185.312949879999,86030.27973828,256320.23057794996
2003-10-31T00:00:00,,57986.02099764001,18140,62312.15173483,15452.88984016,617.32068462,10200.84100967,95375.83625242997,260085.06051935
2003-11-30T00:00:00,,63821.90099764004,15368,64494.64585289,15623.63201736,616.48428929,10917.2461347,93870.89565397,264712.80494585005
2003-12-31T00:00:00,,59701.70099763997,21259,57858.518110259996,15472.43733433,616.01670402,16101.19608796,101690.74960182999,272699.61883603997
2004-01-31T00:00:00,,66648.70099759998,13798,51912.12631819,15995.2148729,1323.8944064000002,10407.430622459999,110180.39870438,270265.76592192997
2004-02-29T00:00:00,,60921.50099763996,20213,65146.54374818,16166.374998899999,2286.259274,9021.63011649,112494.19625345997,286249.5053886699
2004-03-31T00:00:00,,60719.50099764002,20415,54593.47525761,16586.84875067,3425.5702006399997,7837.823770399999,128561.92813985999,292140.14711682
2004-04-30T00:00:00,,61233.06099763996,19849,58632.91604437,17081.75872994,3431.4862701399998,11776.547486860001,120910.65821479,292915.42774374
2004-05-31T00:00:00,,61148.860997640004,16118,68326.14916863,17328.83789061,3422.1997227600004,6700.02105563,130087.16036710997,303131.22920238
2004-06-30T00:00:00,,61780.860997639946,17044,58903.023993380004,17363.685671509997,3751.4663409699997,7404.89157097,132137.66417397,298385.59274844
2004-07-31T00:00:00,,60585.26299763995,21674,69555.87925104,17523.08823282,3753.15698586,7914.63410431,137911.14288508001,318917.16445675
2004-08-31T00:00:00,,59191.76299764012,19372,63667.67458156,17881.16308064,3903.63500609,8674.225296479999,156509.78499757004,329200.2459599802
2004-09-30T00:00:00,,60130.766397639934,19960,67522.6935474,18039.15267002,4578.99902036,7577.53409892,158939.50023919996,336748.6459735399
2004-10-31T00:00:00,,64797.77059764002,18383,82430.21673934,17918.2208479,4579.10162037,14141.10937091,162011.64475365,364261.0639298101
2004-11-30T00:00:00,,65305.77059764,23347,102207.75885407999,17572.96795105,4579.60266483,15587.11372563,150314.93223602,378915.14602925
2004-12-31T00:00:00,,64606.77059764002,18802,103820.9669586,19099.97153536,5053.38389947,10930.321810790001,152563.32301467,374876.73781653005
2005-01-31T00:00:00,,67773.77059764002,17402,145842.43860404,19102.54500498,5057.88523233,8904.75927049,136873.38251462998,400956.78122411
2005-02-28T00:00:00,,63557.812997639994,21788,142508.22132211,19170.52180018,5162.35840972,5518.95126376,146653.58664734,404359.45244075
2005-03-31T00:00:00,,64066.81759764004,18491,115882.84918,19638.16119361,5316.7075569,10985.45400888,173960.35009689,408341.33963392006
2005-04-30T00:00:00,,64039.82059763995,18133,111858.10107338999,20360.062816470003,6307.060714439999,16041.36309884,182287.12938993,419026.53769071
2005-05-31T00:00:00,,66157.58059764007,17403,126805.31855975,20802.48733861,6310.469846739999,12937.853184619999,204066.16423642004,454482.8737637801
2005-06-30T00:00:00,,67545.38419763994,17932,128060.29251657001,21006.86964668,7369.56555334,5269.66096405,210811.83077232,457995.60365059995
2005-07-31T00:00:00,,66613.48519763997,19025,160518.41009354,20634.723842900003,7371.79231612,8983.73104825,208199.40821799,491346.55071643996
2005-08-31T00:00:00,,65974.78519763995,16732,166445.81680283,21074.35419227,7386.96439935,6398.69030155,225653.56449734,509666.17539098
2005-09-30T00:00:00,,65500.785197639954,20417,184694.79333806,20760.10050805,7437.63848361,9837.99746882,221483.37887590998,530131.69387209
2005-10-31T00:00:00,,77813.26519764005,11561,206137.77987967,20688.24138066,7470.72085499,7828.85449802,224275.89622860003,555775.7580395801
2005-11-30T00:00:00,,70355.26519763994,15979,247816.35557624,20471.130890419998,8690.07508655,7903.33271912,222276.89445212003,593492.05392209
2005-12-31T00:00:00,,71489.22519764001,18262,244519.13477682997,21272.092089349997,10120.91528576,27997.21618348,225744.33244333,619404.91597639
2006-01-31T00:00:00,,69574.2293976401,19923,265059.15407127,21722.00567777,10387.62265075,29815.08958598,226851.71330925,643332.81469266
2006-02-28T00:00:00,,69123.84939763998,16915,275438.51127471,22661.75339748,10870.45827707,33415.49418558,228052.33199268,656477.39852516
2006-03-31T00:00:00,,67778.04939763993,16566,246968.40020246,23247.38743483,12021.22549194,53339.93184858999,283608.4676770399,703529.4620524999
2006-04-30T00:00:00,,68855.05159763992,18899,250908.67843310998,25387.6248536,12031.690259969999,71858.65307565,264598.56803708,712539.26625705
2006-05-31T00:00:00,,69750.05159764003,15724,284622.49079079996,25152.18786415,12533.69056819,72426.35578614999,260788.10470038003,740996.8813073101
2006-06-30T00:00:00,,70315.85159764008,18791,305142.0908365,23245.97546108,12548.51754894,66824.73607221,224728.75072317998,721596.92223955
2006-07-31T00:00:00,,67934.85159764015,20013,302105.6683111,24937.02072472,12552.12664745,69213.02731213,281151.95102525,777907.6456182901
2006-08-31T00:00:00,,67611.85159764008,17619,336000.73261656,23121.575407970002,12674.88980966,93429.71084669999,256284.23279351997,806741.99307205
2006-09-30T00:00:00,,70368.11479764013,20897,368041.22413021,23460.999604020002,12670.50388913,88525.1648072,252762.70816720996,836725.7153954101
2006-10-31T00:00:00,,75319.80279764009,21329,382901.52048813,24623.10587036,13637.08808275,101895.67092045,243153.52714624,862859.7153055699
2006-11-30T00:00:00,,71572,22462,389052.4763316,23483.09978117,14105.917911190001,96642.318136,254166.8830905698,871484.6952505298
2006-12-31T00:00:00,,81542.78279764007,12777,342109.99074533995,24403.1234224,14147.49819145,110048.74132,299296.69870366994,884325.8351805
2007-01-31T00:00:00,,72964.80619764002,25002,357618.93426216,25018.64976044,14116.16795384,133056.25985971,269989.61626298,897766.43429677
2007-02-28T00:00:00,,73068.80982730002,23336,324203.63475475,25063.395000189998,14134.2958128,172189,275080.90149162995,907076.0368866699
2007-03-31T00:00:00,,73295.00339763996,18542,343652.4307582601,25191.02864815,14506.40180877,185262.13901481,276870.94607171,937319.94969934
2007-04-30T00:00:00,,73222.8935976401,22141,351199.39308652,25979.437889880002,14535.106424829999,189812.26613757,274448.18271879,951338.27985523
2007-05-31T00:00:00,,73925.26819764008,24621,352482.96100814996,26637.90136707,14533.40131046,205603.02810770998,271668.63323383,969472.19322486
2007-06-30T00:00:00,,75151.82819764002,23817,373121.55311179,26656.36164121,14546.74726301,163108.60886045,263186.05254614004,939588.1516202401
2007-07-31T00:00:00,,74896.8281976399,25022,389184.00518458,26997.46622428,14550.627942899999,158983.6407031,320512.64003272,1010147.20828522
2007-08-31T00:00:00,,73547.03179764003,28281,396868.48419597,28068.78550178,14578.27486107,184260.13913892,275022.44639798,1000626.16189336
2007-09-30T00:00:00,,79529.17279763985,26016,420960.23109916004,27905.6094055,14552.460333870002,192922.82789970998,275694.50922516006,1037580.8107610401
2007-10-31T00:00:00,,79954.36079763994,28001,441553.08094411,28616.84321078,14845.720077049999,221255.74922193,272801.52272892,1087028.27698043
2007-11-30T00:00:00,,79627.11032538977,25287,471801.31366254,28951,14904,250905,264046.45243457996,1135521.8764225096
2007-12-31T00:00:00,,82211.89399764012,23842,514138.67859029,36277.049719970004,14939.02011885,316791.93751806,208616.81459705997,1196817.39454187
2008-01-31T00:00:00,,80732.99399763998,24008,556125.13490231,36402.372619550006,14971.41305189,301661.3355643,249658.74418148005,1263559.99431717
2008-02-29T00:00:00,,79309.99616039009,25339,592657.10022909,42668.146026309994,14924.28962186,307214.90733058995,235525.23858634997,1297638.67795459
2008-03-31T00:00:00,,82502.13616038999,21787,649700.4815429,42983.86849533999,14965.65668053,305024.73817317,242317.95068535002,1359281.8317376801
2008-04-30T00:00:00,,83292.13616038999,19173,687379.58027338,43843.21167957,15029.873230559999,311757.66360912,215728.63415599,1376204.09910901
2008-05-31T00:00:00,,84960.75616090023,18264,736047.2501758101,50599.97427334,14620.57306316,293374.45174654,211520.40688338998,1409387.4123031402
2008-06-30T00:00:00,,88686.40616039,19447,791609.55157093,64133.28296114,14613.23023429,284682.23453104997,202986.02823564003,1466157.73369344
2008-07-31T00:00:00,,89191.41416139016,18973,872015.7699252099,64462.9639081,14614.4417509,301549.95935027004,198284.93732747997,1559092.4864233502
2008-08-31T00:00:00,,88483.56816038978,22040,937482.52082995,65526.40438719,14710.899975290002,297288.914487,192644.84860114002,1618177.1564409598
2008-09-30T00:00:00,,100522.22716038977,18543,1002795.18863904,65000.354956309995,14727.92479018,291204.90475032,187175.69392871996,1679969.2942249598
2008-10-31T00:00:00,,91906.03216038994,28073,1077197.34000456,53491.32074186,14727.441647290001,289746.65002671,171960.54605035996,1727102.33063117
2008-11-30T00:00:00,,95272.3569603907,25764,1082955.1118641,54113.695177300004,12469.15555709,295069.89480759006,164421.44706816005,1730065.6614346304
2008-12-31T00:00:00,,94013.41816038988,27053,1052336.3533940502,44698.16652248,12488.034584870002,329807.40219074,149598.94020518,1709995.3150577103
2009-01-31T00:00:00,,94185.75816038996,27155,1047408.78674405,44924.3388339,12061.51196133,324476.81646082003,131167.73761334302,1681379.949773833
2009-02-28T00:00:00,,94776.17216039007,27247,1032377.30690192,45407.8334324,12044.54790257,333850.1495494,104885.99524000003,1650589.0051866802
2009-03-31T00:00:00,,93487.74017131003,30057,1000550.7321285501,46821.29095524,12043.76413394,333533.78471907,87841.23105821002,1604335.5431663198
2009-04-30T00:00:00,,93757.69136038981,32692,970409.9431913901,47557.69276541001,11153.76128565,333643.35066407995,77480.56958032999,1566695.00884725
2009-05-31T00:00:00,,94838.89136039,27397,904468.98690578,48573.91900542,11134.94796083,345667.8990386,113745.16540206998,1545826.80967309
2009-06-30T00:00:00,,95748.69136038981,24838,903820.09428139,48707.13012584,10281.201335,324779.94028052,105492.12797305002,1513667.1853561902
2009-07-31T00:00:00,,95972.80556039023,27348.9,893495.65685097,49219.09048923,10268.103987530001,320905.18975112,95708.20245988996,1492917.9490991305
2009-08-31T00:00:00,,96836.30556039,25277,896615.6779287301,50093.64247094,10290.7910795,304001.86738077004,110276.69436904001,1493391.97878937
2009-09-30T00:00:00,,101994.73756039003,25192,893236.06324266,49416.853431690004,10301.19037973,290735.085128,113833.62583072999,1484709.5555731999
2009-10-31T00:00:00,,99402.73756069015,21932,915125.91295769,49664.19246423,10290.9961716,289334.96430443,129316.95684938006,1515067.7603080203
2009-11-30T00:00:00,,110996.68076038989,14449,891593.3787230001,49808.41491679,10333.72291698,301769.2774609,124561.21187387002,1503511.68665193
2009-12-31T00:00:00,,99252.0743328298,23876,933912.14827186,50715.33315326,10299.51107782,326941,125657.95968836005,1570654.02652413
2010-01-31T00:00:00,,98975.88076039008,23547,940649.0412651399,51696.50755692,10276.69629706,334927.9553033,126621.40983977997,1586694.49102259
2010-02-28T00:00:00,,99787.4807603897,23245,957176.10379632,51024.13915765,10280.561854,340251.87916638,123851.88217597004,1605617.0469107097
2010-03-31T00:00:00,,101087.99676038977,22550,957910.86382131,51229.35932193,10308.45398391,338828.47898469,128786.33333738,1610701.4862096098
2010-04-30T00:00:00,,101751.59796038992,24028,958859.0663438101,53443.163296419996,10306.953018389999,345120.86973233,111619.94193598001,1605129.59228732
2010-05-31T00:00:00,,101349.95796039025,22144,975675.16590901,51202.3246463,10284.37666735,333718.25458639,116712.35216112,1611086.4319305602
2010-06-30T00:00:00,,104108.01796038984,22034,965232.6285399098,52015.00487828,10313.835680049999,332419.58704579005,123340.44139986002,1609463.5155042799
2010-07-31T00:00:00,,104307.61796039017,27258,982763.7223504699,53140.53590526999,10298.76009246,329728.3557139,114341.21809159,1621838.2101140802
2010-08-31T00:00:00,,113347.37596039008,21380,993180.59270451,53695.446910620005,10296.42700056,318893.28782856,113191.84418302999,1623984.9745876703
2010-09-30T00:00:00,,109162.05696038995,30615,1003900.29001898,52861.265793110004,10323.989039690001,322463.98784866004,112920.56451107998,1642247.1541719101
2010-10-31T00:00:00,,110426.55696039018,24531,1020557.23783104,54067.4092236,10310.39427609,331441.2488167,111803.17638618,1663137.0234940003
2010-11-30T00:00:00,,112900.55696039018,25060,1010683.4390463199,53613.00456978,10301.112248399999,349637.13440441,118555.84671323001,1680751.0939425305
2010-12-31T00:00:00,,110969.49921031017,25060,1008251.2125913299,54976.4358592,10309.63070318,367768.75933381,128053.80100358,1705389.06745149
2011-01-31T00:00:00,,113520.32996039023,23734,1025932.55561581,56147.96127583,7997.794008100001,362514.97240096005,127069.3494087099,1716916.9626698003
2011-02-28T00:00:00,,114242.74996039039,18919,1026681.94208781,56960.455176339994,7789.00371275,352233.04504639003,132886.68952001995,1709712.8855037002
2011-03-31T00:00:00,,121529.68196038972,17206,999728.21010352,58540.92546593,7179.63232993,374802.61809125,192769.1195249801,1771756.187476
2011-04-30T00:00:00,,129643.41816039011,22187,994588.31487832,60305.32374816,7119.5291808599995,401651.26458458,191283.6973135799,1806778.54786589
2011-05-31T00:00:00,,130857.57816039026,23681,1036999.6259814099,61439.681081489995,6029.87319445,395893.22116477,201385.04343328002,1856286.0230157902
2011-06-30T00:00:00,,133182.61816039006,23307,1064708.79706009,61471.107216129996,6030.533852310001,405815.57444157003,201162.36299726996,1895677.99372779
2011-07-31T00:00:00,,134926.35416039033,24757,1082192.01653613,61055.06037832,4434.479865810001,377138.70851753996,246776.74433840998,1931280.3637966001
2011-08-31T00:00:00,,149268.04216038994,20113,1072673.6181361699,61660.40485746,4523.24087257,372688.77744409995,245558.44915838,1926485.53562907
2011-09-30T00:00:00,,136913.60216038977,30935,1140646.92724631,61373.41320589,4460.40176992,367827.59379814,259539.65285274,2001696.5940333896
2011-10-31T00:00:00,,147597.02616039035,20858,1161210.55286478,61857.853132029995,4477.08539342,352922.66367658,244424.46106098997,1993347.6452881899
2011-11-30T00:00:00,,137874.02616039035,36132,1202299.34876993,63173.25330701,4463.60528475,352523.78922976,236907.73963790992,2033373.7623897502
2011-12-31T00:00:00,,139847.13878941,29187,1203477.63829994,63511,3773.77892727,379202.27188796,238866.61161295004,2057865.4395175301
2012-01-31T00:00:00,,139180.94616039004,26646,1251688.89675573,64457.03086342,3778.47566156,375232.80326223996,230152.03928002995,2091136.1919833703
2012-02-29T00:00:00,,140090.54616039022,23516,1284916.39820806,65950.34005704,3800.21553414,377638.95580984,237883.88541558007,2133796.34118505
2012-03-31T00:00:00,,140758.68616039027,24171,1299676.6119883498,68010.90789713,3750.01208357,388531.44825289,229166.20998792996,2154064.87637026
2012-04-30T00:00:00,,140846.48616039008,25248,1342247.28575091,67949.72641845,3725.79383232,394636.93412589,218736.51660617,2193390.7428941303
2012-05-31T00:00:00,,142259.40616039,25302,1401639.14103675,68106.06993533,3779.43357121,375238.06233768,223659.30155094,2239983.4145923
2012-06-30T00:00:00,,145730.7261603903,27702,1423126.14886508,68257.63588423001,3774.0213624099997,368725.15389784,226640.3121132101,2263955.9982831604
2012-07-31T00:00:00,,148334.40616039,30238,1436535.6945555299,68456.50823045,3879.93589467,372174.23109004,227147.64455626006,2286766.42048734
2012-08-31T00:00:00,,155459.88616039092,31874,1465188.6571742198,68223.55715887,3803.3474221399997,373351.17585164,223903.3795819701,2321804.0033492306
2012-09-30T00:00:00,,149801.88616038952,30980,1487352.57184737,69193.33392303,3814.79530819,374118.86176794,233058.72409170994,2348320.17309863
2012-10-31T00:00:00,,165061.7261603903,21111,1515118.04480752,69853.96912976,3861.51495649,391137.3634488,226182.1182393202,2392325.7367422804
2012-11-30T00:00:00,,151052.0861603897,32569,1546229.19974414,71426.30388966,4150.04750053,389465.4001086,235264.86426084006,2430156.9016641597
2012-12-31T00:00:00,,152812.10846938984,33415,1536820.84367977,70790.88478802,4090.61981726,441210,245924.6045352101,2485064.06128965
2013-01-31T00:00:00,,154358.12292574,26846.003234649997,1560737.0175697699,74518.62475899,4588.36241597,436570.77077540004,240093.04667766995,2497711.9483581902
2013-02-28T00:00:00,,154777.40092669,31227.8852337,1545961.3665485298,74911.82155927,4613.280835590001,434454.78691840003,241747.62495450999,2487694.16697669
2013-03-31T00:00:00,,156321.35102887,26407.93513152,1581254.3862429399,75254.04315352,4509.717015390001,435030.99842920003,257943.21043411994,2536721.6414355603
2013-04-30T00:00:00,,156521.43777633,28989.190584059997,1538605.69941085,77476.64340144,4703.59750819,447870.4132609,304239.62850997987,2558406.61045175
2013-05-31T00:00:00,,157988.82958389,32563.235176500002,1571252.6614559,78834.39575976,5687.07576351,449317.2240083,306039.8614293499,2601683.28317721
2013-06-30T00:00:00,,161366.73646035,35390.90950004,1586230.53708578,79614.02677366,5320.9411499200005,425846.85024349,320119.64535713,2613889.64657037
2013-07-31T00:00:00,,173354.40488792,29461.69347247,1602902.11971574,79586.79199904,5102.12087205,400058.26713765995,326618.31067202997,2617083.7087563695
2013-08-31T00:00:00,,164808.53481425002,37385.12354614,1621903.1573333999,79797.03023701,5688.7389784,406455.30414087,350482.0025014999,2666519.891551569
2013-09-30T00:00:00,,163966.97207018,33130.68629021,1645181.8121495699,79647.88161683,5661.075589550001,408143.14033951,324959.8251673101,2660691.39322316
2013-10-31T00:00:00,,168472.18589860998,29305.51546178,1694432.5276898001,80008.06716175,5622.6203436099995,413374.28069711,331353.635325,2722568.83257766
2013-11-30T00:00:00,,165049.29670689002,32910.4046535,1670628.46467614,80206.66895012,6400.591532359999,434496.74287481,340939.59353412,2730631.7629279396
2013-12-31T00:00:00,,166388.07417765,28295.627182739998,1650146.20876303,81901.44526349001,6357.65664651,459932.31880675,345707.10038466,2738728.43122483
2014-01-31T00:00:00,,168352.68475886,26640.41660153,1642976.9857388702,83862.89918693,6392.718813930001,468365.68967165,384792.32982929,2781383.72460106
2014-02-28T00:00:00,,169561.54368985002,26050.35767054,1645036.0368504499,86303.72037669,7024.72321938,455860.204661,387197.78521004005,2777034.37167795
2014-03-31T00:00:00,,171540.29054123,23845.93081916,1617933.01107273,86360.10275332001,7052.96295472,480660.78469055,395049.23637551005,2782442.31920722
2014-04-30T00:00:00,,172874.91712911002,21007.98423128,1611218.3804774897,88215.72140112,7018.1751275,493658.99597422,395422.2388569901,2789416.41319771
2014-05-31T00:00:00,,174684.31268103,28720.82867936,1624626.66590389,89572.73608777,7627.375829109999,470507.59726702,407705.90179044,2803445.4182386203
2014-06-30T00:00:00,,178552.08554171,27055.25581868,1630225.4482168402,90368.71933227,7653.82748657,443152.3057328,422283.3775569,2799291.01968577
2014-07-31T00:00:00,,197384.67856399002,20399.5547964,1617855.15244061,90271.24263561,7653.93215522,435086.59951891,432508.1294963002,2801159.28960704
2014-08-31T00:00:00,,181434.44652243998,37765.74683795,1645453.42899695,90171.56175453999,7969.45881814,443102.1108387,432511.272046,2838408.0258147195
2014-09-30T00:00:00,,190634.62083291,29198.93252748,1641635.89473619,91097.27902265,8031.866498439999,423583.10313432,439492.03848228,2823673.73523427
2014-10-31T00:00:00,,181517.51243478,40743.92092561,1650447.57618479,91438.0666507,7963.8491344700005,417772.54744662,442018.7915324801,2831902.2643094524
2014-11-30T00:00:00,,180278.16532142,37506.06803897,1637958.8924278598,91654.90169833,8372.98908522,404131.79869953997,461825.64953357994,2821728.46480492
2014-12-31T00:00:00,,180892.09211176,35240.14124863,1561217.24635911,92558.21105433001,9694.99542526,427815.08896157,484691.5505691101,2792109.32572977
2015-01-31T00:00:00,,182605.37367228002,35190.11968811,1533627.0834114698,94667.96505541001,9705.53118616,411137.64650415,524220.00362913,2791153.72314671
2015-02-28T00:00:00,,195810.15754097002,32774.13581942,1411636.0626156603,93319.27648165,9694.9656681,402735.05853049,566956.6779934299,2712926.3346497198
2015-03-31T00:00:00,,193987.54975913,35507.34360126,1375194.70316346,97377.77092102,10617.58733748,378323.37726611,565359.4253423101,2656367.75739077
2015-04-30T00:00:00,,196753.00003087003,30989.09332952,1317525.3855682497,102712.82839734,10635.479075129999,398359.16990889004,562910.1568185501,2619885.1131285504
2015-05-31T00:00:00,,200481.11926462,33869.174095769995,1263145.99289233,101207.80941419999,10604.38384154,405651.65490132,583948.1582916699,2598908.2927014497
2015-06-30T00:00:00,,205907.97269360002,35259.52066679,1250858.22643259,100818.78861814999,10644.592643200001,365340.91115782,596454.8956250098,2565284.9078371595
2015-07-31T00:00:00,,213547.55502313,38281.21833726,1233572.24224514,100433.01314533,10616.32252187,335655.8335315,629019.59612317,2561125.7809274
2015-08-31T00:00:00,,202771.70261613,46873.070744259996,1224601.0469231,99182.57648044001,10624.76471605,307690.45546327,655269.3110053799,2547012.92794863
2015-09-30T00:00:00,,212283.27031435,34613.82304604,1190367.918854,99755.557908,10871.778902389999,294537.86497416,664205.77250119,2506635.98650013
2015-10-31T00:00:00,,199606.07339156,44379.01996883,1199882.22736083,99886.65425621001,10860.91695734,255691.24613631,681088.36911975,2491394.50719083
2015-11-30T00:00:00,,197424.97275815,39787.108762239994,1168963.9455298898,96147.30652907,10875.42409917,240846.18314257,687237.4901423198,2441282.4309634096
2015-12-31T00:00:00,,197912.09247888,39299.98904151,1165377.9496157002,98116.71562322999,11213.30662643,182947.31600805,678514.6520183899,2373382.02141219
2016-01-31T00:00:00,,196117.01232426,41095.06919613,1131923.70731524,95624.07235647,11171.64370858,163423.74299268,678950.71799255,2318305.96588591
2016-02-29T00:00:00,,196650.60294887002,35052.95009152,1132530.70757305,95786.42492763001,18436.633219810003,132627.55426606,677814.4905138699,2288899.36354081
2016-03-31T00:00:00,,199746.79123285,32956.67780754,1092431.7188216401,95979.6919818,18450.79515694,132789.94521527,672845.30650484,2245200.92672088
2016-04-30T00:00:00,,199194.96326723002,32238.35292116,1094819.78822837,96294.47255178,18445.29881598,112872.29818722,667380.1565861299,2221245.3305578697
2016-05-31T00:00:00,,203757.94495543,34237.69309696,1119917.77705989,96005.95987287999,18439.36195486,98153.20607957001,656770.4403469502,2227282.38336654
2016-06-30T00:00:00,,224538.17581627,21452.79743612,1088387.18534677,95732.36443761,18495.76614661,89969.48597913,627090.4734406,2165666.24860311
2016-07-31T00:00:00,,207764.43304348,36322.58025491,1091193.18561875,95614.015944,18438.35958181,89411.96599933,646699.6494078999,2185444.18985018
2016-08-31T00:00:00,,206664.78649216,30729.688954229998,1068204.62504598,95038.94140272,18461.44360859,93047.96599933,655176.94228738,2167324.39379039
2016-09-30T00:00:00,,207661.16759418,34465.46749821,1051455.35073654,94445.05250044,18460.58918849,95836.96599933,662824.1394344,2165148.73295159
2016-10-31T00:00:00,,201602.16599215,34299.49815724,996202.6185921901,94410.0113207,18451.52010016,112153.96599933,666922.49999386,2124042.28015563
2016-11-30T00:00:00,,200240.82915467,31983.83205972,900298.25187354,96308.25572381,18474.58917025,158873.96599933,675444.86068238,2081624.5846637003
2016-12-31T00:00:00,,199989.45820095,34515.65518544,885094.23159977,97838.65477041001,18490.361086560002,164754.96599933,676187.22343277,2076870.5502752298
2017-01-31T00:00:00,,200502.5115619,31110.910209489997,850582.1676776301,97315.59220475,18456.087004560002,157653.96599933,673022.0239054101,2028643.25856307
2017-02-28T00:00:00,,198212.63287026,32312.15626313,834656.54282208,96836.64127556,18473.92359334,146287,673408.31316461,2000187.2099889799
2017-03-31T00:00:00,,199653.96949416999,36166.97070122,812178.24944762,96152.85591025,18548.466006950002,151610,657084.25193094,1971394.7634911502
2017-04-30T00:00:00,,199869.88202954,31818.25604885,808239.63394142,97884.66989284,18493.16401072,139126,660632.8529349499,1956064.4588583203
2017-05-31T00:00:00,,203462.11132269,41551.1457507,798992.9304015801,98774.22539815,18461.996800189998,106853,669686.6882801099,1937782.0979534201
2017-06-30T00:00:00,,223393.6785406,25901.86441279,773731.85572947,98715.12581249,18448.656390869997,124074,661885.8458079501,1926151.0266941702
2017-07-31T00:00:00,,205013.61067909,33994.7831383,760394.9646267799,99416.93450818001,18485.931898220002,119906,674519.1538112898,1911731.3786618598
2017-08-31T00:00:00,,213942.24366588,23347.913871509998,734623.6680674901,98910.71219897,18543.38040721,95657,687550.5306803897,1872575.4488914497
2017-09-30T00:00:00,,203306.51374805998,36167.597459330005,735987.5568212601,98964.6498102,18516.51243143,83826,701502.64798548,1878271.47825576
2017-10-31T00:00:00,,197935.63021888002,33340.462401510005,752055.07687186,96959.43517681,18499.9056609,75441,728389.2905788198,1902620.8009087797
2017-11-30T00:00:00,,200104.2062849,26219.17857649,724932.32536498,97141.06813361999,18495.02654143,98730,745853.1707748198,1911474.97567624
2017-12-31T00:00:00,,203356.95356887998,25831.23752851,729723.25167184,97534.49527582001,18468.51283485,138786,689962.4244124799,1903662.8752923799
2018-01-31T00:00:00,,205361.43781878002,26853.495377609997,713179.4877733099,98230.60431488001,18492.92991939,135262,707068.71218132,1904448.66738529
2018-02-28T00:00:00,,208794.51749133,22237.42229906,699010.33984253,99224.09868565,18492.95745781,115063,714454.51551368,1877276.85129006
2018-03-31T00:00:00,,212506.41110686,23185.521697530003,695185.7389286599,98713.77267919,18518.643923080002,108108,753832.32325459,1910050.4115899103
2018-04-30T00:00:00,,212210.92206931,27011.273026079998,711759.9108432999,98473.88767595,18455.29670232,92658,775457.4599990699,1936026.7503160303
2018-05-31T00:00:00,,220588.64041606,27431.337853330002,730497.3318533599,98892.92010024001,18452.50126551,68058,766883.3902253599,1930804.12171386
2018-06-30T00:00:00,,225924.86924195001,30721.652860439997,716269.36368756,98861.96848573,18501.720964189997,84817,761560.7512802101,1936657.3265200804
2018-07-31T00:00:00,,213985.73374002997,36589.762430359995,703246.2890935701,99126.32389064,18482.07157665,88142,760132.6106054103,1919704.7913366603
2018-08-31T00:00:00,,217271.19396831,36438.877297080006,743991.86546599,98699.74850636,17942.57049951,71656,766414.33238469,1952414.5881219401
2018-09-30T00:00:00,,211453.89576752,37854.55689987,767300.7725077299,98414.47652094,17932.17484798,89025,720516.2753353901,1942497.15187943
2018-10-31T00:00:00,,208605.87798854,36952.131418850004,738187.3699567299,101312.47199584,17169.02300535,66691,762728.1500622199,1931646.02442753
