,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 8b: Balance Sheet of Saudi Central Bank - Liabilities,,,,,,,,,جدول 8b: الـمـركــــز الـمـالــي للبنك المركزي الســـعـــودي - الــمـطـلـوبـــات         
(Million ﷼),,,,,,,,,(مليون ﷼)
نهاية الفترة,,العملة المصدرة,,ودائع هيئات وجهات حكومية ,الودائع النظامية,ودائع ,أذونات البنك المركزي واتفاقيات,مطلوبات متنوعة ,
,,Currency Issued,,وشبه حكومية,للمؤسسات المالية, لجهات أجنبية بالمحلية, اعادة الشراء المعاكس*,أخرى,الإجمالي
,,في التداول,لدى البنك المركزي,"Deposits of Government,",Regulatory Deposits ,Foreign Institutions,SAMA Bills and ,Other,TOTAL
End of Period,,,, Quasi Government ,for Financial ,Deposits in,Reverse Repurchase ,Miscellaneous,
,,In Circulation,At SAMA,and Institutions,Institutions ,Local Currency,Agreements*,Liabilities,
Q4,2003,59701.70099763997,21259,57858.518110259996,15472.43733433,616.01670402,16101.19608796,101690.74960182999,272699.61883603997
Q1,2004,60719.50099764002,20415,54593.47525761,16586.84875067,3425.5702006399997,7837.823770399999,128561.92813985999,292140.14711682
Q2,2004,61780.860997639946,17044,58903.023993380004,17363.685671509997,3751.4663409699997,7404.89157097,132137.66417397,298385.59274844
Q3,2004,60130.766397639934,19960,67522.6935474,18039.15267002,4578.99902036,7577.53409892,158939.50023919996,336748.6459735399
Q4,2004,64606.77059764002,18802,103820.9669586,19099.97153536,5053.38389947,10930.321810790001,152563.32301467,374876.73781653005
Q1,2005,64066.81759764004,18491,115882.84918,19638.16119361,5316.7075569,10985.45400888,173960.35009689,408341.33963392006
Q2,2005,67545.38419763994,17932,128060.29251657001,21006.86964668,7369.56555334,5269.66096405,210811.83077232,457995.60365059995
Q3,2005,65500.785197639954,20417,184694.79333806,20760.10050805,7437.63848361,9837.99746882,221483.37887590998,530131.69387209
Q4,2005,71489.22519764001,18262,244519.13477682997,21272.092089349997,10120.91528576,27997.21618348,225744.33244333,619404.91597639
Q1,2006,67778.04939763993,16566,246968.40020246,23247.38743483,12021.22549194,53339.93184858999,283608.4676770399,703529.4620524999
Q2,2006,70315.85159764008,18791,305142.0908365,23245.97546108,12548.51754894,66824.73607221,224728.75072317998,721596.92223955
Q3,2006,70368.11479764013,20897,368041.22413021,23460.999604020002,12670.50388913,88525.1648072,252762.70816720996,836725.7153954101
Q4,2006,81542.78279764007,12777,342109.99074533995,24403.1234224,14147.49819145,110048.74132,299296.69870366994,884325.8351805
Q1,2007,73295.00339763996,18542,343652.4307582601,25191.02864815,14506.40180877,185262.13901481,276870.94607171,937319.94969934
Q2,2007,75151.82819764002,23817,373121.55311179,26656.36164121,14546.74726301,163108.60886045,263186.05254614004,939588.1516202401
Q3,2007,79529.17279763985,26016,420960.23109916004,27905.6094055,14552.460333870002,192922.82789970998,275694.50922516006,1037580.8107610401
Q4,2007,82211.89399764012,23842,514138.67859029,36277.049719970004,14939.02011885,316791.93751806,208616.81459705997,1196817.39454187
Q1,2008,82502.13616038999,21787,649700.4815429,42983.86849533999,14965.65668053,305024.73817317,242317.95068535002,1359281.8317376801
Q2,2008,88686.40616039,19447,791609.55157093,64133.28296114,14613.23023429,284682.23453104997,202986.02823564003,1466157.73369344
Q3,2008,100522.22716038977,18543,1002795.18863904,65000.354956309995,14727.92479018,291204.90475032,187175.69392871996,1679969.2942249598
Q4,2008,94013.41816038988,27053,1052336.3533940502,44698.16652248,12488.034584870002,329807.40219074,149598.94020518,1709995.3150577103
Q1,2009,93487.74017131003,30057,1000550.7321285501,46821.29095524,12043.76413394,333533.78471907,87841.23105821002,1604335.5431663198
Q2,2009,95748.69136038981,24838,903820.09428139,48707.13012584,10281.201335,324779.94028052,105492.12797305002,1513667.1853561902
Q3,2009,101994.73756039003,25192,893236.06324266,49416.853431690004,10301.19037973,290735.085128,113833.62583072999,1484709.5555731999
Q4,2009,99252.0743328298,23876,933912.14827186,50715.33315326,10299.51107782,326941,125657.95968836005,1570654.02652413
Q1,2010,101087.99676038977,22550,957910.86382131,51229.35932193,10308.45398391,338828.47898469,128786.33333738,1610701.4862096098
Q2,2010,104108.01796038984,22034,965232.6285399098,52015.00487828,10313.835680049999,332419.58704579005,123340.44139986002,1609463.5155042799
Q3,2010,109162.05696038995,30615,1003900.29001898,52861.265793110004,10323.989039690001,322463.98784866004,112920.56451107998,1642247.1541719101
Q4,2010,110969.49921031017,25060,1008251.2125913299,54976.4358592,10309.63070318,367768.75933381,128053.80100358001,1705389.0674514903
Q1,2011,121529.68196038972,17206,999728.21010352,58540.92546593,7179.63232993,374802.61809125,192769.1195249801,1771756.187476
Q2,2011,133182.61816039006,23307,1064708.79706009,61471.107216129996,6030.533852310001,405815.57444157003,201162.36299726996,1895677.99372779
Q3,2011,136913.60216038977,30935,1140646.92724631,61373.41320589,4460.40176992,367827.59379814,259539.65285274,2001696.5940333896
