,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,Gross Written Premiums by Line of Business,,إجمالي أقساط التأمين المكتتب بها حسب نوع النشاط,1,,
,,,,,,
2,Net Written Premiums by Line of Business,,صافي أقساط التأمين المكتتب بها حسب نوع النشاط,2,,
,,,,,,
3,Net Claims Incurred by Line of Business,,صافي المطالبات المتكبدة حسب نوع النشاط,3,,
,,,,,,
4,Net Earned Premium by Line of Business,,صافي الأقساط المكتسبة حسب نوع النشاط,4,,
,,,,,,
5,Total Number of Policies by Line of Business,,إجمالي عدد وثائق التأمين حسب نوع النشاط,5,,
