,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,
Table 29b: Branches Of Banks Classified By Administrative Regions,,,,,,,,,,,,,,,جدول 29b: فروع المصارف حسب المناطق الإدارية,
,,,,,,,,,,,,,,,,
نهاية الفترة,,الرياض,مكة المكرمة,المدينة المنورة, الشرقية,القصيم,عسير,تبوك,حائل,الحدود الشمالية,الجوف,جازان,نجران,الباحة,المجموع,
End of,,,,,,,,,,,,,,,,
Period,,Riyadh,Makkah,Al-Madinah,Eastern,Al-Qassim,Asir,Tabuk,Hail,Northern Border,Al-Jawf,Jazan,Najran,Al-Bahah,Total,
Q4,2015,613,423,92,386,114,119,49,40,15,25,49,25,26,1976,
Q1,2016,616,423,92,387,114,122,49,40,15,25,49,24,26,1982,
Q2,2016,619,425,93,389,114,122,49,42,16,26,50,25,27,1997,
Q3,2016,615,430,95,388,114,122,49,42,16,26,50,26,27,2000,
Q4,2016,624,433,100,393,116,124,50,42,16,27,50,27,27,2029,
Q1,2017,624,433,100,396,116,125,50,42,16,28,51,27,27,2035,
Q2,2017,624,432,100,397,116,125,50,42,16,28,51,27,27,2035,
Q3,2017,622,432,100,400,117,126,50,42,17,28,52,27,27,2040,
Q4,2017,631,436,106,405,119,126,51,42,17,28,53,27,28,2069,
Q1,2018,627,437,106,403,119,125,51,42,17,28,54,27,28,2064,
Q2,2018,627,439,106,401,119,126,51,42,17,28,55,27,28,2066,
Q3,2018,628,439,105,403,120,126,51,42,17,28,55,27,28,2069,
Q4,2018,629,435,105,401,120,127,50,42,17,28,55,28,27,2064,
Q1,2019,629,433,104,403,120,127,51,43,18,28,53,28,28,2065,
Q2,2019,627,436,103,403,121,126,54,42,16,25,52,32,25,2062,
Q3,2019,627,440,104,405,120,128,51,42,17,27,56,27,27,2071,
Q4,2019,626,442,104,408,120,128,51,42,17,27,57,27,27,2076,
Q1,2020,623,442,104,406,119,128,51,43,17,27,57,27,27,2071,
Q2,2020,621,440,104,402,119,128,51,43,18,27,57,27,27,2064,
Q3,2020,616,428,101,392,119,128,51,43,19,28,57,27,27,2036,
Q4,2020,612,424,101,387,117,125,50,43,19,28,55,27,26,2014,
Q1,2021,607,423,100,384,117,127,50,43,20,29,55,27,26,2008,
Q2,2021,592,413,99,375,115,124,50,43,21,30,54,27,26,1969,
Q3,2021,587,411,100,374,115,124,49,43,21,30,53,27,27,1961,
Q4,2021,588,406,98,371,113,123,48,42,20,29,53,27,27,1945,
Q1,2022,588,396,98,369,112,123,48,42,20,29,53,27,27,1932,
Q2,2022,590,390,99,367,112,123,48,42,20,29,53,27,27,1927,
Q3,2022,590,391,100,367,112,123,47,42,20,29,53,27,27,1928,
Q4,2022,590,391,99,368,112,123,46,42,20,29,54,26,27,1927,
Q1,2023,593,387,104,353,115,118,47,42,20,31,56,26,31,1923,
Q2,2023,577,393,97,345,115,124,46,42,18,31,56,28,31,1903,
Q3,2023,581,380,101,357,114,122,47,42,18,28,54,26,26,1896,
Q4,2023,584,376,102,356,117,124,48,42,18,28,54,26,26,1901,
Q1,2024,584,379,102,358,117,124,48,42,19,28,54,26,26,1907,
Q2,2024,582,376,103,357,119,123,47,43,19,28,54,26,26,1903,
Q3,2024,586,378,103,357,119,123,47,44,19,28,54,26,26,1910,
Q4,2024,585,377,103,355,118,123,47,44,19,28,54,26,26,1905,
Q1,2025,579,380,103,356,117,123,47,45,19,28,54,26,26,1903,
Q2,2025,580,382,101,354,116,123,48,45,19,28,54,26,26,1902,
Q3,2025,580,382,101,352,117,124,48,45,19,27,55,26,27,1903,
Q4,2025,586,385,101,350,117,124,48,45,19,28,55,26,26,1910,
