,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
Table 28a: SADAD System Payments Volume* ,,,,جدول 28a:  عــدد مـدفـوعــات نظام ســـداد*
,,,,
,,عدد الفواتير المسددة      Volume of Bills Paid,,
الفترة,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي
,, Through SADAD,Through Other Channels,Total 
2009-12-31T00:00:00,,5652129,766090,6418219
2010-01-31T00:00:00,,6667291,758229,7425520
2010-02-28T00:00:00,,6056967,729388,6786355
2010-03-31T00:00:00,,7520545,891667,8412212
2010-04-30T00:00:00,,7160795,878709,8039504
2010-05-31T00:00:00,,8736324,926841,9663165
2010-06-30T00:00:00,,9240693,882577,10123270
2010-07-31T00:00:00,,9025645,838529,9864174
2010-08-31T00:00:00,,9473754,813409,10287163
2010-09-30T00:00:00,,7087519,716081,7803600
2010-10-31T00:00:00,,9478039,871414,10349453
2010-11-30T00:00:00,,8629360,679668,9309028
2010-12-31T00:00:00,,9812025,910072,10722097
2011-01-31T00:00:00,,10356020,904776,11260796
2011-02-28T00:00:00,,8114604,829634,8944238
2011-03-31T00:00:00,,10078718,1039404,11118122
2011-04-30T00:00:00,,10233930,1055373,11289303
2011-05-31T00:00:00,,11396396,1338460,12734856
2011-06-30T00:00:00,,10753291,1254667,12007958
2011-07-31T00:00:00,,10971759,1241539,12213298
2011-08-31T00:00:00,,10023944,1143572,11167516
2011-09-30T00:00:00,,9490988,1160626,10651614
2011-10-31T00:00:00,,11935275,1288854,13224129
2011-11-30T00:00:00,,9444313,1285170,10729483
2011-12-31T00:00:00,,10896944,1344756,12241700
2012-01-31T00:00:00,,11133368,1401012,12534380
2012-02-29T00:00:00,,10696784,1372740,12069524
2012-03-31T00:00:00,,10989088,1326133,12315221
2012-04-30T00:00:00,,11248189,1293100,12541289
2012-05-31T00:00:00,,12146512,1303281,13449793
2012-06-30T00:00:00,,11358441,1216731,12575172
2012-07-31T00:00:00,,12130569,1194424,13324993
2012-08-31T00:00:00,,9844765,1116040,10960805
2012-09-30T00:00:00,,12500875,1157928,13658803
2012-10-31T00:00:00,,11437006,1176099,12613105
2012-11-30T00:00:00,,11440727,1171932,12612659
2012-12-31T00:00:00,,12363495,1383874,13747369
2013-01-31T00:00:00,,11610228,1246578,12856806
2013-02-28T00:00:00,,11300606,617169,11917775
2013-03-31T00:00:00,,12006263,689645,12695908
2013-04-30T00:00:00,,12131819,715777,12847596
2013-05-31T00:00:00,,12265270,698024,12963294
2013-06-30T00:00:00,,12796902,728393,13525295
2013-07-31T00:00:00,,13280825,855288,14136113
2013-08-31T00:00:00,,9250306,855470,10105776
2013-09-30T00:00:00,,13596474,1207106,14803580
2013-10-31T00:00:00,,12697149,1821794,14518943
2013-11-30T00:00:00,,11983246,1997705,13980951
2013-12-31T00:00:00,,14074163,2405368,16479531
2014-01-31T00:00:00,,12251004,2379002,14630006
2014-02-28T00:00:00,,11502219,2472451,13974670
2014-03-31T00:00:00,,13234629,2753739,15988368
2014-04-30T00:00:00,,12648088,2969903,15617991
2014-05-31T00:00:00,,12429325,3398448,15827773
2014-06-30T00:00:00,,13988222,3618431,17606653
2014-07-31T00:00:00,,12110463,3600052,15710515
2014-08-31T00:00:00,,12905418,1812280,14717698
2014-09-30T00:00:00,,13785305,1087494,14872799
2014-10-31T00:00:00,,11944498,1357464,13301962
2014-11-30T00:00:00,,13567799,1848126,15415925
2014-12-31T00:00:00,,14227366,1891930,16119296
2015-01-31T00:00:00,,12213334,1953998,14167332
2015-02-28T00:00:00,,13736914,2227446,15964360
2015-03-31T00:00:00,,14629564,2896260,17525824
2015-04-30T00:00:00,,13893553,2930619,16824172
2015-05-31T00:00:00,,14475680,3028160,17503840
2015-06-30T00:00:00,,14814075,1669255,16483330
2015-07-31T00:00:00,,12880507,660845,13541352
2015-08-31T00:00:00,,15700907,685537,16386444
2015-09-30T00:00:00,,13925240,615286,14540526
2015-10-31T00:00:00,,14651766,643851,15295617
2015-11-30T00:00:00,,15381149,632523,16013672
2015-12-31T00:00:00,,16048460,615950,16664410
2016-01-31T00:00:00,,14743269,589471,15332740
2016-02-29T00:00:00,,15074484,531024,15605508
2016-03-31T00:00:00,,15963079,598740,16561819
2016-04-30T00:00:00,,14383808,602146,14985954
2016-05-31T00:00:00,,17505697,743400,18249097
2016-06-30T00:00:00,,17122424,369559,17491983
2016-07-31T00:00:00,,13689378,514579,14203957
2016-08-31T00:00:00,,18740851,637399,19378250
2016-09-30T00:00:00,,13955135,517095,14472230
2016-10-31T00:00:00,,16884892,528411,17413303
2016-11-30T00:00:00,,15992162,469509,16461671
2016-12-31T00:00:00,,16048256,596264,16644520
2017-01-31T00:00:00,,17802597,587048,18389645
