,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 17: Offshore Riyal Position of Commercial Banks,,,,جدول 17: العـمـلـيــــــــات الـخــارجـيــــة لـلــمـــصـــارف الـتـجــاريــــة بـالـريــــال,
(Million ﷼),,,,(مليون ﷼),
نهاية الفترة,,مطلوبات بالريال,مطلوبات بالريال,صافي المطلوبات بالريال,
,,على غير المقيمين,لغير المقيمين,على غير المقيمين,
End of Period,,Riyal Claims on,Riyal Liabilities to,Net Riyal Claims on,
,,Non-Residents ,Non-Residents ,Non-Residents ,
Q2,2010,33783.873,24732.374000000003,9051.498999999996,
Q3,2010,22981.612999999998,18027.411,4954.2019999999975,
Q4,2010,20708.687,15405.784,5302.903000000002,
Q1,2011,30251.654,15102.663,15148.991,
Q2,2011,29836.091,16575.327,13260.764,
Q3,2011,33443.464,18459.877,14983.587,
Q4,2011,37197.938,18538.387,18659.551,
Q1,2012,44347.592,21196.022,23151.57,
Q2,2012,42894.011,20420.682,22473.329,
Q3,2012,40950.026,21900.457,19049.569,
Q4,2012,28712.858,21999.047,6713.811,
Q1,2013,30090.006,24214.002,5876.004,
Q2,2013,25487.288,23593.483,1893.805,
Q3,2013,21609.667,25320.969,-3711.302,
Q4,2013,21090.922,23168.29,-2077.368,
Q1,2014,21557.773,25828.928,-4271.155,
Q2,2014,25714.877,26189.115,-474.238,
Q3,2014,26355.367,22575.175,3780.192,
Q4,2014,31854.93,42867.51,-11012.58,
Q1,2015,37984.156,24744.188,13239.968,
Q2,2015,45253.431,31685.853,13567.578,
Q3,2015,43972.988,21484.479,22488.509,
Q4,2015,46103.252,24831.037,21272.215,
Q1,2016,37155.999128480005,19120.15823841,18035.84089007,
Q2,2016,39646.43480096001,28025.904633567505,11620.5301673925,
Q3,2016,37223.16270851,25539.395825599997,11683.766882909998,
Q4,2016,33179.88684412,26540.7855317228,6639.101312397204,
Q1,2017,41452.848422120005,20377.0703035452,21075.778118574806,
Q2,2017,45962.2096966,19453.98724861,26508.222447990003,
Q3,2017,54242.55089607,24812.986564532803,29429.564331537204,
Q4,2017,43826.325659769995,27013.94325336,16812.382406409997,
Q1,2018,43066.397236330005,17475.34799741,25591.049238920004,
Q2,2018,38974.18783867,23807.22195626,15166.96588241,
Q3,2018,35799.92,17792.14900927,18007.770990729998,
Q4,2018,47422.286,31375.400441529997,16046.885558470003,
Q1,2019,39500.573166660004,29623.12553278,9877.447633880005,
Q2,2019,39795.24566667,31865.394169519997,7929.8514971500035,
Q3,2019,51289.46911667,34455.35943209,16834.10968458,
