,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 7a: Monetary Survey - Assets,,,,,,,,جدول 7a: الـمـســـــــح الـنـقـــــــــدي - المــوجـــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,موجودات أجنبية (صافي),,,مطلوبات ,مطلوبات ,مطلوبات المصارف,
,,Foreign Assets (Net),,,المصارف ,المصارف,من مؤسسات,إجمالي الموجودات
,,البنك المركزي,المصارف التجارية,المجموع,من القطاع الخاص,من الحكومة*,عامة غير مالية,
End of Period,,,,,Bank Claims,Bank,Bank Claims on,Total Assets
,,SAMA,Commercial Banks,Total,on Private,Claims on,Nonfinancial Public,
,,1,2,1+2,Sector,Government*,Sector Enterprises,
2015-02-28T00:00:00,,2649776.86351028,179318.456,2829095.31951028,1292373.012,54296.28700000001,43538.483,4219303.10151028
2015-03-31T00:00:00,,2589762.91612417,197274.642,2787037.55812417,1302410.364,54812.86799999999,44817.164,4189077.95412417
2015-04-30T00:00:00,,2545549.36822954,209997.79,2755547.15822954,1306698.553,53293.61999999999,46119.161,4161658.49222954
2015-05-31T00:00:00,,2520856.94567348,201604.998,2722461.94367348,1324154.365,52731.81299999996,46029.689,4145377.81067348
2015-06-30T00:00:00,,2504597.7413107,212520.296,2717118.0373107,1345595.471,53829.01400000002,40503.962,4157046.4843107
2015-07-31T00:00:00,,2479775.26986836,213474.261,2693249.53086836,1351351.121,52761.605,38420.199,4135782.45586836
2015-08-31T00:00:00,,2454997.44072423,213821.277,2668818.71772423,1350388.585,65122.02499999999,41579.175,4125908.50272423
2015-09-30T00:00:00,,2426077.91329922,211926.03,2638003.94329922,1354253.197,67134.301,38736.97,4098128.41129922
2015-10-31T00:00:00,,2401339.29611838,199503.717,2600843.01311838,1364269.993,71542.413,39264.246,4075919.66511838
2015-11-30T00:00:00,,2355587.37272975,198402.425,2553989.79772975,1376127.669,80164.41699999999,39720.416,4050002.29972975
2015-12-31T00:00:00,,2283381.6377633,222627.208,2506008.8457633,1384858.395,86157.633,38986.154,4016011.0277633
2016-01-31T00:00:00,,2229644.98914154,214639.789,2444284.77814154,1397833.097,86675.365,38188.078,3966981.31814154
2016-02-29T00:00:00,,2191657.26961478,199384.9215887,2391042.19120348,1417938.98153698,98607.08099999999,41963.864,3949552.11774046
2016-03-31T00:00:00,,2169997.45188165,197131.91082334,2367129.36270499,1429933.26064695,120611.49321938002,41243.057891725,3958917.17446304
2016-04-30T00:00:00,,2145891.12796006,175413.02927331,2321304.15723337,1435199.6677387008,139872.74002132998,48578.381936614,3944954.94693001
2016-05-31T00:00:00,,2148383.77137573,155823.83137634,2304207.60275207,1445744.24695147,153489.28959678998,50300.2575647825,3953741.39686511
2016-06-30T00:00:00,,2110089.0049938,148385.18023471,2258474.18522851,1452074.764068882,156614.21650767,50946.4473219275,3918109.61312699
2016-07-31T00:00:00,,2093156.0616891,143635.800509702,2236791.8621988,1447757.886622842,167303.16158282,51142.8795339275,3902995.78993839
2016-08-31T00:00:00,,2077720.50680995,128995.033379939,2206715.54018989,1450147.395881697,169676.97524318998,54217.384462746595,3880757.29577752
2016-09-30T00:00:00,,2050136.60434069,128441.864785469,2178578.46912616,1447909.3393996966,173022.33867083,53804.5649403799,3853314.71213707
2016-10-31T00:00:00,,2009543.32358197,126751.076346055,2136294.39992803,1449093.0684866514,175717.71152865002,57713.419463258404,3818818.59940659
2016-11-30T00:00:00,,1989547.67215536,131595.453097584,2121143.12525294,1435918.674824557,176955.43757462,57330.028795495695,3791347.26644762
2016-12-31T00:00:00,,1982347.67438205,137730.425538945,2120078.099921,1417920.0913399097,178416.26798044,55335.8701475384,3771750.32938888
2017-01-31T00:00:00,,1937493.31105645,136519.37589093,2074012.68694738,1421514.328004174,178344.76640349996,47095.9607254025,3720967.74208046
2017-02-28T00:00:00,,1900747.66814405,130527.94237366,2031275.61051771,1421985.5603013737,178882.89669335,47835.0648260706,3679979.1323385
2017-03-31T00:00:00,,1880254.86009216,142847.005022255,2023101.86511442,1427372.7843914938,178681.49478734998,52499.096451070596,3681655.24074433
2017-04-30T00:00:00,,1848469.38542671,143340.55953344,1991809.94496015,1429715.073174776,194864.85748405,55106.3622021375,3671496.23782111
2017-05-31T00:00:00,,1843911.97922748,149342.595573148,1993254.57480063,1433964.2798384281,197826.77475696002,56972.82188249801,3682018.45127851
2017-06-30T00:00:00,,1854340.91362069,156809.423028813,2011150.3366495,1430435.5318283236,200406.81177126,54031.4463117042,3696024.12656079
2017-07-31T00:00:00,,1826182.43035742,149652.839278133,1975835.26963555,1428258.4752643963,215846.76226272,58064.5456078941,3678005.05277056
2017-08-31T00:00:00,,1800170.66847665,151054.65886872,1951225.32734537,1434033.9124133782,228461.80959379,56339.4413269086,3670060.49067945
2017-09-30T00:00:00,,1791150.17287505,149852.468068739,1941002.64094379,1426906.8045076716,235411.92877019,53721.111076798996,3657042.48529845
2017-10-31T00:00:00,,1822122.11701279,158396.579720259,1980518.69673305,1430594.5064933102,244900.380152,54131.5750439725,3710145.15842233
2017-11-30T00:00:00,,1825937.62925095,143755.42405019,1969693.05330114,1425758.86524259,250722.68997784,54891.4239481225,3701066.03246969
2017-12-31T00:00:00,,1833354.55814836,142937.932578108,1976292.49072647,1405210.3730772,254545.17204385,53822.8998363387,3689870.93568386
2018-01-31T00:00:00,,1825206.83594354,149272.79418375,1974479.63012729,1407958.5283046325,262405.68287796,53145.507807237496,3697989.34911712
2018-02-28T00:00:00,,1798322.60627707,155149.44146852,1953472.04774559,1410063.810112291,269591.28836519,52634.05639649868,3685761.20261957
2018-03-31T00:00:00,,1820993.87397289,139802.33491709,1960796.20888998,1417309.7613246248,273912.26401303004,49940.167999835,3701958.40222747
2018-04-30T00:00:00,,1870857.31950977,138028.559479556,2008885.87898933,1438047.9767275644,279095.85647687,44071.5320964,3770101.24429016
2018-05-31T00:00:00,,1863938.34627656,129370.676413289,1993309.02268985,1437655.44201393,281871.55453961005,52845.53630291,3765681.5555463
2018-06-30T00:00:00,,1871769.03279661,131737.266337695,2003506.29913431,1436858.89139181,284500.75990157004,51084.75930291,3775950.7097306
2018-07-31T00:00:00,,1851330.3204513,121650.63815266,1972980.95860396,1441038.7481040598,286647.576,51990.242,3752657.52470802
2018-08-31T00:00:00,,1883526.37478456,123931.70230683,2007458.07709139,1451767.4853113901,290758.59699999995,53769.876,3803754.03540278
2018-09-30T00:00:00,,1874675.52334995,144414.99387661,2019090.51722656,1452431.3118657002,296810.69099999993,55304.606,3823637.12609226
2018-10-31T00:00:00,,1865952.25929437,123623.20769122,1989575.46698559,1456550.3606880798,301310.56000000006,55224.36,3802660.74767367
2018-11-30T00:00:00,,1865086.00562779,121136.34493362,1986222.35056141,1458238.80897014,303391.96900000004,54163.277,3802016.40553155
2018-12-31T00:00:00,,1835865.64231484,120898.89392802,1956764.53624286,1445252.02058274,305153.968,53765.48,3760936.0048256
2019-01-31T00:00:00,,1810768.12999925,116406.3323111,1927174.46231035,1441603.10411627,320458.999,54894.988,3744131.55342662
2019-02-28T00:00:00,,1792423.02179134,106680.91118276,1899103.9329741,1452875.5526324299,331388.597,57111.111,3740479.19360653
2019-03-31T00:00:00,,1848740.89857076,97758.93406987,1946499.83264063,1460805.1845014398,336235.38600000006,56723.172,3800263.57514207
2019-04-30T00:00:00,,1868498.90286821,94236.59399188,1962735.49686009,1468710.1068158401,343354.384,59937.574,3834737.56167593
2019-05-31T00:00:00,,1915581.29640043,77308.11110529,1992889.40750572,1486032.5950518297,349457.163,57488.249,3885867.41455755
2019-06-30T00:00:00,,1902624.91959837,87140.01688895,1989764.93648732,1477105.17243494,351852.76099999994,55459.687,3874182.55692226
2019-07-31T00:00:00,,1865932.97308803,68144.7383911,1934077.71147913,1484501.41661412,358530.56399999995,60219.142,3837328.83409325
2019-08-31T00:00:00,,1883101.7531213,93353.18797334,1976454.94109464,1487015.30100825,365303.439,57218.199,3885991.88010289
2019-09-30T00:00:00,,1855675.70924705,72633.39799017,1928309.10723722,1499016.61563161,371075.95,55879.875,3854281.54786883
2019-10-31T00:00:00,,1812830.6125257,80152.96699017,1892983.57951587,1507481.15963161,379056.93200000003,55107.857,3834629.52814748
2019-11-30T00:00:00,,1854058.95719408,76395.4314009,1930454.38859498,1527593.843243,379954.07399999996,57828.402,3895830.70783798
2019-12-31T00:00:00,,1852625.79381764,70474.53321316,1923100.3270308,1546518.91514744,383672.269,61646.01,3914937.52117824
2020-01-31T00:00:00,,1861261.90922195,57007.61795270999,1918269.52717466,1564575.72108271,386689.823,57873.371,3927408.44225737
2020-02-29T00:00:00,,1844389.3514633,51071.69391264999,1895461.04537595,1592591.5448658399,400201.57999999996,57161.421,3945415.59124178
2020-03-31T00:00:00,,1744031.75310776,71561.52321400997,1815593.27632177,1633076.8529246303,408120.64200000005,59383.345,3916174.1162464
2020-04-30T00:00:00,,1665617.26408542,87594.64905552205,1753211.91314094,1647556.0629961481,413111.888,60396.205,3874276.06913709
2020-05-31T00:00:00,,1668432.99447869,117590.37984987092,1786023.37432856,1648761.38448002,420106.36400000006,60987.731,3915878.85380858
2020-06-30T00:00:00,,1662333.6668079,104165.66831172106,1766499.33511962,1671928.8343346159,428201.362,62304.558,3928934.08945424
2020-07-31T00:00:00,,1662749.00291086,110587.99465048002,1773336.99756134,1684584.729233535,433253.32700000005,65223.429,3956398.48279488
2020-08-31T00:00:00,,1682679.20300783,110145.73086133105,1792824.93386916,1699586.30791787,429304.701,76640.097,3998356.03978703
2020-09-30T00:00:00,,1661037.69860632,100172.06889565298,1761209.76750197,1723792.005801649,429214.386,65924.324,3980140.48330362
2020-10-31T00:00:00,,1657298.6691393,88221.64032135202,1745520.30946065,1736264.5203341169,431577.891,70386.233,3983748.95379477
2020-11-30T00:00:00,,1695653.5719011799,74912.5271447,1770566.09904588,1755046.1286031902,430008.629,77313.131,4032933.98764907
2020-12-31T00:00:00,,1684317.1185417802,67998.18325004002,1752315.3017918202,1762440.046910301,438369.73899999994,79157.583,4032282.6707021217
2021-01-31T00:00:00,,1671097.78308141,74194.970253862,1745292.753335272,1790371.4977611902,446447.18899999995,77143.512,4059254.952096462
2021-02-28T00:00:00,,1637952.08994421,88261.434379896,1726213.5243241058,1826279.5461720808,438207.332,71680.561,4062380.963496187
2021-03-31T00:00:00,,1667356.0248862102,74869.50509354903,1742225.5299797594,1871568.691489848,441517.788,71646.769,4126958.7784696072
2021-04-30T00:00:00,,1636168.2565169,85951.25548786999,1722119.5120047699,1884373.59032821,447271.131,80895.968,4134660.20133298
2021-05-31T00:00:00,,1622518.0211819801,66807.06981051,1689325.09099249,1904405.7596937702,450080.046,81886.107,4125697.0036862604
2021-06-30T00:00:00,,1664838.24751836,61664.72296319998,1726502.9704815599,1933962.66351743,449503.249,88257.537,4198226.419998989
2021-07-31T00:00:00,,1640609.0951720197,54013.060649460036,1694622.1558214796,1945330.68125981,454580.671,88433.843,4182967.35108129
2021-08-31T00:00:00,,1639107.46826191,58428.774333560024,1697536.24259547,1956289.24806641,465316.788,93074.459,4212216.73766188
2021-09-30T00:00:00,,1680195.20943341,59828.13661435299,1740023.346047763,1985710.69689597,468380.624,91617.054,4285731.720943733
2021-10-31T00:00:00,,1624889.6000824503,47863.800228080014,1672753.4003105303,2009846.4227267602,474391.508,72478.904,4229470.2350372905
2021-11-30T00:00:00,,1676864.9408743102,47783.265952519985,1724648.2068268303,2022555.2493009,474184.251,94634.028,4316021.73512773
2021-12-31T00:00:00,,1643108.70759225,29845.551375309966,1672954.25896756,2034085.1672999999,480749.659,95072.695,4282861.78026756
2022-01-31T00:00:00,,1611231.59162934,45754.34517411003,1656985.93680345,2054549.01619318,465187.345,94363.756,4271086.05399663
2022-02-28T00:00:00,,1591321.3322881903,49329.38447393,1640650.7167621201,2090267.34385913,473133.596,95219.513,4299271.169621251
2022-03-31T00:00:00,,1628905.3122293104,54225.52799475996,1683130.8402240702,2134096.20230738,477869.92000000004,96224.634,4391321.59653145
2022-04-30T00:00:00,,1632950.8285589302,34707.88969911999,1667658.7182580503,2152621.96226123,477106.20200000005,96725.247,4394112.129519282
2022-05-31T00:00:00,,1633240.2340412403,33459.25622782999,1666699.4902690703,2168887.15741825,484857.992,94981.736,4415426.375687321
2022-06-30T00:00:00,,1682884.19080331,29832.322509790043,1712716.5133131,2206231.8190868604,492667.81,102054.099,4513670.241399961
2022-07-31T00:00:00,,1673554.65304628,36988.222374920035,1710542.8754212,2213135.72713198,493409.636,111069.102,4528157.340553179
2022-08-31T00:00:00,,1649585.06844222,57785.20974904005,1707370.27819126,2241433.1575575005,494833.86899999995,117111.098,4560748.402748761
2022-09-30T00:00:00,,1686407.68889726,40049.63292060999,1726457.32181787,2264444.57588034,498594.574,120248.821,4609745.292698209
2022-10-31T00:00:00,,1670523.7990629196,86165.31870678999,1756689.1177697096,2282004.14727913,500296.33100000006,121134.792,4660124.38804884
2022-11-30T00:00:00,,1698260.8428006296,87789.65011414996,1786050.4929147796,2295845.79347744,507571.00200000004,125538.578,4715005.866392219
2022-12-31T00:00:00,,1651737.7034129698,84360.03963433002,1736097.7430472998,2289580.61282591,510298.34956699994,127861.622412,4663838.32785221
2023-01-31T00:00:00,,1642358.31531423,79936.57371330005,1722294.88902753,2299870.16311434,511265.68442599993,135425.44524,4668856.181807871
2023-02-28T00:00:00,,1625113.1552597499,75084.81811999,1700197.9733797398,2321190.2853450184,516001.76995,138156.146584,4675546.1752587585
2023-03-31T00:00:00,,1571511.0925507199,97066.56620786004,1668577.65875858,2354607.5517383097,518351.79865099996,129971.894251,4671508.903398889
2023-04-30T00:00:00,,1538495.06905422,121533.92647718007,1660028.9955314002,2360881.50690694,519446.718647,130568.950232,4670926.171317341
2023-05-31T00:00:00,,1585784.7978852899,79908.35454048004,1665693.15242577,2392284.3358295397,528341.64228,134568.033489,4720887.164024309
2023-06-30T00:00:00,,1588626.68209958,78116.18301701004,1666742.8651165902,2416969.74308717,530723.192267,131354.770359,4745790.570829761
2023-07-31T00:00:00,,1527173.3278153501,72544.96399326701,1599718.291808617,2433727.6031919913,533430.504068,133931.984405,4700808.383473608
2023-08-31T00:00:00,,1528135.6181633517,66630.10716938498,1594765.7253327367,2454454.314788469,536338.3050260001,139999.75990900001,4725558.105056207
2023-09-30T00:00:00,,1576147.2463306799,46939.46411741001,1623086.71044809,2475795.5239289906,532375.4333229999,145053.42283000002,4776311.09053008
2023-10-31T00:00:00,,1524486.55181142,71161.40940499995,1595647.96121642,2497235.8965559,522407.9686999999,145679.20462,4760971.03109232
2023-11-30T00:00:00,,1568544.6491637202,35902.06827513996,1604446.71743886,2521368.71760779,532014.9630560001,146648.49850100002,4804478.89660365
2023-12-31T00:00:00,,1564176.81090822,42877.52420015249,1607054.3351083724,2518786.4667753,540315.3102610001,146702.697123,4812858.809267673
2024-01-31T00:00:00,,1572433.90091795,70380.58846993,1642814.48938788,2548437.0862491797,542456.706733,156277.881291,4889986.16366106
2024-02-29T00:00:00,,1545438.5436344198,59408.66846198501,1604847.2120964047,2578432.6393151055,546879.32437,156343.095295,4886502.27107651
2024-03-31T00:00:00,,1628438.7238645798,37146.73815804825,1665585.4620226282,2599215.7824957985,550734.056616,157468.94801,4973004.249144427
2024-04-30T00:00:00,,1588702.4116647001,37614.01926910691,1626316.430933807,2614489.1058833,552208.79068,157732.179484,4950746.5069811065
2024-05-31T00:00:00,,1667648.96236498,11813.748248077929,1679462.710613058,2651883.7660850403,556922.242673,162619.73725,5050888.456621097
2024-06-30T00:00:00,,1669880.08735952,15186.790106525877,1685066.8774660458,2689860.5116929854,555820.365686,159036.109554,5089783.864399032
2024-07-31T00:00:00,,1612662.8171606802,-14088.11605690018,1598574.70110378,2719040.81653597,561319.4519999998,168733.282,5047668.25163975
2024-08-31T00:00:00,,1674758.0855270799,-19703.292303813854,1655054.793223266,2746986.41695021,570241.735,173342.926,5145625.871173476
2024-09-30T00:00:00,,1625561.70403321,-15913.224476175557,1609648.4795570343,2775066.25605795,574696.412,173395.177,5132806.324614984
2024-10-31T00:00:00,,1546374.63816547,-13330.06716147007,1533044.571004,2799983.413513,580201.9319999999,179803.058,5093032.974517
2024-11-30T00:00:00,,1603074.76756648,-49483.688044119976,1553591.07952236,2841852.8186350004,586639.217,192743.268,5174826.383157361
2024-12-31T00:00:00,,1554543.06491421,-34230.874416549574,1520312.1904976605,2855346.62287369,591897.562,203096.884,5170653.25937135
2025-01-31T00:00:00,,1543582.3286734598,-10773.032940597623,1532809.2957328623,2899139.36153444,599012.15,214008.819,5244969.626267303
2025-02-28T00:00:00,,1537926.9066559998,-52470.64860296855,1485456.2580530313,2933265.04333437,606509.4600000001,214836.507,5240067.2683874015
2025-03-31T00:00:00,,1617132.16618673,-104115.54269123997,1513016.6234954898,2987805.47232518,612575.027,217326.92,5330724.04282067
2025-04-30T00:00:00,,1559496.6292703,-89642.3803799274,1469854.2488903727,3012641.02757353,617029.135,218199.314,5317723.725463903
2025-05-31T00:00:00,,1633113.10047582,-129860.93751878837,1503252.1629570317,3049395.23741537,622897.349,223586.22,5399130.969372402
2025-06-30T00:00:00,,1627384.2172197697,-123464.98047882761,1503919.236740942,3057465.1529117404,636348.9480000001,226836.228,5424569.565652682
2025-07-31T00:00:00,,1577340.7659834898,-144561.2540910386,1432779.5118924512,3091967.3063100297,631532.5920000001,228880.028,5385159.438202481
2025-08-31T00:00:00,,1623701.84743577,-158330.0832044175,1465371.7642313526,3109253.54417769,637378.2590000001,233966.536,5445970.103409043
2025-09-30T00:00:00,,1600378.4728612697,-146507.03354938194,1453871.4393118878,3135018.0171850002,643074.0160000001,234624.221,5466587.693496888
2025-10-31T00:00:00,,1570195.88378594,-154981.25516261248,1415214.6286233275,3135061.8408283503,648408.304,246853.508,5445538.281451679
2025-11-30T00:00:00,,1650807.7407050298,-196690.7138003516,1454117.0269046782,3142344.6675937707,649132.005,246453.667,5492047.36649845
2025-12-31T00:00:00,,1637194.44712564,-204788.83918597642,1432405.6079396636,3147419.9441207866,653264.121,256596.136,5489685.809060451
2026-01-31T00:00:00,,1695724.9587533278,-212893.5087539557,1482831.449999372,3177445.676625485,652991.7330000001,254346.396,5567615.255624857
2026-02-28T00:00:00,,1698250.2831603556,-230827.7963788074,1467422.4867815482,3191283.6576061724,658151.706,251884.16836640998,5568742.018754131
,,,,,,,,
* The number has been modified in accordance with international methodology to exclude central bank bills.,,,,,,,,* أرقام معدلة طبقاً للمنهجيات الدولية باستبعاد أذونات البنك المركزي.
