,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
Table 6a: Currency Outside Banks,,,,جدول 6a: الـنـقــد الـمـتــداول خـارج الـمـصـارف
(Million ﷼),,,,(مليون ﷼)
,,النقد خارج ,النقد لدى ,النقد المتداول
نهاية الفترة,,البنك المركزي,المصارف,خارج المصارف
,,Currency Outside,Currency Held by,Currency
End of Period,,SAMA,Commercial Banks,Outside Banks
,,1,2, 3=1-2 
1993,,45133.561617,2510.764,42622.797617
1994,,47407.559411,2442.481,44965.078411
1995,,45551.088,2463.885,43087.203
1996,,45171.226,2133.591,43037.635
1997,,48738.76,2915.557,45823.203
1998,,47676.283,2657.234,45019.049
1999,,60527.944,5467.659,55060.285
2000,,56990.46,5971.003,51019.457
2001,,52656.63,3453.207,49203.422999999995
2002,,57220.77,4891.561,52329.208999999995
2003,,59701.909999999996,4257.252,55444.657999999996
2004,,64607.15,4474.007,60133.143000000004
2005,,71489,7200.962,64288.038
2006,,81542.12,12218.019,69324.101
2007,,82210.94,10019.267,72191.67300000001
2008,,94013.18999999999,11006.798,83006.39199999999
2009,,99251.62,10856.269,88395.351
2010,,110969.38268499,15449.535,95519.84768499
2011,,139846.05340616,19944.527,119901.52640616
2012,,152811.91728840998,19691.189,133120.72828841
2013,,166388.07417765,23248.037,143140.03717765
2014,,180892.09211176,27141.949,153750.14311176
2015-12-31T00:00:00,,197912.09247888,29420.302,168491.79047888
2016-12-31T00:00:00,,199989.45820095,29666.38936651,170323.06883444
2017-12-31T00:00:00,,203356.95356887998,31310.60287368,172046.35069519997
2018-12-31T00:00:00,,210865.37290428,30732.92690745,180132.44599683
2019-12-31T00:00:00,,218479.70989933,29319.44217519,189160.26772414
2020-12-31T00:00:00,,233667.98094685999,27384.42056186,206283.560385
2021-12-31T00:00:00,,227497.13381994,23131.09189783,204366.04192211002
2022-12-31T00:00:00,,222448.96383092002,22483.25877809,199965.70505283002
2023-12-31T00:00:00,,234754.67687044002,22869.79649194,211884.8803785
2024-12-31T00:00:00,,250425.60427026,21337.40795991,229088.19631035
2025-12-31T00:00:00,,264971.19719047,23005.439478,241965.75771247002
,,,,
Q1,1993,49579.1615,3006.536,46572.6255
Q2,1993,50494.406353,2614.212,47880.194353
Q3,1993,45619.394902,2308.089,43311.305902
Q4,1993,45133.561617,2510.764,42622.797617
Q1,1994,47455.814069,2666.184,44789.630069
Q2,1994,47372.139395,2448.443,44923.696395
Q3,1994,45228.269086,3083.59,42144.679086000004
Q4,1994,47407.559410999995,2442.481,44965.078410999995
Q1,1995,49133.969507,2687.689,46446.280507
Q2,1995,49599.29462,2723.564,46875.73062
Q3,1995,45525.725,2809.892,42715.833
Q4,1995,45551.087999999996,2463.885,43087.202999999994
Q1,1996,47494.7,2486.502,45008.198
Q2,1996,47453.97,2468.604,44985.366
Q3,1996,43696.8248954,2348.012,41348.8128954
Q4,1996,45171.226,2133.591,43037.635
Q1,1997,48436.59,2961.02,45475.57
Q2,1997,50322.137,2954.533,47367.604
Q3,1997,47372.337,2806.494,44565.843
Q4,1997,48738.76,2915.557,45823.203
Q1,1998,52202.86,3318.064,48884.796
Q2,1998,50016.814,3012.16,47004.654
Q3,1998,45740.203,2529.997,43210.206
Q4,1998,47676.283,2657.234,45019.049
Q1,1999,51853.32,4610.477,47242.843
Q2,1999,47148.464,2704.695,44443.769
Q3,1999,44164.54,2417.849,41746.691
Q4,1999,60527.944,5467.659,55060.285
Q1,2000,51821.91,4131.558,47690.352000000006
Q2,2000,52101.816,3803.231,48298.585
Q3,2000,49546.46000000001,3420.591,46125.869000000006
Q4,2000,56990.46,5971.003,51019.457
Q1,2001,53802.23,3706.646,50095.584
Q2,2001,53016.2,3744.161,49272.039
Q3,2001,49769.45,3240.852,46528.598
Q4,2001,52656.63,3453.207,49203.422999999995
Q1,2002,52281.200000000004,3127.047,49154.153000000006
Q2,2002,52943.880000000005,3686.427,49257.453
Q3,2002,51430.78,4433.919,46996.861
Q4,2002,57220.77,4891.561,52329.208999999995
Q1,2003,60134.21000000001,4589.811,55544.399000000005
Q2,2003,59138.98,4249.461,54889.519
Q3,2003,56336.19,4103.033,52233.157
Q4,2003,59701.909999999996,4257.252,55444.657999999996
Q1,2004,60719.340000000004,4017.858,56701.482
Q2,2004,61781.17,4708.516,57072.653999999995
Q3,2004,60130.76,4092.484,56038.276000000005
Q4,2004,64607.15,4474.007,60133.143000000004
Q1,2005,64067.399999999994,5323.527,58743.87299999999
Q2,2005,67544.93999999999,7388.543,60156.39699999999
Q3,2005,65499.56,5907.83,59591.729999999996
Q4,2005,71489,7200.962,64288.038
Q1,2006,67777.93000000001,6746.034,61031.89600000001
Q2,2006,70315.12,6803.069,63512.05099999999
Q3,2006,70367.39000000001,8295.648,62071.74200000001
Q4,2006,81542.12,12218.019,69324.101
Q1,2007,73295.12000000001,8227.206,65067.91400000001
Q2,2007,75151.95999999999,8141.52,67010.43999999999
Q3,2007,79528.81,10425.239,69103.571
Q4,2007,82210.94,10019.267,72191.67300000001
Q1,2008,82501.37,10103.029,72398.341
Q2,2008,88686.87700000001,11089.565,77597.312
Q3,2008,100522.12,16196.105,84326.015
Q4,2008,94013.18999999999,11006.798,83006.39199999999
Q1,2009,93487.25,10626.866,82860.384
Q2,2009,95748.14,10289.401,85458.739
Q3,2009,101994.76000000001,13425.952,88568.808
Q4,2009,99251.62,10856.269,88395.351
Q1,2010,101087.05305877999,11264.623,89822.43005877998
Q2,2010,104108.06534878,11685.507,92422.55834878
Q3,2010,109162.06355183,13696.426,95465.63755183
Q4,2010,110969.38268499,15449.535,95519.84768499
Q1,2011,121528.98905395,15300.908,106228.08105395001
Q2,2011,133182.65277308002,16332.675,116849.97777308001
Q3,2011,136913.99373214,16208.894,120705.09973213999
Q4,2011,139846.05340616,19944.527,119901.52640616
Q1,2012,140758.68251341,18065.818,122692.86451341
Q2,2012,145731.07944218,20125.321,125605.75844218
Q3,2012,149801.40003666,19658.181,130143.21903666
Q4,2012,152811.91728840998,19691.189,133120.72828841
Q1,2013,156321.35102887,21015.616,135305.73502887
Q2,2013,161366.73646035,22523.824,138842.91246035
Q3,2013,163966.97207018,24923.766,139043.20607018
Q4,2013,166388.07417765,23248.037,143140.03717765
Q1,2014,171540.29054123,24883.577,146656.71354123
Q2,2014,178552.08554171,27057.609,151494.47654171
Q3,2014,190634.62083291,32600.768,158033.85283291
Q4,2014,180892.09211176,27141.949,153750.14311176
Q1,2015,193987.54975913,27398.172,166589.37775913
Q2,2015,205907.97269360002,31891.409,174016.5636936
Q3,2015,212283.27031435,37137.404,175145.86631435
Q4,2015,197912.09247888,29420.302,168491.79047888
Q1,2016,199746.79123285,30513.258229249997,169233.5330036
Q2,2016,224538.17581627,42736.51633767,181801.6594786
Q3,2016,207661.16759418,34193.09019855,173468.07739563
Q4,2016,199989.45820095,29666.38936651,170323.06883444
Q1,2017,199653.96949416999,29890.99989309,169762.96960108
Q2,2017,223393.6785406,39117.479568920004,184276.19897168
Q3,2017,203306.51374805998,32696.98594111,170609.52780694998
Q4,2017,203356.95356887998,31310.60287368,172046.35069519997
Q1,2018,212506.41110686,31684.78249323,180821.62861363002
Q2,2018,225924.86924195001,36062.97439868,189861.89484327
Q3,2018,211453.89576752,32456.172217080002,178997.72355044002
Q4,2018,210865.37290428,30732.92690745,180132.44599683
Q1,2019,214560.03433168,29840.92620551,184719.10812617
Q2,2019,223889.13971398,33079.15777897,190809.98193501
Q3,2019,217929.10353444,29715.40181661,188213.70171782997
Q4,2019,218479.70989933,29319.44217519,189160.26772414
Q1,2020,232713.54125639002,34158.62720782,198554.91404857003
Q2,2020,240832.41899185002,32247.600741590002,208584.81825026002
Q3,2020,236065.85045426,29134.69716598,206931.15328828
Q4,2020,233667.98094685999,27384.42056186,206283.560385
Q1,2021,233244.07252723002,26273.62927201,206970.44325522002
Q2,2021,236044.32148699003,27396.168902139998,208648.15258485003
Q3,2021,228857.69903221,24443.10816692,204414.59086529
Q4,2021,227497.13381994,23131.09189783,204366.04192211002
Q1,2022,229242.24229129002,23870.86256225,205371.37972904003
Q2,2022,231592.14596629998,25170.99891584,206421.14705046
Q3,2022,222718.84711063,23313.08823941,199405.75887122002
Q4,2022,222448.96383092002,22483.25877809,199965.70505283002
Q1,2023,231833.43685208,24280.73573222,207552.70111986
Q2,2023,246943.52030888002,26102.76491915,220840.75538973
Q3,2023,231662.00540782002,23684.37537401,207977.63003381
Q4,2023,234754.67687044002,22869.79649194,211884.8803785
Q1,2024,252186.23435729,24695.46430683,227490.77005046
Q2,2024,254721.73816811,25534.70425318,229187.03391492998
Q3,2024,246391.87278906,21610.20132737,224781.67146168998
Q4,2024,250425.60427026,21337.40795991,229088.19631035
Q1,2025,275627.15386659,24092.45050285,251534.70336374
Q2,2025,267888.96322412,23577.881872230002,244311.08135188997
Q3,2025,259609.70394848002,22268.827325,237340.87662348003
Q4,2025,264971.19719047,23005.439478,241965.75771247002
,,,,
1993-01-31T00:00:00,,46552.25,2564.87,43987.38
1993-02-28T00:00:00,,47713.967,2375.391,45338.575999999994
1993-03-31T00:00:00,,49579.1615,3006.536,46572.6255
1993-04-30T00:00:00,,49023.339533,2429.201,46594.138533
1993-05-31T00:00:00,,51645.8067,2703.679,48942.1277
1993-06-30T00:00:00,,50494.406353,2614.212,47880.194353
1993-07-31T00:00:00,,49383.1034,2833.175,46549.9284
1993-08-31T00:00:00,,46947.395395,2459.133,44488.262395
1993-09-30T00:00:00,,45619.394902,2308.089,43311.305902
1993-10-31T00:00:00,,45887.515706,2479.645,43407.870706
1993-11-30T00:00:00,,45249.58423,2413.246,42836.33823
1993-12-31T00:00:00,,45133.561617,2510.764,42622.797617
1994-01-31T00:00:00,,45248.277467,2689.97,42558.307467
1994-02-28T00:00:00,,49190.86,2887.496,46303.364
1994-03-31T00:00:00,,47455.814069,2666.184,44789.630069
1994-04-30T00:00:00,,47221.675382999994,2652.887,44568.78838299999
1994-05-31T00:00:00,,48223.543188999996,2993.744,45229.799189
1994-06-30T00:00:00,,47372.139395,2448.443,44923.696395
1994-07-31T00:00:00,,47491.593086,3042.516,44449.077086
1994-08-31T00:00:00,,46052.129016,2966.041,43086.088016
1994-09-30T00:00:00,,45228.269086,3083.59,42144.679086000004
1994-10-31T00:00:00,,46624.01,2877.113,43746.897000000004
1994-11-30T00:00:00,,47214.200000000004,2500.886,44713.314000000006
1994-12-31T00:00:00,,47407.559410999995,2442.481,44965.078410999995
1995-01-31T00:00:00,,48000.08,2874.772,45125.308000000005
1995-02-28T00:00:00,,51115.5,3107.776,48007.724
1995-03-31T00:00:00,,49133.969507,2687.689,46446.280507
1995-04-30T00:00:00,,50891.459699,2765.508,48125.951699
1995-05-31T00:00:00,,49834.690454,2764.773,47069.917454
1995-06-30T00:00:00,,49599.29462,2723.564,46875.73062
