,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,Balance Sheet of Finance and Real Estate Refinance Companies,, المركز المالي  الموحـــــــد لشركات التمويل وإعادة التمويل العقاري,1,,
,,,,,,
2,Profitability Indicators for the Finance Companies ,,مؤشرات الربحية لقطاع شركات التمويل,2,,
,,,,,,
3,Finance Companies' Credit Classified by Activity,,القروض  من شركات التمويل  حسب النشاط,3,,
,,,,,,
4,Real Estate Loans by Finance companies,,القروض العقارية من شركات التمويل ,4,,
,,,,,,
5,Finance Companies' Credit to Non-Retail Classified by Economic Activity,,الإئتمان  الممنوح من شركات التمويل لغير الأفراد حسب النشاط الإقتصادي,5,,
,,,,,,
6,Finance Companies' Credit Classified by Sectors,,الإئتمان الممنوح من شركات التمويل حسب القطاعات,6,,
,,,,,,
7,Residential New Mortgages Finance For Individuals Provided by Finance Companies,,التمويل العقاري السكني الجديد للأفراد المقدم من شركات التمويل,7,,
