,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,
"Table 14: Credit Facilities Provided To Micro, Small And Medium Enterprises",,,,,,,,,,,,,,,,جدول 14: حجم التسهيلات المقدمة للمنشــآت الصغــيرة والمتـوسطـة ومتناهية الصغر,
(Million ﷼),,,,,,,,,,,,,,,,(مليون ﷼),
,,حجم التسهيلات المقدم من القطاع المصرفي,,,,,حجم التسهيلات المقدم من قطاع شركات التمويل,,,,,إجمالي حجم التسهيلات,,,,,
نهاية,, Credit Facilities Provided by Banks ,,,,, Credit Facilities Provided by Finance Companies ,,,,,Total Credit Facilities ,,,,,
الفترة,,متناهية,صغيرة,متوسطة,الإجمالي,نسبة من إجمالي,متناهية,صغيرة,متوسطة,الإجمالي,نسبة من إجمالي,متناهية,صغيرة,متوسطة,الإجمالي,نسبة من إجمالي,
End of,,الصغر,,,,تسهيلات المصارف,الصغر,,,,تسهيلات شركات التمويل,الصغر,,,,التسهيلات,
Period,,Micro,Small,Medium,Total,Percentage of Total,Micro,Small,Medium,Total,Percentage of Total Finance,Micro,Small,Medium,Total,Percentage of Total,
,,,,,,Banks' Credit Facilities,,,,,Companies' Credit Facilities,,,,,Credit Facilities,
2018,,3698,22308,74758,100764,0.05766734656035602,1207.47598814929,3212.64975425402,3334.53327452778,7754.65901693109,0.16267544639384518,4905.47598814929,25520.64975425402,78092.53327452778,108518.6590169311,0.06045602654854244,
2019,,3526,23008,81437,107971,0.05702504917090773,1687.68227444181,3810.18642368109,3882.5414648117,9380.4101629346,0.1902083678422101,5213.68227444181,26818.18642368109,85319.5414648117,117351.41016293461,0.060405958380406306,
2020,,7182,39915,123257,170354,0.0804882001446722,2514.33162163558,5180.69679129725,4191.95128877126,11886.979701704091,0.21962023365183872,9696.33162163558,45095.69679129725,127448.95128877126,182240.9797017041,0.08395748269479697,
2021,,9368,50587,128637,188592,0.07823050521793885,2938.27297551679,6769.33710693391,4934.20632538466,14641.816407835362,0.21508972275165594,12306.27297551679,57356.33710693391,133571.20632538467,203233.81640783537,0.08198757850822083,
2022,,15176.2505,65074.855038480004,132974.334514907,213225.44005338702,0.07741566590437893,3137.06843358759,7397.49936004495,5272.23445934151,15806.802252974048,0.209502806771358,18313.31893358759,72472.35439852496,138246.5689742485,229032.24230636106,0.08093749136260622,
2023,,22315,84090,151890,258295,0.08393824780024747,2575.42545850827,8184.67969989374,6521.15872406431,17281.26388246632,0.2039227939136446,24890.42545850827,92274.67969989374,158411.1587240643,275576.2638824663,0.08714841338430493,
2024,,39598.205383841596,113976.476318569,179926.536070125,333501.2177725356,0.09378817426642123,2587.5538104925,8274.03691595377,7355.61886133878,18217.20958778505,0.18929645165459127,42185.759194334096,122250.51323452276,187282.1549314638,351718.42736032064,0.09630488670623817,
2025,,80073.01017789639,154418.90706748198,212155.663500498,446647.58074587636,0.11285586960879512,3203.15,9095.32,8756.34,21054.809999999998,0.19623898143826252,83276.16017789638,163514.227067482,220912.003500498,467702.3907458764,0.11505669954256358,
,,,,,,,,,,,,,,,,,
Q1,2018,4217,22006,61621,87844,0.051068025395651626,1452.89382508271,2999.3722983862,3381.0785782467497,7833.3447017156595,0.1585480954957324,5669.8938250827105,25005.3722983862,65002.07857824675,95677.34470171564,0.054068934539996116,
Q2,2018,3685,20821,69095,93601,0.05405725387463933,1371.55248305238,2905.84362080052,3378.47914853092,7655.875252383819,0.15664483094218423,5056.55248305238,23726.84362080052,72473.47914853093,101256.87525238382,0.05687342072316518,
Q3,2018,3972,21804,73221,98997,0.05652081570572659,1392.4409621157201,2975.53361896353,3316.08765109934,7684.06223217859,0.15971639222631215,5364.44096211572,24779.53361896353,76537.08765109934,106681.06223217859,0.05927961766802201,
Q4,2018,3698,22308,74758,100764,0.05766734656035602,1207.47598814929,3212.64975425402,3334.53327452778,7754.65901693109,0.16267544639384515,4905.47598814929,25520.64975425402,78092.53327452778,108518.6590169311,0.06045602654854244,
Q1,2019,2865,22980,79174,105019,0.05925209178463223,1113.6874153581,3468.95638244422,3569.95535545642,8152.5991532587395,0.17123875653784446,3978.6874153581,26448.95638244422,82743.95535545642,113171.59915325874,0.062181529595137265,
Q2,2019,2613,23105,79439,105157,0.058768891837228554,1070.83186384216,3599.63880007838,3201.18936970599,7871.660033626529,0.16596000845006453,3683.8318638421597,26704.63880007838,82640.18936970599,113028.66003362653,0.06153690897462501,
Q3,2019,3050,22970,80837,106857,0.05898748012718601,1293.16513916937,3826.32604719684,3631.59096659329,8751.0821529595,0.1818166714282787,4343.16513916937,26796.32604719684,84468.59096659328,115608.0821529595,0.06216653570509741,
