,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
2014,,6024,646477,107316.89907038512,782,250912,320859.3350383632
2015-12-31T00:00:00,,5712.132,541651.89,94824.82022474271,949.071,215532.6,227098.49948001784
2016-12-31T00:00:00,,4911.705,410454.338,83566.56965351135,545.809,147625.873,270471.67232493416
2017-12-31T00:00:00,,4264.517,352416.638,82639.28552752867,495.393,128362.659,259112.7831842598
2018-12-31T00:00:00,,3367.653,285077.748,84651.75836109006,412.69,108690.128,263369.9096173884
2019-12-31T00:00:00,,2875.732,260473.04400000005,90576.2581492295,402.933,130818.51999999997,324665.6888366055
2020-12-31T00:00:00,,1882.364,183573.44499091,97522.81970485518,307.433,135381.36355499,440360.5454033562
2021-12-31T00:00:00,,1569.797,178531.80613966,113729.23132077589,326.401,185580.44468688,568565.7969395927
2022-12-31T00:00:00,,1217.0300000000002,151338.37270953998,124350.5687694962,286.46799999999996,178303.37493913,622419.8686733947
2023-12-31T00:00:00,,951.4309999999998,126119.55532176999,132557.75281840723,219.81399999999996,151206.23654919,687882.648735704
2024-12-31T00:00:00,,810.9660000000001,166398.87784325998,205186.01007102634,235.467,219419.48960499003,931848.1553890355
2025-12-31T00:00:00,,603.291,109430.41018911001,181389.09778052382,175.165,185501.98863894996,1059012.8658062397
,,,,,,,
Q1,1994,1301.273,103555.9,79580.45698327714,412.58799999999997,474588,1150270.9724955645
Q2,1994,1344.029,87261.40000000001,64925.23598821157,448.499,460962,1027788.2447898434
Q3,1994,1303.3039999999999,58663.6,45011.447827981814,442.164,499922.6,1130627.0976379805
Q4,1994,1513.8709999999999,61054.100000000006,40329.7903189902,444.539,543227.7,1222002.3440013137
Q1,1995,1392.068,53583,38491.654143332074,405.586,584347.7,1440749.1875952324
Q2,1995,1451.272,49374.3,34021.39640260406,421.43999999999994,657622.3,1560417.3785117697
Q3,1995,1420.079,52642.6,37070.19116542108,425.70000000000005,663662.5,1558991.073525957
Q4,1995,1558.311,72919.8,46794.12517783677,441.514,665677.2000000001,1507714.8176501766
