,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
2009,,88395.351,433162.212,521557.56299999997,323377.029,844934.592,184009.189,1028943.781
2010,,95519.84768499,530072.227,625592.07468499,298282.546,923874.62068499,156495.171,1080369.79168499
2011,,119901.52640616,642093.67,761995.19640616,316400.646,1078395.84240616,161149.603,1239545.4454061599
2012,,133120.72828841,756555.345,889676.07328841,329679.868,1219355.94128841,188717.559,1408073.50028841
2013,,143140.03717765,860270.196,1003410.23317765,350266.485,1353676.7181776501,207393.726,1561070.4441776501
2014,,153750.14311176,991384.41,1145134.55311176,403419.45,1548554.00311176,193335.18,1741889.1831117598
2015-12-31T00:00:00,,168491.79047888,980150.664,1148642.45447888,439377.329,1588019.7834788798,197562.28,1785582.0634788799
2016-12-31T00:00:00,,170323.06883444,976086.1988083251,1146409.267642765,496019.30788064003,1642428.575523405,157279.10857184482,1799707.68409525
2017-12-31T00:00:00,,172046.35069519997,1002467.74800831,1174514.09870351,454152.05919544,1628666.15789895,176505.21473533998,1805171.3726342898
2018-12-31T00:00:00,,180132.44599683,1040664.95184748,1220797.39784431,443022.41314937995,1663819.8109936898,189825.56086021,1853645.3718539
