,,,,,,,
القائمة الرئيسية   Main List,,,,,,, الأرقام القياسية للأسعار       Price Indices
,,,,,,,
Table 2: Wholesale Price Indices by Principal Groups,,,,,,,جدول 2: الأرقام القياسية لأسعار الجملة حسب الأبواب الرئيسة
 ( 2014=100 ),,,,,,, ( 2014=100 )
متوسط,,الرقم القياسي,منتجات الزراعة,الخامات والمعـــــادن,المنتجات الغذائية والمشروبات ,سلع أخرى قابلة للنقل فيما عدا,المنتجات المعدنية
 الفترة ,,العــام,وصيد الأسماك ,,والتبغ والمنسوجات,المنتجات المعدنية والآلات والمعدات ,والآلات والمعدات
Period,,General ,Agriculture and fishery products,Ores and Minerals ,"Food products,beverages and tobacco and textiles","Other transportable goods,except metal products,machinery and equipment","Metal products, machinery and equipment"
Average,,Index,,,,,
2015-12-31T00:00:00,,99.41666666666667,104.975,101.125,99.68333333333332,97.39999999999999,99.61666666666667
2016-12-31T00:00:00,,102.03333333333332,104.23333333333335,99.90000000000002,98.40833333333332,109.33333333333334,97.33333333333334
2017-01-01T00:00:00,,100.70833333333333,101.06666666666666,92.95833333333333,100.63333333333334,106.64999999999999,95.75833333333333
2018-01-01T00:00:00,,116.83333333333334,101.9,98.7166666666667,108.06666666666668,143.91666666666663,101.13333333333333
2019-12-31T00:00:00,,119.09166666666665,100.35,97.31666666666666,107.4,145.6,106.06666666666666
2020-12-31T00:00:00,,123.22316666666666,112.97733333333333,100.372,114.71249999999999,139.53533333333334,115.68233333333335
2021-12-31T00:00:00,,138.15324999999999,122.34341666666667,109.74216666666666,121.46274999999999,160.33808333333332,130.4598333333333
2022-12-31T00:00:00,,148.74375131658334,139.04780921449998,116.06409396708335,130.41102909808333,174.85151600925,137.16326875841665
2023-12-31T00:00:00,,150.05905118541668,139.08087722025,116.037165562,135.19419285491668,177.53742624041664,136.103224279
2024-12-31T00:00:00,,154.45266658600002,139.77728649300002,112.72514877124998,136.55231962508333,190.16640348641667,135.7473908053333
2025-12-31T00:00:00,,157.63801201791662,145.50773740475003,111.30969220583334,136.89468385774998,197.86580327708336,135.85079246141666
,,,,,,,
Q1,2015,99.76666666666665,101.26666666666667,100.2,99.73333333333333,99,100
Q2,2015,99.53333333333335,103.66666666666667,101.10000000000001,99.66666666666667,97.83333333333333,99.86666666666667
Q3,2015,99.56666666666666,107,102.13333333333333,99.66666666666667,97.10000000000001,99.73333333333335
Q4,2015,98.8,107.96666666666665,101.06666666666666,99.66666666666667,95.66666666666667,98.86666666666667
Q1,2016,103,106.60000000000001,103.03333333333335,99.76666666666667,110.23333333333333,97.83333333333333
Q2,2016,102.83333333333333,105.73333333333333,99.5,98.43333333333334,110.5,98
Q3,2016,102.03333333333335,104.16666666666667,100.2,97.89999999999999,109.33333333333333,97.53333333333335
Q4,2016,100.26666666666667,100.43333333333334,96.86666666666667,97.53333333333335,107.26666666666665,95.96666666666668
Q1,2017,100.5,100.83333333333333,95.56666666666666,98.06666666666666,107.93333333333334,95.43333333333332
Q2,2017,100.76666666666665,104.3,92.7,99.13333333333334,106.73333333333335,95.73333333333333
Q3,2017,100.89999999999999,101.60000000000001,91.33333333333333,103.09999999999998,105.93333333333334,95.63333333333333
Q4,2017,100.66666666666667,97.53333333333335,92.23333333333333,102.23333333333335,106,96.23333333333335
Q1,2018,117.06666666666666,101.33333333333333,98.2,108.2,143.89999999999998,101.83333333333333
Q2,2018,116.7,101.66666666666667,98.90000000000002,108.13333333333333,143.16666666666666,101.39999999999999
Q3,2018,116.7,102.90000000000002,99.60000000000001,108.16666666666667,143.5666666666667,100.83333333333333
Q4,2018,116.86666666666667,101.7,98.16666666666667,107.76666666666665,145.03333333333333,100.46666666666665
Q1,2019,116.7,99.06666666666668,98.10000000000001,107.43333333333334,143.03333333333333,102.53333333333335
Q2,2019,118.83333333333333,99.7,97.83333333333333,107.63333333333333,144.5666666666667,106.26666666666665
Q3,2019,120,101.56666666666668,97.3,107.36666666666667,146.9,107.03333333333335
Q4,2019,120.83333333333333,101.06666666666666,96.03333333333335,107.16666666666667,147.9,108.43333333333332
Q1,2020,121.40000000000002,103.60000000000001,95.33333333333333,108.5,147.43333333333337,109.23333333333333
Q2,2020,117.419,112.50333333333333,94.36433333333333,109.593,132.7446666666667,109.29133333333334
Q3,2020,126.65866666666666,117.79599999999999,102.88233333333335,120.41966666666667,138.86800000000002,121.29733333333333
Q4,2020,127.415,118.00999999999999,108.908,120.33733333333333,139.09533333333334,122.90733333333333
Q1,2021,130.29133333333334,116.91300000000001,107.97166666666668,120.455,145.00866666666664,125.33033333333333
Q2,2021,137.15133333333333,120.452,108.43133333333333,120.80000000000001,159.47366666666665,129.393
Q3,2021,141.77333333333334,124.17966666666666,110.22433333333333,121.76466666666666,167.37466666666668,133.06066666666666
Q4,2021,143.397,127.829,112.34133333333334,122.83133333333332,169.49533333333332,134.05533333333332
Q1,2022,145.88966666666667,132.999,114.02633333333334,125.97700000000002,171.21566666666664,136.347
Q2,2022,150.390800493,141.347416033,116.57727384133334,130.723698994,176.81826182966665,138.99446506833334
Q3,2022,149.79815422766669,142.6555092,117.07136225266667,132.494188734,175.57429598566668,137.49436906066668
Q4,2022,148.896383879,139.189311625,116.581406441,132.44922866433333,175.797839555,135.81724090466665
Q1,2023,149.49642200000002,138.8752298183333,116.04373952933334,133.92342551866668,176.20137429366665,136.419673522
Q2,2023,149.2856561433333,139.79896318566668,116.28739622366668,134.245067735,174.86745000533335,136.67629793133332
Q3,2023,149.42582080233333,139.46736674299999,116.64464129166667,135.935086679,175.224753072,136.05635688633333
Q4,2023,152.02830579599998,138.181949134,115.17288520333334,136.67319148699997,183.8561275906667,135.26056877633332
Q1,2024,155.07155666399998,138.47831622033334,113.78503144933332,136.95590896366667,192.1507885786667,135.71259761299999
Q2,2024,154.14136622833334,139.71362729666666,113.00768436166668,136.71569201,188.890716764,135.98535666666666
Q3,2024,154.07342799800003,139.356018962,112.124678505,136.18900828266666,189.42167162633334,135.68408142833331
Q4,2024,154.52431545366665,141.56118349300002,111.983200769,136.348669244,190.2024369766667,135.60752751333334
Q1,2025,157.10590095733332,144.06746997233336,111.488376668,136.92758622066665,197.31805230266664,135.27342938233332
Q2,2025,157.30757200833332,145.858706082,111.38894172066666,136.93037547566666,197.006162636,135.65536150033336
Q3,2025,157.351322291,145.61923218200002,111.27586992266667,136.80534458033333,197.14066986666668,135.7597600626667
Q4,2025,158.787252815,146.4855413826667,111.08558051199999,136.91542915433334,199.998328303,136.71461890033333
,,,,,,,
2015-01-31T00:00:00,,99.9,101,100.2,99.8,99.2,100.2
2015-02-28T00:00:00,,99.8,101,100.2,99.7,99.4,99.9
2015-03-31T00:00:00,,99.6,101.8,100.2,99.7,98.4,99.9
2015-04-30T00:00:00,,99.4,102.2,100.3,99.6,97.9,99.8
2015-05-31T00:00:00,,99.4,103.1,101.3,99.7,97.5,99.9
2015-06-30T00:00:00,,99.8,105.7,101.7,99.7,98.1,99.9
2015-07-31T00:00:00,,99.7,105.8,102,99.6,97.5,100
2015-08-31T00:00:00,,99.5,107.3,101.4,99.6,96.8,99.8
2015-09-30T00:00:00,,99.5,107.9,103,99.8,97,99.4
2015-10-31T00:00:00,,99.4,110.3,103.1,99.8,96.3,99.3
2015-11-30T00:00:00,,99,106.9,100,99.6,96.5,98.9
2015-12-31T00:00:00,,98,106.7,100.1,99.6,94.2,98.4
2016-01-31T00:00:00,,103.2,107.1,102.9,99.9,110.3,98
2016-02-29T00:00:00,,102.8,106.5,103.1,99.7,109.9,97.7
2016-03-31T00:00:00,,103,106.2,103.1,99.7,110.5,97.8
2016-04-30T00:00:00,,102.8,106.1,99.4,98.5,110.1,98.1
2016-05-31T00:00:00,,102.8,104.6,99.4,98.5,110.7,98
2016-06-30T00:00:00,,102.9,106.5,99.7,98.3,110.7,97.9
2016-07-31T00:00:00,,102.6,106.2,100.2,98,110.1,97.9
2016-08-31T00:00:00,,102,102.8,100.2,97.9,109.4,97.7
2016-09-30T00:00:00,,101.5,103.5,100.2,97.8,108.5,97
2016-10-31T00:00:00,,100.7,102.2,98,97.4,107.8,96.4
2016-11-30T00:00:00,,100.1,99.4,96.8,97.5,107.4,95.7
2016-12-31T00:00:00,,100,99.7,95.8,97.7,106.6,95.8
2017-01-31T00:00:00,,100.1,101.3,95.5,98,107.1,95.3
2017-02-28T00:00:00,,100.8,100.4,95.1,98.2,109,95.4
2017-03-31T00:00:00,,100.6,100.8,96.1,98,107.7,95.6
2017-04-30T00:00:00,,100.7,102.8,94,97.9,107.1,96
2017-05-31T00:00:00,,100.5,104.6,94.3,98.2,106.7,95.6
2017-06-30T00:00:00,,101.1,105.5,89.8,101.3,106.4,95.6
2017-07-31T00:00:00,,101.2,102.9,91.5,103.5,106.2,95.8
2017-08-31T00:00:00,,100.8,101.4,91.2,103.2,105.8,95.5
2017-09-30T00:00:00,,100.7,100.5,91.3,102.6,105.8,95.6
2017-10-31T00:00:00,,100.4,97.7,91.7,102.3,105.6,95.9
2017-11-30T00:00:00,,100.6,97.9,91.3,102,105.9,96.2
2017-12-31T00:00:00,,101,97,93.7,102.4,106.5,96.6
2018-01-31T00:00:00,,117.1,102.5,98.2,108,144.1,101.6
2018-02-28T00:00:00,,117,101.5,98.6,108.4,143.7,101.7
2018-03-31T00:00:00,,117.1,100,97.8,108.2,143.9,102.2
2018-04-30T00:00:00,,116.9,101.1,98.1,108.3,143.7,101.6
2018-05-31T00:00:00,,116.5,101.3,98.7,108,142.7,101.3
2018-06-30T00:00:00,,116.7,102.6,99.9,108.1,143.1,101.3
