السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,التوفيق,شقة,14,8294290,2192.16,3851.73309864599,4448.68,3438.68
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الحمراء,شقة,8,10153500,1717.5,5687.22712799133,5830.74,5469.93
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السلامة,شقة,217,169936628.07,33901.225,4957.88530001045,5917.86,4097.48
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الورود,شقة,47,38739434.87,10472.98,3896.48212120435,4106.15,3513.96
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصالحية,شقة,11,7716752,2137.25,3616.14464737823,4018.94,3325.63
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصفا,شقة,296,194992859.99,51991.5313,3763.13119886912,4303.8,3168.88
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الزهراء,شقة,96,93983544.48,17215.779,5515.30901630455,6174.43,4930.32
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الشاطئ,شقة,10,19799191.34,1973.73,12110.6161440096,14199.13,10099.19
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الرغامة,شقة,74,35175139.66,12074.75,3189.21314077105,3728.05,2314.17
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الروابي,شقة,47,24729714.91,8094.93,3076.37072208767,3922.31,2244.95
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الروضة,شقة,92,86481366.06,15338,5588.10003057761,6346.35,5013.74
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النخيل,شقة,19,10261442.94,2949.52,3609.99431408859,3848.28,3312.96
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الراشدية,شقة,6,3858764,1045.04,4226.25217457076,4360.2,3805.06
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العوالي,شقة,3,1840000,614.62,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السنابل,شقة,1,750000,204.85,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الشرفية,شقة,13,8045000,2305.34,3905.09242491093,4070.73,3614.91
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصوارى,شقة,198,151568425.17,39354.25,3749.83729822763,4282.2,3409.24
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النسيم,شقة,24,11904205.44,3632.22,3578.60719514572,4584.61,2379.13
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الواحة,شقة,548,308815627.83,84924.6500000001,3605.31074583891,4057.01,3212.37
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الأمير فواز الجنوبى,شقة,2,900000,281.06,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الجامعة,شقة,74,30887588,9454.26,3294.58039733347,3851.15,2958.33
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السامر,شقة,12,5979338.95,1893.235,3320.34197746784,3642.69,3091.38
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفضيلة,شقة,3,1673000,451.92,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,المروة,شقة,407,251830756.65,66591.737,3832.04546816385,4384.43,3359.25
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفاروق,شقة,1,499348.73,174.32,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفيحاء,شقة,335,264309956.31,64914.382,3991.65949544531,4473.16,3471.78
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفيصلية,شقة,108,67005531.69,17655.31,3721.42543615273,4385.29,3267
