الرقم القياسي لأسعار العقار (2014 = 100): التغير السنوي حسب المنطقة الإدارية ،( 2019-الربع الثاني 2024 (%)),,,,,,,,,,,,,,,
السنة,الربع,المملكة,الرياض,مكة المكرمة,المدينة المنورة,القصيم,المنطقة الشرقية,عسير,تبوك,حائل,المنطقة الشمالية,جيزان,نجران,الباحة,الجوف
2019,الربع الأول,-4.812,-8.084,-3.25,-1.508,-4.927,-5.045,-1.705,-3.231,1.631,4.705,6.643,-1.354,-0.774,-3.275
2019,الربع الثاني,-3.799,-5.274,-3.716,-1.382,-2.009,-3.877,-2.052,-0.65,2.739,8.916,8.448,-1.066,-0.114,-2.72
2019,الربع الثالث,-2.693,-3.486,-3.207,-1.181,1.343,-2.211,-1.283,1.837,2.945,6.218,6.488,-1.598,-0.235,-1.847
2019,الربع الرابع,0.485,3.808,-2.023,-0.55,2.427,-0.121,0.008,4.354,6.34,3.567,3.544,-0.657,3.264,-0.698
2020,الربع الأول,1.198,6.937,-2.612,-0.069,3.559,-0.548,0.086,4.378,3.909,-0.09,5.947,-1.183,4.389,0.331
2020,الربع الثاني,0.684,5.103,-1.984,0.18,3.048,-1.931,-0.044,2.484,2.978,-2.76,4.808,-0.168,4.009,-1.653
2020,الربع الثالث,0.5,-1.807491560471874,4.965305577795576,0.32508910249487144,1.4551436163482236,-2.6241048670955394,-0.1471228652472263,-0.09156855749790793,2.6828091513974925,-2.399876533683141,3.376307300216979,0.17719748193051998,3.800321653348874,-1.6548491624119634
2020,الربع الرابع,-0.25,1.9,-1.5,0.2,0.1,-2.4,-0.3,-0.2,1,-2.4,0.5,-0.2,0.5,-0.4
2021,الربع الأول,0.2,1.4951404774844264,-0.20944522250402997,-0.12385167953647169,-0.6354751198483797,-0.6236751497923194,0.06339516318382721,0.5426090253178018,1.3092165745489268,-1.9347500478619821,2.7346943224301583,-0.14623303696771472,-0.11831143961846635,-2.2151105166998946
2021,الربع الثاني,0.387764426936045,1.7346667846712052,-0.4695013441369156,-0.2614955825540619,-1.6351489351231123,0.5513865021573423,0.7466729478271077,1.1644815397165047,0.180110497237564,-2.6836665917771256,0.9355082640164198,-0.9185969247986208,-0.3680099435799349,-0.527450574348606
2021,الربع الثالث,0.480518513000078,1.061832390328064,0.19831937046311054,-0.37786222561926763,-0.9990022449488691,1.089395223612712,0.60468186425895,0.29043124278385335,-2.432414712503004,-2.801120448179276,0.8484363894811509,-1.6675976353395754,-2.4204567636150784,-0.5604931366946744
2021,الربع الرابع,0.8622828784119179,1.6591808430776354,0.5769937989018104,-0.515658136956219,2.2409103386319913,1.1237069927814787,0.9776552763937474,-0.39062960996047025,-4.004605241720881,-1.0218155904461952,-1.3019641122413645,-1.006170242602721,-5.979446794504511,-0.12207798486716115
2022,الربع الأول,0.4267355346491968,0.4096829626678158,0.4943672478537451,-0.47014168949081636,2.3998304535367794,0.9913197869402239,0.938592580425663,-0.6280563247510855,-2.5233695949270327,-1.375762238886523,-4.363647937531823,-0.5623572139886335,-5.820002442300648,1.154015240328249
2022,الربع الثاني,0.7233273056058067,1.9176039271733032,0.2396621904363201,-0.6214664882827634,2.6704858157802676,0.34180467952738525,1.0427382399700775,-2.0135090917589764,-2.0350087687369722,-1.1439323106047397,-0.7288411318977808,-0.6012118359903695,-5.555215811939689,1.9764878765613503
2022,الربع الثالث,1.4915044794563,2.7352723347099612,1.211667533653909,-0.515452777177444,2.7652149812922744,0.8261201943231953,1.36612341976074,-0.7168543859857266,-0.16799569931008307,-0.7285953332713575,4.5830947451878785,-0.525450005325496,-3.7632526505300916,1.862131364014303
2022,الربع الرابع,1.62494618365213,4.139079064295274,0.8712426871091452,-0.3549322598796749,-0.6602230846208244,0.07236422508954377,0.8247110012014787,-0.8945073693189869,0.6460591523160844,-2.243563689570678,3.9675985111606167,-0.7885634687348642,-0.13743744003321012,0.24324422446238714
2023,الربع الأول,1.0335284465234622,3.008619086004842,0.3698950705820039,-0.21126302788673001,-2.2632367085063123,-0.1001123211407986,0.8461770927772818,1.2948821325238384,-0.27816099689310647,-1.1224834363829075,2.1621201868142776,-1.2524300441826313,-0.3980602665836841,0.4213296632984367
2023,الربع الثاني,0.7779772591262741,1.3388937664618084,0.7994939911448569,0.021713640508963294,-1.697062729188744,0.33206307973190974,0.3771576657873936,4.494985032618132,-0.24769753878717893,0.9002802428771588,-1.3864481699099827,-1.1469627385067014,1.9619523692355472,0.623243749549701
2023,الربع الثالث,0.675741489309885,1.882896312406828,0.21060021060020517,-0.026069104852112446,-1.5360286365753808,0.19077434818764516,0.2935839199232646,5.8957837734450464,-2.9762839641903582,1.2595254538856864,-4.246425337460778,-0.7483195526738484,1.960402213734497,0.8222203550551512
2023,الربع الرابع,0.21908589135276202,0.0420652853228205,0.4512330787595573,-0.08579123409062106,-1.3660765838257447,0.442450760500563,0.023139042506414853,4.890674126409152,-3.957145908513482,1.515781470878224,0.6539859409345041,-0.6758445081684528,1.625551804726058,1.1130695125190186
2024,الربع الأول,0.6145007635808213,0.2371750881881951,1.2647914159646945,-0.04559914013050559,0.25535625311410115,0.5059516535086601,-0.1383093981236101,3.1372916276456237,-3.7971408968720937,-0.3108918120046553,-1.4789558267819132,-0.37345487519687026,1.6845229571579239,-1.1456805558894985
2024,الربع الثاني,1.729361578360539,1.197266142035474,2.388243266986251,0.5720302188259865,2.43772462510843,1.8819765027722895,0.4587261704432706,3.2219406971170343,-0.5395155646854164,8.893543646063591,0.7324886026959945,6.631144105849245,3.3924352884395574,0.1658849784588199
