الرقم القياسي لأسعار العقار (2014 = 100): التغير الربعي حسب المنطقة الإدارية ،( 2018-الربع الثاني 2024 (%)),,,,,,,,,,,,,,,
السنة,الربع,المملكة,الرياض,مكة المكرمة,المدينة المنورة,القصيم,المنطقة الشرقية,عسير,تبوك,حائل,المنطقة الشمالية,جيزان,نجران,الباحة,الجوف
2018,الربع الثاني,-0.662,-1.309,-0.19,-0.297,-1.833,-0.713,0.166,-0.586,0.055,-0.978,0.296,-0.954,-0.206,-0.563
2018,الربع الثالث,-1.547,-2.261,-1.215,-0.386,-3.115,-1.811,-0.761,-0.607,1.208,1.606,0.438,0.368,0.206,-0.699
2018,الربع الرابع,-2.268,-4.294,-1.467,-0.517,0.197,-1.871,-1.12,-1.417,-0.936,0.773,4.385,-1.001,-0.147,-1.843
2019,الربع الأول,-0.414,-0.435,-0.412,-0.318,-0.235,-0.743,0.005,-0.658,1.311,3.27,1.417,0.235,-0.629,-0.203
2019,الربع الثاني,0.396,1.707,-0.671,-0.169,1.18,0.508,-0.188,2.065,1.146,3.004,1.993,-0.666,0.458,0.007
2019,الربع الثالث,-0.415,-0.416,-0.693,-0.183,0.199,-0.109,0.019,1.882,1.411,-0.911,-1.377,-0.171,0.085,0.192
2019,الربع الرابع,0.924,2.94,-0.262,0.119,1.269,0.227,0.173,1.019,2.33,-1.742,1.499,-0.055,3.356,-0.694
2020,الربع الأول,0.293,2.567,-1.012,0.165,0.867,-1.167,0.082,-0.636,-1.005,-0.377,3.771,-0.295,0.453,0.831
2020,الربع الثاني,-0.115,-0.038,-0.03,0.08,0.681,-0.89,-0.317,0.213,0.24,0.251,0.897,0.354,0.093,-1.97
2020,الربع الثالث,-0.6,-0.33757728243966767,-0.7219214216298724,-0.03874008630430126,-1.34970532869076,-0.8147168271786569,-0.08479566599929456,-0.6785912728906283,1.120441988950276,-0.5436980453830529,-2.7244247596413373,0.17369408857233282,-0.11576471735129701,0.19002838244428233
2020,الربع الرابع,0.1,-0.3,0.2,0,0,0.5,0.1,0.9,0.6,-1.7,-0.5,-0.4,0.1,0.6
2021,الربع الأول,0.9,2.1795834234601017,0.296739668006623,-0.1647091752699481,0.08484515758739519,0.5928608637412225,0.39695160017431874,0.1534194842744938,-0.6560297168427951,0.08850371255833522,5.246937704478711,-0.2535876221193831,-0.17188623812948833,-1.022554209877427
2021,الربع الثاني,-0.02951484965873874,0.1979926780066421,-0.29080426344336274,-0.05822855787272374,-0.3316129353978141,0.282353521404616,0.36370462491494493,0.833087845401522,-0.8768381348056664,-0.5144753614533784,-0.8699711424206384,-0.4217679104914822,-0.15752839174503208,-0.2784290738569837
2021,الربع الثالث,-0.4502343432852456,-0.9967066426396656,-0.0557943723767238,-0.1553666220706873,-0.7117126131985714,-0.2840175574490047,-0.22561488824463538,-1.5367176179124016,-1.516605450955737,-0.6637346908150619,-2.8083393980906806,-0.583563739043484,-2.1734078594929116,0.15674748959098395
2021,الربع الرابع,0.45721346926166,0.293737368665518,0.6280370985954846,-0.13831856494488193,3.2288136660829707,0.530196542625319,0.44053379573760765,0.1744662164567785,-1.0146940238329876,0.06623593938830652,-2.6659472316433863,0.2508905430833579,-3.573214642928562,1.0331588986159232
2022,الربع الأول,0.45144227812288307,0.923689249909259,0.21434335283436212,-0.11903216032548869,0.2404139513314334,0.4611686209095893,0.3581135464905998,-0.08530401402776988,0.8768753818650765,-0.2694134451244281,1.9821022502291044,0.1935994144798343,-0.0025931592459187414,0.24203405419143564
2022,الربع الثاني,0.2657294702554509,1.7027345445526123,-0.5435192873858341,-0.21017962774371313,-0.06817711440363894,-0.36260194364407994,0.4672571309017428,-0.5727363278470676,-0.3802281368821383,-0.28062085909571977,2.8976182288141956,-0.46067746686303224,0.12317825838907481,0.5323965086378593
2022,الربع الثالث,0.308992537769143,-0.202419276168172,0.91334598355472,-0.04885569114517807,-0.6201040410316381,0.19727732781120721,0.09371095376924643,-0.23375353313694802,0.3602873291449953,-0.2463801961700085,2.3923238639426643,-0.5077884569859208,-0.31727942604797477,0.04443163532434369
2022,الربع الرابع,0.5892952807675442,1.664182204735937,0.2895752895752679,0.022810466745596614,-0.21207737759580425,-0.22134716039721525,-0.09593490296704488,-0.004781657561608199,-0.207543359734359,-1.4608622364770838,-3.2387811401015085,-0.014276366664688567,0.059760438589634646,-0.5725534443230913
2023,الربع الأول,-0.13314612181659413,-0.1718667371760887,-0.28373935977401743,0.024977194735242847,-1.3771329590545491,0.2880219632067167,0.37948029710530307,2.1219620079140356,-0.04946432385641231,0.8743065537354084,0.2111036148773735,-0.27485929821639843,-0.2635679044404071,0.4201173431199692
2023,الربع الثاني,0.01212033064261675,0.05417705060135347,-0.11782992378658719,0.0227995700652599,0.5107125062282023,0.06843790482244572,0,2.568364862333766,-0.3497958586869885,1.7593650270263765,-0.6764974156278498,-0.3543645301388807,2.495541351523741,0.7345339135870859
2023,الربع الثالث,0.207232536720142,0.3333092676822531,0.32378705353781356,-0.09660472386244123,-0.4573057380096657,0.056178403067818294,0.010373204859263296,1.1036545002168623,-2.3849296823856037,0.10878244667924264,-0.5772447495872797,-0.10656768245225123,-0.31879492976349866,0.2422636735765309
2023,الربع الرابع,0.13303179459892078,-0.17269707254475009,0.5303977983487869,-0.036940862025886645,-0.03984014143250647,0.029294014256421974,-0.36532943033962795,-0.9538860980978683,-1.2163959068046353,-1.2114906652794701,1.7131986672677755,0.058734687028021426,-0.26884803078372954,-0.2857278918043704
2024,الربع الاول,0.2608790173557196,0.022825838849556135,0.5238664078442952,0.06521384707353661,0.2441181232796481,0.3514252245216767,0.2174566821662438,0.4148620925461586,0.11705078833705329,-0.9408240401605354,-1.9124531076011522,0.02875112309075689,-0.20569296811120807,-1.823152968145564
2024,الربع الثاني,1.1203064580246291,1.0125153138437213,0.9902828495389002,0.6408515722587254,2.6986394980431214,1.4384727626459295,0.5978624685487404,2.6525469899210066,3.0245636187202507,11.15495020849822,1.5529593298798403,6.65157666558882,4.217075699965434,2.0710454948983994
