,السنة,,,,
شبكة الكهرباء,2017,2018,2019,2021,2022
شبكة خاصة,0.6712101706206756,0.10004546786025403,0.3852572048356642,0.5493953915583191,1.052550524369875
شبكة عامة,99.21923685714626,99.85163375831223,99.49717978080005,99.32964774000365,98.35346628383854
طاقة شمسية,0,0,0,0,0.3538494610629219
مولد خاص,0.08431911867390456,0.04182143579157522,0.11756301454044424,0.11477519250733396,0.10775768026344007
