المؤشر العقاري لمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,الإجمالي السعر بالريال السعودي,الإجمالي المساحة بالمتر المربع,الإجمالي عدد الصفقات
الشهر_ميلادي,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,
مارس,زراعي,قطعة أرض,,,,,,,8756668,3130.2899999999995,14,36011741,11891.590000000004,64,44768409,15021.880000000003,78
مارس,زراعي,أرض زراعية,1523000,21265.11,7,3500000,50000.9,1,,,,22539634,5100005.4,22,27562634,5171271.410000001,30
مارس,صناعي,,2500000,4500,1,,,,,,,,,,2500000,4500,1
مارس,صناعي,قطعة أرض,2500000,4500,1,,,,,,,,,,2500000,4500,1
ابريل,,,656117321,496593.3620000001,735,648428419,647595.87,836,279779191,111950.94999999998,322,508712968,3252984.217,455,2093037899,4509124.398999999,2348
ابريل,سكني,,461867918,319744.47000000003,628,507641302,353928.9199999999,727,223286708,88713.56999999998,255,302067388,184911.91700000002,328,1494863316,947298.877,1938
ابريل,سكني,قطعة أرض,381784388,284930.43,455,411020446,308446.06,527,184061343,75054.95999999998,190,280328083,175622.39700000003,282,1257194260,844053.8470000001,1454
ابريل,سكني,عمارة,2136750,869.5,1,,,,1300000,400,1,975000,380,1,4411750,1649.5,3
ابريل,سكني,فيلا,1960000,1025,3,1230000,462.35,2,400000,425,1,,,,3590000,1912.35,6
ابريل,سكني,شقة,73511780,32619.540000000023,165,92925856,39470.50999999998,194,37525365,12833.610000000002,63,20684305,8872.020000000002,44,224647306,93795.68000000001,466
ابريل,سكني,معرض/محل,2475000,300,4,180000,75,2,,,,80000,37.5,1,2735000,412.5,7
ابريل,سكني,مرفق,,,,2285000,5475,2,,,,,,,2285000,5475,2
ابريل,تجاري,,119271403,97382.58000000002,90,138287117,213294.58,108,40542580,17452.28,41,186366193,402528.76999999996,73,484467293,730658.21,312
ابريل,تجاري,قطعة أرض,118619403,97113.20000000001,89,138287117,213294.58,108,40542580,17452.28,41,186366193,402528.76999999996,73,483815293,730388.83,311
ابريل,تجاري,شقة,652000,269.38,1,,,,,,,,,,652000,269.38,1
ابريل,زراعي,,2390000,31981.182,15,2500000,80372.37,1,15949903,5785.1,26,20279387,2665543.5300000003,54,41119290,2783682.1820000005,96
ابريل,زراعي,قطعة أرض,,,,2500000,80372.37,1,15949903,5785.1,26,11045065,5539.929999999999,41,29494968,91697.4,68
ابريل,زراعي,أرض زراعية,2390000,31981.182,15,,,,,,,9234322,2660003.6,13,11624322,2691984.782,28
ابريل,صناعي,,72588000,47485.13,2,,,,,,,,,,72588000,47485.13,2
ابريل,صناعي,قطعة أرض,72588000,47485.13,2,,,,,,,,,,72588000,47485.13,2
مايو,,,674232099,576435.9070000001,665,689804035,443429.4099999999,736,285675505,133169.39,266,,,,1649711639,1153034.707,1667
مايو,سكني,,480234376,337215.715,557,538991462,353897.9599999999,627,221515857,92830.65,224,,,,1240741695,783944.325,1408
مايو,سكني,قطعة أرض,385917433,286307.215,410,459006056,323717.1299999999,466,197132782,83006.53,175,,,,1042056271,693030.8749999999,1051
مايو,سكني,فيلا,11713540,3691.2799999999997,8,460297,324.28,1,,,,,,,12173837,4015.5599999999995,9
مايو,سكني,شقة,57772791,27352.73,138,78925109,29558.87,157,24383075,9824.12,49,,,,161080975,66735.72,344
مايو,سكني,معرض/محل,,,,300000,150,2,,,,,,,300000,150,2
مايو,سكني,بيت,,,,300000,147.68,1,,,,,,,300000,147.68,1
مايو,سكني,مرفق,24830612,19864.49,1,,,,,,,,,,24830612,19864.49,1
مايو,تجاري,,186967723,66599.31,93,150812573,89531.45000000001,109,61832648,39492.42,38,,,,399612944,195623.18,240
مايو,تجاري,قطعة أرض,184904778,65919.88,90,150812573,89531.45000000001,109,61832648,39492.42,38,,,,397549999,194943.75,237
مايو,تجاري,شقة,2062945,679.43,3,,,,,,,,,,2062945,679.43,3
مايو,زراعي,,7030000,172620.882,15,,,,2327000,846.3199999999999,4,,,,9357000,173467.20200000002,19
مايو,زراعي,قطعة أرض,,,,,,,2327000,846.3199999999999,4,,,,2327000,846.3199999999999,4
مايو,زراعي,أرض زراعية,7030000,172620.882,15,,,,,,,,,,7030000,172620.882,15
يونيو,,,232353565,253929.45,249,380638683,274258.17000000004,537,1721842930,9609955.875000006,1248,,,,2334835178,10138143.495000003,2034
يونيو,سكني,,151312351,112646.56999999999,199,330374582,217277.55000000005,470,1043903112,720254.6250000008,953,,,,1525590045,1050178.745000001,1622
يونيو,سكني,قطعة أرض,128006151,100574.69,141,264861610,192494.20000000007,338,965643832,693487.8900000007,828,,,,1358511593,986556.7800000008,1307
يونيو,سكني,عمارة,,,,,,,1500000,705,1,,,,1500000,705,1
يونيو,سكني,فيلا,850000,794.01,1,1559534,400,2,850000,490.05,1,,,,3259534,1684.06,4
يونيو,سكني,شقة,22456200,11277.869999999997,57,63713438,24308.34999999999,128,75120494,25282.405,121,,,,161290132,60868.624999999985,306
يونيو,سكني,معرض/محل,,,,240000,75,2,550000,47.8,1,,,,790000,122.8,3
يونيو,سكني,بيت,,,,,,,238786,241.48,1,,,,238786,241.48,1
يونيو,تجاري,,67563814,34854.08,39,50264101,56980.62,67,635448241,8727733.740000002,231,,,,753276156,8819568.440000001,337
يونيو,تجاري,قطعة أرض,67563814,34854.08,39,50264101,56980.62,67,632143791,8719681.520000001,229,,,,749971706,8811516.22,335
يونيو,تجاري,عمارة,,,,,,,600000,325.22,1,,,,600000,325.22,1
يونيو,تجاري,مرفق,,,,,,,2704450,7727,1,,,,2704450,7727,1
يونيو,زراعي,,2805000,78520,5,,,,42491577,161967.51,64,,,,45296577,240487.51,69
يونيو,زراعي,قطعة أرض,,,,,,,32991577,11961.510000000006,61,,,,32991577,11961.510000000006,61
يونيو,زراعي,أرض زراعية,2805000,78520,5,,,,9500000,150006,3,,,,12305000,228526,8
يونيو,صناعي,,10672400,27908.8,6,,,,,,,,,,10672400,27908.8,6
يونيو,صناعي,قطعة أرض,10672400,27908.8,6,,,,,,,,,,10672400,27908.8,6
يوليو,,,505759765,432115.155,571,807166373,633847.1999999997,975,370026738,1958521.09,442,,,,1682952876,3024483.445,1988
يوليو,سكني,,336128594,219638.84500000003,471,569143542,414753.7099999998,821,235514266,158848.01999999996,328,,,,1140786402,793240.5749999998,1620
يوليو,سكني,قطعة أرض,272053530,190412.44500000004,326,491434343,380732.4599999998,644,185998041,138717.31999999998,236,,,,949485914,709862.2249999999,1206
يوليو,سكني,عمارة,550000,380,1,,,,5000000,1000,2,,,,5550000,1380,3
يوليو,سكني,فيلا,18896697,5604.06,18,1914469,750,2,1000000,341.25,1,,,,21811166,6695.31,21
يوليو,سكني,شقة,44628367,23242.339999999993,126,75794730,33271.25,175,42361056,18651.989999999994,87,,,,162784153,75165.57999999999,388
يوليو,سكني,معرض/محل,,,,,,,1155169,137.45999999999998,2,,,,1155169,137.45999999999998,2
يوليو,تجاري,,163521171,91795.41,90,237932831,167093.48999999996,153,120194329,585495.12,74,,,,521648331,844384.02,317
يوليو,تجاري,قطعة أرض,163521171,91795.41,90,237932831,167093.48999999996,153,120194329,585495.12,74,,,,521648331,844384.02,317
يوليو,زراعي,,6110000,120680.9,10,90000,52000,1,14318143,1214177.9500000002,40,,,,20518143,1386858.85,51
يوليو,زراعي,قطعة أرض,,,,,,,9547428,4175.250000000001,24,,,,9547428,4175.250000000001,24
يوليو,زراعي,أرض زراعية,6110000,120680.9,10,90000,52000,1,4770715,1210002.7000000002,16,,,,10970715,1382683.6,27
اوغسطس,,,533158238,235953.27999999997,426,482178775,368474.0550000001,547,345207661,1504659.4700000002,420,,,,1360544674,2109086.805,1393
اوغسطس,سكني,,288069256,159856.90999999997,357,280987901,205684.89000000013,440,275080267,191211.95,330,,,,844137424,556753.7500000002,1127
اوغسطس,سكني,قطعة أرض,242452879,138636.83999999997,247,236330860,186356.8100000001,346,239538283,167646.49000000002,260,,,,718322022,492640.14000000013,853
اوغسطس,سكني,فيلا,6897500,2139.76,9,2480000,1343.75,3,290810,291.37,1,,,,9668310,3774.88,13
اوغسطس,سكني,شقة,38718877,19080.310000000005,101,41977041,17917.190000000002,90,31256674,15285.089999999998,68,,,,111952592,52282.590000000004,259
اوغسطس,سكني,معرض/محل,,,,200000,67.14,1,,,,,,,200000,67.14,1
اوغسطس,سكني,مرفق,,,,,,,3994500,7989,1,,,,3994500,7989,1
اوغسطس,تجاري,,245088982,76096.37,69,201190874,162789.165,107,55405654,43999.11,52,,,,501685510,282884.645,228
اوغسطس,تجاري,قطعة أرض,245088982,76096.37,69,200130474,162463.945,106,55405654,43999.11,52,,,,500625110,282559.425,227
اوغسطس,تجاري,عمارة,,,,1060400,325.22,1,,,,,,,1060400,325.22,1
اوغسطس,زراعي,,,,,,,,14721740,1269448.4100000001,38,,,,14721740,1269448.4100000001,38
اوغسطس,زراعي,قطعة أرض,,,,,,,11576740,4446.61,27,,,,11576740,4446.61,27
اوغسطس,زراعي,أرض زراعية,,,,,,,3145000,1265001.8,11,,,,3145000,1265001.8,11
سبتمبر,,,645567734,376465.64999999997,617,696286281,493906.42500000005,848,743790252,9174949.550000003,707,,,,2085644267,10045321.625000004,2172
سبتمبر,سكني,,498278889,278648.92000000004,524,551211245,372346.41500000004,730,443573495,306023.4199999999,568,,,,1493063629,957018.7549999999,1822
سبتمبر,سكني,قطعة أرض,309167935,242494.98,383,458507644,337474.575,556,388971061,278757.6099999999,445,,,,1156646640,858727.1649999999,1384
سبتمبر,سكني,عمارة,600000,380,1,355000,206.75,1,1500000,813.25,1,,,,2455000,1400,3
سبتمبر,سكني,فيلا,134562078,8154.21,3,4120938,1795,5,3554997,1594.44,5,,,,142238013,11543.65,13
سبتمبر,سكني,شقة,53948876,27619.73,137,88127663,32835.4,167,49547437,24858.12000000001,117,,,,191623976,85313.25000000001,421
سبتمبر,سكني,معرض/محل,,,,100000,34.69,1,,,,,,,100000,34.69,1
سبتمبر,تجاري,,146578845,93166.75999999998,91,145075036,121560.01000000001,118,281480841,8041994.920000001,90,,,,573134722,8256721.69,299
سبتمبر,تجاري,قطعة أرض,146578845,93166.75999999998,91,145075036,121560.01000000001,118,281480841,8041994.920000001,90,,,,573134722,8256721.69,299
سبتمبر,زراعي,,710000,4649.969999999999,2,,,,18735916,826931.2100000001,49,,,,19445916,831581.18,51
سبتمبر,زراعي,قطعة أرض,,,,,,,16109916,6926.709999999999,39,,,,16109916,6926.709999999999,39
سبتمبر,زراعي,أرض زراعية,710000,4649.969999999999,2,,,,2626000,820004.5000000001,10,,,,3336000,824654.4700000001,12
اكتوبر,,,1524035860,3169435.7841999996,1033,804596238,596403.515,962,590172759,1167184.7000000002,622,,,,2918804857,4933023.9992,2617
اكتوبر,سكني,,584665819,496742.6699999997,858,633889838,452726.6250000001,817,390749841,294323.8600000001,456,,,,1609305498,1243793.1549999998,2131
اكتوبر,سكني,قطعة أرض,503358023,459310.7499999997,682,546709387,417474.39500000014,643,369931818,283867.18000000005,407,,,,1419999228,1160652.325,1732
اكتوبر,سكني,عمارة,,,,1498333,600,1,,,,,,,1498333,600,1
اكتوبر,سكني,فيلا,7218285,2667.19,6,4940000,1361.8200000000002,5,2122000,1226.0900000000001,2,,,,14280285,5255.1,13
اكتوبر,سكني,شقة,74037011,34714.05000000001,169,80742118,33290.409999999996,168,18696023,9230.59,47,,,,173475152,77235.05000000002,384
اكتوبر,سكني,معرض/محل,52500,50.68,1,,,,,,,,,,52500,50.68,1
اكتوبر,تجاري,,938310041,2656376.8142000004,171,170706400,143676.88999999996,145,179996047,166394.29,125,,,,1289012488,2966447.9942000005,441
اكتوبر,تجاري,قطعة أرض,938310041,2656376.8142000004,171,170106400,143478.67999999996,144,179996047,166394.29,125,,,,1288412488,2966249.7842000006,440
اكتوبر,تجاري,شقة,,,,600000,198.21,1,,,,,,,600000,198.21,1
اكتوبر,زراعي,,460000,7321.8,2,,,,19426871,706466.55,41,,,,19886871,713788.3500000001,43
اكتوبر,زراعي,قطعة أرض,,,,,,,16596871,6464.75,36,,,,16596871,6464.75,36
اكتوبر,زراعي,أرض زراعية,460000,7321.8,2,,,,2830000,700001.8,5,,,,3290000,707323.6000000001,7
اكتوبر,صناعي,,600000,8994.5,2,,,,,,,,,,600000,8994.5,2
اكتوبر,صناعي,قطعة أرض,600000,8994.5,2,,,,,,,,,,600000,8994.5,2
نوفمبر,,,908592757,623209.25,946,712688131,630730.945,878,1422183689,4604398.079999999,845,,,,3043464577,5858338.274999999,2669
نوفمبر,سكني,,648435932,429491.32999999996,826,538723803,466876.5649999998,736,598823358,400822.14,643,,,,1785983093,1297190.035,2205
نوفمبر,سكني,قطعة أرض,585015834,398820.43,666,456516821,427425.0499999999,563,552103686,383033.71,561,,,,1593636341,1209279.19,1790
نوفمبر,سكني,عمارة,,,,,,,5000000,858.51,1,,,,5000000,858.51,1
نوفمبر,سكني,فيلا,4400080,1599,4,4588950,3015.9100000000003,7,1389979,1002.5,2,,,,10379009,5617.41,13
نوفمبر,سكني,شقة,58620018,29048.789999999994,155,77318032,36235.49499999998,164,36329693,15752.420000000002,78,,,,172267743,81036.70499999997,397
نوفمبر,سكني,معرض/محل,400000,23.11,1,200000,37.5,1,4000000,175,1,,,,4600000,235.61,3
نوفمبر,سكني,بيت,,,,100000,162.61,1,,,,,,,100000,162.61,1
نوفمبر,تجاري,,253156825,143717.02,119,173964328,163854.38,142,797550878,3025691.28,151,,,,1224672031,3333262.6799999997,412
نوفمبر,تجاري,قطعة أرض,253156825,143717.02,119,173964328,163854.38,142,797550878,3025691.28,151,,,,1224672031,3333262.6799999997,412
نوفمبر,زراعي,,7000000,50000.9,1,,,,25809453,1177884.66,51,,,,32809453,1227885.5599999998,52
نوفمبر,زراعي,قطعة أرض,,,,,,,20892453,7883.76,43,,,,20892453,7883.76,43
نوفمبر,زراعي,أرض زراعية,7000000,50000.9,1,,,,4917000,1170000.9,8,,,,11917000,1220001.7999999998,9
ديسمبر,,,1024189186,697548.1967000001,1061,1012804538,2045615.9349999998,789,967432500,3323526.47,849,,,,3004426224,6066690.6017,2699
ديسمبر,سكني,,675849656,509118.65670000005,913,649787932,447563.5149999999,668,643724527,467503.85,629,,,,1969362115,1424186.0217,2210
ديسمبر,سكني,قطعة أرض,587802292,454670.28670000006,740,553750983,407280.60499999986,493,607073347,452747.35000000003,558,,,,1748626622,1314698.2417000001,1791
ديسمبر,سكني,عمارة,,,,,,,1336000,954,1,,,,1336000,954,1
ديسمبر,سكني,فيلا,10037223,3530.7999999999997,8,2530890,1659.5,4,3240000,1240.1,3,,,,15808113,6430.4,15
ديسمبر,سكني,شقة,68077896,31053.079999999994,164,91054649,35919.069999999985,168,31774564,12474.539999999994,63,,,,190907109,79446.68999999997,395
ديسمبر,سكني,معرض/محل,,,,1300000,87.5,2,300616,87.86000000000001,4,,,,1600616,175.36,6
ديسمبر,سكني,مرفق,9932245,19864.49,1,,,,,,,,,,9932245,19864.49,1
ديسمبر,سكني,إستراحة,,,,1151410,2616.84,1,,,,,,,1151410,2616.84,1
ديسمبر,تجاري,,348339530,188429.53999999998,148,363016606,1598052.42,121,294604407,1526182.6200000003,154,,,,1005960543,3312664.58,423
ديسمبر,تجاري,قطعة أرض,348339530,188429.53999999998,148,363016606,1598052.42,121,294604407,1526182.6200000003,154,,,,1005960543,3312664.58,423
ديسمبر,زراعي,,,,,,,,29103566,1329839.9999999998,66,,,,29103566,1329839.9999999998,66
ديسمبر,زراعي,قطعة أرض,,,,,,,25487566,8961.400000000001,54,,,,25487566,8961.400000000001,54
ديسمبر,زراعي,أرض زراعية,,,,,,,3616000,1320878.5999999999,12,,,,3616000,1320878.5999999999,12
الإجمالي الكلي,,,9526646955,8941912.3132,8522,8614018866,8893097.185999999,9839,8825099542,39111919.010000005,7695,3148750674,16942051.274,2901,30114516037,73888979.78320001,28957
