المؤشر العقاري لمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
الشهر,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
فبراير,تجاري,قصر,40000000,13750,1,,,,,,,,,
فبراير,تجاري,بيت,,,,410000,188.1,1,462000,232.85,2,1193212,441.29,2
فبراير,تجاري,مرفق,,,,,,,,,,5714286,3491.68,1
فبراير,تجاري,إستراحة,,,,,,,750000,625,1,,,
فبراير,زراعي,,,,,835000,1245,2,300000,3750,1,146758994,46999.87000000003,267
فبراير,زراعي,قطعة أرض,,,,,,,300000,3750,1,146758994,46999.87000000003,267
فبراير,زراعي,شقة,,,,160000,795,1,,,,,,
فبراير,زراعي,معرض/محل,,,,675000,450,1,,,,,,
فبراير,صناعي,,2070403,465.5,1,590000,1820,2,,,,,,
فبراير,صناعي,مركز تجاري,,,,590000,1820,2,,,,,,
فبراير,صناعي,بيت,2070403,465.5,1,,,,,,,,,
مارس,,,3585421752,2794198.2191999983,4055,7700703396,9415090.444799999,6422,4041171137,3147400.0577,4120,13152882679,20308711.9611,7601
مارس,سكني,,2922115356,2429401.784199999,3803,5806342459,6175786.348099995,5981,2897097365,2519943.7157,3835,9005389115,18409596.721099995,6672
مارس,سكني,قطعة أرض,2664243059,2339581.880199999,3478,5497307805,6033770.998099989,5463,2699756387,2421135.8238000004,3557,6997732495,17804089.321899995,6410
مارس,سكني,عمارة,200000,224,2,350000,513.84,2,,,,4844000,2371.84,6
مارس,سكني,فيلا,19170265,13767.179999999998,27,38504849,35953.299999999996,59,45867528,24902.109999999997,50,71001532,25060.129999999997,35
مارس,سكني,شقة,136915954,36122.1455,215,142418825,50514.801000000014,302,101436956,29969.05190000001,163,55788362,20483.439200000004,124
مارس,سكني,معرض/محل,62269001,21606.64,54,118143984,42795.719000000005,118,41207634,13904.24,42,76837015,25840.49,67
مارس,سكني,مركز تجاري,,,,1525000,4860.4,2,,,,907500,825,1
مارس,سكني,بيت,28317077,7299.938499999998,26,7732996,6052.289999999999,33,7417860,6238.22,16,4267000,2690.34,19
مارس,سكني,مرفق,11000000,10800,1,,,,198000,20894.29,2,20150000,18527.609999999997,6
مارس,سكني,إستراحة,,,,359000,1325,2,1213000,2899.9800000000005,5,2040000,870,2
مارس,سكني,أرض زراعية,,,,,,,,,,1771821211,508838.55,2
مارس,تجاري,,659256396,313281.00499999995,250,1890770787,3237431.0967000015,437,1141990772,626866.042,281,2731153001,1503516.0999999996,622
مارس,تجاري,قطعة أرض,635952392,304943.025,204,1737909749,3171957.2867000005,382,1110320762,618146.082,256,2714233746,1496991.8149999997,582
مارس,تجاري,عمارة,100000,389.47,1,,,,,,,,,
مارس,تجاري,فيلا,1550000,968,2,870000,884,2,1395000,1034,2,900000,484,1
مارس,تجاري,شقة,21054004,6884.51,42,17082065,7071.979999999999,46,6917868,3007.6499999999996,21,16019255,6040.285000000002,39
